Year,unitid,Institution_Name,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2004-2005,100751,The University of Alabama,All other sports combined,152,42,110,111,25,86,4,0,4,1,0,1,0,0,0,1,0,1,0,0,0,35,17,18
2004-2005,100751,The University of Alabama,Baseball,36,36,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,100751,The University of Alabama,Basketball,29,15,14,5,1,4,21,11,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2004-2005,100751,The University of Alabama,Cross-country and/or track,47,26,21,18,10,8,19,9,10,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3
2004-2005,100751,The University of Alabama,Football,79,79,0,26,26,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,100858,Auburn University,All other sports combined,180,51,129,137,39,98,8,0,8,4,0,4,1,0,1,0,0,0,5,0,5,25,12,13
2004-2005,100858,Auburn University,Baseball,27,27,0,21,21,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0
2004-2005,100858,Auburn University,Basketball,26,11,15,3,2,1,19,9,10,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3
2004-2005,100858,Auburn University,Cross-country and/or track,46,22,24,22,12,10,11,3,8,0,0,0,0,0,0,0,0,0,2,1,1,11,6,5
2004-2005,100858,Auburn University,Football,89,89,0,25,25,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2004-2005,122755,San Jose State University,All other sports combined,165,31,134,108,13,95,6,2,4,24,11,13,12,2,10,3,0,3,7,2,5,5,1,4
2004-2005,122755,San Jose State University,Baseball,33,33,0,20,20,0,1,1,0,10,10,0,0,0,0,0,0,0,2,2,0,0,0,0
2004-2005,122755,San Jose State University,Basketball,30,15,15,8,5,3,19,10,9,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
2004-2005,122755,San Jose State University,Cross-country and/or track,16,5,11,9,2,7,1,0,1,1,0,1,0,0,0,0,0,0,3,1,2,2,2,0
2004-2005,122755,San Jose State University,Football,78,78,0,23,23,0,45,45,0,5,5,0,1,1,0,1,1,0,1,1,0,2,2,0
2004-2005,123961,University of Southern California,All other sports combined,175,62,113,103,40,63,7,2,5,7,2,5,9,3,6,4,1,3,5,2,3,40,12,28
2004-2005,123961,University of Southern California,Baseball,24,24,0,19,19,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0
2004-2005,123961,University of Southern California,Basketball,30,14,16,5,1,4,22,11,11,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0
2004-2005,123961,University of Southern California,Cross-country and/or track,39,16,23,6,4,2,20,8,12,1,0,1,0,0,0,0,0,0,3,1,2,9,3,6
2004-2005,123961,University of Southern California,Football,89,89,0,28,28,0,45,45,0,4,4,0,7,7,0,0,0,0,5,5,0,0,0,0
2004-2005,131496,Georgetown University,All other sports combined,20,9,11,19,8,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2004-2005,131496,Georgetown University,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
