Year,unitid,Institution_Name,Cohort,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2005-2006,135726,University of Miami,Scholarship Awards,Cross-country and/or track,38,18,20,14,12,2,18,3,15,3,2,1,0,0,0,0,0,0,2,1,1,1,0,1
2005-2006,135726,University of Miami,Scholarship Awards,Football,81,81,0,14,14,0,62,62,0,1,1,0,0,0,0,0,0,0,2,2,0,2,2,0
2005-2006,139959,University of Georgia,Scholarship Awards,All other sports combined,147,40,107,113,31,82,14,1,13,3,1,2,1,0,1,0,0,0,0,0,0,16,7,9
2005-2006,139959,University of Georgia,Scholarship Awards,Baseball,42,42,0,40,40,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,139959,University of Georgia,Scholarship Awards,Basketball,27,13,14,5,2,3,20,9,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2005-2006,139959,University of Georgia,Scholarship Awards,Cross-country and/or track,65,29,36,35,15,20,19,10,9,0,0,0,3,2,1,0,0,0,0,0,0,8,2,6
2005-2006,139959,University of Georgia,Scholarship Awards,Football,86,86,0,25,25,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,142115,Boise State University,Scholarship Awards,All other sports combined,116,39,77,81,28,53,5,0,5,3,2,1,6,1,5,1,1,0,0,0,0,20,7,13
2005-2006,142115,Boise State University,Scholarship Awards,Basketball,28,14,14,14,8,6,9,6,3,0,0,0,3,0,3,1,0,1,0,0,0,1,0,1
2005-2006,142115,Boise State University,Scholarship Awards,Cross-country and/or track,57,25,32,39,15,24,5,3,2,1,0,1,0,0,0,1,1,0,0,0,0,11,6,5
2005-2006,142115,Boise State University,Scholarship Awards,Football,88,88,0,48,48,0,25,25,0,4,4,0,3,3,0,2,2,0,2,2,0,4,4,0
2005-2006,147767,Northwestern University,Scholarship Awards,All other sports combined,218,78,140,165,60,105,8,1,7,7,5,2,8,0,8,0,0,0,19,6,13,11,6,5
2005-2006,147767,Northwestern University,Scholarship Awards,Baseball,23,23,0,20,20,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2005-2006,147767,Northwestern University,Scholarship Awards,Basketball,26,12,14,10,4,6,6,3,3,0,0,0,0,0,0,0,0,0,2,0,2,8,5,3
2005-2006,147767,Northwestern University,Scholarship Awards,Cross-country and/or track,11,0,11,9,0,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2005-2006,147767,Northwestern University,Scholarship Awards,Football,84,84,0,40,40,0,38,38,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0
2005-2006,152080,University of Notre Dame,Scholarship Awards,All other sports combined,263,116,147,226,95,131,4,3,1,2,1,1,7,4,3,1,0,1,0,0,0,23,13,10
2005-2006,152080,University of Notre Dame,Scholarship Awards,Baseball,19,19,0,17,17,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,152080,University of Notre Dame,Scholarship Awards,Basketball,22,11,11,12,6,6,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,152080,University of Notre Dame,Scholarship Awards,Cross-country and/or track,38,18,20,28,14,14,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
2005-2006,152080,University of Notre Dame,Scholarship Awards,Football,77,77,0,36,36,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,155399,Kansas State University,Scholarship Awards,All other sports combined,178,8,170,151,7,144,2,0,2,3,0,3,2,1,1,0,0,0,4,0,4,16,0,16
2005-2006,155399,Kansas State University,Scholarship Awards,Baseball,36,36,0,32,32,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,155399,Kansas State University,Scholarship Awards,Basketball,29,14,15,13,2,11,11,8,3,0,0,0,0,0,0,0,0,0,3,2,1,2,2,0
2005-2006,155399,Kansas State University,Scholarship Awards,Cross-country and/or track,66,33,33,30,18,12,16,6,10,4,1,3,2,1,1,1,0,1,5,1,4,8,6,2
2005-2006,155399,Kansas State University,Scholarship Awards,Football,81,81,0,35,35,0,35,35,0,2,2,0,2,2,0,0,0,0,7,7,0,0,0,0
2005-2006,157289,University of Louisville,Scholarship Awards,All other sports combined,178,49,129,112,26,86,6,0,6,8,1,7,1,0,1,0,0,0,0,0,0,51,22,29
2005-2006,157289,University of Louisville,Scholarship Awards,Baseball,29,29,0,26,26,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0
2005-2006,157289,University of Louisville,Scholarship Awards,Basketball,27,13,14,6,3,3,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3
2005-2006,157289,University of Louisville,Scholarship Awards,Cross-country and/or track,43,22,21,24,14,10,15,5,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
2005-2006,157289,University of Louisville,Scholarship Awards,Football,92,92,0,23,23,0,65,65,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Scholarship Awards,All other sports combined,138,35,103,94,24,70,9,1,8,6,2,4,1,0,1,0,0,0,5,1,4,23,7,16
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Scholarship Awards,Baseball,37,37,0,29,29,0,2,2,0,3,3,0,1,1,0,0,0,0,2,2,0,0,0,0
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Scholarship Awards,Basketball,26,13,13,3,2,1,19,10,9,0,0,0,0,0,0,0,0,0,2,0,2,2,1,1
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Scholarship Awards,Cross-country and/or track,52,23,29,13,7,6,24,7,17,2,1,1,0,0,0,0,0,0,0,0,0,13,8,5
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Scholarship Awards,Football,87,87,0,27,27,0,56,56,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0
2005-2006,170976,University of Michigan-Ann Arbor,Scholarship Awards,All other sports combined,277,111,166,223,88,135,9,6,3,5,0,5,6,2,4,0,0,0,9,4,5,25,11,14
2005-2006,170976,University of Michigan-Ann Arbor,Scholarship Awards,Baseball,30,30,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2005-2006,170976,University of Michigan-Ann Arbor,Scholarship Awards,Basketball,27,13,14,8,1,7,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2005-2006,170976,University of Michigan-Ann Arbor,Scholarship Awards,Cross-country and/or track,51,18,33,32,9,23,12,6,6,0,0,0,1,0,1,0,0,0,2,1,1,4,2,2
2005-2006,170976,University of Michigan-Ann Arbor,Scholarship Awards,Football,96,96,0,39,39,0,55,55,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,181464,University of Nebraska-Lincoln,Scholarship Awards,All other sports combined,185,54,131,131,39,92,7,1,6,2,0,2,4,1,3,3,2,1,3,1,2,35,10,25
