Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1999-2000,135726,University of Miami,Football,Scholarship Awards,78,78,0,23,23,0,47,47,0,2,2,0,0,0,0,2,2,0,2,2,0,2,2,0
1999-2000,139959,University of Georgia,All other sports combined,Scholarship Awards,132,37,95,113,31,82,2,1,1,5,0,5,1,0,1,1,0,1,0,0,0,10,5,5
1999-2000,139959,University of Georgia,Baseball,Scholarship Awards,32,32,0,31,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,139959,University of Georgia,Basketball,Scholarship Awards,25,11,14,7,2,5,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,139959,University of Georgia,Cross-country and/or track,Scholarship Awards,43,20,23,15,5,10,22,11,11,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2
1999-2000,139959,University of Georgia,Football,Scholarship Awards,79,79,0,26,26,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,142115,Boise State University,All other sports combined,Scholarship Awards,99,40,59,78,31,47,1,1,0,1,0,1,2,0,2,0,0,0,0,0,0,17,8,9
1999-2000,142115,Boise State University,Basketball,Scholarship Awards,29,13,16,14,4,10,11,6,5,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0
1999-2000,142115,Boise State University,Cross-country and/or track,Scholarship Awards,49,24,25,39,18,21,2,1,1,1,0,1,1,1,0,1,1,0,0,0,0,5,3,2
1999-2000,142115,Boise State University,Football,Scholarship Awards,96,96,0,61,61,0,30,30,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0
1999-2000,147767,Northwestern University,All other sports combined,Scholarship Awards,163,53,110,128,42,86,8,2,6,5,1,4,9,5,4,0,0,0,5,0,5,8,3,5
1999-2000,147767,Northwestern University,Baseball,Scholarship Awards,25,25,0,24,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,147767,Northwestern University,Basketball,Scholarship Awards,28,13,15,17,6,11,6,3,3,1,0,1,0,0,0,0,0,0,3,3,0,1,1,0
1999-2000,147767,Northwestern University,Cross-country and/or track,Scholarship Awards,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,147767,Northwestern University,Football,Scholarship Awards,71,71,0,35,35,0,28,28,0,3,3,0,0,0,0,1,1,0,2,2,0,2,2,0
1999-2000,152080,University of Notre Dame,All other sports combined,Scholarship Awards,190,74,116,164,58,106,3,1,2,7,3,4,2,1,1,0,0,0,0,0,0,14,11,3
1999-2000,152080,University of Notre Dame,Baseball,Scholarship Awards,28,28,0,27,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,152080,University of Notre Dame,Basketball,Scholarship Awards,23,13,10,11,7,4,9,4,5,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0
1999-2000,152080,University of Notre Dame,Cross-country and/or track,Scholarship Awards,35,20,15,23,15,8,7,3,4,1,1,0,0,0,0,0,0,0,0,0,0,4,1,3
1999-2000,152080,University of Notre Dame,Football,Scholarship Awards,85,85,0,36,36,0,46,46,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,All other sports combined,Scholarship Awards,65,9,56,63,9,54,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Baseball,Scholarship Awards,31,31,0,29,29,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Basketball,Scholarship Awards,27,13,14,16,6,10,10,7,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1999-2000,155399,Kansas State University,Cross-country and/or track,Scholarship Awards,52,20,32,32,13,19,18,5,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Football,Scholarship Awards,83,83,0,33,33,0,46,46,0,0,0,0,2,2,0,1,1,0,1,1,0,0,0,0
1999-2000,157289,University of Louisville,All other sports combined,Scholarship Awards,157,51,106,110,32,78,3,0,3,4,1,3,4,0,4,0,0,0,0,0,0,36,18,18
1999-2000,157289,University of Louisville,Baseball,Scholarship Awards,30,30,0,20,20,0,1,1,0,6,6,0,1,1,0,0,0,0,0,0,0,2,2,0
1999-2000,157289,University of Louisville,Basketball,Scholarship Awards,30,11,19,13,2,11,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,157289,University of Louisville,Cross-country and/or track,Scholarship Awards,38,16,22,26,13,13,10,3,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,157289,University of Louisville,Football,Scholarship Awards,76,76,0,22,22,0,51,51,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,All other sports combined,Scholarship Awards,136,39,97,102,26,76,4,1,3,3,2,1,0,0,0,0,0,0,0,0,0,27,10,17
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,Scholarship Awards,31,31,0,29,29,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Basketball,Scholarship Awards,25,10,15,4,2,2,20,8,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,Scholarship Awards,42,20,22,9,5,4,19,7,12,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Football,Scholarship Awards,85,85,0,30,30,0,54,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1999-2000,170976,University of Michigan-Ann Arbor,All other sports combined,Scholarship Awards,221,87,134,182,72,110,5,1,4,5,4,1,3,1,2,2,0,2,10,4,6,14,5,9
1999-2000,170976,University of Michigan-Ann Arbor,Baseball,Scholarship Awards,24,24,0,20,20,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0
1999-2000,170976,University of Michigan-Ann Arbor,Basketball,Scholarship Awards,26,13,13,10,5,5,13,8,5,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0
1999-2000,170976,University of Michigan-Ann Arbor,Cross-country and/or track,Scholarship Awards,64,34,30,32,17,15,15,5,10,0,0,0,0,0,0,0,0,0,15,11,4,2,1,1
1999-2000,170976,University of Michigan-Ann Arbor,Football,Scholarship Awards,91,91,0,51,51,0,36,36,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0
1999-2000,181464,University of Nebraska-Lincoln,All other sports combined,Scholarship Awards,192,65,127,135,38,97,3,2,1,7,3,4,8,0,8,1,0,1,0,0,0,38,22,16
