Sports_Venue,City,State_Provence,Country,Sponsor,Sponsor_Type,Variable,Value,Value_Type,Source,Date
Ervin J. Nutter Center,Dayton,OH,United States of America,Ervin J. Nutter,Venue Naming Rights,Naming Rights Deal,2.8,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Sovereign Bank Arena,Trenton,NJ,United States of America,Sovereign Bank,Venue Naming Rights,Naming Rights Deal,2.675,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
BancorpSouth Center,Tupelo,MS,United States of America,Bancorp South,Venue Naming Rights,Naming Rights Deal,2.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Clipper Magazine Stadium,Lancaster,PA,United States of America,Clipper Magazine Inc.,Venue Naming Rights,Naming Rights Deal,2.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Dell Diamond,Round Rock,TX,United States of America,Dell Computer,Venue Naming Rights,Naming Rights Deal,2.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
ipayOne Center,San Diego,CA,United States of America,ipayOne,Venue Naming Rights,Naming Rights Deal,2.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Rabobank Arena,Bakersfield,CA,United States of America,Rabobank,Venue Naming Rights,Naming Rights Deal,2.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
First Union Arena,Wilkes-Barre,PA,United States of America,First Union,Venue Naming Rights,Naming Rights Deal,2.3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
United States Steel Yard,Gary,IN,United States of America,U.S. Steel,Venue Naming Rights,Naming Rights Deal,2.3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Silver Cross Field,Joliet,IL,United States of America,Silver Cross Hospital,Venue Naming Rights,Naming Rights Deal,2.25,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
First American Bank Ballpark,Midland,TX,United States of America,First American Bank,Venue Naming Rights,Naming Rights Deal,2.1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Huntington Center,Toldeo,OH,United States of America,Huntington Bancshares,Venue Naming Rights,Naming Rights Deal,2.1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Sun National Bank Center,Trenton,NJ,United States of America,Sun National Bank,Venue Naming Rights,Naming Rights Deal,2.1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Alexian Field,Schaumburg,IL,United States of America,Alexian Health Care,Venue Naming Rights,Naming Rights Deal,2,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Louisville Slugger Field,Louisville,KY,United States of America,Louisville Slugger,Venue Naming Rights,Naming Rights Deal,2,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Reading Soverign Center,Reading,PA,United States of America,Sovereign Bank,Venue Naming Rights,Naming Rights Deal,2,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Tucson Electric Park,Tucson,AZ,United States of America,Tuscon Electric Co.,Venue Naming Rights,Naming Rights Deal,2,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
U.S. Cellular Arena,Milwaukee,WI,United States of America,U.S. Cellular,Venue Naming Rights,Naming Rights Deal,2,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Target Center,North Minneapolis,MN,United States of America,Target Stores/Dayton Hudson,Venue Naming Rights,Naming Rights Deal,1.875,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Bright House Networks Field,Clearwater,FL,United States of America,Bright House Networks,Venue Naming Rights,Naming Rights Deal,1.7,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
JetForm Park,Ottawa,ON,Canada,Jet Form Corporation,Venue Naming Rights,Naming Rights Deal,1.7,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Dunn Tire Park,Buffalo,NY,United States of America,Dunn Tires,Venue Naming Rights,Naming Rights Deal,1.575,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Werner Park,Sarpy County,NE,United States of America,Werner Enterprises,Venue Naming Rights,Naming Rights Deal,1.525,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Budweiser Events Center,Loveland,CO,United States of America,Eagle Distributing,Venue Naming Rights,Naming Rights Deal,1.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
CanWest Global Park,Winnipeg,MB,Canada,CanWest Global,Venue Naming Rights,Naming Rights Deal,1.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Mile One Stadium,St. Johns,NL,Canada,Molson Brewing,Venue Naming Rights,Naming Rights Deal,1.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Newman Outdoor,Field Fargo,ND,United States of America,Newman Outdoor,Venue Naming Rights,Naming Rights Deal,1.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Oldsmobile Park,Lansing,MI,United States of America,Oldsmobile,Venue Naming Rights,Naming Rights Deal,1.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Sovereign Center,Reading,PA,United States of America,Sovereign Bank,Venue Naming Rights,Naming Rights Deal,1.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Valley View Casino Center,San Diego,CA,United States of America,San Pasqual Band of Mission Indians,Venue Naming Rights,Naming Rights Deal,1.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Big Sandy Superstore Arena,Huntington,WV,United States of America,Big Sandy Superstores,Venue Naming Rights,Naming Rights Deal,1.4,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Franklin-Covey Field,Salt Lake City,UT,United States of America,Franklin-Covey,Venue Naming Rights,Naming Rights Deal,1.4,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
BMO Harris Bank Center,Rockford,IL,United States of America,BMO Harris Bank,Venue Naming Rights,Naming Rights Deal,1.3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Bojangles Coliseum,Charlotte,NC,United States of America,Bojangles,Venue Naming Rights,Naming Rights Deal,1.25,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Pringles Park,Jackson,TN,United States of America,Proctor & Gamble,Venue Naming Rights,Naming Rights Deal,1.2,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
PNC Field,Moosic,PA,United States of America,PNC Financial Services,Venue Naming Rights,Naming Rights Deal,1.1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
O‰ÛªBrien Field,Peoria,IL,United States of America,O‰ÛªBrien Automotive Group,Venue Naming Rights,Naming Rights Deal,1.05,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
BellSouth Park,Chattanooga,TN,United States of America,BellSouth,Venue Naming Rights,Naming Rights Deal,1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Campanelli Stadium,Brockton,MA,United States of America,Alfred Campanelli,Venue Naming Rights,Naming Rights Deal,1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Coastal Federal Field,Myrtle Beach,SC,United States of America,Coastal Federal Bank,Venue Naming Rights,Naming Rights Deal,1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
GMC Park,Collinsville,IL,United States of America,GMC Corp.,Venue Naming Rights,Naming Rights Deal,1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Pepsi Coliseum,Quebec City,PQ,Canada,Pepsi Cola. Co.,Venue Naming Rights,Naming Rights Deal,1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Rimrock Auto Arena,Billings,MT,United States of America,Rimrock Auto,Venue Naming Rights,Naming Rights Deal,1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Roger Dean Stadium,Jupiter,FL,United States of America,Roger Dean Automotive,Venue Naming Rights,Naming Rights Deal,1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Town Toyota Center,Wenatchee,WA,United States of America,Town Toyota,Venue Naming Rights,Naming Rights Deal,1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Pepsi Coliseum,Indianapolis,IN,United States of America,Pepsi Cola Co.,Venue Naming Rights,Naming Rights Deal,0.85,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Arrowhead Credit Union Park,San Bernardino,CA,United States of America,Arrowhead Credit Union,Venue Naming Rights,Naming Rights Deal,0.75,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Cricket Arena,Charlotte,NC,United States of America,Leap Wireless,Venue Naming Rights,Naming Rights Deal,0.75,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
First Mariner Arena,Baltimore,MD,United States of America,First Mariner Bancorp.,Venue Naming Rights,Naming Rights Deal,0.75,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Pricecutter Park,Ozark,MO,United States of America,Pricecutter Foods,Venue Naming Rights,Naming Rights Deal,0.6,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
SAS Stadium,Raleigh,NC,United States of America,SAS Institute,Venue Naming Rights,Naming Rights Deal,0.6,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Burns Stadium,Calgary,AB,Canada,Burns Meats Co.,Venue Naming Rights,Naming Rights Deal,0.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Alliant Energy Field,Clinton,IA,United States of America,Alliant Energy,Venue Naming Rights,Naming Rights Deal,0.45,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Knology Park,Dunedin,FL,United States of America,Knology Inc.,Venue Naming Rights,Naming Rights Deal,0.4,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Dow Diamond,Midland,MI,United States of America,Dow Chemical Co.,Venue Naming Rights,Naming Rights Deal,0.28,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
John Thurman Field,Modesto,CA,United States of America,Modesto Bee,Venue Naming Rights,Naming Rights Deal,0.25,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Fieldcrest Cannon Stadium,Kannapolis,IW,United States of America,Fieldcrest Cannon Inc.,Venue Naming Rights,Naming Rights Deal,0.2,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
U.S. Cellular Center,Cedar Rapids,IA,United States of America,U.S. Cellular,Venue Naming Rights,Naming Rights Deal,0.125,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Hawkinson Ford Field,Crestwood,IL,United States of America,Hawkinson Ford,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
All Pro Freight Stadium,Avon,OH,United States of America,All Pro Freight Systems Inc.,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Bank of America Center,Boise,ID,United States of America,Bank of America,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Bridgestone Arena,Nashville,TN,United States of America,Bridgestone Americas Inc.,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Champion Windows Field,Florence,KY,United States of America,Champion Windows,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Citizens Business Bank Arena,Ontario,CA,United States of America,Citizens Business Bank,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Coca-Cola Park,Allentown,PA,United States of America,Coca-Cola,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Dr. Pepper/SevenUp Ballpark,Frisco,TX,United States of America,Dr. Pepper/Seven Up,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Fifth Third Bank Ballpark,Geneva,IL,United States of America,Fifth Third Bank,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Firstar Center,Cincinnati,OH,United States of America,Firstar,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
GPU Stadium,Reading,PA,United States of America,GPU Energy,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Gillette Stadium,Foxborough,MA,United States of America,Gillette Co.,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
NYSEG Stadium,Binghamton,NY,United States of America,New York StateElectrical and Gas,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Old Kent Park,Comstock Park,MI,United States of America,Old Kent Bank,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
RCBK Stadium,Staten Island,NY,United States of America,Richmond County Savings Bank,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Rogers Arena,Vancouver,BC,Canada,Rogers Communications,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Skyreach Place,Kelowna,BC,Canada,Skyreach Equipment,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
SBC Bricktown Park,Oklahoma City,OK,United States of America,Southwestern Bell (SBC),Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Spring Mobile Ballpark,Salt Lake City,UT,United States of America,Spring Communications,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Stater Bros. Stadium,Adelanto,CA,United States of America,Stater Brothers Supermarkets See note,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Target Field,Minneapolis,MN,United States of America,Target Stores/Dayton Hudson,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Telus Field,Edmonton,AB,Canada,Telus,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Trustmark Park,Pearl,MS,United States of America,Trustmark National Bank,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Uni-Trade Stadium,Laredo,TX,United States of America,Uni-Trade Fowarding LLC,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Whataburger Field,Corpus Christi,TX,United States of America,What A Burger Inc.,Venue Naming Rights,Naming Rights Deal,NA,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Barclays Center,Brooklyn,NY,United States of America,Barclays Bank,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Citi Field,Flushing,NY,United States of America,Citigroup,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
MetLife Stadium,East Rutherford,NJ,United States of America,MetLife,Venue Naming Rights,Term,25,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Reliant Stadium,Houston,TX,United States of America,Reliant Resources,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
FedEx Field,Raljon,MD,United States of America,Federal Express,Venue Naming Rights,Term,27,Years,National Sports Law Institute of Marquette University Law School,5/10/12
American Airlines Center,Dallas,TX,United States of America,American Airlines,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Minute Maid Park,Houston,TX,United States of America,Minute Maid Co.,Venue Naming Rights,Term,28,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Philips Arena,Atlanta,GA,United States of America,Royal Philips Electronics,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
University of Phoenix Stadium,Glendale,AZ,United States of America,University of Phoenix,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Lincoln Financial Field,Philadelphia,PA,United States of America,Lincoln Financial,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Lucas Oil Stadium,Indianapolis,IN,United States of America,Lucas Oil Co,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Cisco Field,Fremont,CA,United States of America,Cisco Systems Inc.,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
CMGi Field,Foxborough,MA,United States of America,CMGi,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Invesco Field at Mile High,Denver,CO,United States of America,Invesco Funds Group,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
TD Banknorth Garden,Boston,MA,United States of America,TD Banknorth Inc.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
PSINet Stadium,Baltimore,MD,United States of America,PSINet,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Prudential Center,Newark,NJ,United States of America,Prudential Financial,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Enron Field,Houston,TX,United States of America,Enron,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Staples Center,Los Angeles,CA,United States of America,Staples Inc.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Toyota Center,Houston,TX,United States of America,Gulf States Toyota,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
FedEx Forum,Memphis,TN,United States of America,Federal Express,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Gaylord Entertainment Center,Nashville,TN,United States of America,Gaylord Entertainment Co.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
RBC Center,Raleigh,NC,United States of America,Royal Bank of Canada,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Ameriquest Field in Arlington,Arlington,TX,United States of America,Ameriquest Mortgage Co.,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Great American Ballpark,Cincinnati,OH,United States of America,Great American Insurance,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
M&T Bank Stadium,Baltimore,MD,United States of America,M&T Bank,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Qwest Field,Seattle,WA,United States of America,Qwest Communications,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Xcel Energy Arena,St. Paul,MN,United States of America,Xcel Energy Co,Venue Naming Rights,Term,25,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Edward Jones Dome,St. Louis,MO,United States of America,Edward D. Jones & Co.,Venue Naming Rights,Term,23,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Compaq Center at San Jose,San Jose,CA,United States of America,Compaq Computer,Venue Naming Rights,Term,18,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Home Depot National Training Center,Carson,CA,United States of America,Home Depot,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Savvis Center,St. Louis,MO,United States of America,Savvis Communications,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Pepsi Center,Denver,CO,United States of America,Pepsi Cola. Co.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Comerica Park,Detroit,MI,United States of America,Comerica Bank,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Sprint Center,Kansas City,MO,United States of America,Sprint,Venue Naming Rights,Term,25,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Bell Centre,Montreal,QC,Canada,Bell Canada,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Honda Center,Anaheim,CA,United States of America,Honda,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Petco Park,San Diego,CA,United States of America,Petco,Venue Naming Rights,Term,22,Years,National Sports Law Institute of Marquette University Law School,5/10/12
U.S. Cellular Field,Chicago,IL,United States of America,U.S. Cellular,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Progressive Field,Cleveland,OH,United States of America,Progressive Insurance,Venue Naming Rights,Term,16,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Citizens Bank Park,Philadelphia,PA,United States of America,Citizens Bank,Venue Naming Rights,Term,25,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Heinz Field,Pittsburgh,PA,United States of America,Heinz Food Co.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Edison International Field,Anaheim,CA,United States of America,Edison International,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Pacific Bell Park,San Francisco,CA,United States of America,Pacific Bell,Venue Naming Rights,Term,24,Years,National Sports Law Institute of Marquette University Law School,5/10/12
MCI Center,Washington,DC,United States of America,MCI,Venue Naming Rights,Term,13,Years,National Sports Law Institute of Marquette University Law School,5/10/12
American Airlines Arena,Miami,FL,United States of America,American Airlines,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Miller Park,Milwaukee,WI,United States of America,Miller Brewing Co.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Air Canada Centre,Toronto,ON,Canada,Air Canada,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Conseco Fieldhouse,Indianapolis,IN,United States of America,Conseco Inc.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
First Union Center,Philadelphia,PA,United States of America,CoreStates Financial Corporation,Venue Naming Rights,Term,31,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Ford Field,Detroit,MI,United States of America,Ford Motor Co.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Safeco Field,Seattle,WA,United States of America,Safeco,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Sun Life Stadium,Miami,FL,United States of America,Sun Life Financial,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Chesapeake Energy Center,Oklahoma City,OK,United States of America,Chesapeake Energy,Venue Naming Rights,Term,12,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Lowe's Motor Speedway,Charlotte,NC,United States of America,Lowe's,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Bank One Ballpark,Phoenix,AZ,United States of America,Bank One Corp.,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
St. Pete Times Forum,Tampa,FL,United States of America,St. Petersburg Times,Venue Naming Rights,Term,12,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Raymond James Stadium,Tampa,FL,United States of America,Raymond James Financial,Venue Naming Rights,Term,13,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Adelphia Coliseum,Nashville,TN,United States of America,Adelphia Communications Corp.,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
FleetCenter Boston,Boston,MA,United States of America,Fleet,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
LP Field,Nashville,TN,United States of America,Louisiana Pacific Corp.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Oracle Arena,Oakland,CA,United States of America,Oracle Corp.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
PNC Park,Pittsburgh,PA,United States of America,PNC Bank,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
PNC Park,Philadelphia,PA,United States of America,PNC Financial Services,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Tropicana Field,St. Petersburg,FL,United States of America,Tropicana,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Continental Airlines Arena,East Rutherford,NJ,United States of America,Continental Airlines,Venue Naming Rights,Term,12,Years,National Sports Law Institute of Marquette University Law School,5/10/12
BankAtlantic Center,Broward County,FL,United States of America,BankAtlantic,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
America West Arena,Phoenix,AZ,United States of America,America West Airlines,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Corel Centre,Ottawa,ON,Canada,Corel Corp.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
General Motors Place,Vancouver,BC,Canada,General Motors,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Hershey Centre Arena,Mississauga,ON,Canada,Hershey Canada,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Jobing.com Arena,Glendale,AZ,United States of America,Jobing.com,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
National Car Rental Car Center,Sunrise,FL,United States of America,National Car Rental,Venue Naming Rights,Term,25,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Pizza Hut Park,Frisco,TX,United States of America,Pizza Hut,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
United Center,Chicago,IL,United States of America,United Airlines,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
HSBC Arena,Buffalo,NY,United States of America,HSBC Corp,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
US Airways Center,Phoenix,AZ,United States of America,US Airways,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
BBVA Compass Stadium,Houston,TX,United States of America,BBVA Compass,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Ericsson Stadium,Charlotte,NC,United States of America,Ericcson Electronics,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Great Western Forum,Los Angeles,CA,United States of America,Great Western Bank,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Pengrowth Saddledome,Calgary,AB,Canada,Pengrowth Enterprises Ltd.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Pro Player Stadium,Miami,FL,United States of America,Fruit of the Loom,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Arrowhead Pond of Anaheim,Anaheim,CA,United States of America,Arrowhead Mountain Spring Water,Venue Naming Rights,Term,13,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Mellon Arena,Pittsburgh,PA,United States of America,Mellon Financial Corp.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Qualcomm Stadium,San Diego,CA,United States of America,Qualcomm,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Everbank Field,Jacksonville,FL,United States of America,Everbank,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
