ModelName,Year,Bodypaint,CoverModel,ModelNationality,ModelHairFacet,ModelHairColor,ModelEyeFacet,ModelEyeColor,ModelDateOfBirth,ModelBirthYear,ModelBirthPlace,ModelBirthCity,ModelBirthStateProvence,ModelBirthCountry,ModelEthnicity,ModelHeight.US,Height.in,ModelHeight.numeric,ModelHeight.Label,ModelMeasurements.US,ModelBust.in,ModelWaste.in,ModelHips.in,ModelDressSize.US,ModelShoeSize.US,ModelAgency,ModelsHobbies,ModelCupSize,UnconfirmedCupSize,ModelImplants.,ModelNaturalCupSize,Wikipedia_URL,FMDURL
Amber Smith,1993,NA,NA,American,,Blonde,,Grey,3/2/72,1972,"Tampa Bay, Florida, United States of America",Tampa Bay,Florida,United States of America,"Hungarian, American","5'10.5""",70.5,5.87,5.11,34-25-36 ,34,25,36,6,8,ID Model Management,,D,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Amber_Smith,http://www.fashionmodeldirectory.com/models/Amber_Smith
Amy Wesson,2001,NA,NA,American,,Blonde,,Blue,9/16/77,1977,"Tupelo, Mississippi, United States of America",Tupelo,Mississippi,United States of America,African-American,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9.5,IMG Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Amy_Wesson,http://www.fashionmodeldirectory.com/models/Amy_Wesson
Ana Beatriz Barros,2002,NA,NA,Brazilian,Light,Brown,,Green,5/29/82,1982,"Itabira, Minas Gerais, Brazil",Itabira,Minas Gerais,Brazil,"Portuguese, Spanish","5'11""",71,5.92,5.11,35-23.5-35 ,35,23.5,35,6,9,Next Model Management,"Museums, Cycling, Beach",C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ana_Beatriz_Barros,http://www.fashionmodeldirectory.com/models/ana+beatriz_barros/
Ana Beatriz Barros,2007,NA,NA,Brazilian,Light,Brown,,Green,5/29/82,1982,"Itabira, Minas Gerais, Brazil",Itabira,Minas Gerais,Brazil,"Portuguese, Spanish","5'11""",71,5.92,5.11,35-23.5-35 ,35,23.5,35,6,9,Next Model Management,"Museums, Cycling, Beach",C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ana_Beatriz_Barros,http://www.fashionmodeldirectory.com/models/ana+beatriz_barros/
Ana Beatriz Barros,2004,NA,NA,Brazilian,Light,Brown,,Green,5/29/82,1982,"Itabira, Minas Gerais, Brazil",Itabira,Minas Gerais,Brazil,"Portuguese, Spanish","5'11""",71,5.92,5.11,35-23.5-35 ,35,23.5,35,6,9,Next Model Management,"Museums, Cycling, Beach",C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ana_Beatriz_Barros,http://www.fashionmodeldirectory.com/models/ana+beatriz_barros/
Ana Beatriz Barros,2006,NA,NA,Brazilian,Light,Brown,,Green,5/29/82,1982,"Itabira, Minas Gerais, Brazil",Itabira,Minas Gerais,Brazil,"Portuguese, Spanish","5'11""",71,5.92,5.11,35-23.5-35 ,35,23.5,35,6,9,Next Model Management,"Museums, Cycling, Beach",C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ana_Beatriz_Barros,http://www.fashionmodeldirectory.com/models/ana+beatriz_barros/
Ana Beatriz Barros,2008,NA,NA,Brazilian,Light,Brown,,Green,5/29/82,1982,"Itabira, Minas Gerais, Brazil",Itabira,Minas Gerais,Brazil,"Portuguese, Spanish","5'11""",71,5.92,5.11,35-23.5-35 ,35,23.5,35,6,9,Next Model Management,"Museums, Cycling, Beach",C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ana_Beatriz_Barros,http://www.fashionmodeldirectory.com/models/ana+beatriz_barros/
Ana Beatriz Barros,2003,NA,NA,Brazilian,Light,Brown,,Green,5/29/82,1982,"Itabira, Minas Gerais, Brazil",Itabira,Minas Gerais,Brazil,"Portuguese, Spanish","5'11""",71,5.92,5.11,35-23.5-35 ,35,23.5,35,6,9,Next Model Management,"Museums, Cycling, Beach",C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ana_Beatriz_Barros,http://www.fashionmodeldirectory.com/models/ana+beatriz_barros/
Ana Beatriz Barros,2005,NA,NA,Brazilian,Light,Brown,,Green,5/29/82,1982,"Itabira, Minas Gerais, Brazil",Itabira,Minas Gerais,Brazil,"Portuguese, Spanish","5'11""",71,5.92,5.11,35-23.5-35 ,35,23.5,35,6,9,Next Model Management,"Museums, Cycling, Beach",C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ana_Beatriz_Barros,http://www.fashionmodeldirectory.com/models/ana+beatriz_barros/
Ana Paula Araujo,2007,TRUE,NA,Brazilian,,Brown,,Brown,10/25/81,1981,"Roraima, Brazil",Roraima,,Brazil,Brazilian,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,8,Next Model Management,Capoeira,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ana_Paula_Ara%C3%BAjo,http://www.fashionmodeldirectory.com/models/ana+paula_araujo/
Ana Paula Lemes,2000,NA,NA,Brazilian,,Brown,Light,Brown,,,"Sao Paulo, Brazil",Sao Paulo,,Brazil,"Brazilian, Argentinian","5'9""",69,5.75,5.90,34-24-34 ,34,24,34,4,7.5,Ford Models,Web-Browsing,C,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Ana_Paula_Lemes&action=edit&redlink=1,http://www.fashionmodeldirectory.com/models/ana+paula_lemes/
Andrea Orme,1999,NA,NA,German,,Red,,Green,,1979,"Stuttgart, Germany",Stuttgart,,Germany,German,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,8.5,Munich Models,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Andrea_Orme&action=edit&redlink=1,http://www.fashionmodeldirectory.com/models/Andrea_Orme
Angela Lindvall,2004,NA,NA,American,Dark,Blonde,,Blue,1/14/79,1979,"Midwest City, Oklahoma, United States of America",Midwest City,Oklahoma,United States of America,American,"5'11""",71,5.92,5.11,34-24-35 ,34,24,35,4,9,Women Management,"Music, Guitar, Painting/Drawing",A,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Angela_Lindvall,http://www.fashionmodeldirectory.com/models/Angela_Lindvall
Angie Everhart,1992,NA,NA,American,,Red,Light,Brown,9/7/69,1969,"Akron, Ohio, United States of America",Akron,Ohio,United States of America,Irish,"5'10""",70,5.83,5.10,35-23.5-35 ,35,23.5,35,6,9,New York Model Management,"Tennis, Horseback Riding, Golf, Skiing",D,FALSE,TRUE,B,http://en.wikipedia.org/wiki/Angie_Everhart,http://www.fashionmodeldirectory.com/models/Angie_Everhart
Angie Everhart,1991,NA,NA,American,,Red,Light,Brown,9/7/69,1969,"Akron, Ohio, United States of America",Akron,Ohio,United States of America,Irish,"5'10""",70,5.83,5.10,35-23.5-35 ,35,23.5,35,6,9,New York Model Management,"Tennis, Horseback Riding, Golf, Skiing",D,FALSE,TRUE,B,http://en.wikipedia.org/wiki/Angie_Everhart,http://www.fashionmodeldirectory.com/models/Angie_Everhart
Angie Everhart,1994,NA,NA,American,,Red,Light,Brown,9/7/69,1969,"Akron, Ohio, United States of America",Akron,Ohio,United States of America,Irish,"5'10""",70,5.83,5.10,35-23.5-35 ,35,23.5,35,6,9,New York Model Management,"Tennis, Horseback Riding, Golf, Skiing",D,FALSE,TRUE,B,http://en.wikipedia.org/wiki/Angie_Everhart,http://www.fashionmodeldirectory.com/models/Angie_Everhart
Angie Everhart,1996,NA,NA,American,,Red,Light,Brown,9/7/69,1969,"Akron, Ohio, United States of America",Akron,Ohio,United States of America,Irish,"5'10""",70,5.83,5.10,35-23.5-35 ,35,23.5,35,6,9,New York Model Management,"Tennis, Horseback Riding, Golf, Skiing",D,FALSE,TRUE,B,http://en.wikipedia.org/wiki/Angie_Everhart,http://www.fashionmodeldirectory.com/models/Angie_Everhart
Angie Everhart,1995,NA,NA,American,,Red,Light,Brown,9/7/69,1969,"Akron, Ohio, United States of America",Akron,Ohio,United States of America,Irish,"5'10""",70,5.83,5.10,35-23.5-35 ,35,23.5,35,6,9,New York Model Management,"Tennis, Horseback Riding, Golf, Skiing",D,FALSE,TRUE,B,http://en.wikipedia.org/wiki/Angie_Everhart,http://www.fashionmodeldirectory.com/models/Angie_Everhart
Ann Peterson,1970,NA,NA,American,,Blonde,,Blue,,,United States of America,,,United States of America,American,,0,0,NA,,NA,NA,NA,NA,NA,NA,,B,TRUE,FALSE,NA,http://en.wikipedia.org/wiki/Ann_Peterson,
Ann Simonton,1974,NA,TRUE,American,,Brown,,Green,,1952,"Covina, California, United States of America",Covina,California,United States of America,American,"5'8""",68,5.67,5.80,,NA,NA,NA,NA,NA,NA,,B,TRUE,FALSE,NA,http://en.wikipedia.org/wiki/Ann_Simonton,
Anna Getaneh,1990,NA,NA,Ethiopian,,Black,,Brown,,,Sweden,,,Sweden,Ethiopian,"5'10.5""",70.5,5.87,5.11,33.5-23-35.5 ,33.5,23,35.5,4,NA,NA,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Anna_Getaneh&action=edit&redlink=1,http://www.fashionmodeldirectory.com/models/Anna_Getaneh
Anne Vyalitsyna,2009,NA,NA,Russian,,Blonde,,Green,3/19/86,1986,"Nizhni Novgorod, Russia",Nizhni Novgorod,,Russia,Russian,"5'9.5""",69.5,5.79,5.95,32-23.5-34 ,32,23.5,34,6,8,Women Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Anne_Vyalitsyna,http://www.fashionmodeldirectory.com/models/Anne_Vyalitsyna
Anne Vyalitsyna,2006,NA,NA,Russian,,Blonde,,Green,3/19/86,1986,"Nizhni Novgorod, Russia",Nizhni Novgorod,,Russia,Russian,"5'9.5""",69.5,5.79,5.95,32-23.5-34 ,32,23.5,34,6,8,Women Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Anne_Vyalitsyna,http://www.fashionmodeldirectory.com/models/Anne_Vyalitsyna
Anne Vyalitsyna,2013,NA,NA,Russian,,Blonde,,Green,3/19/86,1986,"Nizhni Novgorod, Russia",Nizhni Novgorod,,Russia,Russian,"5'9.5""",69.5,5.79,5.95,32-23.5-34 ,32,23.5,34,6,8,Women Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Anne_Vyalitsyna,http://www.fashionmodeldirectory.com/models/Anne_Vyalitsyna
Anne Vyalitsyna,2010,NA,NA,Russian,,Blonde,,Green,3/19/86,1986,"Nizhni Novgorod, Russia",Nizhni Novgorod,,Russia,Russian,"5'9.5""",69.5,5.79,5.95,32-23.5-34 ,32,23.5,34,6,8,Women Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Anne_Vyalitsyna,http://www.fashionmodeldirectory.com/models/Anne_Vyalitsyna
Anne Vyalitsyna,2011,NA,NA,Russian,,Blonde,,Green,3/19/86,1986,"Nizhni Novgorod, Russia",Nizhni Novgorod,,Russia,Russian,"5'9.5""",69.5,5.79,5.95,32-23.5-34 ,32,23.5,34,6,8,Women Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Anne_Vyalitsyna,http://www.fashionmodeldirectory.com/models/Anne_Vyalitsyna
Anne Vyalitsyna,2008,NA,NA,Russian,,Blonde,,Green,3/19/86,1986,"Nizhni Novgorod, Russia",Nizhni Novgorod,,Russia,Russian,"5'9.5""",69.5,5.79,5.95,32-23.5-34 ,32,23.5,34,6,8,Women Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Anne_Vyalitsyna,http://www.fashionmodeldirectory.com/models/Anne_Vyalitsyna
Anne Vyalitsyna,2005,TRUE,NA,Russian,,Blonde,,Green,3/19/86,1986,"Nizhni Novgorod, Russia",Nizhni Novgorod,,Russia,Russian,"5'9.5""",69.5,5.79,5.95,32-23.5-34 ,32,23.5,34,6,8,Women Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Anne_Vyalitsyna,http://www.fashionmodeldirectory.com/models/Anne_Vyalitsyna
Anne Vyalitsyna,2007,NA,NA,Russian,,Blonde,,Green,3/19/86,1986,"Nizhni Novgorod, Russia",Nizhni Novgorod,,Russia,Russian,"5'9.5""",69.5,5.79,5.95,32-23.5-34 ,32,23.5,34,6,8,Women Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Anne_Vyalitsyna,http://www.fashionmodeldirectory.com/models/Anne_Vyalitsyna
Anne Vyalitsyna,2012,NA,NA,Russian,,Blonde,,Green,3/19/86,1986,"Nizhni Novgorod, Russia",Nizhni Novgorod,,Russia,Russian,"5'9.5""",69.5,5.79,5.95,32-23.5-34 ,32,23.5,34,6,8,Women Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Anne_Vyalitsyna,http://www.fashionmodeldirectory.com/models/Anne_Vyalitsyna
Annette Molen,1972,NA,NA,American,,Brown,,Blue,6/4/48,1948,"Springfield, Illinois, United States of America",Springfield,Illinois,United States of America,American,,0,0,NA,,NA,NA,NA,NA,NA,NA,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Annette_Molen&action=edit&redlink=1,
Annie Morton,2002,NA,NA,American,,Blonde,,Green,,1971,"Lower Southampton , Pennsylvania, United States of America",Lower Southampton,Pennsylvania,United States of America,American,"5'9.5""",69.5,5.79,5.95,34-24-34 ,34,24,34,4,8.5,Premier Model Management,Yoga,B,FALSE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Annie_Morton&action=edit&redlink=1,http://www.fashionmodeldirectory.com/models/Annie_Morton
Apollonia van Ravenstein,1979,NA,NA,Dutch,,Red,Dark,Brown,8/12/54,1954,"Geldrop, Netherlands",Geldrop,,Netherlands,Dutch,"5'9""",69,5.75,5.90,32-22-34,32,22,34,NA,NA,NA,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Apollonia_van_Ravenstein&action=edit&redlink=1,
Ariel Meredith,2009,NA,NA,American,,Black,,Black,4/19/86,1986,"Shreveport, Louisiana, United States of America",Shreveport,Louisiana,United States of America,American,"5'10.5""",70.5,5.87,5.11,32-24-34 ,32,24,34,2,10,IMG Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ariel_Meredith,http://www.fashionmodeldirectory.com/models/Ariel_Meredith
Ariel Meredith,2013,NA,NA,American,,Black,,Black,4/19/86,1986,"Shreveport, Louisiana, United States of America",Shreveport,Louisiana,United States of America,American,"5'10.5""",70.5,5.87,5.11,32-24-34 ,32,24,34,2,10,IMG Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ariel_Meredith,http://www.fashionmodeldirectory.com/models/Ariel_Meredith
Ariel Meredith,2012,NA,NA,American,,Black,,Black,4/19/86,1986,"Shreveport, Louisiana, United States of America",Shreveport,Louisiana,United States of America,American,"5'10.5""",70.5,5.87,5.11,32-24-34 ,32,24,34,2,10,IMG Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ariel_Meredith,http://www.fashionmodeldirectory.com/models/Ariel_Meredith
Ashley Richardson,1989,NA,NA,American,,Blonde,,Blue,6/27/65,1965,"Sudbury, Massachusetts, United States of America",Sudbury,Massachusetts,United States of America,American,6'1'',73,6.08,6.10,36-26-37,36,26,37,NA,NA,Ford Models,,D,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ashley_Richardson,
Ashley Richardson,1991,NA,TRUE,American,,Blonde,,Blue,6/27/65,1965,"Sudbury, Massachusetts, United States of America",Sudbury,Massachusetts,United States of America,American,6'1'',73,6.08,6.10,36-26-37,36,26,37,NA,NA,Ford Models,,D,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ashley_Richardson,
Ashley Richardson,1991,NA,NA,American,,Blonde,,Blue,6/27/65,1965,"Sudbury, Massachusetts, United States of America",Sudbury,Massachusetts,United States of America,American,6'1'',73,6.08,6.10,36-26-37,36,26,37,NA,NA,Ford Models,,D,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ashley_Richardson,
Ashley Richardson,1995,NA,NA,American,,Blonde,,Blue,6/27/65,1965,"Sudbury, Massachusetts, United States of America",Sudbury,Massachusetts,United States of America,American,6'1'',73,6.08,6.10,36-26-37,36,26,37,NA,NA,Ford Models,,D,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ashley_Richardson,
Ashley Richardson,1990,NA,NA,American,,Blonde,,Blue,6/27/65,1965,"Sudbury, Massachusetts, United States of America",Sudbury,Massachusetts,United States of America,American,6'1'',73,6.08,6.10,36-26-37,36,26,37,NA,NA,Ford Models,,D,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ashley_Richardson,
Ashley Richardson,1993,NA,NA,American,,Blonde,,Blue,6/27/65,1965,"Sudbury, Massachusetts, United States of America",Sudbury,Massachusetts,United States of America,American,6'1'',73,6.08,6.10,36-26-37,36,26,37,NA,NA,Ford Models,,D,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ashley_Richardson,
Ashley Richardson,1992,NA,NA,American,,Blonde,,Blue,6/27/65,1965,"Sudbury, Massachusetts, United States of America",Sudbury,Massachusetts,United States of America,American,6'1'',73,6.08,6.10,36-26-37,36,26,37,NA,NA,Ford Models,,D,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Ashley_Richardson,
Audrey Quock,2000,NA,NA,American,,Brown,,Brown,,1977,"Chinatown, New York, United States of America",Chinatown,New York,United States of America,Chinese,"5'10""",70,5.83,5.10,34-25-35 ,34,25,35,4,8,Next Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Audrey_Quock,http://www.fashionmodeldirectory.com/models/Audrey_Quock
Audrey Quock,2001,NA,NA,American,,Brown,,Brown,,1977,"Chinatown, New York, United States of America",Chinatown,New York,United States of America,Chinese,"5'10""",70,5.83,5.10,34-25-35 ,34,25,35,4,8,Next Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Audrey_Quock,http://www.fashionmodeldirectory.com/models/Audrey_Quock
Audrey Quock,1999,NA,NA,American,,Brown,,Brown,,1977,"Chinatown, New York, United States of America",Chinatown,New York,United States of America,Chinese,"5'10""",70,5.83,5.10,34-25-35 ,34,25,35,4,8,Next Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Audrey_Quock,http://www.fashionmodeldirectory.com/models/Audrey_Quock
Audrey Quock,2002,NA,NA,American,,Brown,,Brown,,1977,"Chinatown, New York, United States of America",Chinatown,New York,United States of America,Chinese,"5'10""",70,5.83,5.10,34-25-35 ,34,25,35,4,8,Next Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Audrey_Quock,http://www.fashionmodeldirectory.com/models/Audrey_Quock
Audrey Quock,2003,NA,NA,American,,Brown,,Brown,,1977,"Chinatown, New York, United States of America",Chinatown,New York,United States of America,Chinese,"5'10""",70,5.83,5.10,34-25-35 ,34,25,35,4,8,Next Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Audrey_Quock,http://www.fashionmodeldirectory.com/models/Audrey_Quock
Aurelie Claudel,2001,NA,NA,French,,Brown,Light,Brown,8/7/80,1980,"Saint-Mars-d'Autille, France",Saint-Mars-d'Autille,,France,French,"5'8.5""",68.5,5.71,5.85,33-23-33 ,33,23,33,4,8.5,IMG Models,Horseback Riding,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Aur%C3%A9lie_Claudel,http://www.fashionmodeldirectory.com/models/Aurelie_Claudel
Aya Thorgren,1994,NA,NA,Brazilian,,Brown,,Brown,,1969,Brazil,,,Brazil,Brazilian,"5'9.5""",69.5,5.79,5.95,33.5-23.5-34.5,33.5,23.5,34.5,NA,NA,Karin Models,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Aya_Thorgren&action=edit&redlink=1,
Babette March,1964,NA,TRUE,German,,Brown,,Brown,,1942,"Berlin, Germany",Berlin,,Germany,German,5'5'',65,5.42,5.50,,NA,NA,NA,NA,NA,NA,,B,TRUE,FALSE,NA,http://en.wikipedia.org/wiki/Babette_March,
Bar Refaeli,2009,NA,TRUE,Israeli,Light,Brown,,Blue,6/4/85,1985," Hod HaSharon, Israel",Hod HaSharon,,Israel,Israeli,"5'8""",68,5.67,5.80,34-24-35 ,34,24,35,6,8,One Management,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Bar_Refaeli,http://www.fashionmodeldirectory.com/models/Bar_Refaeli
Bar Refaeli,2007,NA,NA,Israeli,Light,Brown,,Blue,6/4/85,1985," Hod HaSharon, Israel",Hod HaSharon,,Israel,Israeli,"5'8""",68,5.67,5.80,34-24-35 ,34,24,35,6,8,One Management,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Bar_Refaeli,http://www.fashionmodeldirectory.com/models/Bar_Refaeli
Bar Refaeli,2008,NA,NA,Israeli,Light,Brown,,Blue,6/4/85,1985," Hod HaSharon, Israel",Hod HaSharon,,Israel,Israeli,"5'8""",68,5.67,5.80,34-24-35 ,34,24,35,6,8,One Management,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Bar_Refaeli,http://www.fashionmodeldirectory.com/models/Bar_Refaeli
Bar Refaeli,2012,NA,NA,Israeli,Light,Brown,,Blue,6/4/85,1985," Hod HaSharon, Israel",Hod HaSharon,,Israel,Israeli,"5'8""",68,5.67,5.80,34-24-35 ,34,24,35,6,8,One Management,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Bar_Refaeli,http://www.fashionmodeldirectory.com/models/Bar_Refaeli
Bar Refaeli,2010,NA,NA,Israeli,Light,Brown,,Blue,6/4/85,1985," Hod HaSharon, Israel",Hod HaSharon,,Israel,Israeli,"5'8""",68,5.67,5.80,34-24-35 ,34,24,35,6,8,One Management,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Bar_Refaeli,http://www.fashionmodeldirectory.com/models/Bar_Refaeli
Barbara Carrera,1979,NA,NA,Nicaraguan,,Brown,,Brown,12/31/45,1945,"San Carlos, Rio San Juan, Nicaragua",San Carlos,Rio San Juan,Nicaragua,Nicaraguan,"5'9""",69,5.75,5.90,36-24-34,36,24,34,NA,NA,Ford Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Barbara_Carrera,
Barbara Minty,1977,NA,NA,American,,Black,,Blue,6/11/53,1953,"Seattle, Washington, United States of America",Seattle,Washington,United States of America,American,,0,0,NA,,NA,NA,NA,NA,NA,Ford Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Barbara_Minty,
Barbra Ehn,1973,NA,NA,American,,Blonde,,Blue,6/27/47,1947,United States of America,,,United States of America,American,,0,0,NA,,NA,NA,NA,NA,NA,NA,,A,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Barbra_Ehn&action=edit&redlink=1,
