ModelName,Year,Bodypaint,CoverModel,ModelNationality,ModelHairFacet,ModelHairColor,ModelEyeFacet,ModelEyeColor,ModelDateOfBirth,ModelBirthYear,ModelBirthPlace,ModelBirthCity,ModelBirthStateProvence,ModelBirthCountry,ModelEthnicity,ModelHeight.US,Height.in,ModelHeight.numeric,ModelHeight.Label,ModelMeasurements.US,ModelBust.in,ModelWaste.in,ModelHips.in,ModelDressSize.US,ModelShoeSize.US,ModelAgency,ModelsHobbies,ModelCupSize,UnconfirmedCupSize,ModelImplants.,ModelNaturalCupSize,Wikipedia_URL,FMDURL
Adaora Akubilo,2012,NA,NA,Nigerian,Dark,Brown,,Brown,2/24/88,1988,"Windsor, Connecticut, United States of America",Windsor,Connecticut,United States of America,Nigerian,"5'11""",71,5.92,5.11,34-25-36 ,34,25,36,4,10,Trump Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Adaora_Akubilo&action=edit&redlink=1,http://www.fashionmodeldirectory.com/models/Adaora_Akubilo
Adaora Akubilo,2013,NA,NA,Nigerian,Dark,Brown,,Brown,2/24/88,1988,"Windsor, Connecticut, United States of America",Windsor,Connecticut,United States of America,Nigerian,"5'11""",71,5.92,5.11,34-25-36 ,34,25,36,4,10,Trump Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Adaora_Akubilo&action=edit&redlink=1,http://www.fashionmodeldirectory.com/models/Adaora_Akubilo
Akure Wall,1990,NA,NA,Nigerian,,Brown,,Brown,,,Nigeria,,,Nigeria,"Nigerian, English","5'10""",70,5.83,5.10,34-24-35 ,34,24,35,4,9.5,Heffner Management,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Akure_Wall&action=edit&redlink=1,http://www.fashionmodeldirectory.com/models/Akure_Wall
Alicia Hall,2005,NA,NA,American,,Brown,,Green,12/2/85,1985,"Las Vegas, Nevada, United States of America",Las Vegas,Nevada,United States of America,American,"5'8""",68,5.67,5.80,32.5-23.5-35.5 ,32.5,23.5,35.5,6,8.5,Chic Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Alicia_Hall,http://www.fashionmodeldirectory.com/models/Alicia_Hall
Aline Nakashima,2006,NA,NA,Brazilian,Dark,Brown,,Green,4/3/82,1982,"Sao Paulo, Brazil",Sao Paulo,,Brazil,"Japanese, Brazilian","5'9""",69,5.75,5.90,34-24-35 ,34,24,35,6,6,Marilyn Agency,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Aline_Nakashima,http://www.fashionmodeldirectory.com/models/Aline_Nakashima
Aline Nakashima,2007,NA,NA,Brazilian,Dark,Brown,,Green,4/3/82,1982,"Sao Paulo, Brazil",Sao Paulo,,Brazil,"Japanese, Brazilian","5'9""",69,5.75,5.90,34-24-35 ,34,24,35,6,6,Marilyn Agency,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Aline_Nakashima,http://www.fashionmodeldirectory.com/models/Aline_Nakashima
Alyssa Miller,2013,NA,NA,American,,Brown,,Green,7/4/90,1990,"Los Angeles, California, United States of America",Los Angeles,California,United States of America,American,"5'9""",69,5.75,5.90,34-23.5-35 ,34,23.5,35,6,8,Elite Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Alyssa_Miller,http://www.fashionmodeldirectory.com/models/Alyssa_Miller
Alyssa Miller,2012,NA,NA,American,,Brown,,Green,7/4/90,1990,"Los Angeles, California, United States of America",Los Angeles,California,United States of America,American,"5'9""",69,5.75,5.90,34-23.5-35 ,34,23.5,35,6,8,Elite Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Alyssa_Miller,http://www.fashionmodeldirectory.com/models/Alyssa_Miller
Alyssa Miller,2011,NA,NA,American,,Brown,,Green,7/4/90,1990,"Los Angeles, California, United States of America",Los Angeles,California,United States of America,American,"5'9""",69,5.75,5.90,34-23.5-35 ,34,23.5,35,6,8,Elite Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Alyssa_Miller,http://www.fashionmodeldirectory.com/models/Alyssa_Miller
Amber Noelle Ehresmann,1999,NA,NA,American,,Brown,,Brown,,,United States of America,,,United States of America,American,"5'9.5""",69.5,5.79,5.95,34-25-35,34,25,35,9,NA,L.A. Models,,C,FALSE,TRUE,A,http://en.wikipedia.org/w/index.php?title=Amber_Noelle_Ehresmann&action=edit&redlink=1,http://www.fashionmodeldirectory.com/models/amber_noelle+ehresmann/
Amber Smith,1994,NA,NA,American,,Blonde,,Grey,3/2/72,1972,"Tampa Bay, Florida, United States of America",Tampa Bay,Florida,United States of America,"Hungarian, American","5'10.5""",70.5,5.87,5.11,34-25-36 ,34,25,36,6,8,ID Model Management,,D,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Amber_Smith,http://www.fashionmodeldirectory.com/models/Amber_Smith
