"","League","Season","UnitPlayer1ID","UnitPlayer2ID","UnitPlayer3ID","UnitPlayer4ID","UnitPlayer5ID","OpponentPlayer1ID","OpponentPlayer2ID","OpponentPlayer3ID","OpponentPlayer4ID","OpponentPlayer5ID","UnitPlayer1Name","UnitPlayer2Name","UnitPlayer3Name","UnitPlayer4Name","UnitPlayer5Name","OpponentPlayer1Name","OpponentPlayer2Name","OpponentPlayer3Name","OpponentPlayer4Name","OpponentPlayer5Name","Observations","ElapsedSecs","PossessionsUnit","PossessionsOpponent","PointsScoredUnit","PointsScoredOpponent","OffensiveRtgUnit","OffensiveRtgOpponent","OverallRtgUnitVsOpponent","OverallRtgOpponentVsUnit","OffensiveReboundsUnit","OffensiveReboundsOpponent","DefensiveReboundsUnit","DefensiveReboundsOpponent","OffensiveReboundingRateUnit","OffensiveReboundingRateOpponent","DefensiveReboundingRateUnit","DefensiveReboundingRateOpponent","Source","Season.Type"
"1","NBA","2011 playoffs","6","148","712","5","322","103","560","186","241","197","Terry, Jason","Stevenson, DeShawn","Brewer, Corey","Nowitzki, Dirk","Haywood, Brendan","Fisher, Derek","Brown, Shannon","Bryant, Kobe","Barnes, Matt","Gasol, Pau","1","27","1","1","0","2","0","200","-200","200","0","1","0","0","NULL","1","0","NULL","Basketball Value","Playoffs"
"2","NBA","2011 playoffs","20","204","10","260","258","553","239","240","285","203","House, Eddie","Wade, Dwyane","Jones, James","James, LeBron","Ilgauskas, Zydrunas","Rondo, Rajon","West, Delonte","Pierce, Paul","Garnett, Kevin","O'Neal, Shaquille","1","62","2","2","4","2","200","100","100","-100","0","0","0","0","NULL","NULL","NULL","NULL","Basketball Value","Playoffs"
"3","NBA","2011 playoffs","20","204","10","260","258","553","239","240","715","203","House, Eddie","Wade, Dwyane","Jones, James","James, LeBron","Ilgauskas, Zydrunas","Rondo, Rajon","West, Delonte","Pierce, Paul","Green, Jeff","O'Neal, Shaquille","1","46","2","2","0","2","0","100","-100","100","0","0","1","1","0","0","1","1","Basketball Value","Playoffs"
"4","NBA","2011 playoffs","20","204","10","319","700","281","921","52","681","167","House, Eddie","Wade, Dwyane","Jones, James","Bosh, Chris","Anthony, Joel","Williams, Louis","Turner, Evan","Iguodala, Andre","Young, Thaddeus","Brand, Elton","1","158","5","5","5","4","100","80","20","-20","0","2","2","3","0","0.5","0.5","1","Basketball Value","Playoffs"
"5","NBA","2011 playoffs","20","204","260","201","319","222","6","4","484","5","House, Eddie","Wade, Dwyane","James, LeBron","Haslem, Udonis","Bosh, Chris","Kidd, Jason","Terry, Jason","Marion, Shawn","Cardinal, Brian","Nowitzki, Dirk","1","23","2","1","0","1","0","100","-100","100","0","0","1","1","0","0","1","1","Basketball Value","Playoffs"
"6","NBA","2011 playoffs","20","204","260","201","319","222","6","4","484","660","House, Eddie","Wade, Dwyane","James, LeBron","Haslem, Udonis","Bosh, Chris","Kidd, Jason","Terry, Jason","Marion, Shawn","Cardinal, Brian","Mahinmi, Ian","1","49","2","2","2","0","100","0","100","-100","1","0","1","1","0.5","0","1","0.5","Basketball Value","Playoffs"
"7","NBA","2011 playoffs","20","204","260","201","700","222","6","4","5","118","House, Eddie","Wade, Dwyane","James, LeBron","Haslem, Udonis","Anthony, Joel","Kidd, Jason","Terry, Jason","Marion, Shawn","Nowitzki, Dirk","Chandler, Tyson","1","58","2","1","2","2","100","200","-100","100","0","0","0","0","NULL","NULL","NULL","NULL","Basketball Value","Playoffs"
"8","NBA","2011 playoffs","20","204","260","319","700","222","6","4","5","118","House, Eddie","Wade, Dwyane","James, LeBron","Bosh, Chris","Anthony, Joel","Kidd, Jason","Terry, Jason","Marion, Shawn","Nowitzki, Dirk","Chandler, Tyson","1","103","3","4","2","2","66.6667","50","16.6667","-16.6667","1","0","2","1","0.5","0","1","0.5","Basketball Value","Playoffs"
"9","NBA","2011 playoffs","20","204","260","319","700","563","6","148","5","118","House, Eddie","Wade, Dwyane","James, LeBron","Bosh, Chris","Anthony, Joel","Barea, Jose","Terry, Jason","Stevenson, DeShawn","Nowitzki, Dirk","Chandler, Tyson","1","13","1","0","1","0","100","NULL","NULL","NULL","1","0","0","0","1","NULL","NULL","0","Basketball Value","Playoffs"
"10","NBA","2011 playoffs","20","209","10","260","258","239","240","675","715","203","House, Eddie","Miller, Mike","Jones, James","James, LeBron","Ilgauskas, Zydrunas","West, Delonte","Pierce, Paul","Davis, Glen","Green, Jeff","O'Neal, Shaquille","1","81","3","3","6","4","200","133.333","66.6667","-66.6667","0","0","0","0","NULL","NULL","NULL","NULL","Basketball Value","Playoffs"
