year,team,rank,value,value_change,debt_value,debt_percent,revenue,expense,ebitda,revenue_multiple,ebitda_multiple,league
2010,San Diego Padres,15,408,0.02,199.92,0.49,157,124.9,32.1,3.27,4.89,MLB
2010,Minnesota Twins,16,405,0.14,101.25,0.25,162,137,25,2.96,6.48,MLB
2010,Cleveland Indians,17,391,-0.02,109.48,0.28,170,159.9,10.1,2.45,16.83,MLB
2010,Washington Nationals,18,387,-0.05,251.55,0.65,184,150.5,33.5,2.57,5.49,MLB
2010,Colorado Rockies,19,384,0.03,80.64,0.21,183,162.9,20.1,2.36,9.1,MLB
2010,Arizona Diamondbacks,20,379,-0.03,144.02,0.38,172,172.6,-0.6,2.2,0,MLB
2010,Baltimore Orioles,21,376,-0.06,150.4,0.4,171,151.6,19.4,2.48,8.81,MLB
2010,Detroit Tigers,22,375,0.01,210,0.56,188,217.5,-29.5,1.72,0,MLB
2010,Milwaukee Brewers,23,351,0.01,119.34,0.34,171,160.8,10.2,2.18,16.76,MLB
2010,Kansas City Royals,24,341,0.09,51.15,0.15,155,146.1,8.9,2.33,17.42,MLB
2010,Cincinnati Reds,25,331,-0.03,39.72,0.12,166,148.2,17.8,2.23,9.33,MLB
2010,Toronto Blue Jays,26,326,-0.08,0,0,163,149.9,13.1,2.17,12.44,MLB
2010,Florida Marlins,27,317,0.15,101.44,0.32,144,97.9,46.1,3.24,3.12,MLB
2010,Tampa Bay Rays,28,316,-0.01,60.04,0.19,156,140.3,15.7,2.25,9.94,MLB
2010,Oakland Athletics,29,295,-0.08,88.5,0.3,155,132.9,22.1,2.22,7.01,MLB
2010,Pittsburgh Pirates,30,289,0,101.15,0.35,145,129.4,15.6,2.23,9.29,MLB
2009,New York Yankees,1,1500,0.15,1425,0.95,375,378.7,-3.7,3.96,0,MLB
2009,New York Mets,2,912,0.11,693.12,0.76,261,237.5,23.5,3.84,11.11,MLB
2009,Boston Red Sox,3,833,0.02,241.57,0.29,269,243.3,25.7,3.42,10.47,MLB
2009,Los Angeles Dodgers,4,722,0.04,418.76,0.58,241,224.5,16.5,3.22,14.61,MLB
2009,Chicago Cubs,5,700,0.09,0,0,239,209.3,29.7,3.34,8.05,MLB
2009,Los Angeles Angels of Anaheim,6,509,0.02,35.63,0.07,212,201.7,10.3,2.52,20.58,MLB
2009,Philadelphia Phillies,7,496,0.03,173.6,0.35,216,199.7,16.3,2.48,13.25,MLB
2009,St. Louis Cardinals,8,486,0,243,0.5,195,188.4,6.6,2.58,29.55,MLB
2009,San Francisco Giants,9,471,-0.05,131.88,0.28,196,173.6,22.4,2.71,8.75,MLB
2009,Chicago White Sox,10,450,0.02,40.5,0.09,196,182.2,13.8,2.47,14.2,MLB
2009,Atlanta Braves,11,446,-0.1,0,0,186,181.3,4.7,2.46,39.57,MLB
2009,Houston Astros,12,445,-0.04,53.4,0.12,194,177,17,2.51,11.41,MLB
2009,Seattle Mariners,13,426,-0.09,97.98,0.23,189,185.2,3.8,2.3,49.74,MLB
2009,Washington Nationals,14,406,-0.12,251.72,0.62,184,141.4,42.6,2.87,4.32,MLB
2009,Texas Rangers,15,405,-0.02,267.3,0.66,176,158.6,17.4,2.55,10.11,MLB
2009,San Diego Padres,16,401,0.04,240.6,0.6,174,151.1,22.9,2.65,7.6,MLB
2009,Baltimore Orioles,17,400,0,152,0.38,174,146.8,27.2,2.72,6.4,MLB
2009,Cleveland Indians,18,399,-0.04,99.75,0.25,181,161.5,19.5,2.47,9.28,MLB
2009,Arizona Diamondbacks,19,390,0.03,198.9,0.51,177,173.1,3.9,2.25,45.38,MLB
2009,Colorado Rockies,20,373,0.01,78.33,0.21,178,153.5,24.5,2.43,7.27,MLB
2009,Detroit Tigers,21,371,-0.09,211.47,0.57,186,212.3,-26.3,1.75,0,MLB
2009,Minnesota Twins,22,356,0.09,99.68,0.28,158,131.2,26.8,2.71,5.9,MLB
2009,Toronto Blue Jays,23,353,0,0,0,172,169,3,2.09,57.33,MLB
2009,Milwaukee Brewers,24,347,0.05,121.45,0.35,173,161.2,11.8,2.15,14.66,MLB
2009,Cincinnati Reds,25,342,0.02,41.04,0.12,171,154,17,2.22,10.06,MLB
2009,Tampa Bay Rays,26,320,0.1,60.8,0.19,160,130.6,29.4,2.45,5.44,MLB
2009,Oakland Athletics,27,319,-0.01,89.32,0.28,160,133.8,26.2,2.38,6.11,MLB
2009,Kansas City Royals,28,314,0.04,40.82,0.13,143,134,9,2.34,15.89,MLB
2009,Pittsburgh Pirates,29,288,-0.01,100.8,0.35,144,128.1,15.9,2.25,9.06,MLB
2009,Florida Marlins,30,277,0.08,88.64,0.32,139,95.3,43.7,2.91,3.18,MLB
2008,New York Yankees,1,1306,0.09,1005.62,0.77,327,374.3,-47.3,3.49,0,MLB
2008,New York Mets,2,824,0.12,799.28,0.97,235,202.1,32.9,4.08,7.14,MLB
2008,Boston Red Sox,3,816,0.13,236.64,0.29,263,282.1,-19.1,2.89,0,MLB
2008,Los Angeles Dodgers,4,694,0.1,423.34,0.61,224,204,20,3.4,11.2,MLB
2008,Chicago Cubs,5,642,0.08,0,0,214,192.6,21.4,3.33,10,MLB
2008,Los Angeles Angels of Anaheim,6,500,0.16,35,0.07,200,184.8,15.2,2.71,13.16,MLB
2008,Atlanta Braves,7,497,0.09,0,0,199,170.9,28.1,2.91,7.08,MLB
2008,San Francisco Giants,8,494,0.08,138.32,0.28,197,177.1,19.9,2.79,9.9,MLB
2008,St. Louis Cardinals,9,484,0.05,246.84,0.51,194,172.5,21.5,2.81,9.02,MLB
2008,Philadelphia Phillies,10,481,0.05,173.16,0.36,192,177.7,14.3,2.71,13.43,MLB
2008,Seattle Mariners,11,466,0.07,97.86,0.21,194,183.9,10.1,2.53,19.21,MLB
2008,Houston Astros,12,463,0.05,55.56,0.12,193,172.6,20.4,2.68,9.46,MLB
2008,Washington Nationals,13,460,0.03,248.4,0.54,153,109.3,43.7,4.21,3.5,MLB
2008,Chicago White Sox,14,443,0.16,39.87,0.09,193,162.4,30.6,2.73,6.31,MLB
2008,Cleveland Indians,15,417,0.14,100.08,0.24,181,151.8,29.2,2.75,6.2,MLB
2008,Texas Rangers,16,412,0.13,267.8,0.65,172,154.8,17.2,2.66,10,MLB
2008,Detroit Tigers,17,407,0.14,211.64,0.52,173,168.4,4.6,2.42,37.61,MLB
2008,Baltimore Orioles,18,398,0.01,151.24,0.38,166,158.3,7.7,2.51,21.56,MLB
2008,San Diego Padres,19,385,0.05,173.25,0.45,167,143.4,23.6,2.68,7.08,MLB
2008,Arizona Diamondbacks,20,379,0.12,204.66,0.54,165,159.1,5.9,2.38,27.97,MLB
2008,Colorado Rockies,21,371,0.17,81.62,0.22,169,142.8,26.2,2.6,6.45,MLB
2008,Toronto Blue Jays,22,352,0.02,0,0,160,161.8,-1.8,2.18,0,MLB
2008,Cincinnati Reds,23,337,0.1,40.44,0.12,161,141.7,19.3,2.38,8.34,MLB
2008,Milwaukee Brewers,24,331,0.15,119.16,0.36,158,138.8,19.2,2.38,8.23,MLB
2008,Minnesota Twins,25,328,0.14,88.56,0.27,149,125.2,23.8,2.62,6.26,MLB
2008,Oakland Athletics,26,323,0.11,90.44,0.28,154,138.6,15.4,2.33,10,MLB
2008,Kansas City Royals,27,301,0.07,39.13,0.13,131,123.6,7.4,2.44,17.7,MLB
2008,Pittsburgh Pirates,28,292,0.07,99.28,0.34,139,121.4,17.6,2.41,7.9,MLB
2008,Tampa Bay Rays,29,290,0.08,40.6,0.14,138,108.3,29.7,2.68,4.65,MLB
2008,Florida Marlins,30,256,0.05,87.04,0.34,128,92.4,35.6,2.77,3.6,MLB
2007,New York Yankees,1,1200,0.17,948,0.79,302,327.2,-25.2,3.67,0,MLB
2007,New York Mets,2,736,0.22,610.88,0.83,217,192.6,24.4,3.82,8.89,MLB
2007,Boston Red Sox,3,724,0.17,238.92,0.33,234,214.5,19.5,3.38,12,MLB
2007,Los Angeles Dodgers,4,632,0.31,423.44,0.67,211,183.5,27.5,3.44,7.67,MLB
2007,Chicago Cubs,5,592,0.32,0,0,197,174.8,22.2,3.39,8.87,MLB
2007,St. Louis Cardinals,6,460,0.07,243.8,0.53,184,170,14,2.71,13.14,MLB
2007,San Francisco Giants,7,459,0.12,146.88,0.32,184,165.5,18.5,2.77,9.95,MLB
2007,Atlanta Braves,8,458,0.13,0,0,183,168.2,14.8,2.72,12.36,MLB
2007,Philadelphia Phillies,9,457,0.08,173.66,0.38,183,171.7,11.3,2.66,16.19,MLB
2007,Washington Nationals,10,447,0.02,250.32,0.56,144,124.5,19.5,3.59,7.38,MLB
2007,Houston Astros,11,442,0.06,53.04,0.12,184,165.6,18.4,2.67,10,MLB
2007,Seattle Mariners,12,436,0.02,100.28,0.23,182,160.5,21.5,2.72,8.47,MLB
2007,Los Angeles Angels of Anaheim,13,431,0.17,34.48,0.08,187,175.5,11.5,2.46,16.26,MLB
2007,Baltimore Orioles,14,395,0.1,150.1,0.38,158,140.9,17.1,2.8,9.24,MLB
2007,Chicago White Sox,15,381,0.21,38.1,0.1,173,153.5,19.5,2.48,8.87,MLB
2007,San Diego Padres,16,367,0.04,176.16,0.48,160,154.8,5.2,2.37,30.77,MLB
2007,Texas Rangers,17,365,0.03,266.45,0.73,155,143.8,11.2,2.54,13.84,MLB
2007,Cleveland Indians,18,364,0.04,98.28,0.27,158,133.1,24.9,2.73,6.35,MLB
2007,Detroit Tigers,19,357,0.22,210.63,0.59,170,161.3,8.7,2.21,19.54,MLB
2007,Toronto Blue Jays,20,344,0.2,0,0,157,146,11,2.36,14.27,MLB
2007,Arizona Diamondbacks,21,339,0.11,230.52,0.68,154,147.6,6.4,2.3,24.06,MLB
2007,Colorado Rockies,22,317,0.06,88.76,0.28,151,127.1,23.9,2.49,6.32,MLB
2007,Cincinnati Reds,23,307,0.12,39.91,0.13,146,123.6,22.4,2.48,6.52,MLB
2007,Oakland Athletics,24,292,0.24,90.52,0.31,146,131.5,14.5,2.22,10.07,MLB
2007,Minnesota Twins,25,288,0.33,89.28,0.31,131,116.2,14.8,2.48,8.85,MLB
2007,Milwaukee Brewers,26,287,0.22,120.54,0.42,144,123.2,20.8,2.33,6.92,MLB
2007,Kansas City Royals,27,282,0.18,39.48,0.14,123,114.6,8.4,2.46,14.64,MLB
2007,Pittsburgh Pirates,28,274,0.1,101.38,0.37,137,111.7,25.3,2.45,5.42,MLB
2007,Tampa Bay Rays,29,267,0.28,40.05,0.15,134,113.8,20.2,2.35,6.63,MLB
2007,Florida Marlins,30,244,0.08,87.84,0.36,122,78.7,43.3,3.1,2.82,MLB
2005,New York Yankees,1,950,0.14,199.5,0.21,264,301.1,-37.1,3.16,0,MLB
2005,Boston Red Sox,2,563,0.06,242.09,0.43,201,212.3,-11.3,2.65,0,MLB
2005,New York Mets,3,505,0.14,252.5,0.5,180,191.2,-11.2,2.64,0,MLB
2005,Los Angeles Dodgers,4,424,0.06,419.76,0.99,166,173.4,-7.4,2.45,0,MLB
2005,Seattle Mariners,5,415,0.05,116.2,0.28,173,162.2,10.8,2.56,16.02,MLB
2005,Chicago Cubs,6,398,0.11,39.8,0.1,170,158.6,11.4,2.51,14.91,MLB
2005,Philadelphia Phillies,7,392,0.39,180.32,0.46,167,160.9,6.1,2.44,27.38,MLB
2005,Atlanta Braves,8,382,0.02,30.56,0.08,162,146.6,15.4,2.61,10.52,MLB
2005,San Francisco Giants,9,381,0.04,160.02,0.42,159,152.1,6.9,2.5,23.04,MLB
2005,St. Louis Cardinals,10,370,0.18,199.8,0.54,151,154.9,-3.9,2.39,0,MLB
2005,Houston Astros,11,357,0.12,53.55,0.15,155,145.4,9.6,2.46,16.15,MLB
2005,Baltimore Orioles,12,341,0.15,150.04,0.44,148,114,34,2.99,4.35,MLB
2005,San Diego Padres,13,329,0.24,174.37,0.53,150,132.9,17.1,2.48,8.77,MLB
2005,Texas Rangers,14,326,0.07,143.44,0.44,142,139.1,2.9,2.34,48.97,MLB
2005,Cleveland Indians,15,319,0.09,105.27,0.33,139,111.8,27.2,2.85,5.11,MLB
2005,Washington Nationals,16,310,1.14,139.5,0.45,80,83,-3,3.73,0,MLB
2005,Los Angeles Angels of Anaheim,17,294,0.22,29.4,0.1,147,177,-30,1.66,0,MLB
2005,Colorado Rockies,18,290,0.02,101.5,0.35,132,139.8,-7.8,2.07,0,MLB
2005,Arizona Diamondbacks,19,286,0.03,294.58,1.03,136,154.7,-18.7,1.85,0,MLB
2005,Chicago White Sox,20,262,0.06,28.82,0.11,131,122.9,8.1,2.13,16.17,MLB
2005,Cincinnati Reds,21,255,0.04,66.3,0.26,127,104.4,22.6,2.44,5.62,MLB
2005,Detroit Tigers,22,239,0.02,200.76,0.84,126,118.1,7.9,2.02,15.95,MLB
2005,Pittsburgh Pirates,23,218,0,80.66,0.37,109,96.8,12.2,2.25,8.93,MLB
2005,Toronto Blue Jays,24,214,0.27,0,0,107,99.2,7.8,2.16,13.72,MLB
2005,Milwaukee Brewers,25,208,0.2,110.24,0.53,112,87.8,24.2,2.37,4.63,MLB
2005,Florida Marlins,26,206,0.19,70.04,0.34,103,100,3,2.06,34.33,MLB
2005,Kansas City Royals,27,187,0.09,29.92,0.16,104,101,3,1.85,34.67,MLB
2005,Oakland Athletics,28,185,-0.01,59.2,0.32,116,110.1,5.9,1.68,19.66,MLB
2005,Minnesota Twins,29,178,0.06,90.78,0.51,102,102.5,-0.5,1.74,0,MLB
2005,Tampa Bay Rays,30,176,0.16,110.88,0.63,110,82.8,27.2,2.13,4.04,MLB
2004,New York Yankees,1,832,-0.02,116.48,0.14,238,264.3,-26.3,3.15,0,MLB
2004,Boston Red Sox,2,533,0.09,239.85,0.45,190,178.6,11.4,2.98,16.67,MLB
2004,New York Mets,3,442,-0.11,251.94,0.57,158,177.3,-19.3,2.49,0,MLB
2004,Los Angeles Dodgers,4,399,-0.11,418.95,1.05,154,173.1,-19.1,2.31,0,MLB
2004,Seattle Mariners,5,396,0.03,114.84,0.29,169,152,17,2.61,9.94,MLB
2004,Atlanta Braves,6,374,-0.12,29.92,0.08,156,156.3,-0.3,2.39,0,MLB
2004,San Francisco Giants,7,368,-0.04,169.28,0.46,153,152.3,0.7,2.42,218.57,MLB
2004,Chicago Cubs,8,358,0.07,39.38,0.11,156,147.7,8.3,2.42,18.8,MLB
2004,Houston Astros,9,320,-0.02,54.4,0.17,128,129.9,-1.9,2.46,0,MLB
2004,St. Louis Cardinals,10,314,0.02,135.02,0.43,131,142.1,-11.1,2.21,0,MLB
2004,Texas Rangers,11,306,-0.08,143.82,0.47,127,155.5,-28.5,1.97,0,MLB
2004,Baltimore Orioles,12,296,-0.05,150.96,0.51,129,119.9,9.1,2.47,14.18,MLB
2004,Cleveland Indians,13,292,-0.12,108.04,0.37,127,116.6,10.4,2.5,12.21,MLB
2004,Colorado Rockies,14,285,-0.06,99.75,0.35,124,130.3,-6.3,2.19,0,MLB
2004,Philadelphia Phillies,15,281,0.18,179.84,0.64,115,127.5,-12.5,2.2,0,MLB
2004,Arizona Diamondbacks,16,276,0.03,300.84,1.09,126,141.2,-15.2,1.95,0,MLB
2004,San Diego Padres,17,265,0.17,156.35,0.59,106,101.1,4.9,2.62,21.63,MLB
2004,Chicago White Sox,18,248,0.06,29.76,0.12,124,111.2,12.8,2.23,9.69,MLB
2004,Cincinnati Reds,19,245,0.1,66.15,0.27,123,111.3,11.7,2.2,10.51,MLB
2004,Los Angeles Angels of Anaheim,20,241,0.07,0,0,127,132.5,-5.5,1.82,0,MLB
2004,Detroit Tigers,21,235,-0.01,199.75,0.85,117,116.7,0.3,2.01,390,MLB
2004,Pittsburgh Pirates,22,217,-0.03,88.97,0.41,109,109.3,-0.3,1.99,0,MLB
2004,Oakland Athletics,23,186,0.08,59.52,0.32,110,98.8,11.2,1.88,9.82,MLB
2004,Milwaukee Brewers,24,174,-0.16,109.62,0.63,102,96.9,5.1,1.8,20,MLB
2004,Florida Marlins,25,172,0.27,70.52,0.41,101,112.6,-11.6,1.53,0,MLB
2004,Kansas City Royals,26,171,0.12,30.78,0.18,98,91.4,6.6,1.87,14.85,MLB
2004,Toronto Blue Jays,27,169,0.02,0,0,99,99,0,1.71,NA,MLB
2004,Minnesota Twins,28,168,0.14,90.72,0.54,99,106.1,-7.1,1.58,0,MLB
2004,Tampa Bay Rays,29,152,0.04,109.44,0.72,101,93.5,7.5,1.63,13.47,MLB
2004,Montreal Expos,30,145,0.29,120.35,0.83,81,89.3,-8.3,1.62,0,MLB
2003,New York Yankees,1,849,0.13,118.86,0.14,223,206.9,16.1,4.1,13.85,MLB
2003,New York Mets,2,498,0.03,323.7,0.65,175,163.4,11.6,3.05,15.09,MLB
2003,Boston Red Sox,3,488,0.14,239.12,0.49,171,173.1,-2.1,2.82,0,MLB
2003,Los Angeles Dodgers,4,449,0.03,98.78,0.22,150,175,-25,2.57,0,MLB
2003,Atlanta Braves,5,423,0,29.61,0.07,163,153.5,9.5,2.76,17.16,MLB
2003,Seattle Mariners,6,385,0.03,115.5,0.3,167,143.7,23.3,2.68,7.17,MLB
2003,San Francisco Giants,7,382,0.08,175.72,0.46,159,145.1,13.9,2.63,11.44,MLB
2003,Chicago Cubs,8,335,0.17,40.2,0.12,143,131.1,11.9,2.56,12.02,MLB
2003,Texas Rangers,9,332,-0.07,142.76,0.43,131,155.5,-24.5,2.14,0,MLB
