year,team,rank,value,value_change,debt_value,debt_percent,revenue,expense,ebitda,revenue_multiple,ebitda_multiple,league
2013,New York Yankees,1,2300,0.24,46,0.02,471,469.6,1.4,4.9,336.43,MLB
2013,Los Angeles Dodgers,2,1615,0.15,419.9,0.26,245,241.8,3.2,6.68,76.56,MLB
2013,Boston Red Sox,3,1312,0.31,236.16,0.18,336,312.1,23.9,4.2,14.06,MLB
2013,Chicago Cubs,4,1000,0.14,580,0.58,274,241.9,32.1,4.13,8.54,MLB
2013,Philadelphia Phillies,5,893,0.24,178.6,0.2,279,278.4,0.6,3.21,465,MLB
2013,New York Mets,6,811,0.13,429.83,0.53,232,234.4,-2.4,3.46,0,MLB
2013,San Francisco Giants,7,786,0.22,94.32,0.12,262,244.4,17.6,3.22,14.89,MLB
2013,Texas Rangers,8,764,0.13,366.72,0.48,239,247.7,-8.7,3.08,0,MLB
2013,Los Angeles Angels of Anaheim,9,718,0.09,21.54,0.03,239,251.9,-12.9,2.85,0,MLB
2013,St. Louis Cardinals,10,716,0.21,272.08,0.38,239,219.1,19.9,3.27,12.01,MLB
2013,Chicago White Sox,11,692,0.15,41.52,0.06,216,193.1,22.9,3.58,9.43,MLB
2013,Seattle Mariners,12,644,0.1,0,0,215,202.1,12.9,3.19,16.67,MLB
2013,Detroit Tigers,13,643,0.35,180.04,0.28,238,238.4,-0.4,2.7,0,MLB
2013,Washington Nationals,14,631,0.31,252.4,0.4,225,196.6,28.4,3.21,7.92,MLB
2013,Atlanta Braves,15,629,0.24,0,0,225,212.6,12.4,2.96,18.15,MLB
2013,Houston Astros,16,626,0.14,225.36,0.36,196,171.3,24.7,3.65,7.94,MLB
2013,Baltimore Orioles,17,618,0.34,148.32,0.24,206,175.9,30.1,3.51,6.84,MLB
2013,San Diego Padres,18,600,0.31,300,0.5,189,159.1,29.9,3.77,6.32,MLB
2013,Arizona Diamondbacks,19,584,0.31,140.16,0.24,195,187.4,7.6,3.12,25.66,MLB
2013,Minnesota Twins,20,578,0.13,98.26,0.17,214,203.2,10.8,2.84,19.81,MLB
2013,Toronto Blue Jays,21,568,0.38,0,0,203,207.8,-4.8,2.73,0,MLB
2013,Milwaukee Brewers,22,562,0.25,118.02,0.21,201,192,9,2.93,22.33,MLB
2013,Cleveland Indians,23,559,0.36,111.8,0.2,186,163.1,22.9,3.43,8.12,MLB
2013,Cincinnati Reds,24,546,0.29,49.14,0.09,202,181.1,20.9,3.01,9.67,MLB
2013,Colorado Rockies,25,537,0.16,69.81,0.13,199,180.3,18.7,2.98,10.64,MLB
2013,Miami Marlins,26,520,0.16,150.8,0.29,195,202.1,-7.1,2.57,0,MLB
2013,Pittsburgh Pirates,27,479,0.43,129.33,0.27,178,151.2,26.8,3.17,6.64,MLB
2013,Oakland Athletics,28,468,0.46,88.92,0.19,173,145.5,27.5,3.22,6.29,MLB
2013,Kansas City Royals,29,457,0.29,50.27,0.11,169,152.7,16.3,2.99,10.37,MLB
2013,Tampa Bay Rays,30,451,0.4,117.26,0.26,167,157,10,2.87,16.7,MLB
2012,New York Yankees,1,1850,0.09,37,0.02,439,429,10,4.31,43.9,MLB
2012,Los Angeles Dodgers,2,1400,0.75,574,0.41,230,228.8,1.2,6.12,191.67,MLB
2012,Boston Red Sox,3,1000,0.1,240,0.24,310,284.6,25.4,3.51,12.2,MLB
2012,Chicago Cubs,4,879,0.14,580.14,0.66,266,237.9,28.1,3.69,9.47,MLB
2012,Philadelphia Phillies,5,723,0.19,173.52,0.24,249,260.6,-11.6,2.77,0,MLB
2012,New York Mets,6,719,-0.04,496.11,0.69,225,265.8,-40.8,2.71,0,MLB
2012,Texas Rangers,7,674,0.2,370.7,0.55,233,217.7,15.3,3.1,15.23,MLB
2012,Los Angeles Angels of Anaheim,8,656,0.18,19.68,0.03,226,227.2,-1.2,2.89,0,MLB
2012,San Francisco Giants,9,643,0.14,102.88,0.16,230,221.2,8.8,2.91,26.14,MLB
2012,Chicago White Sox,10,600,0.14,42,0.07,214,203.3,10.7,2.95,20,MLB
2012,St. Louis Cardinals,11,591,0.14,277.77,0.47,233,208,25,2.84,9.32,MLB
2012,Seattle Mariners,12,585,0.3,0,0,210,207.8,2.2,2.82,95.45,MLB
2012,Houston Astros,13,549,0.16,225.09,0.41,196,171.7,24.3,3.2,8.07,MLB
2012,Minnesota Twins,14,510,0.04,102,0.2,213,196.4,16.6,2.6,12.83,MLB
2012,Atlanta Braves,15,508,0.05,0,0,203,182.3,20.7,2.79,9.81,MLB
2012,Washington Nationals,16,480,0.15,249.6,0.52,200,174.1,25.9,2.76,7.72,MLB
2012,Detroit Tigers,17,478,0.24,186.42,0.39,217,208.8,8.2,2.29,26.46,MLB
2012,Colorado Rockies,18,464,0.12,69.6,0.15,193,178.6,14.4,2.6,13.4,MLB
2012,Baltimore Orioles,19,460,0.12,151.8,0.33,179,166.1,12.9,2.77,13.88,MLB
2012,San Diego Padres,20,458,0.13,201.52,0.44,163,139.8,23.2,3.28,7.03,MLB
2012,Miami Marlins,21,450,0.25,144,0.32,148,139.1,8.9,3.24,16.63,MLB
2012,Milwaukee Brewers,22,448,0.19,120.96,0.27,195,175.8,19.2,2.55,10.16,MLB
2012,Arizona Diamondbacks,23,447,0.13,174.33,0.39,186,158.8,27.2,2.81,6.84,MLB
2012,Cincinnati Reds,24,424,0.13,42.4,0.1,185,167.9,17.1,2.53,10.82,MLB
2012,Toronto Blue Jays,25,413,0.23,0,0,188,163.1,24.9,2.53,7.55,MLB
2012,Cleveland Indians,26,410,0.16,110.7,0.27,178,147.9,30.1,2.77,5.91,MLB
2012,Kansas City Royals,27,354,0.01,49.56,0.14,161,132.5,28.5,2.67,5.65,MLB
2012,Pittsburgh Pirates,28,336,0.11,127.68,0.38,168,152.1,15.9,2.21,10.57,MLB
2012,Tampa Bay Rays,29,323,-0.02,116.28,0.36,161,134.8,26.2,2.4,6.15,MLB
2012,Oakland Athletics,30,321,0.05,89.88,0.28,160,145.4,14.6,2.21,10.96,MLB
2011,New York Yankees,1,1700,0.06,68,0.04,427,401.3,25.7,4.24,16.61,MLB
2011,Boston Red Sox,2,912,0.05,237.12,0.26,272,273.1,-1.1,3.34,0,MLB
2011,Los Angeles Dodgers,3,800,0.1,432,0.54,246,213.2,32.8,3.75,7.5,MLB
2011,Chicago Cubs,4,773,0.06,579.75,0.75,258,234.6,23.4,3.29,11.03,MLB
2011,New York Mets,5,747,-0.13,448.2,0.6,233,239.2,-6.2,3.12,0,MLB
2011,Philadelphia Phillies,6,609,0.13,176.61,0.29,239,230.1,8.9,2.65,26.85,MLB
2011,San Francisco Giants,7,563,0.16,118.23,0.21,230,200.1,29.9,2.81,7.69,MLB
2011,Texas Rangers,8,561,0.25,370.26,0.66,206,183.4,22.6,3.06,9.12,MLB
2011,Los Angeles Angels of Anaheim,9,554,0.06,55.4,0.1,222,210.2,11.8,2.64,18.81,MLB
2011,Chicago White Sox,10,526,0.13,42.08,0.08,210,182.4,27.6,2.88,7.61,MLB
2011,St. Louis Cardinals,11,518,0.06,274.54,0.53,207,187.2,19.8,2.77,10.45,MLB
2011,Minnesota Twins,12,490,0.21,98,0.2,213,186.5,26.5,2.63,8.04,MLB
2011,Atlanta Braves,13,482,0.07,0,0,201,178.8,22.2,2.7,9.05,MLB
2011,Houston Astros,14,474,0.05,56.88,0.12,197,182.6,14.4,2.6,13.68,MLB
2011,Seattle Mariners,15,449,0.02,67.35,0.15,204,194.1,9.9,2.31,20.61,MLB
2011,Washington Nationals,16,417,0.08,250.2,0.6,194,157.4,36.6,2.65,5.3,MLB
2011,Colorado Rockies,17,414,0.08,78.66,0.19,188,171.7,16.3,2.41,11.53,MLB
2011,Baltimore Orioles,18,411,0.09,152.07,0.37,175,149.5,25.5,2.75,6.86,MLB
2011,San Diego Padres,19,406,0,198.94,0.49,159,121.8,37.2,3.33,4.27,MLB
2011,Arizona Diamondbacks,20,396,0.04,99,0.25,180,173.8,6.2,2.28,29.03,MLB
2011,Detroit Tigers,21,385,0.03,211.75,0.55,192,221.1,-29.1,1.74,0,MLB
2011,Milwaukee Brewers,22,376,0.07,120.32,0.32,179,166.6,12.4,2.26,14.44,MLB
2011,Cincinnati Reds,23,375,0.13,41.25,0.11,179,158.9,20.1,2.36,8.91,MLB
2011,Florida Marlins,24,360,0.13,144,0.4,143,122.8,20.2,2.93,7.08,MLB
2011,Cleveland Indians,25,353,-0.1,109.43,0.31,168,155.9,12.1,2.26,13.88,MLB
2011,Kansas City Royals,26,351,0.03,49.14,0.14,160,149.7,10.3,2.34,15.53,MLB
2011,Toronto Blue Jays,27,337,0.03,0,0,168,164.4,3.6,2.05,46.67,MLB
2011,Tampa Bay Rays,28,331,0.05,115.85,0.35,166,159.2,6.8,2.08,24.41,MLB
2011,Oakland Athletics,29,307,0.04,89.03,0.29,161,137.8,23.2,2.23,6.94,MLB
2011,Pittsburgh Pirates,30,304,0.05,127.68,0.42,160,135.4,24.6,2.25,6.5,MLB
2010,New York Yankees,1,1600,0.07,1424,0.89,441,416.1,24.9,3.85,17.71,MLB
2010,Boston Red Sox,2,870,0.04,243.6,0.28,266,226,40,3.85,6.65,MLB
2010,New York Mets,3,858,-0.06,694.98,0.81,268,241.8,26.2,3.55,10.23,MLB
2010,Los Angeles Dodgers,4,727,0.01,421.66,0.58,247,213.9,33.1,3.4,7.46,MLB
2010,Chicago Cubs,5,726,0.04,580.8,0.8,246,220.5,25.5,3.29,9.65,MLB
2010,Philadelphia Phillies,6,537,0.08,177.21,0.33,233,218.5,14.5,2.46,16.07,MLB
2010,Los Angeles Angels of Anaheim,7,521,0.02,36.47,0.07,217,205,12,2.54,18.08,MLB
2010,St. Louis Cardinals,8,488,0,273.28,0.56,195,182.2,12.8,2.68,15.23,MLB
2010,San Francisco Giants,9,483,0.03,125.58,0.26,201,177.5,23.5,2.72,8.55,MLB
2010,Chicago White Sox,10,466,0.03,41.94,0.09,194,167.6,26.4,2.78,7.35,MLB
2010,Houston Astros,11,453,0.02,54.36,0.12,189,181.9,7.1,2.49,26.62,MLB
2010,Texas Rangers,12,451,0.11,473.55,1.05,180,175.3,4.7,2.57,38.3,MLB
2010,Atlanta Braves,13,450,0.01,0,0,188,186.5,1.5,2.41,125.33,MLB
2010,Seattle Mariners,14,439,0.03,100.97,0.23,191,180.5,10.5,2.43,18.19,MLB
