Number,Player,Last_Name,First_Name,PlayerBio_URL,Position,Height,Weight,Year,Hometown ,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
20,Russell Doup,Doup,Russell,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/russell_doup_758568.html,K,6/2/13,195,SO,"Mt. Vernon, Ohio ",Mt. Vernon,Ohio,Mt. Vernon High School,,,,Ohio State University,2012-2013
25,Bri'onte Dunn,Dunn,Bri'onte,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/brionte_dunn_793848.html,RB,6/1/13,210,FR,"Canton, Ohio ",Canton,Ohio,GlenOak High School,,,,Ohio State University,2012-2013
65,Pat Elflein,Elflein,Pat,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/pat_elflein_807139.html,OL,6/3/13,290,FR,"Pickerington, Ohio ",Pickerington,Ohio,Pickerington North High School,,,,Ohio State University,2012-2013
33,Frank Epitropoulos,Epitropoulos,Frank,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/frank_epitropoulos_807140.html,WR,6/1/13,197,FR,"Upper Arlington, Ohio ",Upper Arlington,Ohio,Upper Arlington High School,,,,Ohio State University,2012-2013
38,Craig Fada,Fada,Craig,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/craig_fada_807763.html,LB,6/1/00,225,FR,"Columbus, Ohio ",Columbus,Ohio,Bishop Watterson High School,,,,Ohio State University,2012-2013
57,Chase Farris,Farris,Chase,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/chase_farris_758581.html,OL,6/4/13,290,FR,"Elyria, Ohio ",Elyria,Ohio,Elyria High School,,,,Ohio State University,2012-2013
80,Chris Fields,Fields,Chris,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/chris_fields_753266.html,WR,6/1/00,197,JR,"Painesville, Ohio ",Painesville,Ohio,Painesville Harvey High School,,,,Ohio State University,2012-2013
77,Reid Fragel,Fragel,Reid,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/reid_fragel_753269.html,OL,6/8/13,310,SR,"Grosse Pointe Farms, Mich. ",Grosse Pointe Farms,Mich,Grosse Point South High School,,,,Ohio State University,2012-2013
94,Rashad Frazier,Frazier,Rashad,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/rashad_frazier_807762.html,DL,6/4/13,270,SO,"Middletown, Ohio ",Middletown,Ohio,Middletown High School,,,,Ohio State University,2012-2013
53,Garrett Goebel,Goebel,Garrett,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/garrett_goebel_753431.html,DL,6/4/13,290,SR,"Villa Park, Ill. ",Villa Park,Ill,Montini High School,,,,Ohio State University,2012-2013
14,Curtis Grant,Grant,Curtis,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/curtis_grant_758599.html,LB,6/3/13,235,SO,"Richmond, Va. ",Richmond,Va,Hermitage High School,,,,Ohio State University,2012-2013
12,Doran Grant,Grant,Doran,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/doran_grant_758600.html,CB,5/11/13,188,SO,"Akron, Ohio ",Akron,Ohio,St. Vincent-St. Mary High School,,,,Ohio State University,2012-2013
9,Adam Griffin,Griffin,Adam,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/adam_griffin_753436.html,CB,5/8/13,180,SO,"Columbus, Ohio ",Columbus,Ohio,DeSales High School,,,,Ohio State University,2012-2013
13,Kenny Guiton,Guiton,Kenny,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/kenny_guiton_813484.html,QB,6/3/13,210,JR,"Houston, Texas ",Houston,Texas,Eisenhower High School,,,,Ohio State University,2012-2013
87,Peter Gwilym,Gwilym,Peter,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/peter_gwilym_797237.html,WR,6/1/13,195,FR,"Freeport, Maine ",Freeport,Maine,Cheverus High School,,,,Ohio State University,2012-2013
51,Joel Hale,Hale,Joel,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/joel_hale_758575.html,DT,6/4/13,295,SO,"Greenwood, Ind. ",Greenwood,Ind,Center Grove High School,,,,Ohio State University,2012-2013
7,Jordan Hall,Hall,Jordan,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/jordan_hall_753445.html,RB,5/9/13,194,SR,"Jeannette, Pa. ",Jeannette,Pa,Jeannette High School,,,,Ohio State University,2012-2013
79,Marcus Hall,Hall,Marcus,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/marcus_hall_753448.html,OL,6/5/13,315,JR,"Cleveland, Ohio ",Cleveland,Ohio,Glenville High School,,,,Ohio State University,2012-2013
52,Johnathan Hankins,Hankins,Johnathan,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/johnathan_hankins_753452.html,DL,6/3/13,322,JR,"Dearborn Heights, Mich. ",Dearborn Heights,Mich,Southeastern High School,,,,Ohio State University,2012-2013
41,Bryce Haynes,Haynes,Bryce,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/bryce_haynes_758586.html,LS,6/4/13,220,FR,"Cumming, Ga. ",Cumming,Ga,Pinecrest Academy High School,,,,Ohio State University,2012-2013
86,Jeff Heuerman,Heuerman,Jeff,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/jeff_heuerman_758590.html,TE,6/5/13,250,SO,"Naples, FL ",Naples,FL,Barron Collier High School,,,,Ohio State University,2012-2013
97,John Holman,Holman,John,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/john_holman_814646.html,DL,6/4/13,290,SO,"Riverdale, Ga. ",Riverdale,Ga,Union Grove High School,,,,Ohio State University,2012-2013
49,Adam Homan,Homan,Adam,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/adam_homan_753428.html,RB,6/3/13,245,SR,"Coldwater, Ohio ",Coldwater,Ohio,Coldwater High School,,,,Ohio State University,2012-2013
7,Travis Howard,Howard,Travis,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/travis_howard_753490.html,CB,6/1/13,200,SR,"Miami, Fla. ",Miami,Fla,Dr. Krop High School,,,,Ohio State University,2012-2013
34,Carlos Hyde,Hyde,Carlos,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/carlos_hyde_753497.html,RB,6/1/00,232,JR,"Naples, Fla. ",Naples,Fla,Naples High School,,,,Ohio State University,2012-2013
19,Orhian Johnson,Johnson,Orhian,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/orhian_johnson_753503.html,DB,6/3/13,210,SR,"St. Petersburg, Fla. ",St. Petersburg,Fla,Boca Ciega High School,,,,Ohio State University,2012-2013
12,Cardale Jones,Jones,Cardale,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/cardale_jones_753504.html,QB,6/5/13,235,FR,"Cleveland, Ohio ",Cleveland,Ohio,Glenville High School,,,,Ohio State University,2012-2013
85,Frank Kangah,Kangah,Frank,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/frank_kangah_779205.html,WR,6/1/00,195,FR,"Euclid, Ohio ",Euclid,Ohio,Euclid High School,,,,Ohio State University,2012-2013
32,Storm Klein,Klein,Storm,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/storm_klein_753506.html,LB,6/2/13,242,SR,"Newark, Ohio ",Newark,Ohio,Licking Valley High School,,,,Ohio State University,2012-2013
69,Eric Kramer,Kramer,Eric,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/eric_kramer_759326.html,OL,6/4/13,290,SO,"Cincinnati, Ohio ",Cincinnati,Ohio,St. Xavier High School,,,,Ohio State University,2012-2013
71,Corey Linsley,Linsley,Corey,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/corey_linsley_753510.html,OL,6/3/13,295,JR,"Youngstown, Ohio ",Youngstown,Ohio,Boardman High School,,,,Ohio State University,2012-2013
56,George Makridis,Makridis,George,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/george_makridis_753517.html,LS,6/2/13,230,JR,"Warren, Ohio ",Warren,Ohio,Warren G. Harding High School,,,,Ohio State University,2012-2013
34,Jamal Marcus,Marcus,Jamal,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/jamal_marcus_807566.html,LB,6/2/13,225,FR,"Durham, N.C. ",Durham,NC,Hillside High School,,,,Ohio State University,2012-2013
