Number,Player,PlayerBio_URL,Height,Weight,Year,Eligibility,Position,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
89,Ty Templin,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/ty_templin_830842.html,6/1/00,180,Fr.,HS,WR,"Granbury, Texas",Granbury,TEXAS,Trinity Valley High School,,,,,University of Texas at Austin,2012-2013
46,Brad Terry,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/brad_terry_787748.html,6/1/13,216,Sr.,SQ,LB,"College Station, Texas ",College Station,TEXAS,A&M Consolidated High School,,,,,University of Texas at Austin,2012-2013
47,Chris Terry,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/chris_terry_787749.html,6/4/13,241,Jr.,SQ,DE,"College Station, Texas ",College Station,TEXAS,A&M Consolidated High School,,,,,University of Texas at Austin,2012-2013
21,Duke Thomas,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/duke_thomas_795962.html,5/11/13,175,Fr.,HS,CB,"Killeen, Texas ",Killeen,TEXAS,Copperas Cove High School,,,,,University of Texas at Austin,2012-2013
35,Kendall Thompson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/kendall_thompson_763448.html,6/3/13,239,So.,1L,LB,"Carthage, Texas ",Carthage,TEXAS,Carthage High School,,,,,University of Texas at Austin,2012-2013
2,Mykkele Thompson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/mykkele_thompson_763449.html,6/2/13,183,So.,1L,S,"San Antonio, Texas ",San Antonio,TEXAS,Stevens High School,,,,,University of Texas at Austin,2012-2013
25,Josh Turner,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/josh_turner_763452.html,6/1/00,177,So.,1L,S,"Oklahoma City, Okla. ",Oklahoma City,OKLA,Millwood High School,,,,,University of Texas at Austin,2012-2013
37,Luke Utley,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/luke_utley_830360.html,6/1/13,190,Fr.,HS,DB,"Dallas, Texas ",Dallas,TEXAS,Highland Park High School,,,,,University of Texas at Austin,2012-2013
4,Kenny Vaccaro,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/kenny_vaccaro_403775.html,6/1/13,218,Sr.,3L,S,"Brownwood, Texas ",Brownwood,TEXAS,Early High School,,,,,University of Texas at Austin,2012-2013
18,Kevin Vaccaro,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/kevin_vaccaro_809540.html,5/10/13,180,Fr.,HS,DB,"Brownwood, Texas ",Brownwood,TEXAS,Brownwood High School,,,,,University of Texas at Austin,2012-2013
72,Mason Walters,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/mason_walters_403776.html,6/6/13,320,Jr.,2L,OG,"Wolfforth, Texas ",Wolfforth,TEXAS,Frenship High School,,,,,University of Texas at Austin,2012-2013
96,Chris Whaley,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/chris_whaley_445849.html,6/3/13,292,Jr.,2L,DT,"Madisonville, Texas ",Madisonville,TEXAS,Madisonville High School,,,,,University of Texas at Austin,2012-2013
25,Michael Wheeler,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/michael_wheeler_737775.html,5/10/13,191,So,SQ,WR,"Sunnyvale, Texas ",Sunnyvale,TEXAS,North Mesquite High School,,,,,University of Texas at Austin,2012-2013
92,Reggie Wilson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/reggie_wilson_712718.html,6/3/13,259,Jr.,2L,DE,"Haltom City, Texas ",Haltom City,TEXAS,Haltom High School,,,,,University of Texas at Austin,2012-2013
40,Matthew Zapata,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/matthew_zapata_737776.html,6/1/00,186,Sr.,SQ,S,"Stillwater, Okla. ",Stillwater,OKLA,Stillwater High School,,,,,University of Texas at Austin,2012-2013
27,Michael Zaring,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/michael_zaring_795964.html,6/3/13,191,Fr.,HS,WR,"Keller, Texas ",Keller,TEXAS,Keller High School,,,,,University of Texas at Austin,2012-2013
87,Hasen Zaydon,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/hasen_zaydon_795965.html,5/11/13,240,Fr.,HS,DL,"Houston, Texas ",Houston,TEXAS,Hastings High School,,,,,University of Texas at Austin,2012-2013
