Number,Player,PlayerBio_URL,Height,Weight,Year,Eligibility,Position,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
39,Gaston Davis,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/gaston_davis_830363.html,6/1/00,195,Fr.,HS,DB,"Houston, Texas ",Houston,TEXAS,Clear Lake High School,,,,,University of Texas at Austin,2012-2013
1,Mike Davis,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/mike_davis_712696.html,6/2/13,193,Jr.,2L,WR,"Dallas, Texas ",Dallas,TEXAS,Skyline High School,,,,,University of Texas at Austin,2012-2013
1,Shiro Davis,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/shiro_davis_809505.html,6/3/13,236,Fr.,HS,DE,"Shreveport, La. ",Shreveport,LA,Woodlawn High School,,,,,University of Texas at Austin,2012-2013
36,Alex De La Torre,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/alex_de_la_torre_795951.html,6/1/13,230,Fr.,HS,FB,"Denton, Texas ",Denton,TEXAS,Ryan High School,,,,,University of Texas at Austin,2012-2013
6,Quandre Diggs,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/quandre_diggs_748040.html,5/10/13,200,So.,1L,CB,"Angleton, Texas ",Angleton,TEXAS,Angleton High School,,,,,University of Texas at Austin,2012-2013
85,Ashton Dorsey,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/ashton_dorsey_712698.html,6/2/13,295,Jr.,2L,DT,"Tyler, Texas ",Tyler,TEXAS,John Tyler High School,,,,,University of Texas at Austin,2012-2013
74,Taylor Doyle,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/taylor_doyle_763432.html,6/5/13,290,Fr.,RS,OL,"Austin, Texas ",Austin,TEXAS,Lake Travis High School,,,,,University of Texas at Austin,2012-2013
16,Bryson Echols,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/bryson_echols_809508.html,5/10/13,165,Fr.,HS,DB,"DeSoto, Texas ",DeSoto,TEXAS,DeSoto High School,,,,,University of Texas at Austin,2012-2013
33,Steve Edmond,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/steve_edmond_763433.html,6/3/13,255,So.,1L,LB,"Daingerfield, Texas ",Daingerfield,TEXAS,Daingerfield High School,,,,,University of Texas at Austin,2012-2013
55,Dominic Espinosa,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/dominic_espinosa_712699.html,6/4/13,298,So.,1L,C,"Cedar Park, Texas ",Cedar Park,TEXAS,Cedar Park High School,,,,,University of Texas at Austin,2012-2013
68,Kennedy Estelle,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/kennedy_estelle_809509.html,6/7/13,300,Fr.,HS,OT,"Pearland, Texas ",Pearland,TEXAS,Dawson High School,,,,,University of Texas at Austin,2012-2013
29,Sheroid Evans,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/sheroid_evans_763434.html,6/1/00,185,So.,1L,S,"Sugar Land, Texas ",Sugar Land,TEXAS,Fort Bend Dulles High School,,,,,University of Texas at Austin,2012-2013
9,Anthony Fera,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/anthony_fera_813012.html,6/2/13,220,Jr.,TR,PK/P,"Cypress, Texas ",Cypress,TEXAS,Penn State High School,,,,,University of Texas at Austin,2012-2013
82,Lane Fife,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/lane_fife_737769.html,6/1/00,170,Jr.,SQ,WR,"New Braunfels, Texas ",New Braunfels,TEXAS,Canyon High School,,,,,University of Texas at Austin,2012-2013
66,Sedrick Flowers,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/sedrick_flowers_763436.html,6/3/13,313,Fr.,RS,OG,"Houston, Texas ",Houston,TEXAS,North Shore High School,,,,,University of Texas at Austin,2012-2013
