Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Eligibility,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
7,Uzoma Nwachukwu,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236147&Q_SEASON=2012,WR,6/2/04,194,SR,3L,"Allen, TX",Allen,TX,Allen High School,,,,,Texas A&M University,2012-2013
8,Thomas Johnson,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502924&Q_SEASON=2012,WR,5/12/17,185,FR,HS,"Dallas, TX",Dallas,TX,Skyline High School,,,,,Texas A&M University,2012-2013
9,Nate Askew,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236157&Q_SEASON=2012,WR,6/5/17,220,JR,2L,"San Antonio, TX",San Antonio,TX,Madison High School,,,,,Texas A&M University,2012-2013
10,Sean Porter,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236154&Q_SEASON=2012,LB,6/3/17,230,SR,3L,"Schertz, TX",Schertz,TX,Clemens High School,,,,,Texas A&M University,2012-2013
10,LeKendrick Williams,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236115&Q_SEASON=2012,WR,5/9/17,170,SO,SQ,"Sharpstown, TX",Sharpstown,TX,Sharpstown High School,,,,,Texas A&M University,2012-2013
11,Jonathan Stewart,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236123&Q_SEASON=2012,LB,6/5/17,244,SR,3L,"Shreveport, LA",Shreveport,LA,Byrd High School,,,,,Texas A&M University,2012-2013
11,Derel Walker,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502913&Q_SEASON=2012,WR,6/3/17,185,JR,TR,"Hillsboro, TX",Hillsboro,TX,Hillsboro High School,Trinity Valley Community College,,,,Texas A&M University,2012-2013
13,Mike Evans,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205239914&Q_SEASON=2012,WR,6/6/17,218,FR,RS,"Galveston, TX",Galveston,TX,Ball High School,,,,,Texas A&M University,2012-2013
14,Floyd Raven Sr.,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205248110&Q_SEASON=2012,DB,6/3/17,190,SO,1L,"Kenner, LA",Kenner,LA,East St. John High School,,,,,Texas A&M University,2012-2013
15,Travis Labhart,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236174&Q_SEASON=2012,WR,5/10/17,182,JR,1L,"Dallas, TX",Dallas,TX,Whitesboro High School,,,,,Texas A&M University,2012-2013
15,Kenneth Marshall,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502819&Q_SEASON=2012,DB,6/2/04,191,FR,HS,"South Houston, TX",South Houston,TX,South Houston High School,,,,,Texas A&M University,2012-2013
16,Matt Joeckel,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236116&Q_SEASON=2012,QB,6/5/17,234,SO,SQ,"Arlington, TX",Arlington,TX,Arlington High School,,,,,Texas A&M University,2012-2013
18,Edward Pope,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502997&Q_SEASON=2012,WR,6/5/17,170,FR,HS,"Carthage, TX",Carthage,TX,Carthage High School,,,,,Texas A&M University,2012-2013
19,Matt Fritsche,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205240012&Q_SEASON=2012,DB,6/4/17,171,FR,RS,"Bryan, TX",Bryan,TX,Rudder High School,,,,,Texas A&M University,2012-2013
19,Michael Lamothe,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236112&Q_SEASON=2012,TE,6/4/17,235,SR,3L,"New Iberia, LA",New Iberia,LA,New Iberia High School,,,,,Texas A&M University,2012-2013
20,C.J. Jones,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236105&Q_SEASON=2012,DB,6/2/17,190,SR,2L,"Houston, TX",Houston,TX,Klein Forest High School,,,,,Texas A&M University,2012-2013
20,Trey Williams,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502995&Q_SEASON=2012,RB,5/9/17,185,FR,HS,"Spring, TX",Spring,TX,Dekaney High School,,,,,Texas A&M University,2012-2013
21,Tra Carson,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205503000&Q_SEASON=2012,RB,6/2/04,227,SO,TR,"Texarkana, TX",Texarkana,TX,Liberty Eylau High School,University of Oregon,,,,Texas A&M University,2012-2013
21,Steven Terrell,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236167&Q_SEASON=2012,DB,5/11/17,193,SR,3L,"Allen, TX",Allen,TX,Allen High School,,,,,Texas A&M University,2012-2013
22,Dustin Harris,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236109&Q_SEASON=2012,DB,6/2/04,175,SR,3L,"Livingston, TX",Livingston,TX,Livingston High School,,,,,Texas A&M University,2012-2013
23,Sabian Holmes,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502925&Q_SEASON=2012,WR,5/12/17,175,FR,HS,"Southlake, TX",Southlake,TX,Carroll High School,,,,,Texas A&M University,2012-2013
23,Domonique Patterson,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236118&Q_SEASON=2012,LB,6/2/04,218,JR,1L,"Dallas, TX",Dallas,TX,Skyline High School,,,,,Texas A&M University,2012-2013
24,Taylor Bertolet,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205239911&Q_SEASON=2012,PLK,5/10/17,174,FR,RS,"Reading, PA",Reading,PA,Exeter Township High School,,,,,Texas A&M University,2012-2013
25,Clay Honeycutt,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236188&Q_SEASON=2012,DB,6/3/17,197,SO,1L,"Dickinson, TX",Dickinson,TX,Dickinson High School,,,,,Texas A&M University,2012-2013
25,Ryan Swope,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236092&Q_SEASON=2012,WR,6/2/04,206,SR,3L,"Austin, TX",Austin,TX,Westlake High School,,,,,Texas A&M University,2012-2013
26,Devonta Burns,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205239913&Q_SEASON=2012,DB,6/2/04,201,FR,RS,"Arlington, TX",Arlington,TX,Martin High School,,,,,Texas A&M University,2012-2013
26,Sam Giamfortone,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502915&Q_SEASON=2012,RB,6/2/17,222,SO,TR,"Friendswood, TX",Friendswood,TX,Friendswood High School,University of the Incarnate Word,,,,Texas A&M University,2012-2013
27,Michael Osadebey,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236146&Q_SEASON=2012,LB,6/2/17,215,SR,SQ,"Grapevine, TX",Grapevine,TX,Colleyville Heritage High School,Southeastern Oklahoma State University,,,,Texas A&M University,2012-2013
28,Brandon Williams,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502914&Q_SEASON=2012,RB,6/2/04,192,SO,TR,"Brookshire, TX",Brookshire,TX,Royal High School,,,,,Texas A&M University,2012-2013
29,Deshazor Everett,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205239915&Q_SEASON=2012,DB,6/2/04,181,SO,1L,"DeRidder, LA",DeRidder,LA,DeRidder High School,,,,,Texas A&M University,2012-2013
30,Johntel Franklin,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236173&Q_SEASON=2012,DB,6/3/17,200,JR,RS,"Milwaukee, WI",Milwaukee,WI,Madison High School,Victor Valley Community College,,,,Texas A&M University,2012-2013
31,Howard Matthews,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205240017&Q_SEASON=2012,DB,6/3/17,206,SO,1L,"League City, TX",League City,TX,Clear Springs High School,,,,,Texas A&M University,2012-2013
32,Rylan Riney,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205239922&Q_SEASON=2012,DB,5/12/17,175,FR,RS,"Aledo, TX",Aledo,TX,Aledo High School,,,,,Texas A&M University,2012-2013
33,Christine Michael,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236087&Q_SEASON=2012,RB,5/12/17,220,SR,3L,"Beaumont, TX",Beaumont,TX,West Brook High School,,,,,Texas A&M University,2012-2013
33,Michael Richardson,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502920&Q_SEASON=2012,LB,6/3/17,230,FR,HS,"DeSoto, TX",DeSoto,TX,DeSoto High School,,,,,Texas A&M University,2012-2013
34,Jordan Richmond,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502919&Q_SEASON=2012,LB,6/4/17,225,FR,HS,"Denton, TX",Denton,TX,Ryan High School,,,,,Texas A&M University,2012-2013
35,Tyrell Taylor,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205248825&Q_SEASON=2012,LB,6/5/17,212,SO,1L,"Houston, TX",Houston,TX,Galena Park High School,,,,,Texas A&M University,2012-2013
35,Matt Wilkins,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502916&Q_SEASON=2012,WR,5/10/17,185,SO,SQ,"College Station, TX",College Station,TX,A&M Consolidated High School,,,,,Texas A&M University,2012-2013
36,Donnie Baggs,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236139&Q_SEASON=2012,LB,6/2/17,230,SO,1L,"League City, TX",League City,TX,Clear Springs High School,,,,,Texas A&M University,2012-2013
37,Garrett Graham,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236135&Q_SEASON=2012,RB,5/11/17,197,SO,SQ,"Mansfield, TX",Mansfield,TX,Mansfield High School,,,,,Texas A&M University,2012-2013
38,Drew Kaser,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205239916&Q_SEASON=2012,P,6/4/17,220,SO,SQ,"Strongsville, OH",Strongsville,OH,Walsh Jesuit High School,,,,,Texas A&M University,2012-2013
40,Shaun Ward,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205239926&Q_SEASON=2012,LB,6/3/17,244,SO,1L,"Ft. Lauderdale, FL",Ft. Lauderdale,FL,Boyd Anderson High School,,,,,Texas A&M University,2012-2013
41,Brandon Alexander,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205240008&Q_SEASON=2012,DL,6/7/17,245,SO,1L,"Brenham, TX",Brenham,TX,Brenham High School,,,,,Texas A&M University,2012-2013
42,Kirby Ennis,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236113&Q_SEASON=2012,DL,6/5/17,300,JR,2L,"Huntsville, TX",Huntsville,TX,Huntsville High School,,,,,Texas A&M University,2012-2013
43,Justin Bass,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205239910&Q_SEASON=2012,LB,6/3/17,217,SO,SQ,"Plano, TX",Plano,TX,West High School,,,,,Texas A&M University,2012-2013
44,Sam Moeller,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205239917&Q_SEASON=2012,DB,5/12/17,186,FR,RS,"San Antonio, TX",San Antonio,TX,Antonian Prep High School,,,,,Texas A&M University,2012-2013
45,Steven Jenkins,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236126&Q_SEASON=2012,LB,6/3/17,220,JR,1L,"Pensacola, FL",Pensacola,FL,Pine Forest High School,Coffeyville Community College,,,,Texas A&M University,2012-2013
46,Jake Russell,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236179&Q_SEASON=2012,LB,6/3/17,229,JR,SQ,"Sulphur Springs, TX",Sulphur Springs,TX,Sulphur Springs High School,,,,,Texas A&M University,2012-2013
48,Ryan Epperson,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236160&Q_SEASON=2012,P,6/3/17,195,SR,3L,"Keller, TX",Keller,TX,Keller High School,,,,,Texas A&M University,2012-2013
50,Justin Ortega,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205247953&Q_SEASON=2012,OL,5/11/17,235,SO,1L,"San Antonio, TX",San Antonio,TX,Reagan High School,,,,,Texas A&M University,2012-2013
50,Tyrone Taylor,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502996&Q_SEASON=2012,LB,6/4/17,210,FR,HS,"Houston, TX",Houston,TX,Galena Park High School,,,,,Texas A&M University,2012-2013
51,Jarvis Harrison,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236120&Q_SEASON=2012,OL,6/5/17,320,SO,1L,"Navasota, TX",Navasota,TX,Navasota High School,,,,,Texas A&M University,2012-2013
53,Caden Smith,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205239923&Q_SEASON=2012,OL,6/4/17,259,FR,RS,"Roscoe, TX",Roscoe,TX,Roscoe High School,,,,,Texas A&M University,2012-2013
55,Alonzo Williams,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502917&Q_SEASON=2012,DL,6/5/17,248,FR,HS,"Long Beach, CA",Long Beach,CA,Polytechnic High School,,,,,Texas A&M University,2012-2013
56,Mike Matthews,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502923&Q_SEASON=2012,OL,6/4/17,260,FR,HS,"Missouri City, TX",Missouri City,TX,Elkins High School,,,,,Texas A&M University,2012-2013
57,Dylan Guthrie,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205240014&Q_SEASON=2012,OL,6/4/17,269,SO,SQ,"Houston, TX",Houston,TX,Memorial High School,,,,,Texas A&M University,2012-2013
58,Cody Johnson,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205240016&Q_SEASON=2012,LB,6/2/17,220,FR,RS,"Anahuac, TX",Anahuac,TX,Anahuac High School,,,,,Texas A&M University,2012-2013
59,Allen Woodum,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236121&Q_SEASON=2012,OL,6/4/17,292,SR,SQ,"Conroe, TX",Conroe,TX,Conroe High School,,,,,Texas A&M University,2012-2013
60,Nathan Gutekunst,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205240013&Q_SEASON=2012,OL,6/7/17,308,FR,RS,"Humble, TX",Humble,TX,Atascocita High School,,,,,Texas A&M University,2012-2013
61,Patrick Lewis,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236202&Q_SEASON=2012,OL,6/3/17,312,SR,3L,"Reserve, LA",Reserve,LA,East St. John High School,,,,,Texas A&M University,2012-2013
64,Jonathan Puffer,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502994&Q_SEASON=2012,DS,6/4/17,226,SO,SQ,"Katy, TX",Katy,TX,Taylor High School,,,,,Texas A&M University,2012-2013
67,Tyler Godwin,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502823&Q_SEASON=2012,DL,6/4/17,280,FR,HS,"Clear Springs, TX",Clear Springs,TX,Clear Springs High School,,,,,Texas A&M University,2012-2013
68,Ben Compton,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205240010&Q_SEASON=2012,OL,6/5/17,307,SO,1L,"Friendswood, TX",Friendswood,TX,Friendswood High School,,,,,Texas A&M University,2012-2013
70,Cedric Ogbuehi,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236104&Q_SEASON=2012,OL,6/6/17,295,SO,1L,"Allen, TX",Allen,TX,Allen High School,,,,,Texas A&M University,2012-2013
71,Kimo Tipoti,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502918&Q_SEASON=2012,OL,6/4/17,320,FR,HS,"Hurst, TX",Hurst,TX,L.D. Bell High School,,,,,Texas A&M University,2012-2013
72,Gavin Stansbury,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236177&Q_SEASON=2012,DL,6/5/17,270,SO,1L,"Franklin, LA",Franklin,LA,Franklin High School,,,,,Texas A&M University,2012-2013
73,Rhontae Scales,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236171&Q_SEASON=2012,DL,6/7/17,300,JR,2L,"Killeen, TX",Killeen,TX,Killeen High School,,,,,Texas A&M University,2012-2013
74,Germain Ifedi,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502999&Q_SEASON=2012,OL,6/6/17,338,FR,HS,"Houston, TX",Houston,TX,Westside High School,,,,,Texas A&M University,2012-2013
75,Jake Matthews,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236149&Q_SEASON=2012,OL,6/6/17,305,JR,2L,"Missouri City, TX",Missouri City,TX,Elkins High School,,,,,Texas A&M University,2012-2013
76,Luke Joeckel,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236090&Q_SEASON=2012,OL,6/7/17,310,JR,2L,"Arlington, TX",Arlington,TX,Arlington High School,,,,,Texas A&M University,2012-2013
77,Shep Klinke,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236155&Q_SEASON=2012,OL,6/8/17,305,JR,2L,"Katy, TX",Katy,TX,Katy High School,,,,,Texas A&M University,2012-2013
78,Garrett Gramling,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236100&Q_SEASON=2012,OL,6/7/17,309,SO,SQ,"Denton, TX",Denton,TX,Ryan High School,,,,,Texas A&M University,2012-2013
79,Joseph Cheek,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236128&Q_SEASON=2012,OL,6/8/17,300,FR,RS,"Seguin, TX",Seguin,TX,Seguin High School,,,,,Texas A&M University,2012-2013
81,Nehemiah Hicks,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236196&Q_SEASON=2012,TE,6/5/17,243,JR,2L,"Hutto, TX",Hutto,TX,Hutto High School,,,,,Texas A&M University,2012-2013
83,Colton Beardmore,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502992&Q_SEASON=2012,WR,5/10/17,170,FR,RS,"Cypress, TX",Cypress,TX,Cy Woods High School,,,,,Texas A&M University,2012-2013
84,Malcome Kennedy,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236150&Q_SEASON=2012,WR,6/2/04,200,SO,1L,"Cayuga, TX",Cayuga,TX,Cayuga High School,,,,,Texas A&M University,2012-2013
86,Caleb Little,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502993&Q_SEASON=2012,TE,6/4/17,235,SO,RS,"Salado, TX",Salado,TX,Salado High School,Mary Hardin-Baylor University,,,,Texas A&M University,2012-2013
88,Gaston Lamascus,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236175&Q_SEASON=2012,WR,5/7/17,182,JR,SQ,"Navasota, TX",Navasota,TX,Navasota High School,,,,,Texas A&M University,2012-2013
