Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Eligibility,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
1,De'Vante Harris,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502926&Q_SEASON=2012,DB,5/11/17,175,FR,HS,"Mesquite, TX",Mesquite,TX,Horn High School,,,,,Texas A&M University,2012-2013
1,Ben Malena,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236184&Q_SEASON=2012,RB,5/9/17,195,JR,2L,"Cedar Hill, TX",Cedar Hill,TX,Cedar Hill High School,,,,,Texas A&M University,2012-2013
2,Steven Campbell,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236103&Q_SEASON=2012,DB,6/2/04,201,SR,3L,"Houston, TX",Houston,TX,Jersey Village High School,,,,,Texas A&M University,2012-2013
2,Johnny Manziel,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236136&Q_SEASON=2012,QB,6/2/17,200,FR,RS,"Kerrville, TX",Kerrville,TX,Tivy High School,,,,,Texas A&M University,2012-2013
3,Jameill Showers,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236168&Q_SEASON=2012,QB,6/3/17,219,SO,1L,"Killeen, TX",Killeen,TX,Shoemaker High School,,,,,Texas A&M University,2012-2013
4,Toney Hurd Jr.,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236129&Q_SEASON=2012,DB,5/10/17,180,JR,2L,"Missouri City, TX",Missouri City,TX,Fort Bend Marshall High School,,,,,Texas A&M University,2012-2013
4,Brandal Jackson,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236111&Q_SEASON=2012,WR,6/2/17,191,SR,3L,"Navasota, TX",Navasota,TX,Navasota High School,,,,,Texas A&M University,2012-2013
5,Kenric McNeal,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236119&Q_SEASON=2012,WR,6/2/17,184,SR,3L,"Spring, TX",Spring,TX,Spring High School,,,,,Texas A&M University,2012-2013
6,Matt Davis,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502898&Q_SEASON=2012,QB,6/3/17,206,FR,HS,"Houston, TX",Houston,TX,Klein Forest High School,,,,,Texas A&M University,2012-2013
6,Desmond Gardiner,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205236125&Q_SEASON=2012,DB,5/11/17,193,JR,2L,"Port Arthur, TX",Port Arthur,TX,Memorial High School,,,,,Texas A&M University,2012-2013
7,Tramain Jacobs,http://www.aggieathletics.com/ViewArticle.dbml?SPSID=632663&SPID=93232&DB_LANG=C&DB_OEM_ID=27300&ATCLID=205502901&Q_SEASON=2012,DB,6/2/17,190,JR,TR,"Covington, LA",Covington,LA,Covington High School,Mississippi Gulf Coast Community College ,,,,Texas A&M University,2012-2013
