Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F
1985-1986,122755,San Jose State University,Area and Ethnic Studies,5',Bachelor's degrees,2,2,0
1985-1986,122755,San Jose State University,Visual and Performing Arts,50',Bachelor's degrees,193,92,101
1985-1986,122755,San Jose State University,Business and Management,6',Bachelor's degrees,873,405,468
1985-1986,122755,San Jose State University,Communications,9',Bachelor's degrees,261,116,145
1985-1986,228246,Southern Methodist University,Computer and Information Sciences,11',Bachelor's degrees,17,9,8
1985-1986,228246,Southern Methodist University,Education,13',Bachelor's degrees,21,6,15
1985-1986,228246,Southern Methodist University,Engineering,14',Bachelor's degrees,114,90,24
1985-1986,228246,Southern Methodist University,Engineering and Engineering Related Technologies,15',Bachelor's degrees,7,3,4
1985-1986,228246,Southern Methodist University,Foreign Languages,16',Bachelor's degrees,22,4,18
1985-1986,228246,Southern Methodist University,Allied Health,17',Bachelor's degrees,4,1,3
1985-1986,228246,Southern Methodist University,Letters,23',Bachelor's degrees,53,17,36
1985-1986,228246,Southern Methodist University,Life Sciences,26',Bachelor's degrees,42,26,16
1985-1986,228246,Southern Methodist University,Mathematics,27',Bachelor's degrees,19,7,12
1985-1986,228246,Southern Methodist University,Philosophy and Religion,38',Bachelor's degrees,6,4,2
1985-1986,228246,Southern Methodist University,Physical Sciences,40',Bachelor's degrees,19,16,3
1985-1986,228246,Southern Methodist University,Psychology,42',Bachelor's degrees,69,20,49
1985-1986,228246,Southern Methodist University,Protective Services,43',Bachelor's degrees,6,1,5
1985-1986,228246,Southern Methodist University,Social Sciences,45',Bachelor's degrees,214,130,84
1985-1986,228246,Southern Methodist University,Area and Ethnic Studies,5',Bachelor's degrees,4,3,1
1985-1986,228246,Southern Methodist University,Visual and Performing Arts,50',Bachelor's degrees,129,42,87
1985-1986,228246,Southern Methodist University,Business and Management,6',Bachelor's degrees,477,250,227
1985-1986,228246,Southern Methodist University,Communications,9',Bachelor's degrees,235,63,172
1985-1986,243744,Stanford University,Engineering,14',Bachelor's degrees,341,258,83
1985-1986,243744,Stanford University,Foreign Languages,16',Bachelor's degrees,37,17,20
1985-1986,243744,Stanford University,Letters,23',Bachelor's degrees,105,51,54
1985-1986,243744,Stanford University,Life Sciences,26',Bachelor's degrees,148,85,63
1985-1986,243744,Stanford University,Mathematics,27',Bachelor's degrees,61,32,29
1985-1986,243744,Stanford University,Multi/Interdisciplinary Studies,30',Bachelor's degrees,205,81,124
1985-1986,243744,Stanford University,Philosophy and Religion,38',Bachelor's degrees,21,20,1
1985-1986,243744,Stanford University,Physical Sciences,40',Bachelor's degrees,59,42,17
1985-1986,243744,Stanford University,Psychology,42',Bachelor's degrees,54,26,28
1985-1986,243744,Stanford University,Public Affairs,44',Bachelor's degrees,14,7,7
1985-1986,243744,Stanford University,Social Sciences,45',Bachelor's degrees,511,297,214
1985-1986,243744,Stanford University,Area and Ethnic Studies,5',Bachelor's degrees,21,8,13
1985-1986,243744,Stanford University,Visual and Performing Arts,50',Bachelor's degrees,33,17,16
1985-1986,243744,Stanford University,Communications,9',Bachelor's degrees,39,15,24
1985-1986,228723,Texas A & M University-College Station,Agricultural Business and Production,1',Bachelor's degrees,306,215,91
1985-1986,228723,Texas A & M University-College Station,Computer and Information Sciences,11',Bachelor's degrees,271,191,80
1985-1986,228723,Texas A & M University-College Station,Education,13',Bachelor's degrees,635,126,509
1985-1986,228723,Texas A & M University-College Station,Engineering,14',Bachelor's degrees,1461,1223,238
1985-1986,228723,Texas A & M University-College Station,Engineering and Engineering Related Technologies,15',Bachelor's degrees,182,168,14
1985-1986,228723,Texas A & M University-College Station,Foreign Languages,16',Bachelor's degrees,24,6,18
1985-1986,228723,Texas A & M University-College Station,Health Sciences,18',Bachelor's degrees,15,11,4
1985-1986,228723,Texas A & M University-College Station,Home Economics,19',Bachelor's degrees,13,3,10
1985-1986,228723,Texas A & M University-College Station,Agricultural Sciences,2',Bachelor's degrees,357,196,161
1985-1986,228723,Texas A & M University-College Station,Letters,23',Bachelor's degrees,80,22,58
1985-1986,228723,Texas A & M University-College Station,Life Sciences,26',Bachelor's degrees,248,126,122
1985-1986,228723,Texas A & M University-College Station,Mathematics,27',Bachelor's degrees,24,8,16
1985-1986,228723,Texas A & M University-College Station,Renewable Natural Resources,3',Bachelor's degrees,16,12,4
1985-1986,228723,Texas A & M University-College Station,Multi/Interdisciplinary Studies,30',Bachelor's degrees,99,44,55
1985-1986,228723,Texas A & M University-College Station,Parks and Recreation,31',Bachelor's degrees,46,25,21
1985-1986,228723,Texas A & M University-College Station,Philosophy and Religion,38',Bachelor's degrees,10,7,3
1985-1986,228723,Texas A & M University-College Station,Architecture and Environmental Design,4',Bachelor's degrees,328,255,73
1985-1986,228723,Texas A & M University-College Station,Physical Sciences,40',Bachelor's degrees,137,101,36
1985-1986,228723,Texas A & M University-College Station,Psychology,42',Bachelor's degrees,151,40,111
1985-1986,228723,Texas A & M University-College Station,Social Sciences,45',Bachelor's degrees,312,170,142
1985-1986,228723,Texas A & M University-College Station,Visual and Performing Arts,50',Bachelor's degrees,3,0,3
1985-1986,228723,Texas A & M University-College Station,Business and Management,6',Bachelor's degrees,1198,575,623
1985-1986,228723,Texas A & M University-College Station,Marketing and Distribution,8',Bachelor's degrees,102,78,24
1985-1986,228723,Texas A & M University-College Station,Communications,9',Bachelor's degrees,123,28,95
1985-1986,100751,The University of Alabama,Computer and Information Sciences,11',Bachelor's degrees,49,27,22
1985-1986,100751,The University of Alabama,Education,13',Bachelor's degrees,169,28,141
1985-1986,100751,The University of Alabama,Engineering,14',Bachelor's degrees,309,261,48
1985-1986,100751,The University of Alabama,Engineering and Engineering Related Technologies,15',Bachelor's degrees,20,19,1
1985-1986,100751,The University of Alabama,Foreign Languages,16',Bachelor's degrees,6,1,5
1985-1986,100751,The University of Alabama,Allied Health,17',Bachelor's degrees,4,1,3
1985-1986,100751,The University of Alabama,Health Sciences,18',Bachelor's degrees,148,22,126
1985-1986,100751,The University of Alabama,Home Economics,19',Bachelor's degrees,81,0,81
1985-1986,100751,The University of Alabama,Vocational Home Economics,20',Bachelor's degrees,3,0,3
1985-1986,100751,The University of Alabama,Law (non-first professional),22',Bachelor's degrees,7,7,0
1985-1986,100751,The University of Alabama,Letters,23',Bachelor's degrees,38,13,25
1985-1986,100751,The University of Alabama,Liberal/General Studies,24',Bachelor's degrees,2,0,2
1985-1986,100751,The University of Alabama,Life Sciences,26',Bachelor's degrees,51,27,24
1985-1986,100751,The University of Alabama,Mathematics,27',Bachelor's degrees,31,11,20
1985-1986,100751,The University of Alabama,Multi/Interdisciplinary Studies,30',Bachelor's degrees,93,55,38
1985-1986,100751,The University of Alabama,Parks and Recreation,31',Bachelor's degrees,18,4,14
1985-1986,100751,The University of Alabama,Philosophy and Religion,38',Bachelor's degrees,4,2,2
1985-1986,100751,The University of Alabama,Architecture and Environmental Design,4',Bachelor's degrees,25,0,25
1985-1986,100751,The University of Alabama,Physical Sciences,40',Bachelor's degrees,50,38,12
1985-1986,100751,The University of Alabama,Psychology,42',Bachelor's degrees,41,22,19
1985-1986,100751,The University of Alabama,Protective Services,43',Bachelor's degrees,26,16,10
1985-1986,100751,The University of Alabama,Public Affairs,44',Bachelor's degrees,14,4,10
1985-1986,100751,The University of Alabama,Social Sciences,45',Bachelor's degrees,124,89,35
1985-1986,100751,The University of Alabama,Area and Ethnic Studies,5',Bachelor's degrees,8,7,1
1985-1986,100751,The University of Alabama,Visual and Performing Arts,50',Bachelor's degrees,30,15,15
1985-1986,100751,The University of Alabama,Business and Management,6',Bachelor's degrees,558,318,240
1985-1986,100751,The University of Alabama,Business (Administrative Support),7',Bachelor's degrees,7,0,7
1985-1986,100751,The University of Alabama,Communications,9',Bachelor's degrees,347,158,189
1985-1986,228778,The University of Texas at Austin,Computer and Information Sciences,11',Bachelor's degrees,164,111,53
1985-1986,228778,The University of Texas at Austin,Education,13',Bachelor's degrees,393,54,339
1985-1986,228778,The University of Texas at Austin,Engineering,14',Bachelor's degrees,985,867,118
1985-1986,228778,The University of Texas at Austin,Foreign Languages,16',Bachelor's degrees,88,16,72
1985-1986,228778,The University of Texas at Austin,Allied Health,17',Bachelor's degrees,10,1,9
1985-1986,228778,The University of Texas at Austin,Health Sciences,18',Bachelor's degrees,138,10,128
1985-1986,228778,The University of Texas at Austin,Home Economics,19',Bachelor's degrees,155,4,151
1985-1986,228778,The University of Texas at Austin,Letters,23',Bachelor's degrees,219,77,142
1985-1986,228778,The University of Texas at Austin,Liberal/General Studies,24',Bachelor's degrees,116,58,58
1985-1986,228778,The University of Texas at Austin,Life Sciences,26',Bachelor's degrees,251,159,92
1985-1986,228778,The University of Texas at Austin,Mathematics,27',Bachelor's degrees,60,31,29
1985-1986,228778,The University of Texas at Austin,Multi/Interdisciplinary Studies,30',Bachelor's degrees,10,6,4
1985-1986,228778,The University of Texas at Austin,Philosophy and Religion,38',Bachelor's degrees,19,15,4
1985-1986,228778,The University of Texas at Austin,Architecture and Environmental Design,4',Bachelor's degrees,70,50,20
1985-1986,228778,The University of Texas at Austin,Physical Sciences,40',Bachelor's degrees,154,107,47
1985-1986,228778,The University of Texas at Austin,Psychology,42',Bachelor's degrees,270,94,176
1985-1986,228778,The University of Texas at Austin,Public Affairs,44',Bachelor's degrees,66,12,54
1985-1986,228778,The University of Texas at Austin,Social Sciences,45',Bachelor's degrees,715,478,237
1985-1986,228778,The University of Texas at Austin,Area and Ethnic Studies,5',Bachelor's degrees,27,13,14
1985-1986,228778,The University of Texas at Austin,Visual and Performing Arts,50',Bachelor's degrees,256,84,172
1985-1986,228778,The University of Texas at Austin,Business and Management,6',Bachelor's degrees,1711,891,820
1985-1986,228778,The University of Texas at Austin,Business (Administrative Support),7',Bachelor's degrees,151,68,83
1985-1986,228778,The University of Texas at Austin,Communications,9',Bachelor's degrees,835,314,521
1985-1986,134130,University of Florida,Agricultural Business and Production,1',Bachelor's degrees,59,44,15
1985-1986,134130,University of Florida,Computer and Information Sciences,11',Bachelor's degrees,353,245,108
1985-1986,134130,University of Florida,Education,13',Bachelor's degrees,458,125,333
1985-1986,134130,University of Florida,Engineering,14',Bachelor's degrees,700,610,90
1985-1986,134130,University of Florida,Engineering and Engineering Related Technologies,15',Bachelor's degrees,109,108,1
1985-1986,134130,University of Florida,Foreign Languages,16',Bachelor's degrees,35,13,22
1985-1986,134130,University of Florida,Allied Health,17',Bachelor's degrees,116,28,88
1985-1986,134130,University of Florida,Health Sciences,18',Bachelor's degrees,136,11,125
1985-1986,134130,University of Florida,Home Economics,19',Bachelor's degrees,15,0,15
1985-1986,134130,University of Florida,Agricultural Sciences,2',Bachelor's degrees,157,98,59
1985-1986,134130,University of Florida,Letters,23',Bachelor's degrees,182,60,122
1985-1986,134130,University of Florida,Life Sciences,26',Bachelor's degrees,196,127,69
1985-1986,134130,University of Florida,Mathematics,27',Bachelor's degrees,92,46,46
1985-1986,134130,University of Florida,Renewable Natural Resources,3',Bachelor's degrees,36,22,14
1985-1986,134130,University of Florida,Multi/Interdisciplinary Studies,30',Bachelor's degrees,36,18,18
1985-1986,134130,University of Florida,Philosophy and Religion,38',Bachelor's degrees,26,18,8
1985-1986,134130,University of Florida,Architecture and Environmental Design,4',Bachelor's degrees,169,114,55
1985-1986,134130,University of Florida,Physical Sciences,40',Bachelor's degrees,109,88,21
1985-1986,134130,University of Florida,Psychology,42',Bachelor's degrees,226,80,146
1985-1986,134130,University of Florida,Protective Services,43',Bachelor's degrees,106,66,40
1985-1986,134130,University of Florida,Social Sciences,45',Bachelor's degrees,412,269,143
1985-1986,134130,University of Florida,Area and Ethnic Studies,5',Bachelor's degrees,6,3,3
1985-1986,134130,University of Florida,Visual and Performing Arts,50',Bachelor's degrees,100,41,59
1985-1986,134130,University of Florida,Business and Management,6',Bachelor's degrees,1196,712,484
1985-1986,134130,University of Florida,Communications,9',Bachelor's degrees,615,215,400
1985-1986,139959,University of Georgia,Agricultural Business and Production,1',Bachelor's degrees,103,91,12
1985-1986,139959,University of Georgia,Communications Technologies,10',Bachelor's degrees,86,41,45
1985-1986,139959,University of Georgia,Computer and Information Sciences,11',Bachelor's degrees,128,89,39
1985-1986,139959,University of Georgia,Education,13',Bachelor's degrees,522,126,396
1985-1986,139959,University of Georgia,Engineering,14',Bachelor's degrees,29,24,5
1985-1986,139959,University of Georgia,Foreign Languages,16',Bachelor's degrees,32,5,27
1985-1986,139959,University of Georgia,Allied Health,17',Bachelor's degrees,2,0,2
1985-1986,139959,University of Georgia,Health Sciences,18',Bachelor's degrees,31,9,22
1985-1986,139959,University of Georgia,Home Economics,19',Bachelor's degrees,92,3,89
1985-1986,139959,University of Georgia,Agricultural Sciences,2',Bachelor's degrees,109,80,29
1985-1986,139959,University of Georgia,Vocational Home Economics,20',Bachelor's degrees,33,1,32
1985-1986,139959,University of Georgia,Letters,23',Bachelor's degrees,170,74,96
1985-1986,139959,University of Georgia,Life Sciences,26',Bachelor's degrees,194,126,68
1985-1986,139959,University of Georgia,Mathematics,27',Bachelor's degrees,26,17,9
1985-1986,139959,University of Georgia,Renewable Natural Resources,3',Bachelor's degrees,31,28,3
1985-1986,139959,University of Georgia,Multi/Interdisciplinary Studies,30',Bachelor's degrees,30,15,15
1985-1986,139959,University of Georgia,Philosophy and Religion,38',Bachelor's degrees,7,5,2
1985-1986,139959,University of Georgia,Architecture and Environmental Design,4',Bachelor's degrees,40,30,10
1985-1986,139959,University of Georgia,Physical Sciences,40',Bachelor's degrees,55,48,7
1985-1986,139959,University of Georgia,Psychology,42',Bachelor's degrees,129,42,87
1985-1986,139959,University of Georgia,Protective Services,43',Bachelor's degrees,25,8,17
1985-1986,139959,University of Georgia,Public Affairs,44',Bachelor's degrees,25,3,22
1985-1986,139959,University of Georgia,Social Sciences,45',Bachelor's degrees,395,278,117
1985-1986,139959,University of Georgia,Area and Ethnic Studies,5',Bachelor's degrees,2,1,1
1985-1986,139959,University of Georgia,Visual and Performing Arts,50',Bachelor's degrees,164,51,113
1985-1986,139959,University of Georgia,Business and Management,6',Bachelor's degrees,1016,553,463
1985-1986,139959,University of Georgia,Marketing and Distribution,8',Bachelor's degrees,55,4,51
1985-1986,139959,University of Georgia,Communications,9',Bachelor's degrees,304,91,213
1985-1986,157289,University of Louisville,Computer and Information Sciences,11',Bachelor's degrees,17,9,8
1985-1986,157289,University of Louisville,Education,13',Bachelor's degrees,123,30,93
1985-1986,157289,University of Louisville,Engineering,14',Bachelor's degrees,223,185,38
1985-1986,157289,University of Louisville,Foreign Languages,16',Bachelor's degrees,7,1,6
1985-1986,157289,University of Louisville,Allied Health,17',Bachelor's degrees,21,5,16
1985-1986,157289,University of Louisville,Health Sciences,18',Bachelor's degrees,61,6,55
1985-1986,157289,University of Louisville,Home Economics,19',Bachelor's degrees,4,0,4
1985-1986,157289,University of Louisville,Letters,23',Bachelor's degrees,40,14,26
1985-1986,157289,University of Louisville,Liberal/General Studies,24',Bachelor's degrees,18,6,12
1985-1986,157289,University of Louisville,Life Sciences,26',Bachelor's degrees,58,30,28
1985-1986,157289,University of Louisville,Mathematics,27',Bachelor's degrees,23,8,15
1985-1986,157289,University of Louisville,Multi/Interdisciplinary Studies,30',Bachelor's degrees,3,0,3
1985-1986,157289,University of Louisville,Parks and Recreation,31',Bachelor's degrees,6,3,3
1985-1986,157289,University of Louisville,Philosophy and Religion,38',Bachelor's degrees,10,4,6
1985-1986,157289,University of Louisville,Architecture and Environmental Design,4',Bachelor's degrees,14,3,11
1985-1986,157289,University of Louisville,Physical Sciences,40',Bachelor's degrees,39,26,13
1985-1986,157289,University of Louisville,Psychology,42',Bachelor's degrees,63,28,35
1985-1986,157289,University of Louisville,Protective Services,43',Bachelor's degrees,34,17,17
1985-1986,157289,University of Louisville,Social Sciences,45',Bachelor's degrees,154,76,78
1985-1986,157289,University of Louisville,Area and Ethnic Studies,5',Bachelor's degrees,1,1,0
1985-1986,157289,University of Louisville,Visual and Performing Arts,50',Bachelor's degrees,54,18,36
1985-1986,157289,University of Louisville,Business and Management,6',Bachelor's degrees,384,204,180
1985-1986,157289,University of Louisville,Business (Administrative Support),7',Bachelor's degrees,14,0,14
1985-1986,157289,University of Louisville,Communications,9',Bachelor's degrees,116,53,63
1985-1986,135726,University of Miami,Communications Technologies,10',Bachelor's degrees,8,3,5
1985-1986,135726,University of Miami,Computer and Information Sciences,11',Bachelor's degrees,82,48,34
1985-1986,135726,University of Miami,Education,13',Bachelor's degrees,66,8,58
1985-1986,135726,University of Miami,Engineering,14',Bachelor's degrees,233,198,35
1985-1986,135726,University of Miami,Foreign Languages,16',Bachelor's degrees,5,1,4
1985-1986,135726,University of Miami,Allied Health,17',Bachelor's degrees,44,11,33
1985-1986,135726,University of Miami,Health Sciences,18',Bachelor's degrees,149,47,102
1985-1986,135726,University of Miami,Letters,23',Bachelor's degrees,35,10,25
1985-1986,135726,University of Miami,Liberal/General Studies,24',Bachelor's degrees,7,5,2
1985-1986,135726,University of Miami,Life Sciences,26',Bachelor's degrees,55,32,23
1985-1986,135726,University of Miami,Mathematics,27',Bachelor's degrees,16,7,9
1985-1986,135726,University of Miami,Parks and Recreation,31',Bachelor's degrees,3,1,2
1985-1986,135726,University of Miami,Philosophy and Religion,38',Bachelor's degrees,14,8,6
1985-1986,135726,University of Miami,Architecture and Environmental Design,4',Bachelor's degrees,42,31,11
1985-1986,135726,University of Miami,Physical Sciences,40',Bachelor's degrees,45,33,12
1985-1986,135726,University of Miami,Psychology,42',Bachelor's degrees,90,31,59
1985-1986,135726,University of Miami,Protective Services,43',Bachelor's degrees,6,2,4
1985-1986,135726,University of Miami,Public Affairs,44',Bachelor's degrees,3,2,1
1985-1986,135726,University of Miami,Social Sciences,45',Bachelor's degrees,70,33,37
1985-1986,135726,University of Miami,Visual and Performing Arts,50',Bachelor's degrees,76,42,34
1985-1986,135726,University of Miami,Business and Management,6',Bachelor's degrees,392,211,181
1985-1986,135726,University of Miami,Marketing and Distribution,8',Bachelor's degrees,68,23,45
1985-1986,135726,University of Miami,Communications,9',Bachelor's degrees,101,36,65
1985-1986,170976,University of Michigan-Ann Arbor,Computer and Information Sciences,11',Bachelor's degrees,120,77,43
1985-1986,170976,University of Michigan-Ann Arbor,Consumer- Personal and Miscellaneous Services,12',Bachelor's degrees,7,7,0
1985-1986,170976,University of Michigan-Ann Arbor,Education,13',Bachelor's degrees,144,43,101
1985-1986,170976,University of Michigan-Ann Arbor,Engineering,14',Bachelor's degrees,990,802,188
1985-1986,170976,University of Michigan-Ann Arbor,Foreign Languages,16',Bachelor's degrees,116,34,82
1985-1986,170976,University of Michigan-Ann Arbor,Allied Health,17',Bachelor's degrees,34,1,33
1985-1986,170976,University of Michigan-Ann Arbor,Health Sciences,18',Bachelor's degrees,197,3,194
1985-1986,170976,University of Michigan-Ann Arbor,Letters,23',Bachelor's degrees,327,112,215
1985-1986,170976,University of Michigan-Ann Arbor,Liberal/General Studies,24',Bachelor's degrees,233,142,91
1985-1986,170976,University of Michigan-Ann Arbor,Life Sciences,26',Bachelor's degrees,310,198,112
1985-1986,170976,University of Michigan-Ann Arbor,Mathematics,27',Bachelor's degrees,73,35,38
1985-1986,170976,University of Michigan-Ann Arbor,Renewable Natural Resources,3',Bachelor's degrees,48,35,13
1985-1986,170976,University of Michigan-Ann Arbor,Multi/Interdisciplinary Studies,30',Bachelor's degrees,113,42,71
1985-1986,170976,University of Michigan-Ann Arbor,Philosophy and Religion,38',Bachelor's degrees,50,35,15
1985-1986,170976,University of Michigan-Ann Arbor,Architecture and Environmental Design,4',Bachelor's degrees,77,51,26
1985-1986,170976,University of Michigan-Ann Arbor,Physical Sciences,40',Bachelor's degrees,103,80,23
1985-1986,170976,University of Michigan-Ann Arbor,Psychology,42',Bachelor's degrees,362,118,244
1985-1986,170976,University of Michigan-Ann Arbor,Social Sciences,45',Bachelor's degrees,853,480,373
1985-1986,170976,University of Michigan-Ann Arbor,Area and Ethnic Studies,5',Bachelor's degrees,58,31,27
1985-1986,170976,University of Michigan-Ann Arbor,Visual and Performing Arts,50',Bachelor's degrees,268,100,168
1985-1986,170976,University of Michigan-Ann Arbor,Business and Management,6',Bachelor's degrees,299,164,135
1985-1986,170976,University of Michigan-Ann Arbor,Communications,9',Bachelor's degrees,242,82,160
1985-1986,181464,University of Nebraska-Lincoln,Agricultural Business and Production,1',Bachelor's degrees,132,116,16
1985-1986,181464,University of Nebraska-Lincoln,Computer and Information Sciences,11',Bachelor's degrees,85,66,19
1985-1986,181464,University of Nebraska-Lincoln,Education,13',Bachelor's degrees,480,162,318
1985-1986,181464,University of Nebraska-Lincoln,Engineering,14',Bachelor's degrees,339,308,31
1985-1986,181464,University of Nebraska-Lincoln,Engineering and Engineering Related Technologies,15',Bachelor's degrees,109,103,6
1985-1986,181464,University of Nebraska-Lincoln,Foreign Languages,16',Bachelor's degrees,18,6,12
1985-1986,181464,University of Nebraska-Lincoln,Allied Health,17',Bachelor's degrees,8,5,3
1985-1986,181464,University of Nebraska-Lincoln,Health Sciences,18',Bachelor's degrees,25,3,22
1985-1986,181464,University of Nebraska-Lincoln,Home Economics,19',Bachelor's degrees,199,8,191
1985-1986,181464,University of Nebraska-Lincoln,Agricultural Sciences,2',Bachelor's degrees,111,76,35
1985-1986,181464,University of Nebraska-Lincoln,Law (non-first professional),22',Bachelor's degrees,1,0,1
1985-1986,181464,University of Nebraska-Lincoln,Letters,23',Bachelor's degrees,55,27,28
1985-1986,181464,University of Nebraska-Lincoln,Liberal/General Studies,24',Bachelor's degrees,5,2,3
1985-1986,181464,University of Nebraska-Lincoln,Life Sciences,26',Bachelor's degrees,112,58,54
1985-1986,181464,University of Nebraska-Lincoln,Mathematics,27',Bachelor's degrees,47,29,18
1985-1986,181464,University of Nebraska-Lincoln,Renewable Natural Resources,3',Bachelor's degrees,33,27,6
1985-1986,181464,University of Nebraska-Lincoln,Multi/Interdisciplinary Studies,30',Bachelor's degrees,18,11,7
1985-1986,181464,University of Nebraska-Lincoln,Parks and Recreation,31',Bachelor's degrees,16,2,14
1985-1986,181464,University of Nebraska-Lincoln,Philosophy and Religion,38',Bachelor's degrees,3,2,1
1985-1986,181464,University of Nebraska-Lincoln,Architecture and Environmental Design,4',Bachelor's degrees,57,50,7
1985-1986,181464,University of Nebraska-Lincoln,Physical Sciences,40',Bachelor's degrees,50,43,7
1985-1986,181464,University of Nebraska-Lincoln,Psychology,42',Bachelor's degrees,79,31,48
1985-1986,181464,University of Nebraska-Lincoln,Social Sciences,45',Bachelor's degrees,135,88,47
1985-1986,181464,University of Nebraska-Lincoln,Visual and Performing Arts,50',Bachelor's degrees,49,21,28
1985-1986,181464,University of Nebraska-Lincoln,Business and Management,6',Bachelor's degrees,603,361,242
1985-1986,181464,University of Nebraska-Lincoln,Business (Administrative Support),7',Bachelor's degrees,17,0,17
1985-1986,181464,University of Nebraska-Lincoln,Communications,9',Bachelor's degrees,222,92,130
1985-1986,199120,University of North Carolina at Chapel Hill,Education,13',Bachelor's degrees,138,24,114
1985-1986,199120,University of North Carolina at Chapel Hill,Foreign Languages,16',Bachelor's degrees,45,14,31
1985-1986,199120,University of North Carolina at Chapel Hill,Allied Health,17',Bachelor's degrees,65,5,60
1985-1986,199120,University of North Carolina at Chapel Hill,Health Sciences,18',Bachelor's degrees,239,23,216
1985-1986,199120,University of North Carolina at Chapel Hill,Letters,23',Bachelor's degrees,230,76,154
1985-1986,199120,University of North Carolina at Chapel Hill,Life Sciences,26',Bachelor's degrees,172,84,88
1985-1986,199120,University of North Carolina at Chapel Hill,Mathematics,27',Bachelor's degrees,134,72,62
1985-1986,199120,University of North Carolina at Chapel Hill,Multi/Interdisciplinary Studies,30',Bachelor's degrees,41,9,32
1985-1986,199120,University of North Carolina at Chapel Hill,Parks and Recreation,31',Bachelor's degrees,35,7,28
1985-1986,199120,University of North Carolina at Chapel Hill,Philosophy and Religion,38',Bachelor's degrees,15,11,4
1985-1986,199120,University of North Carolina at Chapel Hill,Physical Sciences,40',Bachelor's degrees,155,102,53
1985-1986,199120,University of North Carolina at Chapel Hill,Psychology,42',Bachelor's degrees,195,37,158
1985-1986,199120,University of North Carolina at Chapel Hill,Protective Services,43',Bachelor's degrees,50,20,30
1985-1986,199120,University of North Carolina at Chapel Hill,Public Affairs,44',Bachelor's degrees,11,5,6
1985-1986,199120,University of North Carolina at Chapel Hill,Social Sciences,45',Bachelor's degrees,502,297,205
1985-1986,199120,University of North Carolina at Chapel Hill,Area and Ethnic Studies,5',Bachelor's degrees,65,26,39
1985-1986,199120,University of North Carolina at Chapel Hill,Visual and Performing Arts,50',Bachelor's degrees,41,15,26
1985-1986,199120,University of North Carolina at Chapel Hill,Business and Management,6',Bachelor's degrees,573,276,297
1985-1986,199120,University of North Carolina at Chapel Hill,Communications,9',Bachelor's degrees,311,113,198
1985-1986,152080,University of Notre Dame,Engineering,14',Bachelor's degrees,329,265,64
1985-1986,152080,University of Notre Dame,Foreign Languages,16',Bachelor's degrees,14,10,4
1985-1986,152080,University of Notre Dame,Health Sciences,18',Bachelor's degrees,162,125,37
1985-1986,152080,University of Notre Dame,Letters,23',Bachelor's degrees,94,53,41
1985-1986,152080,University of Notre Dame,Liberal/General Studies,24',Bachelor's degrees,58,31,27
1985-1986,152080,University of Notre Dame,Life Sciences,26',Bachelor's degrees,73,40,33
1985-1986,152080,University of Notre Dame,Mathematics,27',Bachelor's degrees,45,25,20
1985-1986,152080,University of Notre Dame,Philosophy and Religion,38',Bachelor's degrees,37,25,12
1985-1986,152080,University of Notre Dame,Theology,39',Bachelor's degrees,14,8,6
1985-1986,152080,University of Notre Dame,Architecture and Environmental Design,4',Bachelor's degrees,51,40,11
1985-1986,152080,University of Notre Dame,Physical Sciences,40',Bachelor's degrees,29,25,4
1985-1986,152080,University of Notre Dame,Psychology,42',Bachelor's degrees,63,31,32
1985-1986,152080,University of Notre Dame,Social Sciences,45',Bachelor's degrees,337,237,100
1985-1986,152080,University of Notre Dame,Area and Ethnic Studies,5',Bachelor's degrees,76,40,36
1985-1986,152080,University of Notre Dame,Visual and Performing Arts,50',Bachelor's degrees,21,13,8
1985-1986,152080,University of Notre Dame,Business and Management,6',Bachelor's degrees,478,347,131
1985-1986,152080,University of Notre Dame,Communications,9',Bachelor's degrees,21,12,9
1985-1986,207500,University of Oklahoma Norman Campus,Communications Technologies,10',Bachelor's degrees,67,38,29
1985-1986,207500,University of Oklahoma Norman Campus,Computer and Information Sciences,11',Bachelor's degrees,89,61,28
1985-1986,207500,University of Oklahoma Norman Campus,Education,13',Bachelor's degrees,188,30,158
1985-1986,207500,University of Oklahoma Norman Campus,Engineering,14',Bachelor's degrees,345,296,49
1985-1986,207500,University of Oklahoma Norman Campus,Foreign Languages,16',Bachelor's degrees,18,7,11
1985-1986,207500,University of Oklahoma Norman Campus,Health Sciences,18',Bachelor's degrees,14,5,9
1985-1986,207500,University of Oklahoma Norman Campus,Home Economics,19',Bachelor's degrees,51,4,47
1985-1986,207500,University of Oklahoma Norman Campus,Letters,23',Bachelor's degrees,54,19,35
1985-1986,207500,University of Oklahoma Norman Campus,Liberal/General Studies,24',Bachelor's degrees,30,12,18
1985-1986,207500,University of Oklahoma Norman Campus,Life Sciences,26',Bachelor's degrees,66,45,21
1985-1986,207500,University of Oklahoma Norman Campus,Mathematics,27',Bachelor's degrees,37,22,15
1985-1986,207500,University of Oklahoma Norman Campus,Parks and Recreation,31',Bachelor's degrees,12,3,9
1985-1986,207500,University of Oklahoma Norman Campus,Philosophy and Religion,38',Bachelor's degrees,7,4,3
1985-1986,207500,University of Oklahoma Norman Campus,Architecture and Environmental Design,4',Bachelor's degrees,108,78,30
