Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F
1985-1986,198419,Duke University,Life Sciences,26',Bachelor's degrees,145,69,76
1985-1986,198419,Duke University,Mathematics,27',Bachelor's degrees,21,7,14
1985-1986,198419,Duke University,Multi/Interdisciplinary Studies,30',Bachelor's degrees,16,8,8
1985-1986,198419,Duke University,Philosophy and Religion,38',Bachelor's degrees,33,20,13
1985-1986,198419,Duke University,Physical Sciences,40',Bachelor's degrees,85,48,37
1985-1986,198419,Duke University,Psychology,42',Bachelor's degrees,125,50,75
1985-1986,198419,Duke University,Public Affairs,44',Bachelor's degrees,98,42,56
1985-1986,198419,Duke University,Social Sciences,45',Bachelor's degrees,516,294,222
1985-1986,198419,Duke University,Area and Ethnic Studies,5',Bachelor's degrees,21,4,17
1985-1986,198419,Duke University,Visual and Performing Arts,50',Bachelor's degrees,47,15,32
1985-1986,131496,Georgetown University,Foreign Languages,16',Bachelor's degrees,122,25,97
1985-1986,131496,Georgetown University,Health Sciences,18',Bachelor's degrees,112,0,112
1985-1986,131496,Georgetown University,Letters,23',Bachelor's degrees,110,45,65
1985-1986,131496,Georgetown University,Liberal/General Studies,24',Bachelor's degrees,4,2,2
1985-1986,131496,Georgetown University,Life Sciences,26',Bachelor's degrees,62,30,32
1985-1986,131496,Georgetown University,Mathematics,27',Bachelor's degrees,10,5,5
1985-1986,131496,Georgetown University,Multi/Interdisciplinary Studies,30',Bachelor's degrees,9,3,6
1985-1986,131496,Georgetown University,Philosophy and Religion,38',Bachelor's degrees,11,4,7
1985-1986,131496,Georgetown University,Theology,39',Bachelor's degrees,9,5,4
1985-1986,131496,Georgetown University,Physical Sciences,40',Bachelor's degrees,24,17,7
1985-1986,131496,Georgetown University,Psychology,42',Bachelor's degrees,55,18,37
1985-1986,131496,Georgetown University,Social Sciences,45',Bachelor's degrees,619,358,261
1985-1986,131496,Georgetown University,Area and Ethnic Studies,5',Bachelor's degrees,14,7,7
1985-1986,131496,Georgetown University,Visual and Performing Arts,50',Bachelor's degrees,12,3,9
1985-1986,131496,Georgetown University,Business and Management,6',Bachelor's degrees,245,163,82
1985-1986,155399,Kansas State University,Agricultural Business and Production,1',Bachelor's degrees,136,120,16
1985-1986,155399,Kansas State University,Computer and Information Sciences,11',Bachelor's degrees,98,73,25
1985-1986,155399,Kansas State University,Education,13',Bachelor's degrees,285,59,226
1985-1986,155399,Kansas State University,Engineering,14',Bachelor's degrees,409,366,43
1985-1986,155399,Kansas State University,Engineering and Engineering Related Technologies,15',Bachelor's degrees,78,69,9
1985-1986,155399,Kansas State University,Foreign Languages,16',Bachelor's degrees,23,7,16
1985-1986,155399,Kansas State University,Allied Health,17',Bachelor's degrees,12,3,9
1985-1986,155399,Kansas State University,Health Sciences,18',Bachelor's degrees,23,15,8
1985-1986,155399,Kansas State University,Home Economics,19',Bachelor's degrees,115,6,109
1985-1986,155399,Kansas State University,Agricultural Sciences,2',Bachelor's degrees,185,143,42
1985-1986,155399,Kansas State University,Vocational Home Economics,20',Bachelor's degrees,24,4,20
1985-1986,155399,Kansas State University,Law (non-first professional),22',Bachelor's degrees,1,0,1
