Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2001-2002,142115,Boise State University,Bachelor's degree,First major,Parks- Recreation- Leisure and Fitness Studies,'31',18,5,13,17,4,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2001-2002,142115,Boise State University,Bachelor's degree,First major,Construction Trades,'46',23,22,1,20,19,1,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,142115,Boise State University,Bachelor's degree,First major,Physical Sciences,'40',19,11,8,17,9,8,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,142115,Boise State University,Bachelor's degree,First major,Philosophy and Religion,'38',6,3,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,142115,Boise State University,Bachelor's degree,First major,Public Administration and Services,'44',22,4,18,16,4,12,0,0,0,3,0,3,1,0,1,1,0,1,1,0,1,0,0,0
2001-2002,142115,Boise State University,Bachelor's degree,First major,Communications,'09',57,18,39,50,15,35,1,1,0,1,0,1,1,1,0,0,0,0,3,1,2,1,0,1
2001-2002,142115,Boise State University,Bachelor's degree,First major,Engineering,'14',60,56,4,49,45,4,0,0,0,4,4,0,5,5,0,0,0,0,2,2,0,0,0,0
2001-2002,142115,Boise State University,Bachelor's degree,First major,Psychology,'42',59,13,46,52,12,40,0,0,0,1,0,1,1,0,1,1,1,0,3,0,3,1,0,1
2001-2002,142115,Boise State University,Bachelor's degree,First major,Social Sciences and History,'45',156,62,94,135,50,85,3,2,1,3,1,2,4,2,2,2,1,1,7,5,2,2,1,1
2001-2002,217882,Clemson University,Bachelor's degree,First major,Business Management and Administrative Services,'52',642,370,272,580,340,240,38,20,18,4,1,3,7,4,3,2,0,2,6,2,4,5,3,2
2001-2002,217882,Clemson University,Bachelor's degree,First major,Psychology,'42',115,35,80,102,32,70,5,0,5,3,2,1,4,1,3,0,0,0,0,0,0,1,0,1
2001-2002,217882,Clemson University,Bachelor's degree,First major,Biological Science/Life Sciences,'26',126,52,74,113,50,63,8,1,7,2,0,2,0,0,0,0,0,0,2,1,1,1,0,1
2001-2002,217882,Clemson University,Bachelor's degree,First major,Science Technologies,'41',30,20,10,24,17,7,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Agricultural Business and Production,'01',44,35,9,42,33,9,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Foreign Languages and Literatures,'16',44,13,31,35,11,24,6,0,6,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Parks- Recreation- Leisure and Fitness Studies,'31',102,38,64,97,35,62,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Philosophy and Religion,'38',3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Mathematics,'27',14,6,8,10,4,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Physical Sciences,'40',35,24,11,23,16,7,6,3,3,2,2,0,0,0,0,0,0,0,1,0,1,3,3,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Education,'13',260,50,210,246,45,201,11,3,8,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Architecture and Related Programs,'04',109,79,30,107,78,29,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Agricultural Sciences,'02',103,48,55,97,46,51,4,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
2001-2002,217882,Clemson University,Bachelor's degree,First major,Computer and Information Sciences,'11',80,62,18,68,54,14,5,2,3,4,4,0,1,0,1,0,0,0,1,1,0,1,1,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,English Language and Literature/Letters,'23',168,53,115,148,50,98,12,2,10,1,1,0,3,0,3,0,0,0,4,0,4,0,0,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Conservation and Renewable Natural Resources,'03',42,41,1,40,39,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Engineering,'14',425,337,88,346,286,60,43,26,17,2,0,2,19,12,7,0,0,0,9,8,1,6,5,1
2001-2002,217882,Clemson University,Bachelor's degree,First major,Social Sciences and History,'45',177,91,86,154,81,73,17,6,11,3,2,1,1,0,1,0,0,0,2,2,0,0,0,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Visual and Performing Arts,'50',93,47,46,87,46,41,3,1,2,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0
2001-2002,217882,Clemson University,Bachelor's degree,First major,Health Professions and Related Sciences,'51',197,24,173,156,17,139,27,3,24,2,0,2,4,1,3,0,0,0,6,3,3,2,0,2
2001-2002,198419,Duke University,Bachelor's degree,First major,Physical Sciences,'40',53,32,21,36,23,13,3,1,2,2,1,1,9,5,4,0,0,0,3,2,1,0,0,0
2001-2002,198419,Duke University,Bachelor's degree,First major,Foreign Languages and Literatures,'16',33,11,22,19,7,12,2,0,2,3,0,3,3,0,3,0,0,0,5,3,2,1,1,0
2001-2002,198419,Duke University,Bachelor's degree,First major,English Language and Literature/Letters,'23',70,19,51,50,16,34,5,1,4,3,1,2,5,1,4,0,0,0,6,0,6,1,0,1
2001-2002,198419,Duke University,Bachelor's degree,First major,Engineering,'14',178,135,43,106,80,26,5,4,1,7,5,2,40,30,10,0,0,0,8,6,2,12,10,2
2001-2002,198419,Duke University,Bachelor's degree,First major,Multi/Interdisciplinary Studies,'30',22,12,10,12,5,7,1,1,0,2,1,1,5,5,0,0,0,0,2,0,2,0,0,0
2001-2002,198419,Duke University,Bachelor's degree,First major,Conservation and Renewable Natural Resources,'03',25,7,18,20,6,14,1,1,0,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0
2001-2002,198419,Duke University,Bachelor's degree,First major,Computer and Information Sciences,'11',61,51,10,32,30,2,6,4,2,2,1,1,11,9,2,0,0,0,5,4,1,5,3,2
2001-2002,198419,Duke University,Bachelor's degree,First major,Philosophy and Religion,'38',28,15,13,20,12,8,3,1,2,1,0,1,1,0,1,0,0,0,3,2,1,0,0,0
2001-2002,198419,Duke University,Bachelor's degree,First major,Public Administration and Services,'44',137,50,87,95,40,55,23,6,17,8,4,4,6,0,6,0,0,0,2,0,2,3,0,3
2001-2002,198419,Duke University,Bachelor's degree,First major,Biological Science/Life Sciences,'26',168,83,85,87,41,46,13,4,9,9,6,3,42,24,18,1,0,1,12,6,6,4,2,2
2001-2002,198419,Duke University,Bachelor's degree,First major,Visual and Performing Arts,'50',35,10,25,26,6,20,2,2,0,1,0,1,2,1,1,0,0,0,4,1,3,0,0,0
2001-2002,198419,Duke University,Bachelor's degree,First major,Social Sciences and History,'45',559,328,231,340,213,127,51,17,34,32,20,12,81,51,30,4,1,3,43,23,20,8,3,5
