Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1998-1999,100751,The University of Alabama,Architecture and Related Programs,'04',Bachelor's degree,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,7,4,3,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Biological Science/Life Sciences,'26',Bachelor's degree,109,54,55,101,49,52,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Business Management and Administrative Services,'52',Bachelor's degree,778,476,302,683,424,259,61,33,28,4,2,2,8,5,3,1,1,0,0,0,0,21,11,10
1998-1999,100751,The University of Alabama,Communications,'09',Bachelor's degree,260,115,145,232,103,129,16,7,9,0,0,0,4,1,3,0,0,0,0,0,0,8,4,4
1998-1999,100751,The University of Alabama,Computer and Information Sciences,'11',Bachelor's degree,16,13,3,10,10,0,3,1,2,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0
1998-1999,100751,The University of Alabama,Conservation and Renewable Natural Resources,'03',Bachelor's degree,11,5,6,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Education,'13',Bachelor's degree,255,75,180,216,57,159,32,13,19,2,2,0,0,0,0,2,1,1,0,0,0,3,2,1
1998-1999,100751,The University of Alabama,Engineering,'14',Bachelor's degree,184,141,43,152,117,35,17,12,5,1,1,0,4,3,1,2,1,1,0,0,0,8,7,1
1998-1999,100751,The University of Alabama,English Language and Literature/Letters,'23',Bachelor's degree,78,26,52,71,24,47,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Foreign Languages and Literatures,'16',Bachelor's degree,25,13,12,24,13,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Health Professions and Related Sciences,'51',Bachelor's degree,195,52,143,165,47,118,29,5,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Home Economics- General,'19',Bachelor's degree,191,24,167,166,20,146,19,4,15,1,0,1,1,0,1,1,0,1,0,0,0,3,0,3
1998-1999,100751,The University of Alabama,Mathematics,'27',Bachelor's degree,8,6,2,6,4,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Multi/Interdisciplinary Studies,'30',Bachelor's degree,101,44,57,93,41,52,5,3,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1
1998-1999,100751,The University of Alabama,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,9,2,7,7,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1998-1999,100751,The University of Alabama,Philosophy and Religion,'38',Bachelor's degree,8,4,4,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Physical Sciences,'40',Bachelor's degree,20,15,5,17,12,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1998-1999,100751,The University of Alabama,Protective Services,'43',Bachelor's degree,49,33,16,39,32,7,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1998-1999,100751,The University of Alabama,Psychology,'42',Bachelor's degree,118,29,89,93,24,69,22,4,18,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Public Administration and Services,'44',Bachelor's degree,32,2,30,20,1,19,11,1,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Social Sciences and History,'45',Bachelor's degree,174,113,61,155,101,54,13,8,5,2,1,1,0,0,0,1,0,1,0,0,0,3,3,0
1998-1999,100751,The University of Alabama,Visual and Performing Arts,'50',Bachelor's degree,113,21,92,103,18,85,3,0,3,2,2,0,1,0,1,0,0,0,0,0,0,4,1,3
1998-1999,100858,Auburn University,Agricultural Business and Production,'01',Bachelor's degree,40,26,14,39,25,14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,Agricultural Sciences,'02',Bachelor's degree,167,103,64,163,101,62,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1998-1999,100858,Auburn University,Architecture and Related Programs,'04',Bachelor's degree,88,63,25,85,60,25,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,Biological Science/Life Sciences,'26',Bachelor's degree,169,81,88,155,75,80,6,3,3,2,0,2,5,2,3,0,0,0,1,1,0,0,0,0
1998-1999,100858,Auburn University,Business Management and Administrative Services,'52',Bachelor's degree,888,535,353,818,497,321,39,23,16,6,1,5,10,5,5,4,3,1,0,0,0,11,6,5
1998-1999,100858,Auburn University,Communications,'09',Bachelor's degree,145,66,79,129,57,72,13,6,7,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
1998-1999,100858,Auburn University,Computer and Information Sciences,'11',Bachelor's degree,5,5,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,98,71,27,95,70,25,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,Education,'13',Bachelor's degree,492,131,361,455,112,343,28,16,12,1,0,1,3,1,2,3,2,1,0,0,0,2,0,2
1998-1999,100858,Auburn University,Engineering,'14',Bachelor's degree,587,483,104,530,442,88,30,20,10,3,3,0,16,12,4,3,2,1,1,1,0,4,3,1
1998-1999,100858,Auburn University,English Language and Literature/Letters,'23',Bachelor's degree,128,45,83,121,44,77,3,0,3,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,Foreign Languages and Literatures,'16',Bachelor's degree,43,13,30,38,12,26,0,0,0,4,1,3,0,0,0,0,0,0,1,0,1,0,0,0
1998-1999,100858,Auburn University,Health Professions and Related Sciences,'51',Bachelor's degree,286,47,239,260,44,216,19,2,17,0,0,0,6,1,5,1,0,1,0,0,0,0,0,0
1998-1999,100858,Auburn University,Home Economics- General,'19',Bachelor's degree,195,11,184,187,11,176,5,0,5,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
1998-1999,100858,Auburn University,Mathematics,'27',Bachelor's degree,23,14,9,23,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,Philosophy and Religion,'38',Bachelor's degree,14,9,5,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,Physical Sciences,'40',Bachelor's degree,31,23,8,29,21,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1998-1999,100858,Auburn University,Protective Services,'43',Bachelor's degree,45,31,14,30,23,7,10,4,6,1,1,0,2,1,1,2,2,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,Psychology,'42',Bachelor's degree,136,41,95,121,35,86,12,4,8,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,Public Administration and Services,'44',Bachelor's degree,38,10,28,31,8,23,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,Social Sciences and History,'45',Bachelor's degree,203,130,73,178,115,63,13,7,6,2,2,0,3,2,1,4,3,1,0,0,0,3,1,2
1998-1999,100858,Auburn University,Visual and Performing Arts,'50',Bachelor's degree,100,51,49,91,47,44,5,2,3,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0
1998-1999,122755,San Jose State University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,122755,San Jose State University,Biological Science/Life Sciences,'26',Bachelor's degree,130,43,87,41,14,27,4,1,3,10,4,6,61,17,44,0,0,0,13,7,6,1,0,1
1998-1999,122755,San Jose State University,Business Management and Administrative Services,'52',Bachelor's degree,1044,435,609,274,124,150,29,10,19,109,46,63,446,177,269,9,3,6,103,53,50,74,22,52
1998-1999,122755,San Jose State University,Communications,'09',Bachelor's degree,204,86,118,96,44,52,11,8,3,25,10,15,25,8,17,5,1,4,31,13,18,11,2,9
1998-1999,122755,San Jose State University,Computer and Information Sciences,'11',Bachelor's degree,142,93,49,21,18,3,1,0,1,4,3,1,84,49,35,1,1,0,9,9,0,22,13,9
1998-1999,122755,San Jose State University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,64,32,32,34,14,20,2,2,0,6,4,2,8,3,5,3,3,0,9,6,3,2,0,2
1998-1999,122755,San Jose State University,Education,'13',Bachelor's degree,204,41,163,98,23,75,5,2,3,28,5,23,36,7,29,3,0,3,29,3,26,5,1,4
1998-1999,122755,San Jose State University,Engineering,'14',Bachelor's degree,430,374,56,91,77,14,13,13,0,35,29,6,227,201,26,1,1,0,45,38,7,18,15,3
1998-1999,122755,San Jose State University,Engineering-Related Technologies,'15',Bachelor's degree,113,100,13,42,38,4,3,3,0,13,8,5,38,36,2,0,0,0,15,13,2,2,2,0
1998-1999,122755,San Jose State University,English Language and Literature/Letters,'23',Bachelor's degree,112,32,80,61,15,46,8,4,4,12,1,11,7,3,4,2,0,2,21,8,13,1,1,0
1998-1999,122755,San Jose State University,Foreign Languages and Literatures,'16',Bachelor's degree,30,7,23,8,1,7,0,0,0,11,2,9,3,0,3,0,0,0,4,2,2,4,2,2
1998-1999,122755,San Jose State University,Health Professions and Related Sciences,'51',Bachelor's degree,340,45,295,131,15,116,13,1,12,44,4,40,125,17,108,0,0,0,27,8,19,0,0,0
1998-1999,122755,San Jose State University,Home Economics- General,'19',Bachelor's degree,53,9,44,19,2,17,0,0,0,3,0,3,22,5,17,0,0,0,9,2,7,0,0,0
1998-1999,122755,San Jose State University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,105,17,88,42,5,37,2,0,2,32,5,27,15,4,11,1,1,0,13,2,11,0,0,0
1998-1999,122755,San Jose State University,Mathematics,'27',Bachelor's degree,14,3,11,3,0,3,0,0,0,3,1,2,4,2,2,0,0,0,4,0,4,0,0,0
1998-1999,122755,San Jose State University,Multi/Interdisciplinary Studies,'30',Bachelor's degree,17,2,15,11,2,9,0,0,0,1,0,1,2,0,2,2,0,2,1,0,1,0,0,0
1998-1999,122755,San Jose State University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,35,13,22,19,6,13,1,0,1,2,2,0,10,4,6,0,0,0,2,1,1,1,0,1
1998-1999,122755,San Jose State University,Philosophy and Religion,'38',Bachelor's degree,12,6,6,4,2,2,1,1,0,2,1,1,1,1,0,0,0,0,4,1,3,0,0,0
1998-1999,122755,San Jose State University,Physical Sciences,'40',Bachelor's degree,57,33,24,19,12,7,3,1,2,2,2,0,27,15,12,0,0,0,3,2,1,3,1,2
1998-1999,122755,San Jose State University,Protective Services,'43',Bachelor's degree,144,88,56,52,31,21,10,8,2,35,18,17,34,25,9,1,1,0,12,5,7,0,0,0
1998-1999,122755,San Jose State University,Psychology,'42',Bachelor's degree,216,52,164,90,18,72,11,3,8,43,11,32,35,11,24,4,1,3,28,7,21,5,1,4
1998-1999,122755,San Jose State University,Public Administration and Services,'44',Bachelor's degree,71,13,58,19,2,17,11,5,6,20,2,18,16,4,12,0,0,0,5,0,5,0,0,0
1998-1999,122755,San Jose State University,Social Sciences and History,'45',Bachelor's degree,277,131,146,125,59,66,16,10,6,47,15,32,35,16,19,3,2,1,37,18,19,14,11,3
1998-1999,122755,San Jose State University,Visual and Performing Arts,'50',Bachelor's degree,284,121,163,124,45,79,2,1,1,40,18,22,65,39,26,2,1,1,35,11,24,16,6,10
1998-1999,123961,University of Southern California,Architecture and Related Programs,'04',Bachelor's degree,87,62,25,33,30,3,1,1,0,14,10,4,25,14,11,0,0,0,0,0,0,14,7,7
1998-1999,123961,University of Southern California,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,16,6,10,5,1,4,3,2,1,3,2,1,4,0,4,0,0,0,1,1,0,0,0,0
1998-1999,123961,University of Southern California,Biological Science/Life Sciences,'26',Bachelor's degree,210,97,113,86,44,42,12,2,10,26,12,14,79,35,44,2,1,1,2,1,1,3,2,1
1998-1999,123961,University of Southern California,Business Management and Administrative Services,'52',Bachelor's degree,1003,586,417,387,256,131,38,18,20,102,66,36,257,130,127,5,4,1,15,9,6,199,103,96
1998-1999,123961,University of Southern California,Communications,'09',Bachelor's degree,252,74,178,158,53,105,16,5,11,21,6,15,46,8,38,1,1,0,3,0,3,7,1,6
1998-1999,123961,University of Southern California,Communications Technologies,'10',Bachelor's degree,176,117,59,119,81,38,6,6,0,22,13,9,11,8,3,1,1,0,1,1,0,16,7,9
1998-1999,123961,University of Southern California,Computer and Information Sciences,'11',Bachelor's degree,36,30,6,17,16,1,1,1,0,8,6,2,5,3,2,0,0,0,0,0,0,5,4,1
1998-1999,123961,University of Southern California,Education,'13',Bachelor's degree,73,12,61,37,5,32,3,0,3,25,7,18,8,0,8,0,0,0,0,0,0,0,0,0
1998-1999,123961,University of Southern California,Engineering,'14',Bachelor's degree,269,216,53,103,83,20,10,6,4,28,23,5,69,53,16,1,1,0,2,2,0,56,48,8
1998-1999,123961,University of Southern California,English Language and Literature/Letters,'23',Bachelor's degree,99,41,58,57,30,27,6,2,4,15,4,11,19,4,15,0,0,0,2,1,1,0,0,0
1998-1999,123961,University of Southern California,Foreign Languages and Literatures,'16',Bachelor's degree,47,7,40,21,4,17,2,1,1,8,0,8,12,1,11,0,0,0,1,0,1,3,1,2
1998-1999,123961,University of Southern California,Health Professions and Related Sciences,'51',Bachelor's degree,272,51,221,108,21,87,22,3,19,55,11,44,84,15,69,1,0,1,2,1,1,0,0,0
1998-1999,123961,University of Southern California,Home Economics- General,'19',Bachelor's degree,40,14,26,10,4,6,1,0,1,4,2,2,23,7,16,2,1,1,0,0,0,0,0,0
1998-1999,123961,University of Southern California,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,36,16,20,20,7,13,5,3,2,3,2,1,6,3,3,0,0,0,1,0,1,1,1,0
1998-1999,123961,University of Southern California,Mathematics,'27',Bachelor's degree,7,3,4,2,1,1,1,0,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
1998-1999,123961,University of Southern California,Philosophy and Religion,'38',Bachelor's degree,30,16,14,20,11,9,3,1,2,4,3,1,2,0,2,0,0,0,0,0,0,1,1,0
1998-1999,123961,University of Southern California,Physical Sciences,'40',Bachelor's degree,29,15,14,10,5,5,1,0,1,5,3,2,8,2,6,0,0,0,1,1,0,4,4,0
1998-1999,123961,University of Southern California,Psychology,'42',Bachelor's degree,157,49,108,77,23,54,14,3,11,32,11,21,25,10,15,1,0,1,4,1,3,4,1,3
1998-1999,123961,University of Southern California,Public Administration and Services,'44',Bachelor's degree,69,38,31,30,17,13,13,10,3,16,5,11,10,6,4,0,0,0,0,0,0,0,0,0
1998-1999,123961,University of Southern California,Social Sciences and History,'45',Bachelor's degree,380,211,169,176,108,68,30,15,15,66,42,24,62,26,36,1,1,0,8,2,6,37,17,20
