Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1986-1987,100858,Auburn University,Agricultural Business and Production,'01.0000',Bachelor's degree,24,21,3,24,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1986-1987,100858,Auburn University,Agricultural Sciences,'02.0000',Bachelor's degree,91,72,19,90,71,19,0,0,0,0,,,0,0,0,1,1,,0,,
1986-1987,100858,Auburn University,Allied Health,'17.0000',Bachelor's degree,17,1,16,16,1,15,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,100858,Auburn University,Architecture and Related Programs,'04.0000',Bachelor's degree,76,49,27,73,47,26,1,,1,0,0,0,0,0,0,0,0,0,2,2,
1986-1987,100858,Auburn University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,100858,Auburn University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,63,34,29,62,34,28,0,,,0,0,0,1,,1,0,0,0,0,,
1986-1987,100858,Auburn University,Business (Admin Support),'07.0000',Bachelor's degree,17,,17,16,,16,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
1986-1987,100858,Auburn University,Business and Management,'06.0000',Bachelor's degree,764,459,305,748,446,302,12,9,3,2,2,,0,0,0,0,0,0,2,2,
1986-1987,100858,Auburn University,Communications,'09.0000',Bachelor's degree,143,46,97,141,46,95,2,,2,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,100858,Auburn University,Computer and Information Sciences,'11.0000',Bachelor's degree,26,17,9,26,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1986-1987,100858,Auburn University,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,33,27,6,32,26,6,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,100858,Auburn University,Education,'13.0000',Bachelor's degree,388,91,297,375,86,289,10,3,7,0,0,0,0,0,0,0,0,0,3,2,1
1986-1987,100858,Auburn University,Engineering,'14.0000',Bachelor's degree,756,648,108,731,629,102,8,6,2,3,3,,10,8,2,0,0,0,4,2,2
1986-1987,100858,Auburn University,English Language and Literature/Letters,'23.0000',Bachelor's degree,105,37,68,102,37,65,2,,2,0,0,0,0,0,0,0,0,0,1,,1
1986-1987,100858,Auburn University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,42,9,33,42,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1986-1987,100858,Auburn University,Health Sciences,'18.0000',Bachelor's degree,149,39,110,145,37,108,1,,1,1,,1,0,0,0,1,1,,1,1,
1986-1987,100858,Auburn University,Home Economics,'19.0000',Bachelor's degree,83,1,82,82,1,81,1,,1,0,0,0,0,0,0,0,0,0,0,,
1986-1987,100858,Auburn University,Marketing Operations/Marketing and Distribution,'08.0000',Bachelor's degree,23,,23,23,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,100858,Auburn University,Mathematics,'27.0000',Bachelor's degree,46,21,25,45,21,24,1,,1,0,0,0,0,0,0,0,0,0,0,,
1986-1987,100858,Auburn University,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,15,7,8,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,100858,Auburn University,Philosophy and Religion,'38.0000',Bachelor's degree,5,3,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,100858,Auburn University,Physical Sciences,'40.0000',Bachelor's degree,55,36,19,50,33,17,3,2,1,0,,,1,1,,0,0,0,1,,1
1986-1987,100858,Auburn University,Protective Services,'43.0000',Bachelor's degree,24,17,7,22,16,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,100858,Auburn University,Psychology,'42.0000',Bachelor's degree,61,23,38,59,23,36,2,,2,0,0,0,0,0,0,0,0,0,0,0,0
