Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2007-2008,217882,Clemson University,Bachelor's degree,First major,Psychology.,'42',142,37,105,0,0,0,2,2,0,10,4,6,2,0,2,119,29,90,,,,,,,,,,8,1,7,1,1,0
2007-2008,152080,University of Notre Dame,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',512,309,203,4,2,2,20,11,9,15,13,2,53,25,28,387,243,144,,,,,,,,,,0,0,0,33,15,18
2007-2008,217882,Clemson University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',55,14,41,1,1,0,2,1,1,2,1,1,2,0,2,44,11,33,,,,,,,,,,3,0,3,1,0,1
2007-2008,243744,Stanford University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',41,17,24,0,0,0,5,1,4,6,3,3,9,3,6,19,8,11,,,,,,,,,,2,2,0,0,0,0
2007-2008,100751,The University of Alabama,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',416,155,261,2,0,2,1,1,0,42,13,29,7,3,4,363,137,226,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2007-2008,209542,Oregon State University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',510,320,190,6,3,3,43,22,21,5,3,2,11,10,1,401,252,149,,,,,,,,,,32,22,10,12,8,4
2007-2008,135726,University of Miami,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',185,31,154,1,0,1,5,2,3,16,2,14,42,4,38,99,20,79,,,,,,,,,,12,2,10,10,1,9
2007-2008,100751,The University of Alabama,Bachelor's degree,First major,English language and literature/letters.,'23',77,19,58,1,0,1,0,0,0,8,1,7,2,1,1,65,17,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2007-2008,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Architecture and related services.,'04',103,69,34,1,0,1,2,1,1,5,3,2,1,1,0,90,61,29,,,,,,,,,,3,2,1,1,1,0
2007-2008,123961,University of Southern California,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',80,31,49,2,1,1,22,6,16,3,1,2,8,3,5,41,18,23,,,,,,,,,,2,2,0,2,0,2
2007-2008,122755,San Jose State University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',3,1,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,,,,,,,,1,1,0,0,0,0
2007-2008,228778,The University of Texas at Austin,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',1143,415,728,5,1,4,115,37,78,48,17,31,203,74,129,754,280,474,,,,,,,,,,2,1,1,16,5,11
2007-2008,139959,University of Georgia,Bachelor's degree,First major,Education.,'13',531,155,376,0,0,0,10,2,8,22,8,14,3,1,2,487,141,346,,,,,,,,,,9,3,6,0,0,0
2007-2008,230728,Utah State University,Bachelor's degree,First major,Precision production.,'48',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008,123961,University of Southern California,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',32,8,24,0,0,0,4,1,3,4,1,3,11,2,9,12,4,8,,,,,,,,,,1,0,1,0,0,0
2007-2008,134130,University of Florida,Bachelor's degree,First major,Architecture and related services.,'04',117,71,46,0,0,0,14,7,7,4,3,1,21,15,6,71,43,28,,,,,,,,,,5,2,3,2,1,1
2007-2008,243744,Stanford University,Bachelor's degree,First major,Mathematics and statistics.,'27',48,41,7,0,0,0,8,8,0,1,1,0,2,1,1,26,20,6,,,,,,,,,,2,2,0,9,9,0
2007-2008,209542,Oregon State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',43,10,33,0,0,0,0,0,0,0,0,0,5,1,4,36,9,27,,,,,,,,,,2,0,2,0,0,0
2007-2008,198419,Duke University,Bachelor's degree,First major,Physical sciences.,'40',56,27,29,0,0,0,9,4,5,6,0,6,3,1,2,27,14,13,,,,,,,,,,6,3,3,5,5,0
2007-2008,228246,Southern Methodist University,Bachelor's degree,First major,Physical sciences.,'40',21,9,12,1,0,1,2,1,1,1,0,1,2,0,2,15,8,7,,,,,,,,,,0,0,0,0,0,0
2007-2008,100858,Auburn University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',168,20,148,0,0,0,2,0,2,7,1,6,2,1,1,156,18,138,,,,,,,,,,1,0,1,0,0,0
2007-2008,157289,University of Louisville,Bachelor's degree,First major,Security and protective services.,'43',120,51,69,2,1,1,0,0,0,25,7,18,3,2,1,89,41,48,,,,,,,,,,1,0,1,0,0,0
2007-2008,230728,Utah State University,Bachelor's degree,First major,Engineering technologies/technicians.,'15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008,155399,Kansas State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',8,5,3,0,0,0,0,0,0,0,0,0,1,1,0,5,3,2,,,,,,,,,,2,1,1,0,0,0
2007-2008,100858,Auburn University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',238,99,139,0,0,0,1,1,0,18,3,15,5,4,1,212,91,121,,,,,,,,,,0,0,0,2,0,2
