Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1997-1998,142115,Boise State University,Bachelor's degree,Marketing Operations/Marketing and Distribution,'08',8,4,4,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1997-1998,142115,Boise State University,Bachelor's degree,Mathematics,'27',3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1997-1998,142115,Boise State University,Bachelor's degree,Multi/Interdisciplinary Studies,'30',46,27,19,41,23,18,0,0,0,1,1,0,1,1,0,1,0,1,2,2,0,0,0,0
1997-1998,142115,Boise State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,'31',28,13,15,25,11,14,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
1997-1998,142115,Boise State University,Bachelor's degree,Philosophy and Religion,'38',6,4,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,142115,Boise State University,Bachelor's degree,Physical Sciences,'40',14,9,5,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0
1997-1998,142115,Boise State University,Bachelor's degree,Protective Services,'43',40,18,22,35,16,19,0,0,0,2,1,1,0,0,0,1,0,1,1,1,0,1,0,1
1997-1998,142115,Boise State University,Bachelor's degree,Psychology,'42',48,13,35,43,13,30,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,1,0,1
1997-1998,142115,Boise State University,Bachelor's degree,Public Administration and Services,'44',49,4,45,39,3,36,0,0,0,2,1,1,2,0,2,1,0,1,5,0,5,0,0,0
1997-1998,142115,Boise State University,Bachelor's degree,Social Sciences and History,'45',157,81,76,137,72,65,6,5,1,4,0,4,1,1,0,2,0,2,7,3,4,0,0,0
1997-1998,142115,Boise State University,Bachelor's degree,Visual and Performing Arts,'50',71,21,50,51,17,34,0,0,0,3,1,2,1,0,1,1,0,1,12,3,9,3,0,3
1997-1998,217882,Clemson University,Bachelor's degree,Agricultural Business and Production,'01',62,48,14,58,45,13,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1997-1998,217882,Clemson University,Bachelor's degree,Agricultural Sciences,'02',103,63,40,96,63,33,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,217882,Clemson University,Bachelor's degree,Architecture and Related Programs,'04',114,90,24,103,80,23,4,4,0,1,1,0,1,0,1,0,0,0,2,2,0,3,3,0
1997-1998,217882,Clemson University,Bachelor's degree,Biological Science/Life Sciences,'26',149,69,80,118,60,58,20,6,14,1,0,1,3,1,2,0,0,0,6,2,4,1,0,1
1997-1998,217882,Clemson University,Bachelor's degree,Business Management and Administrative Services,'52',371,243,128,326,221,105,35,18,17,1,1,0,3,0,3,0,0,0,2,1,1,4,2,2
1997-1998,217882,Clemson University,Bachelor's degree,Computer and Information Sciences,'11',47,38,9,40,35,5,4,1,3,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0
1997-1998,217882,Clemson University,Bachelor's degree,Conservation and Renewable Natural Resources,'03',49,42,7,47,40,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,217882,Clemson University,Bachelor's degree,Education,'13',291,47,244,270,39,231,15,5,10,1,0,1,2,0,2,0,0,0,3,3,0,0,0,0
1997-1998,217882,Clemson University,Bachelor's degree,Engineering,'14',466,364,102,384,311,73,47,24,23,1,1,0,12,9,3,0,0,0,17,15,2,5,4,1
1997-1998,217882,Clemson University,Bachelor's degree,English Language and Literature/Letters,'23',121,31,90,110,24,86,7,4,3,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0
1997-1998,217882,Clemson University,Bachelor's degree,Foreign Languages and Literatures,'16',40,10,30,35,8,27,1,0,1,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0
1997-1998,217882,Clemson University,Bachelor's degree,Health Professions and Related Sciences,'51',217,29,188,197,24,173,14,3,11,0,0,0,2,1,1,0,0,0,3,1,2,1,0,1
1997-1998,217882,Clemson University,Bachelor's degree,Mathematics,'27',14,5,9,9,4,5,4,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
