"","A","B","C","D","Season","F","G","H","I","Source","Season.Type"
"508","690","Samb","Samb, Cheikh","NBA","NYK","2008-2009","20090318NJNNYK","2009-03-03","2009-07-01","Basketball Value","Regular Season"
"509","691","Stuckey","Stuckey, Rodney","NBA","DET","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"510","692","Sims","Sims, Courtney","NBA","NYK","2008-2009","20090408DETNYK","2009-03-23","2009-07-01","Basketball Value","Regular Season"
"511","692","Sims","Sims, Courtney","NBA","PHX","2008-2009","20090222BOSPHX","2009-01-20","2009-03-01","Basketball Value","Regular Season"
"512","693","Jianlian","Jianlian, Yi","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"513","693","Yi","Jianlian, Yi","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"514","694","Sessions","Sessions, Ramon","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"515","695","Horford","Horford, Al","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"516","696","Law","Law, Acie","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"517","697","M. West","West, Mario","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"518","697","West","West, Mario","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"519","698","Davidson","Davidson, Jermareo","NBA","GSW","2008-2009","20090110GSWPOR","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"520","699","Dudley","Dudley, Jared","NBA","PHX","2008-2009","Trade","2008-12-12","2009-07-01","Basketball Value","Regular Season"
"521","699","Dudley","Dudley, Jared","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2008-12-11","Basketball Value","Regular Season"
"522","700","J. Anthony","Anthony, Joel","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"523","700","Anthony","Anthony, Joel","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"524","701","Cook","Cook, Daequan","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"525","701","D. Cook","Cook, Daequan","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"526","702","Gortat","Gortat, Marcin","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"527","703","McGuire","McGuire, Dominic","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"528","704","Pecherov","Pecherov, Oleksiy","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"529","705","Young","Young, Nick","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"530","707","Conley","Conley, Mike","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"531","711","Wright","Wright, Julian","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"532","712","C. Brewer","Brewer, Corey","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"533","712","Brewer","Brewer, Corey","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"534","714","Durant","Durant, Kevin","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"535","715","Green","Green, Jeff","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"536","715","J. Green","Green, Jeff","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"537","716","Thornton","Thornton, Al","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"538","718","Tucker","Tucker, Alando","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"539","719","Hawes","Hawes, Spencer","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"540","722","Smith","Smith, Jason","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"541","722","J. Smith","Smith, Jason","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"542","724","Williams","Williams, MarcusE","NBA","SAS","2008-2009","20090408PORSAS","2009-04-08","2009-07-01","Basketball Value","Regular Season"
"543","726","Watson","Watson, C.J.","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"544","731","Ahearn","Ahearn, Blake","NBA","SAS","2008-2009","20081117SASLAC","2008-11-17","2009-07-01","Basketball Value","Regular Season"
"545","734","Fernandez","Fernandez, Rudy","NBA","POR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"546","735","Bayless","Bayless, Jerryd","NBA","POR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"547","736","Batum","Batum, Nicolas","NBA","POR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"548","737","Hill","Hill, Steven","NBA","OKC","2008-2009","20081112ORLOKC","2008-11-11","2009-07-01","Basketball Value","Regular Season"
"549","738","Tatum","Tatum, Jamaal","NBA","POR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"550","739","Greene","Greene, Donte","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"551","740","Brown","Brown, Bobby","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"552","740","Brown","Brown, Bobby","NBA","MIN","2008-2009","20090224MINTOR","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"553","741","Thompson","Thompson, Jason","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"554","742","Zhang","Zhang, Kai","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"555","743","Nelson","Nelson, Demarcus","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"556","745","Dowell","Dowell, Dion","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"557","746","Randolph","Randolph, Anthony","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"558","747","Hunter","Hunter, Othello","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"559","748","Koufos","Koufos, Kosta","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"560","750","Muoneke","Muoneke, Gabe","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"561","751","Giddens","Giddens, J.R.","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"562","752","Walker","Walker, Bill","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"563","753","Ajinca","Ajinca, Alexis","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"564","754","Augustin","Augustin, D.J.","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"565","755","Rose","Rose, Derrick","NBA","CHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"566","756","Hickson","Hickson, J.J.","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"567","757","Jackson","Jackson, Darnell","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"568","758","J. Williams","Williams, Jawad","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"569","759","Weems","Weems, Sonny","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"570","760","Sharpe","Sharpe, Walter","NBA","DET","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"571","761","Dorsey","Dorsey, Joey","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"572","762","Hibbert","Hibbert, Roy","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"573","763","Rush","Rush, Brandon","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"574","764","Gordon","Gordon, Eric","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"575","765","Jordan","Jordan, DeAndre","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"576","766","Taylor","Taylor, Mike","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"577","767","Yue","Yue, Sun","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"578","768","Arthur","Arthur, Darrell","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"579","769","Gasol","Gasol, Marc","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"580","770","Haddadi","Haddadi, Hamed","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"581","771","Mayo","Mayo, O.J.","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"582","772","Beasley","Beasley, Michael","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"583","773","Chalmers","Chalmers, Mario","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"584","774","Padgett","Padgett, David","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"585","775","Richards","Richards, Jason","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"586","776","Alexander","Alexander, Joe","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"587","777","Mbah a Moute","Mbah a Moute, Luc","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"588","778","Love","Love, Kevin","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"589","779","Anderson","Anderson, Ryan","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"590","780","Douglas-Roberts","Douglas-Roberts, Chris","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"591","781","Lopez","Lopez, Brook","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"592","782","Jordan","Jordan, Jared","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"593","784","Gallinari","Gallinari, Danilo","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"594","785","Weaver","Weaver, Kyle","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"595","786","Westbrook","Westbrook, Russell","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"596","787","White","White, D.J.","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"597","788","Lee","Lee, Courtney","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"598","789","Speights","Speights, Marreese","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"599","790","Dragic","Dragic, Goran","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"600","791","Lopez","Lopez, Robin","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"601","792","Singletary","Singletary, Sean","NBA","CHA","2008-2009","Trade","2008-12-16","2009-07-01","Basketball Value","Regular Season"
"602","792","Singletary","Singletary, Sean","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2008-12-10","Basketball Value","Regular Season"
"603","793","Hill","Hill, George","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"604","794","Tolliver","Tolliver, Anthony","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"605","795","Jawai","Jawai, Nathan","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"606","796","Ukic","Ukic, Roko","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"607","797","Solomon","Solomon, Willie","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"608","797","Solomon","Solomon, Willie","NBA","SAC","2008-2009","20090221SACDAL","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"609","798","McGee","McGee, JaVale","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"610","799","Kurz","Kurz, Rob","NBA","GSW","2008-2009","20081109GSWSAC","2008-11-02","2009-07-01","Basketball Value","Regular Season"
"611","800","Morrow","Morrow, Anthony","NBA","GSW","2008-2009","20081109GSWSAC","2008-11-02","2009-07-01","Basketball Value","Regular Season"
"612","801","Martin","Martin, Cartier","NBA","CHA","2008-2009","20090130CHADEN","2009-01-29","2009-07-01","Basketball Value","Regular Season"
"613","802","Hairston","Hairston, Malik","NBA","SAS","2008-2009","20090131NOHSAS","2009-01-31","2009-07-01","Basketball Value","Regular Season"
"614","803","Johnson","Johnson, Trey","NBA","CLE","2008-2009","20090203TORCLE","2009-02-03","2009-07-01","Basketball Value","Regular Season"
"615","804","Jefferson","Jefferson, Dontell","NBA","CHA","2008-2009","20090405CHADET","2009-03-31","2009-07-01","Basketball Value","Regular Season"
"616","805","Crawford","Crawford, Joe","NBA","NYK","2008-2009","20090408DETNYK","2009-03-27","2009-07-01","Basketball Value","Regular Season"
