"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"54","Korver","Korver, Kyle","NBA","CHI","2010-2011",2.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"55","Williams","Williams, Mo","NBA","LAC","2010-2011",1,"20110228LACSAC","2011-02-24","2011-07-01","Basketball Value","Regular Season"
"55","M. Williams","Williams, Mo","NBA","CLE","2010-2011",1,"SeasonStart","2010-10-25","2010-12-27","Basketball Value","Regular Season"
"55","Williams","Williams, Mo","NBA","CLE","2010-2011",1,"SeasonStart","2010-12-27","2011-02-24","Basketball Value","Regular Season"
"56","Gadzuric","Gadzuric, Dan","NBA","GSW","2010-2011",5.01,"SeasonStart","2010-10-25","2011-02-24","Basketball Value","Regular Season"
"56","Gadzuric","Gadzuric, Dan","NBA","NJN","2010-2011",5.01,"20110226NJNHOU","2011-02-24","2011-07-01","Basketball Value","Regular Season"
"59","Salmons","Salmons, John","NBA","MIL","2010-2011",2.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"60","Bell","Bell, Charlie","NBA","GSW","2010-2011",1.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"63","Smith","Smith, J.R.","NBA","DEN","2010-2011",2.01,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"65","Miller","Miller, Brad","NBA","HOU","2010-2011",4.51,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"67","Stojakovic","Stojakovic, Peja","NBA","TOR","2010-2011",3.03,"20101124PHITOR","2010-11-22","2011-01-24","Basketball Value","Regular Season"
"67","Stojakovic","Stojakovic, Peja","NBA","DAL","2010-2011",3.03,"20110207CLEDAL","2011-01-24","2011-07-01","Basketball Value","Regular Season"
"67","Stojakovic","Stojakovic, Peja","NBA","NOH","2010-2011",3.03,"SeasonStart","2010-10-25","2010-11-22","Basketball Value","Regular Season"
"68","Bibby","Bibby, Mike","NBA","MIA","2010-2011",1.01,"20110303ORLMIA","2011-03-03","2011-07-01","Basketball Value","Regular Season"
"68","Bibby","Bibby, Mike","NBA","WAS","2010-2011",1.01,"20110225WASMIA","2011-02-24","2011-02-28","Basketball Value","Regular Season"
"68","Bibby","Bibby, Mike","NBA","ATL","2010-2011",1.01,"SeasonStart","2010-10-25","2011-02-24","Basketball Value","Regular Season"
