"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"1","Howard","Howard, Josh","NBA","UTA","2011-2012",3,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"2","Thomas","Thomas, Kurt","NBA","POR","2011-2012",4.48,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"3","Dampier","Dampier, Erick","NBA","ATL","2011-2012",4.99,"20120210ATLORL","2012-02-09","2012-07-01","Basketball Value","Regular Season"
"4","Marion","Marion, Shawn","NBA","DAL","2011-2012",3.5,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"5","Nowitzki","Nowitzki, Dirk","NBA","DAL","2011-2012",4.01,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"6","Terry","Terry, Jason","NBA","DAL","2011-2012",1.5,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"7","Bell","Bell, Raja","NBA","UTA","2011-2012",1.98,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"8","Nash","Nash, Steve","NBA","PHX","2011-2012",1,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"10","Jones","Jones, James","NBA","MIA","2011-2012",2.99,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"12","Diaw","Diaw, Boris","NBA","SAS","2011-2012",4.5,"20120323DALSAS","2012-03-23","2012-07-01","Basketball Value","Regular Season"
"12","Diaw","Diaw, Boris","NBA","CHA","2011-2012",4.5,"SeasonStart","2011-12-01","2012-03-21","Basketball Value","Regular Season"
"14","Daniels","Daniels, Marquis","NBA","BOS","2011-2012",2.48,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"15","Harris","Harris, Devin","NBA","UTA","2011-2012",1,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"16","Barbosa","Barbosa, Leandro","NBA","TOR","2011-2012",1.99,"SeasonStart","2011-12-01","2012-03-15","Basketball Value","Regular Season"
"16","Barbosa","Barbosa, Leandro","NBA","IND","2011-2012",1.99,"20120320LACIND","2012-03-15","2012-07-01","Basketball Value","Regular Season"
"17","Diop","Diop, DeSagana","NBA","CHA","2011-2012",5,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"21","Martin","Martin, Kenyon","NBA","LAC","2011-2012",4.01,"20120208LACCLE","2012-02-03","2012-07-01","Basketball Value","Regular Season"
"23","Camby","Camby, Marcus","NBA","POR","2011-2012",4.51,"SeasonStart","2011-12-01","2012-03-15","Basketball Value","Regular Season"
"23","Camby","Camby, Marcus","NBA","HOU","2011-2012",4.51,"20120318HOUPHX","2012-03-15","2012-07-01","Basketball Value","Regular Season"
"24","Ginobili","Ginobili, Manu","NBA","SAS","2011-2012",2.5,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"25","Anthony","Anthony, Carmelo","NBA","NYK","2011-2012",3,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"26","Duncan","Duncan, Tim","NBA","SAS","2011-2012",4.5,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"30","Parker","Parker, Tony","NBA","SAS","2011-2012",1,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"31","Miller","Miller, Andre","NBA","DEN","2011-2012",1.01,"SeasonStart","2011-12-01","2012-07-01","Basketball Value","Regular Season"
"34","Nene","Hilario, Nene","NBA","WAS","2011-2012",4.51,"20120321WASNJN","2012-03-15","2012-07-01","Basketball Value","Regular Season"
"34","Nene","Hilario, Nene","NBA","DEN","2011-2012",4.51,"SeasonStart","2011-12-01","2012-03-15","Basketball Value","Regular Season"
