ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,ID_Position,Height,Height_Inches,Weight,Year,Hometown,City,State,Prior_School,Player_URL
ND,FBALL,2005-2006,17,Dan Gorski,Gorski,Dan,Quarterback,QB,6'3,75,196,FR,"Omaha, NE",Omaha,NE,Creighton Prep,http://www.und.com/sports/m-footbl/mtt/gorski_dan00.html
ND,FBALL,2005-2006,11,David Grimes,Grimes,David,Wide Receiver,WR,6'0,72,170,FR,"Detroit, MI",Detroit,MI,DePorres,http://www.und.com/sports/m-footbl/mtt/grimes_david00.html
ND,FBALL,2005-2006,92,Derrell Hand,Hand,Derrell,Defensive Line,DL,6'3,75,301,FR,"Philadelphia, PA",Philadelphia,PA,West Catholic,http://www.und.com/sports/m-footbl/mtt/hand_derrell00.html
ND,FBALL,2005-2006,36,Brandon Harris,Harris,Brandon,Defensive Back,DB,6'0,72,198,SR,"New Orleans, LA",New Orleans,LA,Benjamin Franklin,http://www.und.com/sports/m-footbl/mtt/harris_brandon00.html
ND,FBALL,2005-2006,68,Ryan Harris,Harris,Ryan,Offensive Line,OL,6'5,77,288,JR,"St. Paul, MN",St. Paul,MN,Cretin Derham Hall,http://www.und.com/sports/m-footbl/mtt/harris_ryan00.html
ND,FBALL,2005-2006,29,LaBrose Hedgemon II,Hedgemon II,LaBrose,Defensive Back,DB,5'9,69,190,JR,"Hoover, AL",Hoover,AL,Hoover,http://www.und.com/sports/m-footbl/mtt/hedgemonii_labrose01.html
ND,FBALL,2005-2006,6,Ray Herring,Herring,Ray,Defensive Back,DB,6'0,72,199,FR,"Melbourne, FL",Melbourne,FL,Holy Trinity,http://www.und.com/sports/m-footbl/mtt/herring_ray00.html
ND,FBALL,2005-2006,85,Joey Hiben,Hiben,Joey,Tight End,TE,6'4,76,253,FR,"Chaska, MN",Chaska,MN,Waconia,http://www.und.com/sports/m-footbl/mtt/hiben_joey00.html
ND,FBALL,2005-2006,1,D.J. Hord,Hord,D.J.,Wide Receiver,WR,6'1,73,198,FR,"Lee's Summit, MO",Lee's Summit,MO,Rockhurst,http://www.und.com/sports/m-footbl/mtt/hord_dj00.html
ND,FBALL,2005-2006,33,Justin Hoskins,Hoskins,Justin,Running Back,RB,5'11,71,186,SO,"Grand Rapids, MI",Grand Rapids,MI,Creston,http://www.und.com/sports/m-footbl/mtt/hoskins_justin00.html
ND,FBALL,2005-2006,39,Brandon Hoyte,Hoyte,Brandon,Linebacker,LB,6'0,72,236,SR,"Parlin, NJ",Parlin,NJ,Sayreville War Memorial,http://www.und.com/sports/m-footbl/mtt/hoyte_brandon00.html
