"","Facet","Facet_Value","License","Licenese_Renegotiation","License_Detail","Value","Value_Type","Period","NA.","NA..1","NA..2"
"28","Network","Fox,Fox Sports","NASCAR",NA,NA,1800,"Dollars_Millions","2006-2014",NA,NA,NA
"29","Network","ABC, ESPN","NASCAR",NA,NA,2200,"Dollars_Millions","2006-2014",NA,NA,NA
"30","Network","ABC, ESPN","National Basketball Association",NA,NA,4600,"Dollars_Millions","2009-2016",NA,NA,NA
"31","Network","CBS","National Football League",NA,NA,5000,"Dollars_Millions","2005-2013",NA,NA,NA
"32","Network","Fox,Fox Sports","National Football League",NA,NA,5800,"Dollars_Millions","2005-2013",NA,NA,NA
"33","Network","NBC","National Football League",NA,NA,4800,"Dollars_Millions","2005-2013",NA,NA,NA
"34","Network","CBS","NCAA Basketball Tournament",NA,"Men's",10800,"Dollars_Millions","2012-2024",NA,NA,NA
"35","Network","NBC","Notre Dame",NA,"Football",50,"Dollars_Millions","2010-2015",NA,NA,NA
"36","Network","ABC, ESPN","Pac-12",NA,NA,3000,"Dollars_Millions","2011/12-2022/23",NA,NA,NA
"37","Network","CBS","PGA",NA,"PGA Championship, Masters",3000,"Dollars_Millions","2006-2012",NA,NA,NA
"38","Network","NBC","PGA",NA,"US Open",3000,"Dollars_Millions","2006-2012",NA,NA,NA
"39","Network","NBC Universial","Pyeongchang Winter Olympics",NA,NA,950,"Dollars_Millions","2018",NA,NA,NA
"40","Network","NBC Universial","Rio de Janeiro Summer Olympics",NA,NA,1230,"Dollars_Millions","2016",NA,NA,NA
"41","Network","ABC, ESPN","Rose Bowl",NA,NA,300,"Dollars_Millions","2006-2014",NA,NA,NA
"42","Network","ABC, ESPN","Rose Bowl",NA,NA,800,"Dollars_Millions","2015-2026",NA,NA,NA
"43","Network","NBC Universial","Salt Lake City Winter Olympics",NA,NA,555,"Dollars_Millions","2002",NA,NA,NA
"44","Network","CBS","SEC",TRUE,"Basketball,Football",825,"Dollars_Millions","2008-2023",NA,NA,NA
"45","Network","ABC, ESPN","SEC",NA,"All Sports",2300,"Dollars_Millions","2008-2023",NA,NA,NA
"46","Network","ABC, ESPN","SEC",NA,NA,2250,"Dollars_Millions","2009/10-2023/24",NA,NA,NA
"47","Network","ABC, ESPN","SEC",NA,NA,825,"Dollars_Millions","2009/10-2023/24",NA,NA,NA
"48","Network","NBC Universial","Sochi Winter Olympics",NA,NA,775,"Dollars_Millions","2014",NA,NA,NA
"49","Network","NBC Universial","Sydney Summer Olympics",NA,NA,715,"Dollars_Millions","2000",NA,NA,NA
"50","Network","CBS","The Masters",NA,NA,3,"Dollars_Millions","year-to-year",NA,NA,NA
"51","Network","NBC Universial","Turin Winter Olympics",NA,NA,613,"Dollars_Millions","2006",NA,NA,NA
"52","Network","NBC","U.S. Figure Skating",NA,NA,NA,"Dollars_Millions","2008-2014",NA,NA,NA
"53","Network","Fox, Fox Sports, Fuel TV, FX","UFC",NA,NA,630,"Dollars_Millions","2011-2018",NA,NA,NA
"54","Network","Spike TV","UFC",NA,NA,35,"Dollars_Millions","2010-2011",NA,NA,NA
"55","Network","ESPN","University of Texas Network",NA,"Original programming, historic events, ect..",300,"Dollars_Millions","2011-2031",NA,NA,NA
"56","Network","NBC","USGA US Open",NA,NA,NA,"Dollars_Millions","2005-2014",NA,NA,NA
"57","Network","CBS","USTA US Open",NA,"US Open",150,"Dollars_Millions","2009-2015",NA,NA,NA
"58","Network","NBC Universial","Vancouver Winter Olympics",NA,NA,820,"Dollars_Millions","2010",NA,NA,NA
"59","Network","ESPN","Wimbledon",NA,"Wimbledon Championship",500,"Dollars_Millions","2011-2014",NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
