"","League","Entity_Type","Entity","Variable","Variable_Type","Value","Value_Type","Period","Source"
"63","NFL","Franchise","Washington Redskins","Franchise Value","Estimated",1600,"Dollars_Millions",2012,"Forbes"
"64","NFL","Franchise","New York Giants","Franchise Value","Estimated",1468,"Dollars_Millions",2012,"Forbes"
"65","NFL","Franchise","Houston Texans","Franchise Value","Estimated",1305,"Dollars_Millions",2012,"Forbes"
"66","NFL","Franchise","New York Jets","Franchise Value","Estimated",1284,"Dollars_Millions",2012,"Forbes"
"67","NFL","Franchise","Philadelphia Eagles","Franchise Value","Estimated",1260,"Dollars_Millions",2012,"Forbes"
"68","NFL","Franchise","Chicago Bears","Franchise Value","Estimated",1190,"Dollars_Millions",2012,"Forbes"
"69","NFL","Franchise","San Francisco 49ers","Franchise Value","Estimated",1175,"Dollars_Millions",2012,"Forbes"
"70","NFL","Franchise","Green Bay Packers","Franchise Value","Estimated",1161,"Dollars_Millions",2012,"Forbes"
"71","NFL","Franchise","Baltimore Ravens","Franchise Value","Estimated",1157,"Dollars_Millions",2012,"Forbes"
"72","NFL","Franchise","Indianapolis Colts","Franchise Value","Estimated",1154,"Dollars_Millions",2012,"Forbes"
"73","NFL","Franchise","Denver Broncos","Franchise Value","Estimated",1132,"Dollars_Millions",2012,"Forbes"
"74","NFL","Franchise","Pittsburgh Steelers","Franchise Value","Estimated",1100,"Dollars_Millions",2012,"Forbes"
"75","NFL","Franchise","Miami Dolphins","Franchise Value","Estimated",1060,"Dollars_Millions",2012,"Forbes"
"76","NFL","Franchise","Carolina Panthers","Franchise Value","Estimated",1048,"Dollars_Millions",2012,"Forbes"
"77","NFL","Franchise","Seattle Seahawks","Franchise Value","Estimated",1040,"Dollars_Millions",2012,"Forbes"
"78","NFL","Franchise","Tampa Bay Buccaneers","Franchise Value","Estimated",1033,"Dollars_Millions",2012,"Forbes"
"79","NFL","Franchise","Tennessee Titans","Franchise Value","Estimated",1011,"Dollars_Millions",2012,"Forbes"
"80","NFL","Franchise","Kansas City Chiefs","Franchise Value","Estimated",1008,"Dollars_Millions",2012,"Forbes"
"81","NFL","Franchise","Cleveland Browns","Franchise Value","Estimated",987,"Dollars_Millions",2012,"Forbes"
"82","NFL","Franchise","Minnesota Vikings","Franchise Value","Estimated",975,"Dollars_Millions",2012,"Forbes"
"83","NFL","Franchise","New Orleans Saints","Franchise Value","Estimated",971,"Dollars_Millions",2012,"Forbes"
"84","NFL","Franchise","San Diego Chargers","Franchise Value","Estimated",936,"Dollars_Millions",2012,"Forbes"
"85","NFL","Franchise","Arizona Cardinals","Franchise Value","Estimated",922,"Dollars_Millions",2012,"Forbes"
"86","NFL","Franchise","Cincinnati Bengals","Franchise Value","Estimated",871,"Dollars_Millions",2012,"Forbes"
"87","NFL","Franchise","Detroit Lions","Franchise Value","Estimated",855,"Dollars_Millions",2012,"Forbes"
"88","NFL","Franchise","Atlanta Falcons","Franchise Value","Estimated",837,"Dollars_Millions",2012,"Forbes"
"89","NFL","Franchise","Buffalo Bills","Franchise Value","Estimated",805,"Dollars_Millions",2012,"Forbes"
"90","NFL","Franchise","Oakland Raiders","Franchise Value","Estimated",785,"Dollars_Millions",2012,"Forbes"
"91","NFL","Franchise","St Louis Rams","Franchise Value","Estimated",780,"Dollars_Millions",2012,"Forbes"
"92","NFL","Franchise","Jacksonville Jaguars","Franchise Value","Estimated",770,"Dollars_Millions",2012,"Forbes"
"93","UEFA","Franchise","Manchester United","Franchise Value","Estimated",2235,"Dollars_Millions",2012,"Forbes"
"94","UEFA","Franchise","Real Madrid","Franchise Value","Estimated",1877,"Dollars_Millions",2012,"Forbes"
"95","UEFA","Franchise","Barcelona","Franchise Value","Estimated",1307,"Dollars_Millions",2012,"Forbes"
"96","UEFA","Franchise","Arsenal","Franchise Value","Estimated",1292,"Dollars_Millions",2012,"Forbes"
"97","UEFA","Franchise","Bayern Munich","Franchise Value","Estimated",1235,"Dollars_Millions",2012,"Forbes"
"98","UEFA","Franchise","AC Milan","Franchise Value","Estimated",989,"Dollars_Millions",2012,"Forbes"
"99","UEFA","Franchise","Chelsea","Franchise Value","Estimated",761,"Dollars_Millions",2012,"Forbes"
"100","UEFA","Franchise","Liverpool","Franchise Value","Estimated",619,"Dollars_Millions",2012,"Forbes"
"101","UEFA","Franchise","Juventus","Franchise Value","Estimated",591,"Dollars_Millions",2012,"Forbes"
"102","UEFA","Franchise","Schalke 04","Franchise Value","Estimated",587,"Dollars_Millions",2012,"Forbes"
"103","UEFA","Franchise","Tottenham Hotspur","Franchise Value","Estimated",564,"Dollars_Millions",2012,"Forbes"
"104","UEFA","Franchise","Inter Milan","Franchise Value","Estimated",490,"Dollars_Millions",2012,"Forbes"
"105","UEFA","Franchise","Manchester City","Franchise Value","Estimated",443,"Dollars_Millions",2012,"Forbes"
"106","UEFA","Franchise","Borussia Dortmund","Franchise Value","Estimated",394,"Dollars_Millions",2012,"Forbes"
"107","UEFA","Franchise","Olympique Lyonnais","Franchise Value","Estimated",385,"Dollars_Millions",2012,"Forbes"
"108","UEFA","Franchise","Hamburg SV","Franchise Value","Estimated",355,"Dollars_Millions",2012,"Forbes"
"109","UEFA","Franchise","AS Roma","Franchise Value","Estimated",354,"Dollars_Millions",2012,"Forbes"
"110","UEFA","Franchise","Olympique Marseille","Franchise Value","Estimated",349,"Dollars_Millions",2012,"Forbes"
"111","UEFA","Franchise","Valencia","Franchise Value","Estimated",288,"Dollars_Millions",2012,"Forbes"
"112","UEFA","Franchise","Napoli","Franchise Value","Estimated",283,"Dollars_Millions",2012,"Forbes"
"113","NBA","Franchise","Los Angeles Lakers","Total Revenue","Estimated",208,"Dollars_Millions",2012,"Forbes"
"114","NBA","Franchise","New York Knicks","Total Revenue","Estimated",244,"Dollars_Millions",2012,"Forbes"
"115","NBA","Franchise","Chicago Bulls","Total Revenue","Estimated",185,"Dollars_Millions",2012,"Forbes"
"116","NBA","Franchise","Dallas Mavericks","Total Revenue","Estimated",166,"Dollars_Millions",2012,"Forbes"
"117","NBA","Franchise","Boston Celtics","Total Revenue","Estimated",146,"Dollars_Millions",2012,"Forbes"
"118","NBA","Franchise","Miami Heat","Total Revenue","Estimated",158,"Dollars_Millions",2012,"Forbes"
"119","NBA","Franchise","Houston Rockets","Total Revenue","Estimated",150,"Dollars_Millions",2012,"Forbes"
"120","NBA","Franchise","Golden State Warriors","Total Revenue","Estimated",139,"Dollars_Millions",2012,"Forbes"
"121","NBA","Franchise","San Antonio Spurs","Total Revenue","Estimated",139,"Dollars_Millions",2012,"Forbes"
"122","NBA","Franchise","Phoenix Suns","Total Revenue","Estimated",136,"Dollars_Millions",2012,"Forbes"
"123","NBA","Franchise","Orlando Magic","Total Revenue","Estimated",140,"Dollars_Millions",2012,"Forbes"
"124","NBA","Franchise","Toronto Raptors","Total Revenue","Estimated",134,"Dollars_Millions",2012,"Forbes"
"125","NBA","Franchise","Portland Trail Blazers","Total Revenue","Estimated",132,"Dollars_Millions",2012,"Forbes"
"126","NBA","Franchise","New Jersey Nets","Total Revenue","Estimated",89,"Dollars_Millions",2012,"Forbes"
"127","NBA","Franchise","Oklahoma City Thunder","Total Revenue","Estimated",126,"Dollars_Millions",2012,"Forbes"
"128","NBA","Franchise","Utah Jazz","Total Revenue","Estimated",120,"Dollars_Millions",2012,"Forbes"
"129","NBA","Franchise","Detroit Pistons","Total Revenue","Estimated",141,"Dollars_Millions",2012,"Forbes"
"130","NBA","Franchise","Cleveland Cavaliers","Total Revenue","Estimated",149,"Dollars_Millions",2012,"Forbes"
"131","NBA","Franchise","Washington Wizards","Total Revenue","Estimated",109,"Dollars_Millions",2012,"Forbes"
"132","NBA","Franchise","Los Angeles Clippers","Total Revenue","Estimated",108,"Dollars_Millions",2012,"Forbes"
"133","NBA","Franchise","Denver Nuggets","Total Revenue","Estimated",113,"Dollars_Millions",2012,"Forbes"
"134","NBA","Franchise","Philadelphia 76ers","Total Revenue","Estimated",116,"Dollars_Millions",2012,"Forbes"
"135","NBA","Franchise","Sacramento Kings","Total Revenue","Estimated",104,"Dollars_Millions",2012,"Forbes"
"136","NBA","Franchise","New Orleans Hornets","Total Revenue","Estimated",109,"Dollars_Millions",2012,"Forbes"
"137","NBA","Franchise","Indiana Pacers","Total Revenue","Estimated",101,"Dollars_Millions",2012,"Forbes"
"138","NBA","Franchise","Charlotte Bobcats","Total Revenue","Estimated",101,"Dollars_Millions",2012,"Forbes"
"139","NBA","Franchise","Minnesota Timberwolves","Total Revenue","Estimated",97,"Dollars_Millions",2012,"Forbes"
"140","NBA","Franchise","Atlanta Hawks","Total Revenue","Estimated",109,"Dollars_Millions",2012,"Forbes"
"141","NBA","Franchise","Memphis Grizzlies","Total Revenue","Estimated",99,"Dollars_Millions",2012,"Forbes"
"142","NBA","Franchise","Milwaukee Bucks","Total Revenue","Estimated",92,"Dollars_Millions",2012,"Forbes"
"143","MLB","Franchise","New York Yankees","Total Revenue","Estimated",439,"Dollars_Millions",2012,"Forbes"
