"","League","Entity_Type","Entity","Variable","Variable_Type","Value","Value_Type","Period","Source"
"250","NBA","Franchise","Charlotte Bobcats","Operating Income","Estimated",-25.5,"Dollars_Millions",2012,"Forbes"
"251","NBA","Franchise","Minnesota Timberwolves","Operating Income","Estimated",-6.8,"Dollars_Millions",2012,"Forbes"
"252","NBA","Franchise","Atlanta Hawks","Operating Income","Estimated",-14.7,"Dollars_Millions",2012,"Forbes"
"253","NBA","Franchise","Memphis Grizzlies","Operating Income","Estimated",-24.8,"Dollars_Millions",2012,"Forbes"
"254","NBA","Franchise","Milwaukee Bucks","Operating Income","Estimated",-7.6,"Dollars_Millions",2012,"Forbes"
"255","MLB","Franchise","New York Yankees","Operating Income","Estimated",10,"Dollars_Millions",2012,"Forbes"
"256","MLB","Franchise","Los Angeles Dodgers","Operating Income","Estimated",1.2,"Dollars_Millions",2012,"Forbes"
"257","MLB","Franchise","Boston Red Sox","Operating Income","Estimated",25.4,"Dollars_Millions",2012,"Forbes"
"258","MLB","Franchise","Chicago Cubs","Operating Income","Estimated",28.1,"Dollars_Millions",2012,"Forbes"
"259","MLB","Franchise","Philadelphia Phillies","Operating Income","Estimated",-11.6,"Dollars_Millions",2012,"Forbes"
"260","MLB","Franchise","New York Mets","Operating Income","Estimated",-40.8,"Dollars_Millions",2012,"Forbes"
"261","MLB","Franchise","Texas Rangers","Operating Income","Estimated",15.3,"Dollars_Millions",2012,"Forbes"
"262","MLB","Franchise","Los Angeles Angels of Anaheim","Operating Income","Estimated",-1.2,"Dollars_Millions",2012,"Forbes"
"263","MLB","Franchise","San Francisco Giants","Operating Income","Estimated",8.8,"Dollars_Millions",2012,"Forbes"
"264","MLB","Franchise","Chicago White Sox","Operating Income","Estimated",10.7,"Dollars_Millions",2012,"Forbes"
"265","MLB","Franchise","St Louis Cardinals","Operating Income","Estimated",25,"Dollars_Millions",2012,"Forbes"
"266","MLB","Franchise","Seattle Mariners","Operating Income","Estimated",2.2,"Dollars_Millions",2012,"Forbes"
"267","MLB","Franchise","Houston Astros","Operating Income","Estimated",24.3,"Dollars_Millions",2012,"Forbes"
"268","MLB","Franchise","Minnesota Twins","Operating Income","Estimated",16.6,"Dollars_Millions",2012,"Forbes"
"269","MLB","Franchise","Atlanta Braves","Operating Income","Estimated",20.7,"Dollars_Millions",2012,"Forbes"
"270","MLB","Franchise","Washington Nationals","Operating Income","Estimated",25.9,"Dollars_Millions",2012,"Forbes"
"271","MLB","Franchise","Detroit Tigers","Operating Income","Estimated",8.2,"Dollars_Millions",2012,"Forbes"
