,Sport,Governing_Body,Event,Facet_Type,Facet_Value,Variable,Value,Value_Type,Date,Period,Source
47,NA,NBA,NA,League,NBA,Fans,0.48,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
48,Action Sports,NA,NA,Sport,Action Sports,Fans,0.46,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
49,Figure Skating,NA,NA,Sport,Figure Skating,Fans,0.45,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
50,Boxing,NA,NA,Sport,Boxing,Fans,0.37,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
51,Mixed Martial Arts,NA,NA,Sport,Mixed Martial Arts,Fans,0.36,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
52,NA,NASCAR,NA,League,NASCAR,Fans,0.36,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
53,NA,NHL,NA,League,NHL,Fans,0.35,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
54,NA,PGA,NA,League,PGA,Fans,0.33,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
55,NA,Horse Racing,NA,League,Horse Racing,Fans,0.3,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
56,NA,WTA,NA,League,WTA,Fans,0.3,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
57,NA,WNBA,NA,League,WNBA,Fans,0.3,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
58,NA,MLS,NA,League,MLS,Fans,0.3,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
59,NA,ATP,NA,League,ATP,Fans,0.29,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
60,NA,WWE,NA,League,WWE,Fans,0.21,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
61,NA,NFL,NA,League,NFL,Avid Fans,0.32,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
62,NA,NCAA Men's Football,NA,League,NCAA Men's Football,Avid Fans,0.23,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
63,NA,MLB,NA,League,MLB,Avid Fans,0.19,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
64,NA,NCAA Men's Basketball,NA,League,NCAA Men's Basketball,Avid Fans,0.16,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
65,NA,NBA,NA,League,NBA,Avid Fans,0.16,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
66,Action Sports,NA,NA,Sport,Action Sports,Avid Fans,0.11,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
67,Figure Skating,NA,NA,Sport,Figure Skating,Avid Fans,0.1,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
68,Boxing,NA,NA,Sport,Boxing,Avid Fans,0.1,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
69,Mixed Martial Arts,NA,NA,Sport,Mixed Martial Arts,Avid Fans,0.14,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
70,NA,NASCAR,NA,League,NASCAR,Avid Fans,0.11,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
71,NA,NHL,NA,League,NHL,Avid Fans,0.08,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
72,NA,PGA,NA,League,PGA,Avid Fans,0.08,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
73,NA,Horse racing,NA,League,Horse racing,Avid Fans,0.05,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
74,NA,WTA,NA,League,WTA,Avid Fans,0.05,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
75,NA,WNBA,NA,League,WNBA,Avid Fans,0.04,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
76,NA,MLS,NA,League,MLS,Avid Fans,0.06,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
77,NA,ATP,NA,League,ATP,Avid Fans,0.04,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
78,NA,WWE,NA,League,WWE,Avid Fans,0.06,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
79,NA,NFL,NA,Age,12-to-17,Distribution of Fans,0.12,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
80,NA,NFL,NA,Age,18-to-24,Distribution of Fans,0.11,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
81,NA,NFL,NA,Age,25-to-34,Distribution of Fans,0.19,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
82,NA,NFL,NA,Age,35-to-44,Distribution of Fans,0.15,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
83,NA,NFL,NA,Age,45-to-54,Distribution of Fans,0.2,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
84,NA,NFL,NA,Age,55 and older,Distribution of Fans,0.22,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
85,NA,NCAA Men's Football,NA,Age,12-to-17,Distribution of Fans,0.13,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
86,NA,NCAA Men's Football,NA,Age,18-to-24,Distribution of Fans,0.1,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
87,NA,NCAA Men's Football,NA,Age,25-to-34,Distribution of Fans,0.17,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
88,NA,NCAA Men's Football,NA,Age,35-to-44,Distribution of Fans,0.15,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
89,NA,NCAA Men's Football,NA,Age,45-to-54,Distribution of Fans,0.19,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
90,NA,NCAA Men's Football,NA,Age,55 and older,Distribution of Fans,0.25,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
91,NA,MLB,NA,Age,12-to-17,Distribution of Fans,0.11,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
92,NA,MLB,NA,Age,18-to-24,Distribution of Fans,0.09,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
93,NA,MLB,NA,Age,25-to-34,Distribution of Fans,0.15,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
94,NA,MLB,NA,Age,35-to-44,Distribution of Fans,0.14,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
95,NA,MLB,NA,Age,45-to-54,Distribution of Fans,0.2,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
96,NA,MLB,NA,Age,55 and older,Distribution of Fans,0.29,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
97,NA,NCAA Men's Basketball,NA,Age,12-to-17,Distribution of Fans,0.15,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
98,NA,NCAA Men's Basketball,NA,Age,18-to-24,Distribution of Fans,0.08,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
99,NA,NCAA Men's Basketball,NA,Age,25-to-34,Distribution of Fans,0.15,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
