,Governing_Body,Variable,Facet_Type,Facet_Value,Value_Type,Source,Period,Date,Value
1,WNBA,WNBA Fans,Gender,Male,Percent of Total,ESPN Sports Poll,2012,NA,0.6
2,WNBA,WNBA Fans,Gender,Female,Percent of Total,ESPN Sports Poll,2012,NA,0.4
3,WNBA,WNBA Fans,Ethnicity,Caucasian,Percent of Total,ESPN Sports Poll,2012,NA,0.23
4,WNBA,WNBA Fans,Ethnicity,Hispanic-American,Percent of Total,ESPN Sports Poll,2012,NA,0.25
5,WNBA,WNBA Fans,Ethnicity,African-American,Percent of Total,ESPN Sports Poll,2012,NA,0.12
6,WNBA,WNBA Fans,Ethnicity,Other,Percent of Total,ESPN Sports Poll,2012,NA,0.24
