,team,team,wiki_url,logo_image_url,colors,city,state.abb,country,name,team_id,dbpedia_url,dbpedia_data_json,sports_reference_URL,league
15,Los Angeles Kings,Los,wikipedia.org/wiki/Los_Angeles_Kings,http://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Los_Angeles_Kings_Logo_%282011%29.svg/400px-Los_Angeles_Kings_Logo_%282011%29.svg.png,"Black, white, aluminum",Los Angeles,CA,US,Kings,LAK,live.dbpedia.org/resource/Los_Angeles_Kings,live.dbpedia.org/data/Los_Angeles_Kings.json,http://www.hockey-reference.com/teams/LAK/,NHL
16,Minnesota North Stars,Minnesota,wikipedia.org/wiki/Minnesota_North_Stars,http://upload.wikimedia.org/wikipedia/en/thumb/5/56/Minnesota_North_Stars_Logo_2.svg/400px-Minnesota_North_Stars_Logo_2.svg.png,"Green, gold, black, white",Bloomington,MI,US,North Stars,DAL,live.dbpedia.org/resource/Minnesota_North_Stars,live.dbpedia.org/data/Minnesota_North_Stars.json,http://www.hockey-reference.com/teams/DAL/,NHL
17,Minnesota Wild,Minnesota,wikipedia.org/wiki/Minnesota_Wild,http://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Minnesota_Wild.svg/400px-Minnesota_Wild.svg.png,"Forest Green, Iron Range Red, Harvest gold, Minnesota wheat, white",St. Paul,MI,US,Wild,MIN,live.dbpedia.org/resource/Minnesota_Wild,live.dbpedia.org/data/Minnesota_Wild.json,http://www.hockey-reference.com/teams/MIN/,NHL
18,Montreal Canadiens,Montreal,wikipedia.org/wiki/Montreal_Canadiens,http://upload.wikimedia.org/wikipedia/en/thumb/6/69/Montreal_Canadiens.svg/400px-Montreal_Canadiens.svg.png,"red, white, blue",Montreal,QC,US,Canadiens,MTL,live.dbpedia.org/resource/Montreal_Canadiens,live.dbpedia.org/data/Montreal_Canadiens.json,http://www.hockey-reference.com/teams/MTL/,NHL
19,Nashville Predators,Nashville,wikipedia.org/wiki/Nashville_Predators,http://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Nashville_Predators_Logo_%282011%29.svg/400px-Nashville_Predators_Logo_%282011%29.svg.png,"Gold, navy, white",Nashville,TN,US,Predators,NSH,live.dbpedia.org/resource/Nashville_Predators,live.dbpedia.org/data/Nashville_Predators.json,http://www.hockey-reference.com/teams/NSH/,NHL
20,New Jersey Devils,New,wikipedia.org/wiki/New_Jersey_Devils,http://upload.wikimedia.org/wikipedia/en/thumb/9/9f/New_Jersey_Devils_logo.svg/400px-New_Jersey_Devils_logo.svg.png,"Red, black, white",Newark,NJ,US,Devils,NJD,live.dbpedia.org/resource/New_Jersey_Devils,live.dbpedia.org/data/New_Jersey_Devils.json,http://www.hockey-reference.com/teams/NJD/,NHL
21,New York Islanders,New,wikipedia.org/wiki/New_York_Islanders,http://upload.wikimedia.org/wikipedia/en/thumb/4/42/Logo_New_York_Islanders.svg/400px-Logo_New_York_Islanders.svg.png,"Royal Blue, Orange, White",Nassau,NY,US,Islanders,NYI,live.dbpedia.org/resource/New_York_Islanders,live.dbpedia.org/data/New_York_Islanders.json,http://www.hockey-reference.com/teams/NYI/,NHL
22,New York Rangers,New,wikipedia.org/wiki/New_York_Rangers,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/New_York_Rangers.svg/400px-New_York_Rangers.svg.png,"Blue, Red and White",New York City,NY,US,Rangers,NYR,live.dbpedia.org/resource/New_York_Rangers,live.dbpedia.org/data/New_York_Rangers.json,http://www.hockey-reference.com/teams/NYR/,NHL
23,Ottawa Senators,Ottawa,wikipedia.org/wiki/Ottawa_Senators,http://upload.wikimedia.org/wikipedia/en/thumb/d/db/Ottawa_Senators.svg/400px-Ottawa_Senators.svg.png,"Red, black, gold and white",Ottawa,ON,CA,Senators,OTT,live.dbpedia.org/resource/Ottawa_Senators,live.dbpedia.org/data/Ottawa_Senators.json,http://www.hockey-reference.com/teams/OTT/,NHL
24,Philadelphia Flyers,Philadelphia,wikipedia.org/wiki/Philadelphia_Flyers,http://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Philadelphia_Flyers.svg/400px-Philadelphia_Flyers.svg.png,"Orange, black and white",Philadelphia,PA,US,Flyers,PHI,live.dbpedia.org/resource/Philadelphia_Flyers,live.dbpedia.org/data/Philadelphia_Flyers.json,http://www.hockey-reference.com/teams/PHI/,NHL
25,Phoenix Coyotes,Phoenix,wikipedia.org/wiki/Phoenix_Coyotes,http://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Phoenix_Coyotes.svg/400px-Phoenix_Coyotes.svg.png,"Sedona red, black, desert sand, white",Phoenix,AZ,US,Coyotes,PHX,live.dbpedia.org/resource/Phoenix_Coyotes,live.dbpedia.org/data/Phoenix_Coyotes.json,http://www.hockey-reference.com/teams/PHX/,NHL
26,Pittsburgh Penguins,Pittsburgh,wikipedia.org/wiki/Pittsburgh_Penguins,http://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Pittsburgh_Penguins_logo.svg/400px-Pittsburgh_Penguins_logo.svg.png,"Black, Vegas Gold, White",Pittsburgh,PA,US,Penguins,PIT,live.dbpedia.org/resource/Pittsburgh_Penguins,live.dbpedia.org/data/Pittsburgh_Penguins.json,http://www.hockey-reference.com/teams/PIT/,NHL
27,Quebec Nordiques,Quebec,wikipedia.org/wiki/Quebec_Nordiques,http://upload.wikimedia.org/wikipedia/en/thumb/9/96/Quebec_Nordiques_Logo.svg/400px-Quebec_Nordiques_Logo.svg.png,"Blue, white and red",Quebec City,QC,CA,Nordiques,COL,live.dbpedia.org/resource/Quebec_Nordiques,live.dbpedia.org/data/Quebec_Nordiques.json,http://www.hockey-reference.com/teams/COL/,NHL
28,San Jose Sharks,San,wikipedia.org/wiki/San_Jose_Sharks,http://upload.wikimedia.org/wikipedia/en/thumb/3/37/SanJoseSharksLogo.svg/400px-SanJoseSharksLogo.svg.png,"Deep Pacific teal, burnt orange, black, white",San Jose,CA,US,Sharks,SJS,live.dbpedia.org/resource/San_Jose_Sharks,live.dbpedia.org/data/San_Jose_Sharks.json,http://www.hockey-reference.com/teams/SJS/,NHL
29,St. Louis Blues,St.,wikipedia.org/wiki/St._Louis_Blues,http://upload.wikimedia.org/wikipedia/en/thumb/e/e8/StLouis_Blues.svg/400px-StLouis_Blues.svg.png,"Blue, gold, navy blue, white",St. Louis,MO,US,Blues,STL,live.dbpedia.org/resource/St._Louis_Blues,live.dbpedia.org/data/St._Louis_Blues.json,http://www.hockey-reference.com/teams/STL/,NHL
30,Tampa Bay Lightning,Tampa,wikipedia.org/wiki/Tampa_Bay_Lightning,http://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Tampa_Bay_Lightning_Logo_2011.svg/400px-Tampa_Bay_Lightning_Logo_2011.svg.png,"Blue, white, black",Tampa,FL,US,Lightning,TBL,live.dbpedia.org/resource/Tampa_Bay_Lightning,live.dbpedia.org/data/Tampa_Bay_Lightning.json,http://www.hockey-reference.com/teams/TBL/,NHL
31,Toronto Maple Leafs,Toronto,wikipedia.org/wiki/Toronto_Maple_Leafs,http://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Toronto_Maple_Leafs_logo.svg/400px-Toronto_Maple_Leafs_logo.svg.png,Blue and white,Toronto,ON,CA,Maple Leafs,TOR,live.dbpedia.org/resource/Toronto_Maple_Leafs,live.dbpedia.org/data/Toronto_Maple_Leafs.json,http://www.hockey-reference.com/teams/TOR/,NHL
32,Vancouver Canucks,Vancouver,wikipedia.org/wiki/Vancouver_Canucks,http://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Vancouver_Canucks_logo.svg/400px-Vancouver_Canucks_logo.svg.png,"Blue, green, silver, white",Vancouver,BC,US,Canucks,VAN,live.dbpedia.org/resource/Vancouver_Canucks,live.dbpedia.org/data/Vancouver_Canucks.json,http://www.hockey-reference.com/teams/VAN/,NHL
33,Washington Capitals,Washington,wikipedia.org/wiki/Washington_Capitals,http://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Washington_Capitals.svg/400px-Washington_Capitals.svg.png,"Red, navy, white",Washington D.C.,DC,CA,Capitals,WSH,live.dbpedia.org/resource/Washington_Capitals,live.dbpedia.org/data/Washington_Capitals.json,http://www.hockey-reference.com/teams/WSH/,NHL
34,Winnipeg Jets,Winnipeg,wikipedia.org/wiki/Winnipeg_Jets,http://upload.wikimedia.org/wikipedia/en/thumb/9/93/Winnipeg_Jets_Logo_2011.svg/400px-Winnipeg_Jets_Logo_2011.svg.png,"Polar Night Blue, White, Aviator Blue, Silver",Winnipeg,MB,CA,Jets,WPG,live.dbpedia.org/resource/Winnipeg_Jets,live.dbpedia.org/data/Winnipeg_Jets.json,http://www.hockey-reference.com/teams/WPG/,NHL
