,Governing_Body,Event,Sponsorship_Type,Period,Company
107,LeMans,World of Outlaws Late Model Series,Official,2012,JE Pistons
108,LeMans,World of Outlaws Late Model Series,Official,2012,Klotz Synthetic Lubricants
109,LeMans,World of Outlaws Late Model Series,Official,2012,Longacre
110,LeMans,World of Outlaws Late Model Series,Official,2012,MSD Ignition
111,LeMans,World of Outlaws Late Model Series,Official,2012,Ohlins
112,LeMans,World of Outlaws Late Model Series,Official,2012,Quarter Master
113,LeMans,World of Outlaws Late Model Series,Official,2012,Racing Electronics
114,LeMans,World of Outlaws Late Model Series,Official,2012,Rocket Chassis
115,LeMans,World of Outlaws Late Model Series,Official,2012,Roush Yates Performance Parts
116,LeMans,World of Outlaws Late Model Series,Official,2012,STP
117,LeMans,World of Outlaws Late Model Series,Official,2012,SuperFlow
118,LeMans,World of Outlaws Late Model Series,Official,2012,TNT Rescue
119,LeMans,World of Outlaws Late Model Series,Official,2012,Vicci
120,LeMans,World of Outlaws Late Model Series,Official,2012,VP Racing Fuels
121,LeMans,World of Outlaws Late Model Series,Official,2012,Warrior Chassis
122,LeMans,World of Outlaws Late Model Series,Official,2012,Weld Racing
123,LeMans,World of Outlaws Late Model Series,Official,2012,WIX Filters
124,LeMans,World of Outlaws Late Model Series,Official,2012,Wrisco Industries
125,LeMans,World of Outlaws Late Model Series,Official,2012,XS PowerRacing Batteries
126,LeMans,AMA Motorcross Championship,Official,2012,Acerbis
127,LeMans,AMA Motorcross Championship,Official,2012,Air National Guard
128,LeMans,AMA Motorcross Championship,Official,2012,Alpine Stars
129,LeMans,AMA Motorcross Championship,Official,2012,Asterisk
130,LeMans,AMA Motorcross Championship,Official,2012,GoPro
131,LeMans,AMA Motorcross Championship,Official,2012,KTM
132,LeMans,AMA Motorcross Championship,Official,2012,Lucas Oil Products
133,LeMans,AMA Motorcross Championship,Official,2012,Makita
134,LeMans,AMA Motorcross Championship,Official,2012,Moose Racing
135,LeMans,AMA Motorcross Championship,Official,2012,Motion Pro
136,LeMans,AMA Motorcross Championship,Official,2012,Muscle Milk
137,LeMans,AMA Motorcross Championship,Official,2012,MXS
138,LeMans,AMA Motorcross Championship,Official,2012,Oakley
139,LeMans,AMA Motorcross Championship,Official,2012,Parts Unlimited
140,LeMans,AMA Motorcross Championship,Official,2012,Rockstar Energy Drink
141,LeMans,AMA Motorcross Championship,Official,2012,Thor
142,LeMans,AMA Motorcross Championship,Official,2012,Toyota Trucks
143,LeMans,AMA Motorcross Championship,Official,2012,UFO Plastic
144,LeMans,AMA Motorcross Championship,Official,2012,Wiseco
145,LeMans,AMA Motorcross Championship,Official,2012,Z1R Helmets
