,Governing_Body,Event,Sport,Sponsorship_Type,Period,Company,Company_Brand
1,PBA,NA,Bowling,Official,2012,Alka-Seltzer Plus,NA
2,PBA,NA,Bowling,Official,2012,Barbasol,NA
3,PBA,NA,Bowling,Official,2012,Bayer,NA
4,PBA,NA,Bowling,Official,2012,Brunswick,NA
5,PBA,NA,Bowling,Official,2012,Budweiser,NA
6,PBA,NA,Bowling,Official,2012,Geico,NA
7,PBA,NA,Bowling,Official,2012,Jack Link‰Ûªs Beef Jerky,NA
8,PBA,NA,Bowling,Official,2012,Just For Men,NA
9,PBA,NA,Bowling,Official,2012,Pepsi,NA
10,PBA,NA,Bowling,Official,2012,United States Bowling Congress,NA
11,NCA,NA,Cheerleading,Official,2012,Action Moments,NA
12,NCA,NA,Cheerleading,Official,2012,Dance Central 2,NA
13,NCA,NA,Cheerleading,Official,2012,Degree Girl,NA
14,NCA,NA,Cheerleading,Official,2012,Freeze IT,NA
15,NCA,NA,Cheerleading,Official,2012,Gatorade,NA
16,NCA,NA,Cheerleading,Official,2012,PBteen,NA
17,NCA,NA,Cheerleading,Official,2012,Playtex Sport,NA
18,NCA,NA,Cheerleading,Official,2012,Softlips,NA
19,NCA,NA,Cheerleading,Official,2012,Varsity Brands,NA
20,USAF,NA,Cheerleading,Partner,2012,Action Moments,NA
21,USAF,NA,Cheerleading,Partner,2012,Cheerleader & DanzTeam,NA
22,USAF,NA,Cheerleading,Partner,2012,Dollamur,NA
23,USAF,NA,Cheerleading,Partner,2012,EirthPay,NA
24,USAF,NA,Cheerleading,Partner,2012,Hollis & Associates,NA
25,USAF,NA,Cheerleading,Partner,2012,Isagenix,NA
26,USAF,NA,Cheerleading,Partner,2012,Message In A Bottle Productions,NA
27,USAF,NA,Cheerleading,Partner,2012,Midwest Trophy,NA
28,USAF,NA,Cheerleading,Partner,2012,Nfinity Shoes,NA
29,USAF,NA,Cheerleading,Partner,2012,Ozone,NA
30,USAF,NA,Cheerleading,Partner,2012,Ross Athletics,NA
31,USAF,NA,Cheerleading,Partner,2012,Varsity Spirit Fashions,NA
32,USAF,NA,Cheerleading,Partner,2012,Wink Performance Cosmetics,NA
33,CrossFit,NA,Fitness,Title,2012,Reebok ,NA
34,CrossFit,NA,Fitness,Official,2012,FRS,NA
35,CrossFit,NA,Fitness,Official,2012,GNC,NA
36,CrossFit,NA,Fitness,Official,2012,Rogue Fitness,NA
37,CrossFit,NA,Fitness,Official,2012,Vita Coco,NA
