,Governing_Body,Event,Sport,Sponsorship_Type,Period,Company,Company_Brand
38,USLax,NA,Lacrosse,Official,2012,Champion,NA
39,USLax,NA,Lacrosse,Official,2012,Marriott,NA
40,USLax,NA,Lacrosse,Official,2012,Nationwide Insurance,NA
41,USLax,NA,Lacrosse,Official,2012,US Bank,NA
42,NA,New York City Marathon,Marathon,Title,2012,ING,NA
43,NA,New York City Marathon,Marathon,Official,2012,ASICS,NA
44,NA,New York City Marathon,Marathon,Official,2012,Foot Locker,NA
45,NA,New York City Marathon,Marathon,Official,2012,Nissan,NA
46,NA,New York City Marathon,Marathon,Official,2012,The New York Times,NA
47,NA,New York City Marathon,Marathon,Official,2012,The Rudin Family,NA
48,NA,New York City Marathon,Marathon,Official,2012,Timex,NA
49,NA,New York City Marathon,Marathon,Official,2012,United Airlines,NA
50,PBR,NA,Rodeo,Official,2012,Allegiant Air,NA
51,PBR,NA,Rodeo,Official,2012,Ariat,NA
52,PBR,NA,Rodeo,Official,2012,B&W Trailer Hitches,NA
53,PBR,NA,Rodeo,Official,2012,Bad Boy Movers,NA
54,PBR,NA,Rodeo,Official,2012,Bass Pro Shops,NA
55,PBR,NA,Rodeo,Official,2012,Big Tex Trailers,NA
56,PBR,NA,Rodeo,Official,2012,City of Las Vegas,NA
57,PBR,NA,Rodeo,Official,2012,Cooper Tires,NA
58,PBR,NA,Rodeo,Official,2012,Dickies,NA
59,PBR,NA,Rodeo,Official,2012,Exclusive Genetics,NA
60,PBR,NA,Rodeo,Official,2012,Express Ranches,NA
61,PBR,NA,Rodeo,Official,2012,Ford,NA
62,PBR,NA,Rodeo,Official,2012,Jack Daniel‰Ûªs,NA
63,PBR,NA,Rodeo,Official,2012,Jeffrey Scott Fine Magnetics,NA
64,PBR,NA,Rodeo,Official,2012,Lincoln Welders,NA
65,PBR,NA,Rodeo,Official,2012,Lucas Oil Products,NA
66,PBR,NA,Rodeo,Official,2012,Mandalay Bay,NA
67,PBR,NA,Rodeo,Official,2012,NBC Sports Network,NA
68,PBR,NA,Rodeo,Official,2012,Priefert Rodeo & Ranch Equipment,NA
69,PBR,NA,Rodeo,Official,2012,RockStar Energy Drink,NA
70,PBR,NA,Rodeo,Official,2012,Rocky Mountain Elk Foundation,NA
71,PBR,NA,Rodeo,Official,2012,Stanley Tools,NA
72,PBR,NA,Rodeo,Official,2012,U.S. Air Force,NA
73,PBR,NA,Rodeo,Official,2012,Wrangler,NA
74,NA,World Cup,Rugby,Worldwide Partner,2011,EDF,NA
75,IRB,World Cup,Rugby,Worldwide Partner,2011,GMF,NA
76,IRB,World Cup,Rugby,Worldwide Partner,2011,Peugeot,NA
77,IRB,World Cup,Rugby,Worldwide Partner,2011,SNCF,NA
78,IRB,World Cup,Rugby,Worldwide Partner,2011,SociÌ©tÌ© GÌ©nÌ©rale,NA
79,IRB,World Cup,Rugby,Worldwide Partner,2011,VISA,NA
80,IRB,World Cup,Rugby,Official,2011,Capgemini,NA
81,IRB,World Cup,Rugby,Official,2011,Emirates Airline,NA
82,IRB,World Cup,Rugby,Official,2011,Heineken,NA
83,IRB,World Cup,Rugby,Official,2011,Orange,NA
84,IRB,World Cup,Rugby,Official,2011,Toshiba,NA
85,IRB,World Cup,Rugby,Official,2011,Vediorbis,NA
86,IRB,NA,Soccer,Worldwide Partner,2012,Adidas,NA
87,FIFA,NA,Soccer,Worldwide Partner,2012,Coca-Cola,NA
88,FIFA,NA,Soccer,Worldwide Partner,2012,Emirates Airline,NA
89,FIFA,NA,Soccer,Worldwide Partner,2012,Hyundai-KIA Motors,NA
90,FIFA,NA,Soccer,Worldwide Partner,2012,Sony,NA
91,FIFA,NA,Soccer,Worldwide Partner,2012,VISA,NA
92,FIFA,World Cup,Soccer,Official,2014,Budweiser,NA
93,FIFA,World Cup,Soccer,Official,2014,Castrol,NA
94,FIFA,World Cup,Soccer,Official,2014,Continental,NA
95,FIFA,World Cup,Soccer,Official,2014,McDonald‰Ûªs,NA
96,FIFA,World Cup,Soccer,Official,2014,MTN Group,NA
97,FIFA,World Cup,Soccer,Official,2014,Mahindra Satyam,NA
98,FIFA,World Cup,Soccer,Official,2014,Seara,NA
99,FIFA,World Cup,Soccer,Official,2014,Yingli Solar,NA
100,FIFA,NA,Soccer,Official,2012,AT&T,NA
101,USSF,NA,Soccer,Official,2012,Budweiser,NA
102,USSF,NA,Soccer,Official,2012,Castrol,NA
103,USSF,NA,Soccer,Official,2012,Dick‰Ûªs Sporting Goods,NA
104,USSF,NA,Soccer,Official,2012,Gatorade,NA
105,USSF,NA,Soccer,Official,2012,JosÌ© Cuervo,NA
106,USSF,NA,Soccer,Official,2012,McDonald‰Ûªs,NA
107,USSF,NA,Soccer,Official,2012,Nike,NA
108,USSF,NA,Soccer,Official,2012,Pepsi,NA
109,USSF,NA,Soccer,Official,2012,VISA,NA
110,USSF,NA,Softball,Official,2012,24 Hour Fitness,NA
111,ASA,NA,Softball,Official,2012,Boombah,NA
112,ASA,NA,Softball,Official,2012,Club Spaces powered by Active,NA
113,ASA,NA,Softball,Official,2012,Dermabond,NA
114,ASA,NA,Softball,Official,2012,Disney Sports,NA
115,ASA,NA,Softball,Official,2012,eFundraising,NA
116,ASA,NA,Softball,Official,2012,Great Plains Coca-Cola,NA
117,ASA,NA,Softball,Official,2012,Hilton Worldwide,NA
118,ASA,NA,Softball,Official,2012,Liberty Mutual Responsible Sports,NA
119,ASA,NA,Softball,Official,2012,Musco Lighting,NA
120,ASA,NA,Softball,Official,2012,Nike,NA
121,ASA,NA,Softball,Official,2012,PowerChalk,NA
122,ASA,NA,Softball,Official,2012,Schutt Sports,NA
123,ASA,NA,Softball,Official,2012,Stabilizer Solutions,NA
124,ASA,NA,Softball,Official,2012,United Airlines,NA
125,ASA,NA,Softball,Official,2012,US Sport Camps,NA
126,ASA,NA,Softball,Official,2012,3N2 Sports,NA
127,NPF,NA,Softball,Official,2012,Akadema,NA
128,NPF,NA,Softball,Official,2012,AMI Graphics,NA
129,NPF,NA,Softball,Official,2012,Boombah,NA
130,NPF,NA,Softball,Official,2012,Combat Sports,NA
131,NPF,NA,Softball,Official,2012,Diamond Sports,NA
132,NPF,NA,Softball,Official,2012,Easton Sports,NA
133,NPF,NA,Softball,Official,2012,EvoShield,NA
134,NPF,NA,Softball,Official,2012,Louisville Slugger,NA
135,NPF,NA,Softball,Official,2012,Miken Sports,NA
136,NPF,NA,Softball,Official,2012,Mizuno USA,NA
137,NPF,NA,Softball,Official,2012,Ringor,NA
138,NPF,NA,Softball,Official,2012,Schutt Sports,NA
139,NPF,NA,Softball,Official,2012,Shoulder Shield,NA
140,NPF,NA,Softball,Official,2012,The Game,NA
141,NPF,NA,Softball,Official,2012,Wilson Sporting Goods Co.,NA
142,NPF,NA,Softball,Official,2012,Worth Sports,NA
143,ASP,US Open Of Surfing,Surfing,Title,2012,Nike,NA
144,ASP,US Open Of Surfing,Surfing,Official,2012,Seven-Eleven,NA
145,ASP,US Open Of Surfing,Surfing,Official,2012,Casio Gz One,NA
146,ASP,US Open Of Surfing,Surfing,Official,2012,Converse,NA
147,ASP,US Open Of Surfing,Surfing,Official,2012,G-Shock,NA
148,ASP,US Open Of Surfing,Surfing,Official,2012,Goal Zero,NA
149,ASP,US Open Of Surfing,Surfing,Official,2012,Hurley,NA
150,ASP,US Open Of Surfing,Surfing,Official,2012,Intelliskin,NA
151,ASP,US Open Of Surfing,Surfing,Official,2012,Life Rolls On,NA
152,ASP,US Open Of Surfing,Surfing,Official,2012,McDonald‰Ûªs,NA
153,ASP,US Open Of Surfing,Surfing,Official,2012,Neff,NA
154,ASP,US Open Of Surfing,Surfing,Official,2012,OC Weekly,NA
155,ASP,US Open Of Surfing,Surfing,Official,2012,Pacifico,NA
156,ASP,US Open Of Surfing,Surfing,Official,2012,Paul Mitchell,NA
157,ASP,US Open Of Surfing,Surfing,Official,2012,Ralph‰Ûªs,NA
158,ASP,US Open Of Surfing,Surfing,Official,2012,Red Bull,NA
159,ASP,US Open Of Surfing,Surfing,Official,2012,Slacker ,NA
160,ASP,US Open Of Surfing,Surfing,Official,2012,Surfline Radio,NA
161,ASP,US Open Of Surfing,Surfing,Official,2012,Transworld Surf,NA
162,ASP,US Open Of Surfing,Surfing,Official,2012,Verizon,NA
163,ASP,Triple Crown Of Surfing,Surfing,Title,2012,Van‰Ûªs,NA
164,ASP,Triple Crown Of Surfing,Surfing,Official,2012,ASP Hawaii,NA
165,ASP,Triple Crown Of Surfing,Surfing,Official,2012,ASP World Tour,NA
166,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Clif Bar,NA
167,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Climb On!,NA
168,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Flo Water,NA
169,ASP,Triple Crown Of Surfing,Surfing,Official,2012,GoPro Camera,NA
170,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Hawai‰ÛªI Tourism Authority,NA
171,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Hawaiian Airlines,NA
172,ASP,Triple Crown Of Surfing,Surfing,Official,2012,JN Automotive Group,NA
173,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Nikon,NA
174,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Oceanic Time Warner Cable,NA
175,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Road Runner,NA
176,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Skull Candy,NA
177,ASP,Triple Crown Of Surfing,Surfing,Official,2012,State Farm Insurance,NA
178,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Surfing Magazine,NA
179,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Surfline,NA
180,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Turtle Bay Resort,NA
181,ASP,Triple Crown Of Surfing,Surfing,Official,2012,Wavejet,NA
182,USMS,NA,Swimming,Official,2012,Adolph Kiefer & Associates,NA
183,USAD,NA,Diving,Official,2012,AT&T,NA
184,USAS,NA,Swimming,Official,2012,AT&T,NA
185,USASY,NA,Synchronized Swiing,Official,2012,Clark Synthesis Tactile Sound,NA
186,USAWP,NA,Water Polo,Official,2012,AquaHydrate9,NA
187,USATF,NA,Track and Field,Official,2012,BMW,NA
188,WTC,Ironman,Triathalon,Title,2012,Life Time Fitness,NA
189,WTC,Ironman,Triathalon,Official,2012,All Whites,NA
190,WTC,Ironman,Triathalon,Official,2012,Allied Waste,NA
191,WTC,Ironman,Triathalon,Official,2012,Allina Hospitals & Clinics,NA
192,WTC,Ironman,Triathalon,Official,2012,Associated Bank,NA
193,WTC,Ironman,Triathalon,Official,2012,Avis,NA
194,WTC,Ironman,Triathalon,Official,2012,Bailey Nurseries,NA
195,WTC,Ironman,Triathalon,Official,2012,BH Bikes,NA
196,WTC,Ironman,Triathalon,Official,2012,BH Fitness,NA
197,WTC,Ironman,Triathalon,Official,2012,Budget,NA
198,WTC,Ironman,Triathalon,Official,2012,Catering by Kowalski‰Ûªs,NA
199,WTC,Ironman,Triathalon,Official,2012,Champion System,NA
200,WTC,Ironman,Triathalon,Official,2012,Clif Bar,NA
201,WTC,Ironman,Triathalon,Official,2012,Clif Shot,NA
202,WTC,Ironman,Triathalon,Official,2012,Gatorade,NA
203,WTC,Ironman,Triathalon,Official,2012,Gear West Bike and Triathlon,NA
204,WTC,Ironman,Triathalon,Official,2012,HealthEZ,NA
205,WTC,Ironman,Triathalon,Official,2012,Janus,NA
206,WTC,Ironman,Triathalon,Official,2012,JR Watkins,NA
207,WTC,Ironman,Triathalon,Official,2012,K-Swiss,NA
208,WTC,Ironman,Triathalon,Official,2012,KIWI,NA
209,WTC,Ironman,Triathalon,Official,2012,Minneapolis St. Paul Business Journal,NA
210,WTC,Ironman,Triathalon,Official,2012,OFF!,NA
211,WTC,Ironman,Triathalon,Official,2012,Orca,NA
212,WTC,Ironman,Triathalon,Official,2012,Philadelphia Insurance Companies,NA
213,WTC,Ironman,Triathalon,Official,2012,Toyota,NA
214,WTC,Ironman,Triathalon,Official,2012,Zico,NA
215,WTC,Ironman,Triathalon,Official,2012,Ziploc,NA
216,USFSA,NA,Figure Skating,Official,2012,Alka-Seltzer Plus,Alka-Seltzer Plus
217,USFSA,NA,Figure Skating,Official,2012,AT&T,NA
218,USFSA,NA,Figure Skating,Official,2012,Hilton Hotels,NA
219,USFSA,NA,Figure Skating,Official,2012,Prudential,NA
220,USFSA,NA,Figure Skating,Official,2012,The J.M. Smucker Co,NA
