,Governing_Body,Sponsorship_Type,Period,Company,Company_Brand
1,WNBA,Official,2012,Adidas,NA
2,WNBA,Official,2012,American Express,NA
3,WNBA,Official,2012,Bacardi,NA
4,WNBA,Official,2012,BBVA,NA
5,WNBA,Official,2012,Boost Mobile,NA
6,WNBA,Official,2012,Anheuser-Busch,Budweiser
7,WNBA,Official,2012,CieAura,NA
8,WNBA,Official,2012,Coca-Cola,NA
9,WNBA,Official,2012,Deuce,NA
10,WNBA,Official,2012,EA Sports,NA
11,WNBA,Official,2012,PepsiCo,Gatorade
12,WNBA,Official,2012,Hewlett-Packard,NA
13,WNBA,Official,2012,Hotel Indigo,NA
14,WNBA,Official,2012,Jamba Juice,NA
15,WNBA,Official,2012,Nike,NA
16,WNBA,Official,2012,Pepperidge Farms,NA
17,WNBA,Official,2012,Sanofi,Sanofi Pasteur
18,WNBA,Official,2012,Spalding,NA
