ID_Sport_Sponsorship,Governing_Body,Sponsorship_Type,Period,Sport_Sponsor,Company,Company_Brand,Event,Sport,Contract_Type,Value,Value_Type,Detail,Franchise,Sponsorship
330,NHL,Official,1,Canadian Tire,Canadian Tire,,,,,,,,,
331,NHL,Official,1,Cisco,Cisco,,,,,,,,,
332,NHL,Official,1,Compuware,Compuware,,,,,,,,,
333,NHL,Official,1,Discover Card,Discover Card,,,,,,,,,
334,NHL,Official,1,EA Sports,EA Sports,,,,,,,,,
335,NHL,Official,1,Enterprise RentACar,Enterprise RentACar,,,,,,,,,
336,NHL,Official,1,Geico,Geico,,,,,,,,,
337,NHL,Official,1,Hersheys,Hersheys,,,,,,,,,
338,NHL,Official,1,Honda,Honda,,,,,,,,,
339,NHL,Official,1,Kimberly Clark,Kimberly Clark,,,,,,,,,
340,NHL,Official,1,Kraft,Kraft,,,,,,,,,
341,NHL,Official,1,Las Vegas Convention and Visitors Authority,Las Vegas Convention and Visitors Authority,,,,,,,,,
342,NHL,Official,1,McDonalds,McDonalds,,,,,,,,,
343,NHL,Official,1,Molson Coors/MillerCorrs,Molson Coors/MillerCorrs,,,,,,,,,
344,NHL,Official,1,Panini,Panini,,,,,,,,,
345,NHL,Official,1,Pepsi,PepsiCo,Pepsi,,,,,,,,
346,NHL,Official,1,Gatorade,PepsiCo,Gatorade,,,,,,,,
347,NHL,Official,1,Aquafina,PepsiCo,Aquafina,,,,,,,,
348,NHL,Official,1,FritoLay,PepsiCo,FritoLay,,,,,,,,
349,NHL,Official,1,Reebok,Reebok,,,,,,,,,
350,NHL,Official,1,Scotiabank,Scotiabank,,,,,,,,,
351,NHL,Official,1,Sirius/XM,Sirius/XM,,,,,,,,,
352,NHL,Official,1,Starwood Hotels,Starwood Hotels,,,,,,,,,
353,NHL,Official,1,Ticketmaster,Ticketmaster,,,,,,,,,
354,NHL,Official,1,Tim Hortons,Tim Hortons,,,,,,,,,
355,NHL,Official,1,Upper Deck,Upper Deck,,,,,,,,,
356,NHL,Official,1,Verizon Wireless,Verizon Wireless,,,,,,,,,
357,NHL,Official,1,Visa,Visa,,,,,,,,,
358,IOC,Worldwide Partner,2012,Acer,Acer,,2012 Olympics,,,,,,,
359,IOC,Worldwide Partner,2012,Atos,Atos,,2012 Olympics,,,,,,,
360,IOC,Worldwide Partner,2012,CocaCola,CocaCola,,2012 Olympics,,,,,,,
361,IOC,Worldwide Partner,2012,Dow,Dow,,2012 Olympics,,,,,,,
362,IOC,Worldwide Partner,2012,General Electric,General Electric,,2012 Olympics,,,,,,,
363,IOC,Worldwide Partner,2012,McDonalds,McDonalds,,2012 Olympics,,,,,,,
364,IOC,Worldwide Partner,2012,Omega SA,Omega SA,,2012 Olympics,,,,,,,
365,IOC,Worldwide Partner,2012,Panasonic,Panasonic,,2012 Olympics,,,,,,,
366,IOC,Worldwide Partner,2012,Procter  Gamble,Procter  Gamble,,2012 Olympics,,,,,,,
367,IOC,Worldwide Partner,2012,Samsung,Samsung,,2012 Olympics,,,,,,,
368,IOC,Worldwide Partner,2012,Visa,Visa,,2012 Olympics,,,,,,,
369,LeMans,Official,2012,Autoweek,Autoweek,,American LeMans Series,,,,,,,
370,LeMans,Official,2012,BMW,BMW,,American LeMans Series,,,,,,,
371,LeMans,Official,2012,Chevrolet,Chevrolet,,American LeMans Series,,,,,,,
372,LeMans,Official,2012,Delivra,Delivra,,American LeMans Series,,,,,,,
373,LeMans,Official,2012,Deltran Battery Tender,Deltran Battery Tender,,American LeMans Series,,,,,,,
374,LeMans,Official,2012,Dunlap,Dunlap,,American LeMans Series,,,,,,,
375,LeMans,Official,2012,Flaken,Flaken,,American LeMans Series,,,,,,,
376,LeMans,Official,2012,Forza Motorsport,Forza Motorsport,,American LeMans Series,,,,,,,
377,LeMans,Official,2012,IHG,IHG,,American LeMans Series,,,,,,,
378,LeMans,Official,2012,Mazda,Mazda,,American LeMans Series,,,,,,,
379,LeMans,Official,2012,Michelin,Michelin,,American LeMans Series,,,,,,,
380,LeMans,Official,2012,MucOff,MucOff,,American LeMans Series,,,,,,,
381,LeMans,Official,2012,Panoz,Panoz,,American LeMans Series,,,,,,,
382,LeMans,Official,2012,NameSilo,NameSilo,,American LeMans Series,,,,,,,
383,LeMans,Official,2012,Porsche,Porsche,,American LeMans Series,,,,,,,
384,LeMans,Official,2012,Robert Graham,Robert Graham,,American LeMans Series,,,,,,,
385,LeMans,Official,2012,Sports Car Club of America,Sports Car Club of America,,American LeMans Series,,,,,,,
386,LeMans,Official,2012,Tequila Patrn,Tequila Patrn,,American LeMans Series,,,,,,,
387,LeMans,Official,2012,VP Racing Fuel,VP Racing Fuel,,American LeMans Series,,,,,,,
388,LeMans,Official,2012,World Endurance Championship,World Endurance Championship,,American LeMans Series,,,,,,,
389,LeMans,Official,2012,Yancys Fancy,Yancys Fancy,,American LeMans Series,,,,,,,
390,LeMans,Official,2012,Yokohama,Yokohama,,American LeMans Series,,,,,,,
391,LeMans,Official,2012,Allstate Roadside Service,Allstate Roadside Service,,Grand Am,,,,,,,
392,LeMans,Official,2012,CocaCola,CocaCola,,Grand Am,,,,,,,
393,LeMans,Official,2012,Continental Tire,Continental Tire,,Grand Am,,,,,,,
394,LeMans,Official,2012,Featherlite Trailers,Featherlite Trailers,,Grand Am,,,,,,,
395,LeMans,Official,2012,InterContinental Hotels  Resorts iRacingcom,InterContinental Hotels  Resorts iRacingcom,,Grand Am,,,,,,,
396,LeMans,Official,2012,PRS Guitars,PRS Guitars,,Grand Am,,,,,,,
397,LeMans,Official,2012,Rolex,Rolex,,Grand Am,,,,,,,
398,LeMans,Official,2012,Shorts Travel Management,Shorts Travel Management,,Grand Am,,,,,,,
399,LeMans,Official,2012,Speedcom Communications,Speedcom Communications,,Grand Am,,,,,,,
400,LeMans,Official,2012,Sunoco,Sunoco,,Grand Am,,,,,,,
401,LeMans,Official,2012,SunTrust,SunTrust,,Grand Am,,,,,,,
402,LeMans,Official,2012,Toshiba,Toshiba,,Grand Am,,,,,,,
403,LeMans,Official,2012,Total Lubricants,Total Lubricants,,Grand Am,,,,,,,
404,LeMans,Official,2012,VisitFloridacom,VisitFloridacom,,Grand Am,,,,,,,
405,LeMans,Partnership,2012,CocaCola,CocaCola,,NHRA,,,,,,,
406,LeMans,Partnership,2012,Powerade,Powerade,,NHRA,,,,,,,
407,LeMans,Partnership,2012,Dasani,Dasani,,NHRA,,,,,,,
408,LeMans,Partnership,2012,Full Throttle,Full Throttle,,NHRA,,,,,,,
409,LeMans,Official,2012,Brut,Brut,,NHRA,,,,,,,
410,LeMans,Official,2012,Budweiser,Budweiser,,NHRA,,,,,,,
411,LeMans,Official,2012,Craftsman,Craftsman,,NHRA,,,,,,,
412,LeMans,Official,2012,CSK Auto,CSK Auto,,NHRA,,,,,,,
413,LeMans,Official,2012,Elite,Elite,,NHRA,,,,,,,
414,LeMans,Official,2012,Fram,Fram,,NHRA,,,,,,,
415,LeMans,Official,2012,GMC Trucks,GMC Trucks,,NHRA,,,,,,,
416,LeMans,Official,2012,Goodyear,Goodyear,,NHRA,,,,,,,
417,LeMans,Official,2012,HarleyDavidson,HarleyDavidson,,NHRA,,,,,,,
418,LeMans,Official,2012,Hurst,Hurst,,NHRA,,,,,,,
419,LeMans,Official,2012,Lend America,Lend America,,NHRA,,,,,,,
420,LeMans,Official,2012,Lucas Oil,Lucas Oil,,NHRA,,,,,,,
421,LeMans,Official,2012,Main Gate,Main Gate,,NHRA,,,,,,,
422,LeMans,Official,2012,Motel 6,Motel 6,,NHRA,,,,,,,
423,LeMans,Official,2012,Okuma,Okuma,,NHRA,,,,,,,
424,LeMans,Official,2012,Phoenix Custom Apparel,Phoenix Custom Apparel,,NHRA,,,,,,,
425,LeMans,Official,2012,Pontiac,Pontiac,,NHRA,,,,,,,
426,LeMans,Official,2012,Prestone,Prestone,,NHRA,,,,,,,
427,LeMans,Official,2012,RE Racing Electronics,RE Racing Electronics,,NHRA,,,,,,,
428,LeMans,Official,2012,Ringers Gloves,Ringers Gloves,,NHRA,,,,,,,
429,LeMans,Official,2012,Sioux City Truck and Trailer,Sioux City Truck and Trailer,,NHRA,,,,,,,
430,LeMans,Official,2012,Skoal,Skoal,,NHRA,,,,,,,
431,LeMans,Official,2012,Summit Racing Equipment,Summit Racing Equipment,,NHRA,,,,,,,
432,LeMans,Official,2012,US Army,US Army,,NHRA,,,,,,,
433,LeMans,Official,2012,UPS,UPS,,NHRA,,,,,,,
434,LeMans,Official,2012,VP Racing,VP Racing,,NHRA,,,,,,,
435,LeMans,Official,2012,WyoTech,WyoTech,,NHRA,,,,,,,
436,LeMans,Official,2012,Armor All,Armor All,,World of Outlaws Sprint Car Series,,,,,,,
437,LeMans,Official,2012,AstroTitanium,AstroTitanium,,World of Outlaws Sprint Car Series,,,,,,,
438,LeMans,Official,2012,ButlerBuilt,ButlerBuilt,,World of Outlaws Sprint Car Series,,,,,,,
439,LeMans,Official,2012,Cometic Gasket,Cometic Gasket,,World of Outlaws Sprint Car Series,,,,,,,
440,LeMans,Official,2012,Comp Cams,Comp Cams,,World of Outlaws Sprint Car Series,,,,,,,
441,LeMans,Official,2012,Fuel Safe,Fuel Safe,,World of Outlaws Sprint Car Series,,,,,,,
442,LeMans,Official,2012,The Goodyear Tire  Rubber Company,The Goodyear Tire  Rubber Company,,World of Outlaws Sprint Car Series,,,,,,,
443,LeMans,Official,2012,Intercomp,Intercomp,,World of Outlaws Sprint Car Series,,,,,,,
444,LeMans,Official,2012,Jakes Customs Golf Carts,Jakes Customs Golf Carts,,World of Outlaws Sprint Car Series,,,,,,,
445,LeMans,Official,2012,JE Pistons,JE Pistons,,World of Outlaws Sprint Car Series,,,,,,,
446,LeMans,Official,2012,JJ Auto Racing,JJ Auto Racing,,World of Outlaws Sprint Car Series,,,,,,,
447,LeMans,Official,2012,Kistler Engines,Kistler Engines,,World of Outlaws Sprint Car Series,,,,,,,
448,LeMans,Official,2012,Klotz Synthetic Lubricants,Klotz Synthetic Lubricants,,World of Outlaws Sprint Car Series,,,,,,,
449,LeMans,Official,2012,KSE Racing Products,KSE Racing Products,,World of Outlaws Sprint Car Series,,,,,,,
450,LeMans,Official,2012,MSD Ignition,MSD Ignition,,World of Outlaws Sprint Car Series,,,,,,,
451,LeMans,Official,2012,Penske Racing Shocks,Penske Racing Shocks,,World of Outlaws Sprint Car Series,,,,,,,
452,LeMans,Official,2012,Racing Electronics,Racing Electronics,,World of Outlaws Sprint Car Series,,,,,,,
453,LeMans,Official,2012,Shaver Racing Engines,Shaver Racing Engines,,World of Outlaws Sprint Car Series,,,,,,,
454,LeMans,Official,2012,Speedway Engine Development,Speedway Engine Development,,World of Outlaws Sprint Car Series,,,,,,,
455,LeMans,Official,2012,STP,STP,,World of Outlaws Sprint Car Series,,,,,,,
456,LeMans,Official,2012,Superflow,Superflow,,World of Outlaws Sprint Car Series,,,,,,,
457,LeMans,Official,2012,SS Volvo,SS Volvo,,World of Outlaws Sprint Car Series,,,,,,,
458,LeMans,Official,2012,TNT Rescue,TNT Rescue,,World of Outlaws Sprint Car Series,,,,,,,
459,LeMans,Official,2012,University of Northwestern Ohio,University of Northwestern Ohio,,World of Outlaws Sprint Car Series,,,,,,,
460,LeMans,Official,2012,Vicci,Vicci,,World of Outlaws Sprint Car Series,,,,,,,
461,LeMans,Official,2012,VP Racing Fuels,VP Racing Fuels,,World of Outlaws Sprint Car Series,,,,,,,
462,LeMans,Official,2012,Weld Racing,Weld Racing,,World of Outlaws Sprint Car Series,,,,,,,
463,LeMans,Official,2012,WIX,WIX,,World of Outlaws Sprint Car Series,,,,,,,
464,LeMans,Official,2012,Arizona Sport Shirts,Arizona Sport Shirts,,World of Outlaws Late Model Series,,,,,,,
465,LeMans,Official,2012,Armor All,Armor All,,World of Outlaws Late Model Series,,,,,,,
466,LeMans,Official,2012,ButlerBuilt,ButlerBuilt,,World of Outlaws Late Model Series,,,,,,,
467,LeMans,Official,2012,Cometic Gasket,Cometic Gasket,,World of Outlaws Late Model Series,,,,,,,
468,LeMans,Official,2012,Comp Cams,Comp Cams,,World of Outlaws Late Model Series,,,,,,,
469,LeMans,Official,2012,Dominator Race Products,Dominator Race Products,,World of Outlaws Late Model Series,,,,,,,
470,LeMans,Official,2012,Eibach Springs,Eibach Springs,,World of Outlaws Late Model Series,,,,,,,
471,LeMans,Official,2012,GRT Race Cars,GRT Race Cars,,World of Outlaws Late Model Series,,,,,,,
472,LeMans,Official,2012,Hoosier Racing Tire,Hoosier Racing Tire,,World of Outlaws Late Model Series,,,,,,,
473,LeMans,Official,2012,Integra Racing Shocks,Integra Racing Shocks,,World of Outlaws Late Model Series,,,,,,,
474,LeMans,Official,2012,Jakes Carts,Jakes Carts,,World of Outlaws Late Model Series,,,,,,,
475,LeMans,Official,2012,JE Pistons,JE Pistons,,World of Outlaws Late Model Series,,,,,,,
476,LeMans,Official,2012,Klotz Synthetic Lubricants,Klotz Synthetic Lubricants,,World of Outlaws Late Model Series,,,,,,,
477,LeMans,Official,2012,Longacre,Longacre,,World of Outlaws Late Model Series,,,,,,,
478,LeMans,Official,2012,MSD Ignition,MSD Ignition,,World of Outlaws Late Model Series,,,,,,,
479,LeMans,Official,2012,Ohlins,Ohlins,,World of Outlaws Late Model Series,,,,,,,
480,LeMans,Official,2012,Quarter Master,Quarter Master,,World of Outlaws Late Model Series,,,,,,,
481,LeMans,Official,2012,Racing Electronics,Racing Electronics,,World of Outlaws Late Model Series,,,,,,,
482,LeMans,Official,2012,Rocket Chassis,Rocket Chassis,,World of Outlaws Late Model Series,,,,,,,
483,LeMans,Official,2012,Roush Yates Performance Parts,Roush Yates Performance Parts,,World of Outlaws Late Model Series,,,,,,,
484,LeMans,Official,2012,STP,STP,,World of Outlaws Late Model Series,,,,,,,
485,LeMans,Official,2012,SuperFlow,SuperFlow,,World of Outlaws Late Model Series,,,,,,,
486,LeMans,Official,2012,TNT Rescue,TNT Rescue,,World of Outlaws Late Model Series,,,,,,,
487,LeMans,Official,2012,Vicci,Vicci,,World of Outlaws Late Model Series,,,,,,,
488,LeMans,Official,2012,VP Racing Fuels,VP Racing Fuels,,World of Outlaws Late Model Series,,,,,,,
489,LeMans,Official,2012,Warrior Chassis,Warrior Chassis,,World of Outlaws Late Model Series,,,,,,,
490,LeMans,Official,2012,Weld Racing,Weld Racing,,World of Outlaws Late Model Series,,,,,,,
491,LeMans,Official,2012,WIX Filters,WIX Filters,,World of Outlaws Late Model Series,,,,,,,
492,LeMans,Official,2012,Wrisco Industries,Wrisco Industries,,World of Outlaws Late Model Series,,,,,,,
493,LeMans,Official,2012,XS PowerRacing Batteries,XS PowerRacing Batteries,,World of Outlaws Late Model Series,,,,,,,
494,LeMans,Official,2012,Acerbis,Acerbis,,AMA Motorcross Championship,,,,,,,
495,LeMans,Official,2012,Air National Guard,Air National Guard,,AMA Motorcross Championship,,,,,,,
496,LeMans,Official,2012,Alpine Stars,Alpine Stars,,AMA Motorcross Championship,,,,,,,
497,LeMans,Official,2012,Asterisk,Asterisk,,AMA Motorcross Championship,,,,,,,
498,LeMans,Official,2012,GoPro,GoPro,,AMA Motorcross Championship,,,,,,,
499,LeMans,Official,2012,KTM,KTM,,AMA Motorcross Championship,,,,,,,
500,LeMans,Official,2012,Lucas Oil Products,Lucas Oil Products,,AMA Motorcross Championship,,,,,,,
501,LeMans,Official,2012,Makita,Makita,,AMA Motorcross Championship,,,,,,,
502,LeMans,Official,2012,Moose Racing,Moose Racing,,AMA Motorcross Championship,,,,,,,
503,LeMans,Official,2012,Motion Pro,Motion Pro,,AMA Motorcross Championship,,,,,,,
504,LeMans,Official,2012,Muscle Milk,Muscle Milk,,AMA Motorcross Championship,,,,,,,
505,LeMans,Official,2012,MXS,MXS,,AMA Motorcross Championship,,,,,,,
506,LeMans,Official,2012,Oakley,Oakley,,AMA Motorcross Championship,,,,,,,
507,LeMans,Official,2012,Parts Unlimited,Parts Unlimited,,AMA Motorcross Championship,,,,,,,
508,LeMans,Official,2012,Rockstar Energy Drink,Rockstar Energy Drink,,AMA Motorcross Championship,,,,,,,
509,LeMans,Official,2012,Thor,Thor,,AMA Motorcross Championship,,,,,,,
510,LeMans,Official,2012,Toyota Trucks,Toyota Trucks,,AMA Motorcross Championship,,,,,,,
511,LeMans,Official,2012,UFO Plastic,UFO Plastic,,AMA Motorcross Championship,,,,,,,
512,LeMans,Official,2012,Wiseco,Wiseco,,AMA Motorcross Championship,,,,,,,
513,LeMans,Official,2012,Z1R Helmets,Z1R Helmets,,AMA Motorcross Championship,,,,,,,
514,PBA,Official,2012,AlkaSeltzer Plus,AlkaSeltzer Plus,,,Bowling,,,,,,
515,PBA,Official,2012,Barbasol,Barbasol,,,Bowling,,,,,,
516,PBA,Official,2012,Bayer,Bayer,,,Bowling,,,,,,
517,PBA,Official,2012,Brunswick,Brunswick,,,Bowling,,,,,,
518,PBA,Official,2012,Budweiser,Budweiser,,,Bowling,,,,,,
519,PBA,Official,2012,Geico,Geico,,,Bowling,,,,,,
520,PBA,Official,2012,Jack Links Beef Jerky,Jack Links Beef Jerky,,,Bowling,,,,,,
521,PBA,Official,2012,Just For Men,Just For Men,,,Bowling,,,,,,
522,PBA,Official,2012,Pepsi,Pepsi,,,Bowling,,,,,,
523,PBA,Official,2012,United States Bowling Congress,United States Bowling Congress,,,Bowling,,,,,,
524,NCA,Official,2012,Action Moments,Action Moments,,,Cheerleading,,,,,,
525,NCA,Official,2012,Dance Central 2,Dance Central 2,,,Cheerleading,,,,,,
526,NCA,Official,2012,Degree Girl,Degree Girl,,,Cheerleading,,,,,,
527,NCA,Official,2012,Freeze IT,Freeze IT,,,Cheerleading,,,,,,
528,NCA,Official,2012,Gatorade,Gatorade,,,Cheerleading,,,,,,
529,NCA,Official,2012,PBteen,PBteen,,,Cheerleading,,,,,,
530,NCA,Official,2012,Playtex Sport,Playtex Sport,,,Cheerleading,,,,,,
531,NCA,Official,2012,Softlips,Softlips,,,Cheerleading,,,,,,
532,NCA,Official,2012,Varsity Brands,Varsity Brands,,,Cheerleading,,,,,,
533,USAF,Partner,2012,Action Moments,Action Moments,,,Cheerleading,,,,,,
534,USAF,Partner,2012,Cheerleader  DanzTeam,Cheerleader  DanzTeam,,,Cheerleading,,,,,,
535,USAF,Partner,2012,Dollamur,Dollamur,,,Cheerleading,,,,,,
536,USAF,Partner,2012,EirthPay,EirthPay,,,Cheerleading,,,,,,
537,USAF,Partner,2012,Hollis  Associates,Hollis  Associates,,,Cheerleading,,,,,,
538,USAF,Partner,2012,Isagenix,Isagenix,,,Cheerleading,,,,,,
539,USAF,Partner,2012,Message In A Bottle Productions,Message In A Bottle Productions,,,Cheerleading,,,,,,
540,USAF,Partner,2012,Midwest Trophy,Midwest Trophy,,,Cheerleading,,,,,,
541,USAF,Partner,2012,Nfinity Shoes,Nfinity Shoes,,,Cheerleading,,,,,,
542,USAF,Partner,2012,Ozone,Ozone,,,Cheerleading,,,,,,
543,USAF,Partner,2012,Ross Athletics,Ross Athletics,,,Cheerleading,,,,,,
544,USAF,Partner,2012,Varsity Spirit Fashions,Varsity Spirit Fashions,,,Cheerleading,,,,,,
545,USAF,Partner,2012,Wink Performance Cosmetics,Wink Performance Cosmetics,,,Cheerleading,,,,,,
546,CrossFit,Title,2012,Reebok,Reebok,,,Fitness,,,,,,
547,CrossFit,Official,2012,FRS,FRS,,,Fitness,,,,,,
548,CrossFit,Official,2012,GNC,GNC,,,Fitness,,,,,,
549,CrossFit,Official,2012,Rogue Fitness,Rogue Fitness,,,Fitness,,,,,,
550,CrossFit,Official,2012,Vita Coco,Vita Coco,,,Fitness,,,,,,
551,USLax,Official,2012,Champion,Champion,,,Lacrosse,,,,,,
552,USLax,Official,2012,Marriott,Marriott,,,Lacrosse,,,,,,
553,USLax,Official,2012,Nationwide Insurance,Nationwide Insurance,,,Lacrosse,,,,,,
554,USLax,Official,2012,US Bank,US Bank,,,Lacrosse,,,,,,
555,NA,Title,2012,ING,ING,,New York City Marathon,Marathon,,,,,,
556,NA,Official,2012,ASICS,ASICS,,New York City Marathon,Marathon,,,,,,
557,NA,Official,2012,Foot Locker,Foot Locker,,New York City Marathon,Marathon,,,,,,
558,NA,Official,2012,Nissan,Nissan,,New York City Marathon,Marathon,,,,,,
559,NA,Official,2012,The New York Times,The New York Times,,New York City Marathon,Marathon,,,,,,
560,NA,Official,2012,The Rudin Family,The Rudin Family,,New York City Marathon,Marathon,,,,,,
561,NA,Official,2012,Timex,Timex,,New York City Marathon,Marathon,,,,,,
562,NA,Official,2012,United Airlines,United Airlines,,New York City Marathon,Marathon,,,,,,
563,PBR,Official,2012,Allegiant Air,Allegiant Air,,,Rodeo,,,,,,
564,PBR,Official,2012,Ariat,Ariat,,,Rodeo,,,,,,
565,PBR,Official,2012,BW Trailer Hitches,BW Trailer Hitches,,,Rodeo,,,,,,
566,PBR,Official,2012,Bad Boy Movers,Bad Boy Movers,,,Rodeo,,,,,,
567,PBR,Official,2012,Bass Pro Shops,Bass Pro Shops,,,Rodeo,,,,,,
568,PBR,Official,2012,Big Tex Trailers,Big Tex Trailers,,,Rodeo,,,,,,
569,PBR,Official,2012,City of Las Vegas,City of Las Vegas,,,Rodeo,,,,,,
570,PBR,Official,2012,Cooper Tires,Cooper Tires,,,Rodeo,,,,,,
571,PBR,Official,2012,Dickies,Dickies,,,Rodeo,,,,,,
572,PBR,Official,2012,Exclusive Genetics,Exclusive Genetics,,,Rodeo,,,,,,
573,PBR,Official,2012,Express Ranches,Express Ranches,,,Rodeo,,,,,,
574,PBR,Official,2012,Ford,Ford,,,Rodeo,,,,,,
575,PBR,Official,2012,Jack Daniels,Jack Daniels,,,Rodeo,,,,,,
576,PBR,Official,2012,Jeffrey Scott Fine Magnetics,Jeffrey Scott Fine Magnetics,,,Rodeo,,,,,,
577,PBR,Official,2012,Lincoln Welders,Lincoln Welders,,,Rodeo,,,,,,
578,PBR,Official,2012,Lucas Oil Products,Lucas Oil Products,,,Rodeo,,,,,,
579,PBR,Official,2012,Mandalay Bay,Mandalay Bay,,,Rodeo,,,,,,
580,PBR,Official,2012,NBC Sports Network,NBC Sports Network,,,Rodeo,,,,,,
581,PBR,Official,2012,Priefert Rodeo  Ranch Equipment,Priefert Rodeo  Ranch Equipment,,,Rodeo,,,,,,
582,PBR,Official,2012,RockStar Energy Drink,RockStar Energy Drink,,,Rodeo,,,,,,
583,PBR,Official,2012,Rocky Mountain Elk Foundation,Rocky Mountain Elk Foundation,,,Rodeo,,,,,,
584,PBR,Official,2012,Stanley Tools,Stanley Tools,,,Rodeo,,,,,,
585,PBR,Official,2012,US Air Force,US Air Force,,,Rodeo,,,,,,
586,PBR,Official,2012,Wrangler,Wrangler,,,Rodeo,,,,,,
587,NA,Worldwide Partner,2011,EDF,EDF,,World Cup,Rugby,,,,,,
588,IRB,Worldwide Partner,2011,GMF,GMF,,World Cup,Rugby,,,,,,
589,IRB,Worldwide Partner,2011,Peugeot,Peugeot,,World Cup,Rugby,,,,,,
590,IRB,Worldwide Partner,2011,SNCF,SNCF,,World Cup,Rugby,,,,,,
591,IRB,Worldwide Partner,2011,Socit Gnrale,Socit Gnrale,,World Cup,Rugby,,,,,,
592,IRB,Worldwide Partner,2011,VISA,VISA,,World Cup,Rugby,,,,,,
593,IRB,Official,2011,Capgemini,Capgemini,,World Cup,Rugby,,,,,,
594,IRB,Official,2011,Emirates Airline,Emirates Airline,,World Cup,Rugby,,,,,,
595,IRB,Official,2011,Heineken,Heineken,,World Cup,Rugby,,,,,,
596,IRB,Official,2011,Orange,Orange,,World Cup,Rugby,,,,,,
597,IRB,Official,2011,Toshiba,Toshiba,,World Cup,Rugby,,,,,,
598,IRB,Official,2011,Vediorbis,Vediorbis,,World Cup,Rugby,,,,,,
599,IRB,Worldwide Partner,2012,Adidas,Adidas,,,Soccer,,,,,,
600,FIFA,Worldwide Partner,2012,CocaCola,CocaCola,,,Soccer,,,,,,
601,FIFA,Worldwide Partner,2012,Emirates Airline,Emirates Airline,,,Soccer,,,,,,
602,FIFA,Worldwide Partner,2012,HyundaiKIA Motors,HyundaiKIA Motors,,,Soccer,,,,,,
603,FIFA,Worldwide Partner,2012,Sony,Sony,,,Soccer,,,,,,
604,FIFA,Worldwide Partner,2012,VISA,VISA,,,Soccer,,,,,,
605,FIFA,Official,2014,Budweiser,Budweiser,,World Cup,Soccer,,,,,,
606,FIFA,Official,2014,Castrol,Castrol,,World Cup,Soccer,,,,,,
607,FIFA,Official,2014,Continental,Continental,,World Cup,Soccer,,,,,,
608,FIFA,Official,2014,McDonalds,McDonalds,,World Cup,Soccer,,,,,,
609,FIFA,Official,2014,MTN Group,MTN Group,,World Cup,Soccer,,,,,,
610,FIFA,Official,2014,Mahindra Satyam,Mahindra Satyam,,World Cup,Soccer,,,,,,
611,FIFA,Official,2014,Seara,Seara,,World Cup,Soccer,,,,,,
612,FIFA,Official,2014,Yingli Solar,Yingli Solar,,World Cup,Soccer,,,,,,
613,FIFA,Official,2012,AT&T,AT&T,,,Soccer,,,,,,
614,USSF,Official,2012,Budweiser,Budweiser,,,Soccer,,,,,,
615,USSF,Official,2012,Castrol,Castrol,,,Soccer,,,,,,
616,USSF,Official,2012,Dicks Sporting Goods,Dicks Sporting Goods,,,Soccer,,,,,,
617,USSF,Official,2012,Gatorade,Gatorade,,,Soccer,,,,,,
618,USSF,Official,2012,Jos Cuervo,Jos Cuervo,,,Soccer,,,,,,
619,USSF,Official,2012,McDonalds,McDonalds,,,Soccer,,,,,,
620,USSF,Official,2012,Nike,Nike,,,Soccer,,,,,,
621,USSF,Official,2012,Pepsi,Pepsi,,,Soccer,,,,,,
622,USSF,Official,2012,VISA,VISA,,,Soccer,,,,,,
623,USSF,Official,2012,24 Hour Fitness,24 Hour Fitness,,,Softball,,,,,,
624,ASA,Official,2012,Boombah,Boombah,,,Softball,,,,,,
625,ASA,Official,2012,Club Spaces powered by Active,Club Spaces powered by Active,,,Softball,,,,,,
626,ASA,Official,2012,Dermabond,Dermabond,,,Softball,,,,,,
627,ASA,Official,2012,Disney Sports,Disney Sports,,,Softball,,,,,,
628,ASA,Official,2012,eFundraising,eFundraising,,,Softball,,,,,,
629,ASA,Official,2012,Great Plains CocaCola,Great Plains CocaCola,,,Softball,,,,,,
630,ASA,Official,2012,Hilton Worldwide,Hilton Worldwide,,,Softball,,,,,,
631,ASA,Official,2012,Liberty Mutual Responsible Sports,Liberty Mutual Responsible Sports,,,Softball,,,,,,
632,ASA,Official,2012,Musco Lighting,Musco Lighting,,,Softball,,,,,,
633,ASA,Official,2012,Nike,Nike,,,Softball,,,,,,
634,ASA,Official,2012,PowerChalk,PowerChalk,,,Softball,,,,,,
635,ASA,Official,2012,Schutt Sports,Schutt Sports,,,Softball,,,,,,
636,ASA,Official,2012,Stabilizer Solutions,Stabilizer Solutions,,,Softball,,,,,,
637,ASA,Official,2012,United Airlines,United Airlines,,,Softball,,,,,,
638,ASA,Official,2012,US Sport Camps,US Sport Camps,,,Softball,,,,,,
639,ASA,Official,2012,3N2 Sports,3N2 Sports,,,Softball,,,,,,
640,NPF,Official,2012,Akadema,Akadema,,,Softball,,,,,,
641,NPF,Official,2012,AMI Graphics,AMI Graphics,,,Softball,,,,,,
642,NPF,Official,2012,Boombah,Boombah,,,Softball,,,,,,
643,NPF,Official,2012,Combat Sports,Combat Sports,,,Softball,,,,,,
644,NPF,Official,2012,Diamond Sports,Diamond Sports,,,Softball,,,,,,
645,NPF,Official,2012,Easton Sports,Easton Sports,,,Softball,,,,,,
646,NPF,Official,2012,EvoShield,EvoShield,,,Softball,,,,,,
647,NPF,Official,2012,Louisville Slugger,Louisville Slugger,,,Softball,,,,,,
