"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Brooklyn Nets","17","15",".531","2","0.59","106.6","106.3","","A. Johnson (14-14), P. Carlesimo (3-1)"
"2","2011-12","NBA","New Jersey Nets","22","44",".333","5","-6.37","102.9","109.6","","A. Johnson (22-44)"
"3","2010-11","NBA","New Jersey Nets","24","58",".293","4","-6.28","103.1","109.9","","A. Johnson (24-58)"
"4","2009-10","NBA","New Jersey Nets","12","70",".146","5","-8.93","100.6","110.5","","L. Frank (0-16), T. Barrise (0-2), K. Vandeweghe (12-52)"
"5","2008-09","NBA","New Jersey Nets","34","48",".415","3","-2.31","108.3","111.0","","L. Frank (34-48)"
"6","2007-08","NBA","New Jersey Nets","34","48",".415","4","-5.15","104.0","109.4","","L. Frank (34-48)"
"7","2006-07","NBA","New Jersey Nets*","41","41",".500","2","-1.00","105.7","106.6","Lost Eastern Conference Semifinals","L. Frank (41-41)"
"8","2005-06","NBA","New Jersey Nets*","49","33",".598","1","1.11","103.9","102.4","Lost Eastern Conference Semifinals","L. Frank (49-33)"
"9","2004-05","NBA","New Jersey Nets*","42","40",".512","3","-1.82","101.4","103.1","Lost Eastern Conference First Round","L. Frank (42-40)"
"10","2003-04","NBA","New Jersey Nets*","47","35",".573","1","1.88","100.8","98.0","Lost Eastern Conference Semifinals","B. Scott (22-20), L. Frank (25-15)"
"11","2002-03","NBA","New Jersey Nets*","49","33",".598","1","4.42","103.8","98.1","Lost Finals","B. Scott (49-33)"
"12","2001-02","NBA","New Jersey Nets*","52","30",".634","1","3.67","104.0","99.5","Lost Finals","B. Scott (52-30)"
"13","2000-01","NBA","New Jersey Nets","26","56",".317","6","-5.30","100.0","105.5","","B. Scott (26-56)"
"14","1999-00","NBA","New Jersey Nets","31","51",".378","6","-1.18","105.1","106.3","","D. Casey (31-51)"
"15","1998-99","NBA","New Jersey Nets","16","34",".320","7","-3.20","99.5","103.6","","J. Calipari (3-17), D. Casey (13-17)"
"16","1997-98","NBA","New Jersey Nets*","43","39",".524","3","1.89","108.3","106.6","Lost Eastern Conference First Round","J. Calipari (43-39)"
"17","1996-97","NBA","New Jersey Nets","26","56",".317","5","-3.89","104.7","109.7","","J. Calipari (26-56)"
"18","1995-96","NBA","New Jersey Nets","30","52",".366","6","-4.14","101.9","106.5","","B. Beard (30-52)"
"19","1994-95","NBA","New Jersey Nets","30","52",".366","5","-3.28","105.2","108.6","","B. Beard (30-52)"
"20","1993-94","NBA","New Jersey Nets*","45","37",".549","3","2.11","107.2","104.9","Lost Eastern Conference First Round","C. Daly (45-37)"
"21","1992-93","NBA","New Jersey Nets*","43","39",".524","3","1.20","106.5","105.2","Lost Eastern Conference First Round","C. Daly (43-39)"
"22","1991-92","NBA","New Jersey Nets*","40","42",".488","3","-1.54","107.0","108.7","Lost Eastern Conference First Round","B. Fitch (40-42)"
"23","1990-91","NBA","New Jersey Nets","26","56",".317","5","-4.54","102.9","107.4","","B. Fitch (26-56)"
"24","1989-90","NBA","New Jersey Nets","17","65",".207","6","-7.82","100.7","108.6","","B. Fitch (17-65)"
"25","1988-89","NBA","New Jersey Nets","26","56",".317","5","-5.69","103.0","109.3","","W. Reed (26-56)"
"26","1987-88","NBA","New Jersey Nets","19","63",".232","5","-6.98","101.4","109.6","","D. Wohl (2-13), B. MacKinnon (10-29), W. Reed (7-21)"
"27","1986-87","NBA","New Jersey Nets","24","58",".293","4","-4.41","105.6","110.5","","D. Wohl (24-58)"
"28","1985-86","NBA","New Jersey Nets*","39","43",".476","4","-1.39","105.0","106.9","Lost Eastern Conference First Round","D. Wohl (39-43)"
"29","1984-85","NBA","New Jersey Nets*","42","40",".512","3","0.64","107.9","107.7","Lost Eastern Conference First Round","S. Albeck (42-40)"
"30","1983-84","NBA","New Jersey Nets*","45","37",".549","4","1.27","106.1","105.0","Lost Eastern Conference Semifinals","S. Albeck (45-37)"
"31","1982-83","NBA","New Jersey Nets*","49","33",".598","3","2.77","101.6","98.9","Lost Eastern Conference First Round","L. Brown (47-29), B. Blair (2-4)"
"32","1981-82","NBA","New Jersey Nets*","44","38",".537","3","0.87","103.0","102.3","Lost Eastern Conference First Round","L. Brown (44-38)"
"33","1980-81","NBA","New Jersey Nets","24","58",".293","5","-5.15","101.0","106.7","","K. Loughery (12-23), B. MacKinnon (12-35)"
"34","1979-80","NBA","New Jersey Nets","34","48",".415","5","-0.98","101.5","102.5","","K. Loughery (34-48)"
"35","1978-79","NBA","New Jersey Nets*","37","45",".451","3","-4.00","98.0","101.8","Lost Eastern Conference First Round","K. Loughery (37-45)"
"36","1977-78","NBA","New Jersey Nets","24","58",".293","5","-5.61","95.0","100.2","","K. Loughery (24-58)"
"37","1976-77","NBA","New York Nets","22","60",".268","5","-6.54","92.2","98.7","","K. Loughery (22-60)"
"38","1975-76","ABA","New York Nets*","55","29",".655","2","2.56","104.4","101.7","Won Finals","K. Loughery (55-29)"
"39","1974-75","ABA","New York Nets*","58","26",".690","2","6.57","106.3","98.9","Lost Eastern Division Semifinals","K. Loughery (58-26)"
"40","1973-74","ABA","New York Nets*","55","29",".655","1","4.80","103.5","98.4","Won Finals","K. Loughery (55-29)"
"41","1972-73","ABA","New York Nets*","30","54",".357","4","-5.81","100.5","106.8","Lost Eastern Division Semifinals","L. Carnesecca (30-54)"
"42","1971-72","ABA","New York Nets*","44","40",".524","3","0.21","104.7","104.3","Lost Finals","L. Carnesecca (44-40)"
"43","1970-71","ABA","New York Nets*","40","44",".476","3","-0.86","","","Lost Eastern Division Semifinals","L. Carnesecca (40-44)"
"44","1969-70","ABA","New York Nets*","39","45",".464","4","-1.03","","","Lost Eastern Division Semifinals","Y. Larese (39-45)"
"45","1968-69","ABA","New York Nets","17","61",".218","5","-7.90","","","","M. Zaslofsky (17-61)"
"46","1967-68","ABA","New Jersey Americans","36","42",".462","5","-1.14","","","","M. Zaslofsky (36-42)"
