"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Sacramento Kings","12","20",".375","4","-4.16","104.5","109.6","","K. Smart (12-20)"
"2","2011-12","NBA","Sacramento Kings","22","44",".333","5","-4.95","103.8","109.8","","P. Westphal (2-5), K. Smart (20-39)"
"3","2010-11","NBA","Sacramento Kings","24","58",".293","5","-4.80","103.5","109.0","","P. Westphal (24-58)"
"4","2009-10","NBA","Sacramento Kings","25","57",".305","5","-4.06","105.3","109.9","","P. Westphal (25-57)"
"5","2008-09","NBA","Sacramento Kings","17","65",".207","5","-8.59","105.5","114.7","","R. Theus (6-18), K. Natt (11-47)"
"6","2007-08","NBA","Sacramento Kings","38","44",".463","4","-1.85","107.5","109.9","","R. Theus (38-44)"
"7","2006-07","NBA","Sacramento Kings","33","49",".402","5","-1.35","106.2","108.0","","E. Musselman (33-49)"
"8","2005-06","NBA","Sacramento Kings*","44","38",".537","4","1.61","106.7","105.0","Lost Western Conference First Round","R. Adelman (44-38)"
"9","2004-05","NBA","Sacramento Kings*","50","32",".610","2","2.55","110.5","108.2","Lost Western Conference First Round","R. Adelman (50-32)"
"10","2003-04","NBA","Sacramento Kings*","55","27",".671","2","5.41","110.3","104.9","Lost Western Conference Semifinals","R. Adelman (55-27)"
"11","2002-03","NBA","Sacramento Kings*","59","23",".720","1","6.69","105.9","99.1","Lost Western Conference Semifinals","R. Adelman (59-23)"
"12","2001-02","NBA","Sacramento Kings*","61","21",".744","1","7.61","109.0","101.1","Lost Western Conference Finals","R. Adelman (61-21)"
"13","2000-01","NBA","Sacramento Kings*","55","27",".671","2","6.07","105.6","99.6","Lost Western Conference Semifinals","R. Adelman (55-27)"
"14","1999-00","NBA","Sacramento Kings*","44","38",".537","5","3.04","105.0","102.1","Lost Western Conference First Round","R. Adelman (44-38)"
"15","1998-99","NBA","Sacramento Kings*","27","23",".540","4","-0.89","102.7","103.1","Lost Western Conference First Round","R. Adelman (27-23)"
"16","1997-98","NBA","Sacramento Kings","27","55",".329","5","-5.83","100.8","106.9","","E. Jordan (27-55)"
"17","1996-97","NBA","Sacramento Kings","34","48",".415","6","-3.64","105.0","108.7","","G. St. Jean (28-39), E. Jordan (6-9)"
"18","1995-96","NBA","Sacramento Kings*","39","43",".476","5","-2.62","106.2","109.1","Lost Western Conference First Round","G. St. Jean (39-43)"
"19","1994-95","NBA","Sacramento Kings","39","43",".476","5","-0.75","105.5","106.5","","G. St. Jean (39-43)"
"20","1993-94","NBA","Sacramento Kings","28","54",".341","6","-5.32","103.3","109.2","","G. St. Jean (28-54)"
"21","1992-93","NBA","Sacramento Kings","25","57",".305","7","-3.00","106.5","109.6","","G. St. Jean (25-57)"
"22","1991-92","NBA","Sacramento Kings","29","53",".354","7","-5.62","103.9","109.9","","D. Motta (7-18), R. Hughes (22-35)"
"23","1990-91","NBA","Sacramento Kings","25","57",".305","7","-6.28","102.0","109.1","","D. Motta (25-57)"
"24","1989-90","NBA","Sacramento Kings","23","59",".280","7","-4.42","104.8","110.0","","J. Reynolds (7-21), D. Motta (16-38)"
"25","1988-89","NBA","Sacramento Kings","27","55",".329","6","-5.35","104.5","110.0","","J. Reynolds (27-55)"
"26","1987-88","NBA","Sacramento Kings","24","58",".293","6","-5.84","106.5","112.1","","B. Russell (17-41), J. Reynolds (7-17)"
"27","1986-87","NBA","Sacramento Kings","29","53",".354","5","-3.33","108.9","112.1","","P. Johnson (14-32), J. Reynolds (15-21)"
"28","1985-86","NBA","Sacramento Kings*","37","45",".451","5","-3.19","106.2","109.2","Lost Western Conference First Round","P. Johnson (37-45)"
"29","1984-85","NBA","Kansas City Kings","31","51",".378","6","-2.71","109.5","112.1","","J. McKinney (1-8), P. Johnson (30-43)"
"30","1983-84","NBA","Kansas City Kings*","38","44",".463","4","-1.62","106.5","108.0","Lost Western Conference First Round","C. Fitzsimmons (38-44)"
"31","1982-83","NBA","Kansas City Kings","45","37",".549","3","1.04","106.2","104.9","","C. Fitzsimmons (45-37)"
"32","1981-82","NBA","Kansas City Kings","30","52",".366","4","-3.25","104.2","107.2","","C. Fitzsimmons (30-52)"
"33","1980-81","NBA","Kansas City Kings*","40","42",".488","2","-0.49","104.7","104.7","Lost Western Conference Finals","C. Fitzsimmons (40-42)"
"34","1979-80","NBA","Kansas City Kings*","47","35",".573","2","2.81","104.0","101.0","Lost Western Conference First Round","C. Fitzsimmons (47-35)"
"35","1978-79","NBA","Kansas City Kings*","48","34",".585","1","2.73","104.5","101.9","Lost Western Conference Semifinals","C. Fitzsimmons (48-34)"
"36","1977-78","NBA","Kansas City Kings","31","51",".378","5","-1.76","100.5","102.2","","P. Johnson (13-24), L. Staverman (18-27)"
