"","team","year","rank","value","value_change","debt","debt_percent","revenue","expense","operating_income","player_expense","gate_receipt"
"307","Golden State Warriors",2000,"23",140,0.08,112,"80",31.8,39.5,-7.7,NA,NA
"336","Toronto Raptors",2000,"24",138,0.14,132.48,"96",33.6,41.6,-8,NA,NA
"344","Charlotte Hornets",2000,"25",136,0.1,50.32,"37",30.3,32.5,-2.2,NA,NA
"376","Vancouver Grizzlies",2000,"26",127,-0.05,59.69,"47",28.2,40.6,-12.4,NA,NA
"384","Denver Nuggets",2000,"27",124,0.13,69.44,"56",23.8,33.6,-9.8,NA,NA
"406","Milwaukee Bucks",2000,"28",111,0.18,25.53,"23",25.8,40.7,-14.9,NA,NA
"417","Los Angeles Clippers",2000,"29",103,0.01,0,"0",23,36.2,-13.2,NA,NA
"449","Los Angeles Lakers",2000,"3",282,0.05,157.92,"56",58.7,59.6,-0.9,NA,NA
"474","Portland Trail Blazers",2000,"4",257,0.05,149.06,"58",57.1,70.6,-13.5,NA,NA
"494","Phoenix Suns",2000,"5",239,0.02,54.97,"23",58.3,52.5,5.8,NA,NA
"512","Philadelphia 76ers",2000,"6",231,0.18,69.3,"30",57.7,55.9,1.8,NA,NA
"524","Detroit Pistons",2000,"7",226,0.1,0,"0",51.3,53,-1.7,NA,NA
"555","Utah Jazz",2000,"8",215,0.07,47.3,"22",47.7,48.4,-0.7,NA,NA
"574","Washington Wizards",2000,"9",209,0.01,110.77,"53",48.6,51.4,-2.8,NA,NA
"1","Chicago Bulls",1999,"1",303.96,NA,NA,NA,NA,NA,NA,NA,NA
"21","Boston Celtics",1999,"10",176.415,NA,NA,NA,NA,NA,NA,NA,NA
"54","Seattle Supersonics",1999,"11",169.444,NA,NA,NA,NA,NA,NA,NA,NA
"63","Houston Rockets",1999,"12",166.337,NA,NA,NA,NA,NA,NA,NA,NA
"83","Cleveland Cavaliers",1999,"13",160.377,NA,NA,NA,NA,NA,NA,NA,NA
"107","New Jersey Nets",1999,"14",156.604,NA,NA,NA,NA,NA,NA,NA,NA
"128","Indiana Pacers",1999,"15",152.137,NA,NA,NA,NA,NA,NA,NA,NA
"145","Miami Heat",1999,"16",144.643,NA,NA,NA,NA,NA,NA,NA,NA
"161","Atlanta Hawks",1999,"17",140.187,NA,NA,NA,NA,NA,NA,NA,NA
"196","Vancouver Grizzlies",1999,"18",133.684,NA,NA,NA,NA,NA,NA,NA,NA
"209","Orlando Magic",1999,"19",133.613,NA,NA,NA,NA,NA,NA,NA,NA
"232","New York Knicks",1999,"2",295.575,NA,NA,NA,NA,NA,NA,NA,NA
"248","Golden State Warriors",1999,"20",129.63,NA,NA,NA,NA,NA,NA,NA,NA
"263","Charlotte Hornets",1999,"21",123.636,NA,NA,NA,NA,NA,NA,NA,NA
"297","San Antonio Spurs",1999,"22",121.583,NA,NA,NA,NA,NA,NA,NA,NA
"314","Toronto Raptors",1999,"23",121.053,NA,NA,NA,NA,NA,NA,NA,NA
"321","Dallas Mavericks",1999,"24",119.492,NA,NA,NA,NA,NA,NA,NA,NA
"352","Sacramento Kings",1999,"25",118.898,NA,NA,NA,NA,NA,NA,NA,NA
"366","Minnesota Timberwolves",1999,"26",118.699,NA,NA,NA,NA,NA,NA,NA,NA
"383","Denver Nuggets",1999,"27",109.735,NA,NA,NA,NA,NA,NA,NA,NA
"404","Los Angeles Clippers",1999,"28",101.98,NA,NA,NA,NA,NA,NA,NA,NA
"422","Milwaukee Bucks",1999,"29",94.068,NA,NA,NA,NA,NA,NA,NA,NA
"448","Los Angeles Lakers",1999,"3",268.571,NA,NA,NA,NA,NA,NA,NA,NA
"473","Portland Trail Blazers",1999,"4",244.762,NA,NA,NA,NA,NA,NA,NA,NA
"493","Phoenix Suns",1999,"5",234.314,NA,NA,NA,NA,NA,NA,NA,NA
"515","Washington Wizards",1999,"6",206.931,NA,NA,NA,NA,NA,NA,NA,NA
"523","Detroit Pistons",1999,"7",205.455,NA,NA,NA,NA,NA,NA,NA,NA
"554","Utah Jazz",1999,"8",200.935,NA,NA,NA,NA,NA,NA,NA,NA
"565","Philadelphia 76ers",1999,"9",195.763,NA,NA,NA,NA,NA,NA,NA,NA
"13","New York Knicks",1997,"1",250,NA,NA,NA,NA,NA,NA,NA,NA
"31","San Antonio Spurs",1997,"10",156,NA,NA,NA,NA,NA,NA,NA,NA
"41","Boston Celtics",1997,"11",155,NA,NA,NA,NA,NA,NA,NA,NA
"62","Houston Rockets",1997,"12",154,NA,NA,NA,NA,NA,NA,NA,NA
"98","Toronto Raptors",1997,"13",138,NA,NA,NA,NA,NA,NA,NA,NA
"106","New Jersey Nets",1997,"14",137,NA,NA,NA,NA,NA,NA,NA,NA
"137","Seattle SuperSonics",1997,"15",137,NA,NA,NA,NA,NA,NA,NA,NA
"141","Charlotte Hornets",1997,"16",136,NA,NA,NA,NA,NA,NA,NA,NA
"176","Sacramento Kings",1997,"17",131,NA,NA,NA,NA,NA,NA,NA,NA
"182","Golden State Warriors",1997,"18",130,NA,NA,NA,NA,NA,NA,NA,NA
"220","Washington Bullets",1997,"19",129,NA,NA,NA,NA,NA,NA,NA,NA
"239","Phoenix Suns",1997,"2",220,NA,NA,NA,NA,NA,NA,NA,NA
"258","Vancouver Grizzlies",1997,"20",127,NA,NA,NA,NA,NA,NA,NA,NA
"270","Minnesota Timberwolves",1997,"21",123,NA,NA,NA,NA,NA,NA,NA,NA
"290","Miami Heat",1997,"22",118,NA,NA,NA,NA,NA,NA,NA,NA
"306","Denver Nuggets",1997,"23",116,NA,NA,NA,NA,NA,NA,NA,NA
"325","Indiana Pacers",1997,"24",114,NA,NA,NA,NA,NA,NA,NA,NA
"350","Philadelphia 76ers",1997,"25",113,NA,NA,NA,NA,NA,NA,NA,NA
"361","Atlanta Hawks",1997,"26",111,NA,NA,NA,NA,NA,NA,NA,NA
"382","Dallas Mavericks",1997,"27",104,NA,NA,NA,NA,NA,NA,NA,NA
"405","Milwaukee Bucks",1997,"28",103,NA,NA,NA,NA,NA,NA,NA,NA
"418","Los Angeles Clippers",1997,"29",95,NA,NA,NA,NA,NA,NA,NA,NA
"433","Chicago Bulls",1997,"3",214,NA,NA,NA,NA,NA,NA,NA,NA
"471","Los Angeles Lakers",1997,"4",211,NA,NA,NA,NA,NA,NA,NA,NA
"482","Detroit Pistons",1997,"5",202,NA,NA,NA,NA,NA,NA,NA,NA
"502","Cleveland Cavaliers",1997,"6",180,NA,NA,NA,NA,NA,NA,NA,NA
"534","Portland Trail Blazers",1997,"7",179,NA,NA,NA,NA,NA,NA,NA,NA
"553","Utah Jazz",1997,"8",163,NA,NA,NA,NA,NA,NA,NA,NA
"563","Orlando Magic",1997,"9",156,NA,NA,NA,NA,NA,NA,NA,NA
"12","New York Knicks",1996,"1",205,NA,NA,NA,NA,NA,NA,NA,NA
"38","Seattle SuperSonics",1996,"10",129,NA,NA,NA,NA,NA,NA,NA,NA
"53","San Antonio Spurs",1996,"11",126,NA,NA,NA,NA,NA,NA,NA,NA
"69","Orlando Magic",1996,"12",121,NA,NA,NA,NA,NA,NA,NA,NA
"86","Houston Rockets",1996,"13",116,NA,NA,NA,NA,NA,NA,NA,NA
"114","Sacramento Kings",1996,"14",114,NA,NA,NA,NA,NA,NA,NA,NA
"125","Golden State Warriors",1996,"15",114,NA,NA,NA,NA,NA,NA,NA,NA
"159","Washington Bullets",1996,"16",113,NA,NA,NA,NA,NA,NA,NA,NA
"163","Charlotte Hornets",1996,"17",113,NA,NA,NA,NA,NA,NA,NA,NA
"191","Minnesota Timberwolves",1996,"18",110,NA,NA,NA,NA,NA,NA,NA,NA
"207","New Jersey Nets",1996,"19",108,NA,NA,NA,NA,NA,NA,NA,NA
"238","Phoenix Suns",1996,"2",191,NA,NA,NA,NA,NA,NA,NA,NA
"250","Milwaukee Bucks",1996,"20",103,NA,NA,NA,NA,NA,NA,NA,NA
"264","Denver Nuggets",1996,"21",102,NA,NA,NA,NA,NA,NA,NA,NA
"291","Miami Heat",1996,"22",97,NA,NA,NA,NA,NA,NA,NA,NA
"304","Atlanta Hawks",1996,"23",96,NA,NA,NA,NA,NA,NA,NA,NA
"328","Indiana Pacers",1996,"24",94,NA,NA,NA,NA,NA,NA,NA,NA
"351","Philadelphia 76ers",1996,"25",93,NA,NA,NA,NA,NA,NA,NA,NA
"363","Dallas Mavericks",1996,"26",89,NA,NA,NA,NA,NA,NA,NA,NA
"392","Los Angeles Clippers",1996,"27",88,NA,NA,NA,NA,NA,NA,NA,NA
"446","Detroit Pistons",1996,"3",186,NA,NA,NA,NA,NA,NA,NA,NA
"463","Chicago Bulls",1996,"4",178,NA,NA,NA,NA,NA,NA,NA,NA
"486","Los Angeles Lakers",1996,"5",171,NA,NA,NA,NA,NA,NA,NA,NA
"501","Cleveland Cavaliers",1996,"6",151,NA,NA,NA,NA,NA,NA,NA,NA
"535","Utah Jazz",1996,"7",142,NA,NA,NA,NA,NA,NA,NA,NA
"551","Portland Trail Blazers",1996,"8",137,NA,NA,NA,NA,NA,NA,NA,NA
"558","Boston Celtics",1996,"9",134,NA,NA,NA,NA,NA,NA,NA,NA
"2","Detroit Pistons",1995,"1",180,NA,NA,NA,NA,NA,NA,NA,NA
"36","Seattle Supersonics",1995,"10",119,NA,NA,NA,NA,NA,NA,NA,NA
"44","Charlotte Hornets",1995,"11",110,NA,NA,NA,NA,NA,NA,NA,NA
"74","San Antonio Spurs",1995,"12",110,NA,NA,NA,NA,NA,NA,NA,NA
"96","Sacramento Kings",1995,"13",108,NA,NA,NA,NA,NA,NA,NA,NA
"109","Orlando Magic",1995,"14",101,NA,NA,NA,NA,NA,NA,NA,NA
"129","Minnesota Timberwolves",1995,"15",99,NA,NA,NA,NA,NA,NA,NA,NA
"160","Washington Bullets",1995,"16",96,NA,NA,NA,NA,NA,NA,NA,NA
"169","Houston Rockets",1995,"17",95,NA,NA,NA,NA,NA,NA,NA,NA
"190","Milwaukee Bucks",1995,"18",92,NA,NA,NA,NA,NA,NA,NA,NA
"208","New Jersey Nets",1995,"19",92,NA,NA,NA,NA,NA,NA,NA,NA
"231","New York Knicks",1995,"2",173,NA,NA,NA,NA,NA,NA,NA,NA
"247","Denver Nuggets",1995,"20",88,NA,NA,NA,NA,NA,NA,NA,NA
"269","Miami Heat",1995,"21",88,NA,NA,NA,NA,NA,NA,NA,NA
"289","Los Angeles Clippers",1995,"22",87,NA,NA,NA,NA,NA,NA,NA,NA
"303","Atlanta Hawks",1995,"23",84,NA,NA,NA,NA,NA,NA,NA,NA
"324","Golden State Warriors",1995,"24",83,NA,NA,NA,NA,NA,NA,NA,NA
"345","Dallas Mavericks",1995,"25",81,NA,NA,NA,NA,NA,NA,NA,NA
"372","Philadelphia 76ers",1995,"26",81,NA,NA,NA,NA,NA,NA,NA,NA
"391","Indiana Pacers",1995,"27",77,NA,NA,NA,NA,NA,NA,NA,NA
"447","Los Angeles Lakers",1995,"3",169,NA,NA,NA,NA,NA,NA,NA,NA
"462","Chicago Bulls",1995,"4",166,NA,NA,NA,NA,NA,NA,NA,NA
"492","Phoenix Suns",1995,"5",156,NA,NA,NA,NA,NA,NA,NA,NA
"500","Cleveland Cavaliers",1995,"6",133,NA,NA,NA,NA,NA,NA,NA,NA
"537","Portland Trailblazers",1995,"7",132,NA,NA,NA,NA,NA,NA,NA,NA
"538","Boston Celtics",1995,"8",127,NA,NA,NA,NA,NA,NA,NA,NA
"572","Utah Jazz",1995,"9",127,NA,NA,NA,NA,NA,NA,NA,NA
"4","Los Angeles Lakers",1994,"1",168,NA,NA,NA,NA,NA,NA,NA,NA
"30","San Antonio Spurs",1994,"10",100,NA,NA,NA,NA,NA,NA,NA,NA
"59","Utah Jazz",1994,"11",98,NA,NA,NA,NA,NA,NA,NA,NA
"76","Seattle Supersonics",1994,"12",96,NA,NA,NA,NA,NA,NA,NA,NA
"90","Minnesota Timberwolves",1994,"13",92,NA,NA,NA,NA,NA,NA,NA,NA
"102","Golden State Warriors",1994,"14",85,NA,NA,NA,NA,NA,NA,NA,NA
"127","Houston Rockets",1994,"15",84,NA,NA,NA,NA,NA,NA,NA,NA
"149","Orlando Magic",1994,"16",84,NA,NA,NA,NA,NA,NA,NA,NA
"177","Sacramento Kings",1994,"17",84,NA,NA,NA,NA,NA,NA,NA,NA
"188","Los Angeles Clippers",1994,"18",83,NA,NA,NA,NA,NA,NA,NA,NA
"211","Philadelphia 76ers",1994,"19",83,NA,NA,NA,NA,NA,NA,NA,NA
"224","Detroit Pistons",1994,"2",154,NA,NA,NA,NA,NA,NA,NA,NA
"242","Dallas Mavericks",1994,"20",79,NA,NA,NA,NA,NA,NA,NA,NA
"275","New Jersey Nets",1994,"21",79,NA,NA,NA,NA,NA,NA,NA,NA
"300","Washington Bullets",1994,"22",78,NA,NA,NA,NA,NA,NA,NA,NA
"309","Milwaukee Bucks",1994,"23",77,NA,NA,NA,NA,NA,NA,NA,NA
"333","Miami Heat",1994,"24",76,NA,NA,NA,NA,NA,NA,NA,NA
"343","Atlanta Hawks",1994,"25",72,NA,NA,NA,NA,NA,NA,NA,NA
"364","Denver Nuggets",1994,"26",69,NA,NA,NA,NA,NA,NA,NA,NA
"390","Indiana Pacers",1994,"27",67,NA,NA,NA,NA,NA,NA,NA,NA
"432","Chicago Bulls",1994,"3",149,NA,NA,NA,NA,NA,NA,NA,NA
"472","New York Knicks",1994,"4",136,NA,NA,NA,NA,NA,NA,NA,NA
"497","Portland Trailblazers",1994,"5",122,NA,NA,NA,NA,NA,NA,NA,NA
"499","Cleveland Cavaliers",1994,"6",118,NA,NA,NA,NA,NA,NA,NA,NA
"518","Boston Celtics",1994,"7",117,NA,NA,NA,NA,NA,NA,NA,NA
"546","Phoenix Suns",1994,"8",108,NA,NA,NA,NA,NA,NA,NA,NA
"560","Charlotte Hornets",1994,"9",104,NA,NA,NA,NA,NA,NA,NA,NA
"3","Los Angeles Lakers",1992,"1",150,NA,NA,NA,NA,NA,NA,NA,NA
"25","Golden State Warriors",1992,"10",63,NA,NA,NA,NA,NA,NA,NA,NA
"50","Philadelphia 76ers",1992,"11",63,NA,NA,NA,NA,NA,NA,NA,NA
"73","Sacramento Kings",1992,"12",63,NA,NA,NA,NA,NA,NA,NA,NA
"97","San Antonio Spurs",1992,"13",63,NA,NA,NA,NA,NA,NA,NA,NA
"105","Minnesota Timberwolves",1992,"14",62,NA,NA,NA,NA,NA,NA,NA,NA
"130","Orlando Magic",1992,"15",62,NA,NA,NA,NA,NA,NA,NA,NA
"144","Houston Rockets",1992,"16",61,NA,NA,NA,NA,NA,NA,NA,NA
"166","Dallas Mavericks",1992,"17",60,NA,NA,NA,NA,NA,NA,NA,NA
"189","Miami Heat",1992,"18",60,NA,NA,NA,NA,NA,NA,NA,NA
"202","Atlanta Hawks",1992,"19",57,NA,NA,NA,NA,NA,NA,NA,NA
"223","Detroit Pistons",1992,"2",120,NA,NA,NA,NA,NA,NA,NA,NA
"251","Milwaukee Bucks",1992,"20",56,NA,NA,NA,NA,NA,NA,NA,NA
"268","Los Angeles Clippers",1992,"21",54,NA,NA,NA,NA,NA,NA,NA,NA
"293","New Jersey Nets",1992,"22",54,NA,NA,NA,NA,NA,NA,NA,NA
"316","Utah Jazz",1992,"23",52,NA,NA,NA,NA,NA,NA,NA,NA
"323","Denver Nuggets",1992,"24",46,NA,NA,NA,NA,NA,NA,NA,NA
"357","Washington Bullets",1992,"25",46,NA,NA,NA,NA,NA,NA,NA,NA
"374","Seattle Supersonics",1992,"26",45,NA,NA,NA,NA,NA,NA,NA,NA
"389","Indiana Pacers",1992,"27",43,NA,NA,NA,NA,NA,NA,NA,NA
"431","Boston Celtics",1992,"3",110,NA,NA,NA,NA,NA,NA,NA,NA
"461","Chicago Bulls",1992,"4",100,NA,NA,NA,NA,NA,NA,NA,NA
"488","New York Knicks",1992,"5",83,NA,NA,NA,NA,NA,NA,NA,NA
"503","Cleveland Cavaliers",1992,"6",81,NA,NA,NA,NA,NA,NA,NA,NA
"533","Phoenix Suns",1992,"7",80,NA,NA,NA,NA,NA,NA,NA,NA
"557","Portland Trailblazers",1992,"8",78,NA,NA,NA,NA,NA,NA,NA,NA
"561","Charlotte Hornets",1992,"9",74,NA,NA,NA,NA,NA,NA,NA,NA
"5","Los Angeles Lakers",1991,"1",200,NA,NA,NA,NA,NA,NA,NA,NA
"40","Portland Trailblazers",1991,"10",59.9,NA,NA,NA,NA,NA,NA,NA,NA
"45","Charlotte Hornets",1991,"11",59.6,NA,NA,NA,NA,NA,NA,NA,NA
"68","Miami Heat",1991,"12",58.6,NA,NA,NA,NA,NA,NA,NA,NA
"88","Houston Rockets",1991,"13",58,NA,NA,NA,NA,NA,NA,NA,NA
"101","Dallas Mavericks",1991,"14",54.4,NA,NA,NA,NA,NA,NA,NA,NA
"121","Atlanta Hawks",1991,"15",53.5,NA,NA,NA,NA,NA,NA,NA,NA
"146","Milwaukee Bucks",1991,"16",53.5,NA,NA,NA,NA,NA,NA,NA,NA
"171","Minnesota Timberwolves",1991,"17",51.2,NA,NA,NA,NA,NA,NA,NA,NA
"185","Golden State Warriors",1991,"18",50.7,NA,NA,NA,NA,NA,NA,NA,NA
"214","Sacramento Kings",1991,"19",49.1,NA,NA,NA,NA,NA,NA,NA,NA
"221","Boston Celtics",1991,"2",180,NA,NA,NA,NA,NA,NA,NA,NA
"257","San Antonio Spurs",1991,"20",46.5,NA,NA,NA,NA,NA,NA,NA,NA
"278","Utah Jazz",1991,"21",44.9,NA,NA,NA,NA,NA,NA,NA,NA
"288","Los Angeles Clippers",1991,"22",42.9,NA,NA,NA,NA,NA,NA,NA,NA
"311","New Jersey Nets",1991,"23",42.6,NA,NA,NA,NA,NA,NA,NA,NA
"322","Denver Nuggets",1991,"24",40.6,NA,NA,NA,NA,NA,NA,NA,NA
"356","Washington Bullets",1991,"25",37.5,NA,NA,NA,NA,NA,NA,NA,NA
"373","Seattle Supersonics",1991,"26",37.3,NA,NA,NA,NA,NA,NA,NA,NA
"388","Indiana Pacers",1991,"27",33.3,NA,NA,NA,NA,NA,NA,NA,NA
"445","Detroit Pistons",1991,"3",150,NA,NA,NA,NA,NA,NA,NA,NA
"460","Chicago Bulls",1991,"4",100,NA,NA,NA,NA,NA,NA,NA,NA
"487","New York Knicks",1991,"5",100,NA,NA,NA,NA,NA,NA,NA,NA
"514","Phoenix Suns",1991,"6",99,NA,NA,NA,NA,NA,NA,NA,NA
"531","Philadelphia 76ers",1991,"7",75,NA,NA,NA,NA,NA,NA,NA,NA
"540","Cleveland Cavaliers",1991,"8",61.1,NA,NA,NA,NA,NA,NA,NA,NA
"564","Orlando Magic",1991,"9",60.8,NA,NA,NA,NA,NA,NA,NA,NA
