"","player","career","rookie_season","final_season","total_attempts","total_completions","total_passing_yards","total_touchdowns","total_games","total_seasons","player_sports_ref_url","player_sports_ref_gamelog_url"
"221","Jim Hart","1966-1984",1966,1984,5157,2633,35156,211,201,19,"http://www.pro-football-reference.com/players/H/HartJi00.htm","http://www.pro-football-reference.com/players/H/HartJi00/gamelog"
"153","Eli Manning","2004-2013",2004,2013,5120,3002,36210,238,155,10,"http://www.pro-football-reference.com/players/M/MannEl00.htm","http://www.pro-football-reference.com/players/M/MannEl00/gamelog"
"219","Jim Everett","1986-1997",1986,1997,5099,2928,35957,210,163,12,"http://www.pro-football-reference.com/players/E/EverJi00.htm","http://www.pro-football-reference.com/players/E/EverJi00/gamelog"
"401","Steve DeBerg","1978-1998",1978,1998,5096,2919,34752,199,188,17,"http://www.pro-football-reference.com/players/D/DebeSt00.htm","http://www.pro-football-reference.com/players/D/DebeSt00/gamelog"
"294","Mark Brunell","1994-2011",1994,2011,4947,2917,33905,195,190,16,"http://www.pro-football-reference.com/players/B/BrunMa00.htm","http://www.pro-football-reference.com/players/B/BrunMa00/gamelog"
"346","Phil Simms","1979-1993",1979,1993,4926,2733,35141,209,174,14,"http://www.pro-football-reference.com/players/S/SimmPh00.htm","http://www.pro-football-reference.com/players/S/SimmPh00/gamelog"
"405","Steve McNair","1995-2007",1995,2007,4855,2917,33068,180,172,13,"http://www.pro-football-reference.com/players/M/McNaSt00.htm","http://www.pro-football-reference.com/players/M/McNaSt00/gamelog"
"246","John Hadl","1962-1977",1962,1977,4754,2390,33941,245,205,16,"http://www.pro-football-reference.com/players/H/HadlJo00.htm","http://www.pro-football-reference.com/players/H/HadlJo00/gamelog"
"351","Randall Cunningham","1985-2001",1985,2001,4654,2621,32405,219,172,16,"http://www.pro-football-reference.com/players/C/CunnRa00.htm","http://www.pro-football-reference.com/players/C/CunnRa00/gamelog"
"266","Ken Anderson","1971-1986",1971,1986,4641,2764,34159,206,192,16,"http://www.pro-football-reference.com/players/A/AndeKe00.htm","http://www.pro-football-reference.com/players/A/AndeKe00/gamelog"
"231","Joe Ferguson","1973-1990",1973,1990,4639,2427,30631,202,190,17,"http://www.pro-football-reference.com/players/F/FergJo00.htm","http://www.pro-football-reference.com/players/F/FergJo00/gamelog"
"414","Steve Young","1985-1999",1985,1999,4620,2959,36450,252,185,15,"http://www.pro-football-reference.com/players/Y/YounSt00.htm","http://www.pro-football-reference.com/players/Y/YounSt00/gamelog"
"365","Roman Gabriel","1962-1977",1962,1977,4561,2399,29780,204,174,16,"http://www.pro-football-reference.com/players/G/GabrRo00.htm","http://www.pro-football-reference.com/players/G/GabrRo00/gamelog"
"48","Brad Johnson","1994-2008",1994,2008,4550,2793,30457,173,172,15,"http://www.pro-football-reference.com/players/J/JohnBr00.htm","http://www.pro-football-reference.com/players/J/JohnBr00/gamelog"
"196","Jake Plummer","1997-2006",1997,2006,4547,2606,30593,168,149,10,"http://www.pro-football-reference.com/players/P/PlumJa00.htm","http://www.pro-football-reference.com/players/P/PlumJa00/gamelog"
"281","Kurt Warner","1998-2009",1998,2009,4532,2973,36296,239,138,12,"http://www.pro-football-reference.com/players/W/WarnKu00.htm","http://www.pro-football-reference.com/players/W/WarnKu00/gamelog"
"254","Jon Kitna","1997-2011",1997,2011,4512,2715,30104,171,142,14,"http://www.pro-football-reference.com/players/K/KitnJo00.htm","http://www.pro-football-reference.com/players/K/KitnJo00/gamelog"
"20","Ben Roethlisberger","2004-2013",2004,2013,4479,2822,35324,223,149,10,"http://www.pro-football-reference.com/players/R/RoetBe00.htm","http://www.pro-football-reference.com/players/R/RoetBe00/gamelog"
"356","Rich Gannon","1987-2004",1987,2004,4446,2687,30434,191,162,17,"http://www.pro-football-reference.com/players/G/GannRi00.htm","http://www.pro-football-reference.com/players/G/GannRi00/gamelog"
"71","Carson Palmer","2004-2013",2004,2013,4431,2761,31590,200,132,10,"http://www.pro-football-reference.com/players/P/PalmCa00.htm","http://www.pro-football-reference.com/players/P/PalmCa00/gamelog"
"367","Ron Jaworski","1974-1989",1974,1989,4388,2313,29859,189,169,15,"http://www.pro-football-reference.com/players/J/JawoRo00.htm","http://www.pro-football-reference.com/players/J/JawoRo00/gamelog"
"242","John Brodie","1960-1973",1960,1973,4377,2396,30783,208,165,14,"http://www.pro-football-reference.com/players/B/BrodJo00.htm","http://www.pro-football-reference.com/players/B/BrodJo00/gamelog"
"420","Terry Bradshaw","1970-1983",1970,1983,4357,2286,31822,242,187,14,"http://www.pro-football-reference.com/players/B/BradTe00.htm","http://www.pro-football-reference.com/players/B/BradTe00/gamelog"
"331","Norm Snead","1961-1976",1961,1976,4353,2276,30797,196,178,16,"http://www.pro-football-reference.com/players/S/SneaNo00.htm","http://www.pro-football-reference.com/players/S/SneaNo00/gamelog"
"253","Johnny Unitas","1958-1973",1958,1973,4283,2339,32948,213,172,16,"http://www.pro-football-reference.com/players/U/UnitJo00.htm","http://www.pro-football-reference.com/players/U/UnitJo00/gamelog"
"394","Sonny Jurgensen","1960-1974",1960,1974,4177,2391,31546,249,160,15,"http://www.pro-football-reference.com/players/J/JurgSo00.htm","http://www.pro-football-reference.com/players/J/JurgSo00/gamelog"
"270","Ken Stabler","1970-1984",1970,1984,4144,2473,30579,213,175,15,"http://www.pro-football-reference.com/players/S/StabKe00.htm","http://www.pro-football-reference.com/players/S/StabKe00/gamelog"
"82","Chris Chandler","1988-2004",1988,2004,4102,2387,29212,174,177,17,"http://www.pro-football-reference.com/players/C/ChanCh00.htm","http://www.pro-football-reference.com/players/C/ChanCh00/gamelog"
"208","Jeff George","1990-2001",1990,2001,4096,2369,28603,163,133,12,"http://www.pro-football-reference.com/players/G/GeorJe00.htm","http://www.pro-football-reference.com/players/G/GeorJe00/gamelog"
"347","Philip Rivers","2004-2013",2004,2013,4088,2615,32184,214,132,10,"http://www.pro-football-reference.com/players/R/RivePh00.htm","http://www.pro-football-reference.com/players/R/RivePh00/gamelog"
"220","Jim Harbaugh","1987-2000",1987,2000,4081,2388,27194,135,171,14,"http://www.pro-football-reference.com/players/H/HarbJi00.htm","http://www.pro-football-reference.com/players/H/HarbJi00/gamelog"
"97","Craig Morton","1965-1982",1965,1982,4013,2144,29143,192,201,18,"http://www.pro-football-reference.com/players/M/MortCr00.htm","http://www.pro-football-reference.com/players/M/MortCr00/gamelog"
"226","Jim Plunkett","1971-1986",1971,1986,3973,2105,28175,175,167,15,"http://www.pro-football-reference.com/players/P/PlunJi00.htm","http://www.pro-football-reference.com/players/P/PlunJi00/gamelog"
"288","Len Dawson","1960-1975",1960,1975,3912,2237,30112,245,177,16,"http://www.pro-football-reference.com/players/D/DawsLe00.htm","http://www.pro-football-reference.com/players/D/DawsLe00/gamelog"
"207","Jeff Garcia","1999-2009",1999,2009,3893,2390,26894,168,131,11,"http://www.pro-football-reference.com/players/G/GarcJe00.htm","http://www.pro-football-reference.com/players/G/GarcJe00/gamelog"
"236","Joe Namath","1965-1977",1965,1977,3879,1936,28299,176,143,13,"http://www.pro-football-reference.com/players/N/NamaJo00.htm","http://www.pro-football-reference.com/players/N/NamaJo00/gamelog"
"239","Joe Theismann","1974-1985",1974,1985,3813,2172,26988,171,154,12,"http://www.pro-football-reference.com/players/T/TheiJo00.htm","http://www.pro-football-reference.com/players/T/TheiJo00/gamelog"
"454","Trent Green","1997-2008",1997,2008,3794,2298,28794,164,122,11,"http://www.pro-football-reference.com/players/G/GreeTr00.htm","http://www.pro-football-reference.com/players/G/GreeTr00/gamelog"
"444","Tommy Kramer","1977-1990",1977,1990,3791,2083,25651,162,130,14,"http://www.pro-football-reference.com/players/K/KramTo00.htm","http://www.pro-football-reference.com/players/K/KramTo00/gamelog"
