Franchise,Gate,Media,Stadium,Other Revenue,Total Revenue,Player Salaries,Other Expenses,Total Expenses,Operating Income,Franchise Value,Debt,Season,Source URL
Boston Celtics,,,,0,"167,927","92,574","139,384","231,958","-64,031",,,1951-1952,
Ft. Wayne Pistons,,,,0,"163,000","72,000","137,000","209,000","-46,000",,,1951-1952,
Minneapolis Lakers,,,,0,"366,293","82,488","294,898","377,386","-11,093",,,1951-1952,
Rochester Royals,,,,0,"184,437","73,000","122,100","195,100","-10,663",,,1951-1952,
Milwaukee Hawks,,,,0,"115,587","46,406","80,111","126,517","-10,930",,,1951-1952,
Syracuse Nationals,,,,0,"266,294","72,575","195,934","268,509","-2,215",,,1951-1952,
New York Knicks,,,,0,"269,919","91,432","132,445","223,877","46,042",,,1951-1952,
Ft. Wayne Pistons,"194,572",0,0,"15,715","210,287","78,921","148,434","227,355","-17,068",,,1952-1953,
Syracuse Nationals,"250,617",0,0,"15,678","266,295","72,575","195,934","268,509","-2,214",,,1952-1953,
New York Knicks,0,0,0,"269,919","269,919","91,432","132,445","223,877","46,042",,,1952-1953,
Boston Celtics,"131,380",0,0,"1,337","132,717","92,574","90,173","182,747","-50,030",,,1952-1953,
Minneapolis Lakers,"42,231",0,0,"324,062","366,293","130,882","246,509","377,391","-11,098",,,1952-1953,
Rochester Royals,"137,100",0,0,"35,837","172,937","73,000","122,100","195,100","-22,163",,,1952-1953,
Milwaukee Hawks,"82,177",0,0,"33,410","115,587","46,406","67,761","114,167","1,420",,,1952-1953,
Philadelphia Warriors,0,0,0,"114,509","114,509","64,824","83,074","147,898","-33,389",,,1952-1953,
Ft. Wayne Pistons,"126,529",0,0,"15,219","141,748","92,643","108,407","201,050","-59,302",,,1953-1954,
Syracuse Nationals,"170,382",0,0,"18,496","188,878","78,385","123,032","201,417","-12,539",,,1953-1954,
New York Knicks,0,0,0,"351,735","351,735","98,305","161,807","260,112","91,623",,,1953-1954,
Boston Celtics,"178,829",0,0,"11,821","190,650","95,833","99,944","195,777","-5,127",,,1953-1954,
Minneapolis Lakers,"59,093",0,0,"246,806","305,899","114,355","185,998","300,353","5,546",,,1953-1954,
Rochester Royals,"120,600",0,0,"30,500","151,100","71,000","122,500","193,500","-42,400",,,1953-1954,
Milwaukee Hawks,"75,929",0,0,"32,930","108,859","56,826","56,804","113,630","-4,771",,,1953-1954,
Philadelphia Warriors,0,0,0,"120,698","120,698","75,245","64,916","140,161","-19,463",,,1953-1954,
Ft. Wayne Pistons,"139,241",0,0,"24,182","163,423","100,234","82,550","182,784","-19,361",,,1954-1955,
Syracuse Nationals,"140,303",0,0,"59,148","199,451","70,790","130,721","201,511","-2,060",,,1954-1955,
New York Knicks,0,0,0,"346,421","346,421","107,350","154,023","261,373","85,048",,,1954-1955,
Boston Celtics,"163,713",0,0,"16,079","179,792","108,821","104,356","213,177","-33,385",,,1954-1955,
Minneapolis Lakers,"63,600",0,0,"259,090","322,690","126,677","214,794","341,471","-18,781",,,1954-1955,
Rochester Royals,"86,700",0,0,"44,200","130,900","74,000","83,600","157,600","-26,700",,,1954-1955,
Milwaukee Hawks,"62,354",0,0,"35,900","98,254","68,946","76,034","144,980","-46,726",,,1954-1955,
Philadelphia Warriors,0,0,0,"137,133","137,133","76,514","67,803","144,317","-7,184",,,1954-1955,
Ft. Wayne Pistons,"165,099",0,0,"24,151","189,250","106,386","97,075","203,461","-14,211",,,1955-1956,
Syracuse Nationals,"140,829",0,0,"58,222","199,051","89,923","121,681","211,604","-12,553",,,1955-1956,
New York Knicks,0,0,0,"395,232","395,232","102,304","164,139","266,443","128,789",,,1955-1956,
Boston Celtics,"196,410",0,0,"29,255","225,665","101,510","92,803","194,313","31,352",,,1955-1956,
Minneapolis Lakers,"48,311",0,0,"169,081","217,392","86,809","166,322","253,131","-35,739",,,1955-1956,
Rochester Royals,"88,300",0,0,"41,200","129,500","74,000","106,200","180,200","-50,700",,,1955-1956,
St. Louis Hawks,"119,688",0,0,"4,107","123,795","80,181","74,096","154,277","-30,482",,,1955-1956,
Philadelphia Warriors,0,0,0,"318,999","318,999","104,615","157,976","262,591","56,408",,,1955-1956,
Ft. Wayne Pistons,"132,493",0,0,"26,073","158,566","103,215","74,883","178,098","-19,532",,,1956-1957,
Syracuse Nationals,"147,669",0,0,"59,859","207,528","90,200","134,225","224,425","-16,897",,,1956-1957,
New York Knicks,0,0,0,"424,068","424,068","114,353","185,608","299,961","124,107",,,1956-1957,
Boston Celtics,"222,236",0,0,"25,243","247,479","106,448","104,679","211,127","36,352",,,1956-1957,
Minneapolis Lakers,"25,655",0,0,"160,448","186,103","82,488","138,961","221,449","-35,346",,,1956-1957,
Rochester Royals,"91,000",0,0,"14,750","105,750","76,000","134,000","210,000","-104,250",,,1956-1957,
St. Louis Hawks,"144,745",0,0,"55,153","199,898","96,331","103,928","200,259",-361,,,1956-1957,
Philadelphia Warriors,0,0,0,"246,789","246,789","99,937","120,780","220,717","26,072",,,1956-1957,
Atlanta Hawks,"11,000,000",,,,"19,100,000","10,000,000","17,900,000","27,900,000","1,200,000","53,500,000",,1989-1990,
Boston Celtics,"14,800,000",,,,"30,700,000","10,500,000","21,900,000","32,400,000","8,800,000","180,000,000",,1989-1990,
Charlotte Hornets,"16,200,000",,,,"22,800,000","7,200,000","16,300,000","23,500,000","6,400,000","59,600,000",,1989-1990,
Chicago Bulls,"17,200,000",,,,"27,400,000","9,300,000","20,100,000","29,400,000","7,300,000","100,000,000",,1989-1990,
Cleveland Cavaliers,"12,500,000",,,,"22,600,000","9,000,000","16,500,000","25,500,000","6,100,000","61,100,000",,1989-1990,
Dallas Mavericks,"11,100,000",,,,"20,900,000","8,900,000","18,200,000","27,100,000","2,700,000","54,400,000",,1989-1990,
Denver Nuggets,"8,100,000",,,,"15,600,000","8,900,000","17,400,000","26,300,000","-1,800,000","40,600,000",,1989-1990,
Detroit Pistons,"21,900,000",,,,"47,300,000","10,900,000","24,000,000","34,900,000","23,300,000","150,000,000",,1989-1990,
Golden State Warriors,"9,800,000",,,,"19,500,000","9,900,000","18,400,000","28,300,000","1,100,000","50,700,000",,1989-1990,
Houston Rockets,"11,000,000",,,,"22,300,000","9,800,000","19,000,000","28,800,000","3,300,000","58,000,000",,1989-1990,
Indiana Pacers,"6,800,000",,,,"12,800,000","8,600,000","16,300,000","24,900,000","-3,500,000","33,300,000",,1989-1990,
Los Angeles Clippers,"8,400,000",,,,"16,500,000","8,900,000","15,300,000","24,200,000","1,100,000","42,900,000",,1989-1990,
Los Angeles Lakers,"20,000,000",,,,"62,200,000","12,600,000","32,000,000","44,600,000","30,200,000","200,000,000",,1989-1990,
Miami Heat,"11,000,000",,,,"21,700,000","6,300,000","14,200,000","20,500,000","7,500,000","58,600,000",,1989-1990,
Milwaukee Bucks,"9,100,000",,,,"19,100,000","8,700,000","14,800,000","23,500,000","4,300,000","53,500,000",,1989-1990,
Minnesota Timberwolves,"9,900,000",,,,"19,000,000","5,700,000","14,300,000","20,000,000","4,700,000","51,200,000",,1989-1990,
New Jersey Nets,"4,900,000",,,,"16,400,000","8,400,000","14,600,000","23,000,000","1,800,000","42,600,000",,1989-1990,
New York Knicks,"13,300,000",,,,"25,600,000","13,300,000","22,200,000","35,500,000","3,400,000","100,000,000",,1989-1990,
Orlando Magic,"12,400,000",,,,"22,500,000","6,200,000","13,300,000","19,500,000","9,200,000","60,800,000",,1989-1990,
Philadelphia 76ers,"8,900,000",,,,"20,400,000","9,800,000","16,300,000","26,100,000","4,100,000","75,000,000",,1989-1990,
Phoenix Suns,"9,300,000",,,,"20,700,000","8,800,000","16,800,000","25,600,000","3,900,000","99,000,000",,1989-1990,
Portland Trail Blazers,"11,300,000",,,,"21,400,000","11,200,000","20,000,000","31,200,000","1,400,000","59,900,000",,1989-1990,
Sacramento Kings,"11,100,000",,,,"18,900,000","8,700,000","13,700,000","22,400,000","5,200,000","49,100,000",,1989-1990,
San Antonio Spurs,"9,500,000",,,,"17,200,000","9,700,000","16,900,000","26,600,000","300,000","46,500,000",,1989-1990,
Seattle Supersonics,"8,800,000",,,,"13,800,000","8,400,000","15,600,000","24,000,000","-1,800,000","37,300,000",,1989-1990,
Utah Jazz,"9,400,000",,,,"16,000,000","8,800,000","15,100,000","23,900,000","900,000","44,900,000",,1989-1990,
Washington Wizards,"5,900,000",,,,"13,900,000","7,900,000","16,300,000","24,200,000","-2,400,000","37,500,000",,1989-1990,
Atlanta Hawks,"11,000,000","6,700,000","1,000,000",0,"19,100,000","10,000,000","7,900,000","17,900,000","1,200,000","53,500,000",,1989-1990,
Boston Celtics,"15,000,000","11,400,000","4,000,000",0,"30,700,000","10,500,000","11,400,000","21,900,000","8,800,000","180,000,000",,1989-1990,
Charlotte Hornets,"16,200,000","4,700,000","900,000",0,"22,800,000","7,200,000","9,100,000","16,300,000","6,400,000","59,600,000",,1989-1990,
Chicago Bulls,"17,200,000","5,600,000","700,000",0,"27,400,000","9,300,000","10,800,000","20,100,000","7,300,000","100,000,000",,1989-1990,
Cleveland Cavaliers,"12,500,000","6,500,000","3,100,000",0,"22,600,000","9,000,000","7,500,000","16,500,000","6,100,000","61,100,000",,1989-1990,
Dallas Mavericks,"11,100,000","7,700,000","600,000",0,"20,900,000","8,900,000","9,300,000","18,200,000","2,700,000","54,400,000",,1989-1990,
Denver Nuggets,"8,100,000","5,200,000","1,800,000",0,"15,600,000","8,900,000","8,500,000","17,400,000","-1,800,000","40,600,000",,1989-1990,
Detroit Pistons,"21,900,000","11,900,000","13,000,000",0,"47,300,000","10,900,000","13,100,000","24,000,000","23,300,000","150,000,000",,1989-1990,
Golden State Warriors,"9,800,000","6,500,000","1,500,000",0,"19,500,000","9,900,000","8,500,000","18,400,000","1,100,000","50,700,000",,1989-1990,
Houston Rockets,"11,000,000","8,300,000","2,500,000",0,"22,300,000","9,800,000","9,200,000","19,000,000","3,300,000","58,000,000",,1989-1990,
Indiana Pacers,"6,800,000","4,900,000","400,000",0,"12,800,000","8,600,000","7,700,000","16,300,000","-3,500,000","33,300,000",,1989-1990,
Los Angeles Clippers,"8,400,000","5,200,000","700,000",0,"16,500,000","8,900,000","6,400,000","15,300,000","1,100,000","42,900,000",,1989-1990,
Los Angeles Lakers,"20,000,000","19,300,000","22,400,000",0,"62,200,000","12,600,000","19,400,000","32,000,000","30,200,000","200,000,000",,1989-1990,
Miami Heat,"11,000,000","5,000,000","3,700,000",0,"21,700,000","6,300,000","7,900,000","14,200,000","7,500,000","58,600,000",,1989-1990,
Milwaukee Bucks,"9,100,000","5,000,000","4,500,000",0,"19,100,000","8,700,000","6,100,000","14,800,000","4,300,000","53,500,000",,1989-1990,
Minnesota Timberwolves,"9,900,000","5,200,000","2,000,000",0,"19,000,000","5,700,000","8,600,000","14,300,000","4,700,000","51,200,000",,1989-1990,
New Jersey Nets,"4,900,000","7,000,000","4,000,000",0,"16,400,000","8,400,000","6,200,000","14,600,000","1,800,000","42,600,000",,1989-1990,
New York Knicks,"13,300,000","6,800,000","5,000,000",0,"25,600,000","13,300,000","8,900,000","22,200,000","3,400,000","100,000,000",,1989-1990,
Orlando Magic,"12,400,000","6,000,000","3,600,000",0,"22,500,000","6,200,000","7,100,000","13,300,000","9,200,000","60,800,000",,1989-1990,
Philadelphia 76ers,"8,900,000","9,000,000","2,000,000",0,"20,400,000","9,800,000","6,500,000","16,300,000","4,100,000","75,000,000",,1989-1990,
Phoenix Suns,"9,300,000","10,100,000",0,0,"20,700,000","8,800,000","8,000,000","16,800,000","3,900,000","99,000,000",,1989-1990,
Portland Trail Blazers,"11,300,000","7,400,000","1,600,000",0,"21,400,000","11,200,000","8,800,000","20,000,000","1,400,000","59,900,000",,1989-1990,
Sacramento Kings,"11,100,000","4,700,000","2,700,000",0,"18,900,000","8,700,000","5,000,000","13,700,000","5,200,000","49,100,000",,1989-1990,
San Antonio Spurs,"9,500,000","6,200,000","500,000",0,"17,200,000","9,700,000","7,200,000","16,900,000","300,000","46,500,000",,1989-1990,
Seattle Supersonics,"8,800,000","4,100,000","200,000",0,"13,800,000","8,400,000","7,200,000","15,600,000","-1,800,000","37,300,000",,1989-1990,
Utah Jazz,"9,400,000","4,600,000","400,000",0,"16,000,000","8,800,000","6,300,000","15,100,000","900,000","44,900,000",,1989-1990,
Washington Wizards,"5,900,000","4,500,000","3,000,000",0,"13,900,000","7,900,000","8,400,000","16,300,000","-2,400,000","37,500,000",,1989-1990,
Atlanta Hawks,"9,500,000","12,500,000","1,500,000",0,"24,700,000","12,900,000","12,900,000","25,800,000","-1,100,000","57,000,000",,1990-1991,
Boston Celtics,"16,400,000","18,000,000","2,000,000",0,"41,800,000","14,500,000","13,100,000","27,600,000","14,200,000","110,000,000",,1990-1991,
Charlotte Hornets,"21,700,000","9,600,000","1,900,000",0,"34,400,000","11,400,000","13,700,000","25,100,000","9,300,000","74,000,000",,1990-1991,
Chicago Bulls,"19,900,000","14,600,000","4,000,000",0,"41,200,000","10,800,000","13,500,000","24,300,000","16,900,000","100,000,000",,1990-1991,
Cleveland Cavaliers,"12,200,000","13,900,000","8,000,000",0,"35,300,000","15,600,000","14,000,000","29,600,000","5,700,000","81,000,000",,1990-1991,
Dallas Mavericks,"13,100,000","14,000,000","1,000,000",0,"29,300,000","12,700,000","12,700,000","25,400,000","3,900,000","60,000,000",,1990-1991,
Denver Nuggets,"7,600,000","11,500,000","1,200,000",0,"21,500,000","12,400,000","12,400,000","24,800,000","-3,300,000","46,000,000",,1990-1991,
Detroit Pistons,"23,200,000","15,500,000","5,000,000",0,"45,000,000","14,100,000","15,500,000","29,600,000","15,400,000","120,000,000",,1990-1991,
Golden State Warriors,"12,800,000","14,100,000","2,200,000",0,"30,800,000","12,700,000","12,700,000","25,400,000","5,400,000","63,000,000",,1990-1991,
Houston Rockets,"11,500,000","13,800,000","1,600,000",0,"28,400,000","12,900,000","12,900,000","25,800,000","2,600,000","61,000,000",,1990-1991,
Indiana Pacers,"8,000,000","11,000,000","1,000,000",0,"21,700,000","12,200,000","12,200,000","24,400,000","-2,700,000","43,000,000",,1990-1991,
Los Angeles Clippers,"10,500,000","15,600,000","1,000,000",0,"28,300,000","11,500,000","13,800,000","25,300,000","3,000,000","54,000,000",,1990-1991,
Los Angeles Lakers,"28,400,000","25,100,000","5,000,000",0,"62,600,000","13,000,000","19,500,000","32,500,000","30,100,000","150,000,000",,1990-1991,
Miami Heat,"10,000,000","12,200,000","2,900,000",0,"26,300,000","9,600,000","11,500,000","21,100,000","5,200,000","60,000,000",,1990-1991,
Milwaukee Bucks,"11,600,000","9,700,000","1,500,000",0,"24,200,000","12,700,000","12,700,000","25,400,000","-1,200,000","56,000,000",,1990-1991,
Minnesota Timberwolves,"12,500,000","18,500,000","500,000",0,"32,700,000","8,700,000","11,300,000","20,000,000","12,700,000","62,000,000",,1990-1991,
New Jersey Nets,"9,900,000","13,700,000","2,000,000",0,"26,800,000","12,800,000","12,800,000","25,600,000","1,200,000","54,000,000",,1990-1991,
New York Knicks,"13,300,000","13,100,000","6,000,000",0,"33,800,000","14,800,000","13,300,000","28,100,000","5,700,000","83,000,000",,1990-1991,
Orlando Magic,"10,700,000","12,900,000","2,500,000",0,"27,300,000","8,500,000","10,200,000","18,700,000","8,600,000","62,000,000",,1990-1991,
Philadelphia 76ers,"11,900,000","14,300,000","2,200,000",0,"30,100,000","13,400,000","13,400,000","26,800,000","3,300,000","63,000,000",,1990-1991,
Phoenix Suns,"12,100,000","16,200,000","500,000",0,"29,900,000","12,400,000","12,400,000","24,800,000","5,100,000","80,000,000",,1990-1991,
Portland Trail Blazers,"12,400,000","18,400,000","4,000,000",0,"36,200,000","12,400,000","13,400,000","25,800,000","10,400,000","78,000,000",,1990-1991,
Sacramento Kings,"13,700,000","9,400,000","2,000,000",0,"26,300,000","11,900,000","14,300,000","26,200,000","100,000","63,000,000",,1990-1991,
San Antonio Spurs,"15,400,000","12,800,000","3,300,000",0,"33,000,000","12,700,000","12,700,000","25,400,000","7,600,000","63,000,000",,1990-1991,
Seattle Supersonics,"9,500,000","9,700,000","1,800,000",0,"22,400,000","11,800,000","14,200,000","26,000,000","-3,600,000","45,000,000",,1990-1991,
Utah Jazz,"11,700,000","11,900,000","2,000,000",0,"27,500,000","12,100,000","12,100,000","24,200,000","3,300,000","52,000,000",,1990-1991,
Washington Wizards,"8,300,000","10,600,000","1,500,000",0,"21,600,000","10,400,000","12,500,000","22,900,000","-1,300,000","46,000,000",,1990-1991,
Atlanta Hawks,"10,200,000","13,100,000","1,500,000",0,"27,000,000","15,400,000","13,800,000","29,200,000","-2,200,000","54,000,000",,1991-1992,
Boston Celtics,"17,000,000","19,600,000",0,0,"41,800,000","30,200,000","14,000,000","44,200,000","-2,400,000","91,000,000",,1991-1992,
Charlotte Hornets,"21,800,000","12,200,000","2,100,000",0,"39,300,000","15,200,000","13,200,000","28,400,000","10,900,000","77,000,000",,1991-1992,
Chicago Bulls,"26,700,000","17,500,000","2,300,000",0,"52,700,000","19,800,000","15,800,000","35,600,000","17,100,000","102,000,000",,1991-1992,
Cleveland Cavaliers,"16,900,000","13,500,000","6,000,000",0,"38,600,000","20,100,000","15,100,000","35,200,000","3,400,000","81,000,000",,1991-1992,
Dallas Mavericks,"12,600,000","13,600,000","800,000",0,"29,000,000","15,700,000","14,200,000","29,900,000","-900,000","56,000,000",,1991-1992,
Denver Nuggets,"9,300,000","11,400,000","4,000,000",0,"26,600,000","14,200,000","12,700,000","26,900,000","-300,000","50,000,000",,1991-1992,
Detroit Pistons,"24,400,000","18,900,000","20,000,000",0,"67,400,000","18,600,000","14,800,000","33,400,000","34,000,000","132,000,000",,1991-1992,
Golden State Warriors,"14,100,000","13,700,000","2,000,000",0,"32,000,000","14,900,000","13,400,000","28,300,000","3,700,000","62,000,000",,1991-1992,
Houston Rockets,"13,500,000","14,900,000","1,600,000",0,"32,200,000","15,800,000","14,200,000","30,000,000","2,200,000","58,000,000",,1991-1992,
Indiana Pacers,"9,600,000","11,600,000","3,000,000",0,"26,400,000","17,500,000","14,000,000","31,500,000","-5,100,000","45,000,000",,1991-1992,
Los Angeles Clippers,"10,600,000","18,200,000","1,100,000",0,"32,600,000","15,500,000","13,900,000","29,400,000","3,200,000","54,000,000",,1991-1992,
Los Angeles Lakers,"27,400,000","25,400,000","21,200,000",0,"76,200,000","19,000,000","25,000,000","44,000,000","32,200,000","155,000,000",,1991-1992,
Miami Heat,"11,400,000","12,200,000","2,900,000",0,"28,700,000","12,700,000","13,100,000","25,800,000","2,900,000","58,000,000",,1991-1992,
Milwaukee Bucks,"11,500,000","9,500,000","5,200,000",0,"28,200,000","15,600,000","14,000,000","29,600,000","-1,400,000","54,000,000",,1991-1992,
Minnesota Timberwolves,"14,000,000","20,000,000","1,000,000",0,"36,200,000","11,000,000","12,000,000","23,000,000","13,200,000","65,000,000",,1991-1992,
New Jersey Nets,"11,400,000","14,100,000","2,600,000",0,"30,300,000","14,900,000","13,400,000","28,300,000","2,000,000","54,000,000",,1991-1992,
New York Knicks,"24,500,000","12,700,000","3,300,000",0,"45,700,000","14,600,000","13,200,000","27,800,000","17,900,000","87,000,000",,1991-1992,
Orlando Magic,"10,900,000","13,200,000","3,300,000",0,"30,600,000","13,900,000","14,800,000","28,700,000","1,900,000","60,000,000",,1991-1992,
Philadelphia 76ers,"11,300,000","14,500,000","1,600,000",0,"30,600,000","16,700,000","13,300,000","30,000,000","600,000","59,000,000",,1991-1992,
Phoenix Suns,"14,900,000","16,500,000","800,000",0,"34,400,000","14,300,000","12,800,000","27,100,000","7,300,000","71,000,000",,1991-1992,
Portland Trail Blazers,"15,100,000","21,600,000","3,000,000",0,"42,900,000","15,100,000","13,600,000","28,700,000","14,200,000","84,000,000",,1991-1992,
Sacramento Kings,"13,700,000","9,100,000","9,100,000",0,"34,100,000","14,900,000","12,000,000","26,900,000","7,200,000","66,000,000",,1991-1992,
San Antonio Spurs,"17,300,000","9,400,000","2,900,000",0,"30,800,000","14,500,000","13,100,000","27,600,000","3,200,000","65,000,000",,1991-1992,
Seattle Supersonics,"12,200,000","16,500,000","1,800,000",0,"32,700,000","15,800,000","14,200,000","30,000,000","2,700,000","51,000,000",,1991-1992,
Utah Jazz,"20,500,000","12,000,000","7,400,000",0,"42,100,000","15,200,000","13,700,000","28,900,000","13,200,000","72,000,000",,1991-1992,
Washington Wizards,"10,100,000","10,200,000","8,300,000",0,"30,800,000","15,200,000","13,000,000","28,200,000","2,600,000","53,000,000",,1991-1992,
Atlanta Hawks,"11,500,000","13,400,000","2,500,000",0,"28,800,000","21,400,000","12,800,000","34,200,000","-5,400,000","72,000,000",,1992-1993,
Boston Celtics,"18,600,000","21,400,000","500,000",0,"41,900,000","29,500,000","14,800,000","44,300,000","-2,400,000","117,000,000",,1992-1993,
Charlotte Hornets,"19,800,000","15,800,000","1,300,000",0,"38,300,000","16,800,000","11,800,000","28,600,000","9,700,000","104,000,000",,1992-1993,
Chicago Bulls,"28,100,000","18,300,000","2,500,000",0,"50,300,000","21,500,000","14,000,000","35,500,000","14,800,000","149,000,000",,1992-1993,
Cleveland Cavaliers,"19,400,000","13,900,000","5,900,000",0,"40,600,000","22,700,000","15,900,000","38,600,000","2,000,000","118,000,000",,1992-1993,
Dallas Mavericks,"11,600,000","13,900,000","1,900,000",0,"29,000,000","15,700,000","11,000,000","26,700,000","2,300,000","79,000,000",,1992-1993,
Denver Nuggets,"10,000,000","12,200,000","5,100,000",0,"28,600,000","16,300,000","12,200,000","28,500,000","100,000","69,000,000",,1992-1993,
Detroit Pistons,"24,300,000","19,900,000","14,700,000",0,"60,600,000","17,000,000","15,000,000","32,000,000","28,600,000","154,000,000",,1992-1993,
Golden State Warriors,"14,300,000","14,000,000","2,100,000",0,"31,800,000","18,500,000","12,000,000","30,500,000","1,300,000","85,000,000",,1992-1993,
Houston Rockets,"14,700,000","14,400,000","1,900,000",0,"32,400,000","18,200,000","11,800,000","30,000,000","2,400,000","84,000,000",,1992-1993,
Indiana Pacers,"10,100,000","10,600,000","3,200,000",0,"25,800,000","19,200,000","12,500,000","31,700,000","-5,900,000","67,000,000",,1992-1993,
Los Angeles Clippers,"11,900,000","16,500,000","1,900,000",0,"31,800,000","17,000,000","11,900,000","28,900,000","2,900,000","83,000,000",,1992-1993,
Los Angeles Lakers,"15,600,000","27,700,000","24,000,000",0,"68,700,000","22,300,000","19,000,000","41,300,000","27,400,000","168,000,000",,1992-1993,
Miami Heat,"12,200,000","12,600,000","3,800,000",0,"30,000,000","17,800,000","12,500,000","30,300,000","-300,000","76,000,000",,1992-1993,
Milwaukee Bucks,"12,300,000","10,100,000","8,000,000",0,"31,800,000","16,400,000","11,500,000","27,900,000","3,900,000","77,000,000",,1992-1993,
Minnesota Timberwolves,"14,700,000","14,000,000","8,400,000",0,"38,500,000","16,200,000","13,800,000","30,000,000","8,500,000","92,000,000",,1992-1993,
New Jersey Nets,"15,000,000","13,700,000","500,000",0,"30,600,000","19,600,000","12,700,000","32,300,000","-1,700,000","79,000,000",,1992-1993,
New York Knicks,"31,200,000","16,300,000","12,700,000",0,"61,600,000","16,500,000","16,000,000","32,500,000","29,100,000","136,000,000",,1992-1993,
Orlando Magic,"15,800,000","14,500,000","3,300,000",0,"35,200,000","17,800,000","12,500,000","30,300,000","4,900,000","84,000,000",,1992-1993,
Philadelphia 76ers,"11,200,000","12,300,000","500,000",0,"25,400,000","20,200,000","13,100,000","33,300,000","-7,900,000","83,000,000",,1992-1993,
Phoenix Suns,"28,500,000","16,800,000","8,500,000",0,"55,600,000","16,800,000","15,000,000","31,800,000","23,800,000","108,000,000",,1992-1993,
Portland Trail Blazers,"13,400,000","20,600,000","3,600,000",0,"39,200,000","19,600,000","13,700,000","33,300,000","5,900,000","122,000,000",,1992-1993,
Sacramento Kings,"12,700,000","9,400,000","9,300,000",0,"52,900,000","16,800,000","33,400,000","50,200,000","2,700,000","84,000,000",,1992-1993,
San Antonio Spurs,"17,300,000","10,800,000","3,000,000",0,"33,100,000","21,500,000","3,100,000","24,600,000","8,500,000","100,000,000",,1992-1993,
Seattle Supersonics,"18,600,000","15,800,000","2,100,000",0,"37,900,000","16,400,000","11,500,000","27,900,000","10,000,000","96,000,000",,1992-1993,
Utah Jazz,"21,500,000","12,300,000","3,800,000",0,"39,700,000","17,000,000","14,000,000","31,000,000","8,700,000","98,000,000",,1992-1993,
Washington Wizards,"12,300,000","10,400,000","6,000,000",0,"30,100,000","20,400,000","14,300,000","34,700,000","-4,600,000","78,000,000",,1992-1993,
Atlanta Hawks,"13,800,000","17,400,000","3,000,000",0,"37,300,000","21,900,000","13,300,000","35,200,000","2,100,000","84,000,000",,1993-1994,
Boston Celtics,"17,900,000","26,000,000","600,000",0,"47,500,000","19,900,000","16,800,000","36,700,000","10,800,000","127,000,000",,1993-1994,
Charlotte Hornets,"20,500,000","19,500,000","2,000,000",0,"45,200,000","18,200,000","15,600,000","33,800,000","11,400,000","110,000,000",,1993-1994,
Chicago Bulls,"28,700,000","23,300,000","2,500,000",0,"57,500,000","18,600,000","16,100,000","34,700,000","22,800,000","166,000,000",,1993-1994,
Cleveland Cavaliers,"19,600,000","18,300,000","8,900,000",0,"49,900,000","23,500,000","16,500,000","40,000,000","9,900,000","133,000,000",,1993-1994,
Dallas Mavericks,"11,000,000","17,900,000","2,900,000",0,"35,000,000","14,600,000","14,200,000","28,800,000","6,200,000","81,000,000",,1993-1994,
Denver Nuggets,"15,300,000","15,200,000","5,600,000",0,"39,400,000","14,400,000","16,300,000","30,700,000","8,700,000","88,000,000",,1993-1994,
Detroit Pistons,"22,300,000","21,700,000","19,800,000",0,"66,900,000","16,000,000","19,100,000","35,100,000","31,800,000","180,000,000",,1993-1994,
Golden State Warriors,"16,000,000","18,600,000","2,200,000",0,"39,800,000","21,100,000","14,800,000","35,900,000","3,900,000","83,000,000",,1993-1994,
Houston Rockets,"20,600,000","18,600,000","1,500,000",0,"44,700,000","17,400,000","18,100,000","35,500,000","9,200,000","95,000,000",,1993-1994,
Indiana Pacers,"13,100,000","13,200,000","3,800,000",0,"33,200,000","17,800,000","14,600,000","32,400,000","800,000","77,000,000",,1993-1994,
Los Angeles Clippers,"9,900,000","20,500,000","1,800,000",0,"35,500,000","18,500,000","14,200,000","32,700,000","2,800,000","87,000,000",,1993-1994,
Los Angeles Lakers,"40,500,000","22,000,000","5,900,000",0,"72,400,000","34,800,000","21,800,000","56,600,000","15,800,000","169,000,000",,1993-1994,
Miami Heat,"14,900,000","16,600,000","4,100,000",0,"38,700,000","17,700,000","16,300,000","34,000,000","4,700,000","88,000,000",,1993-1994,
Milwaukee Bucks,"12,900,000","14,100,000","8,100,000",0,"38,100,000","15,600,000","14,800,000","30,400,000","7,700,000","92,000,000",,1993-1994,
Minnesota Timberwolves,"14,300,000","17,000,000","6,500,000",0,"40,900,000","15,600,000","20,800,000","36,400,000","4,500,000","99,000,000",,1993-1994,
New Jersey Nets,"19,000,000","19,200,000","500,000",0,"41,800,000","20,200,000","14,900,000","35,100,000","6,700,000","92,000,000",,1993-1994,
New York Knicks,"38,200,000","20,500,000","15,800,000",0,"77,700,000","22,000,000","22,800,000","44,800,000","32,900,000","173,000,000",,1993-1994,
Orlando Magic,"19,000,000","19,500,000","4,500,000",0,"46,300,000","24,200,000","13,800,000","38,000,000","8,300,000","101,000,000",,1993-1994,
Philadelphia 76ers,"10,900,000","16,300,000","500,000",0,"30,700,000","15,700,000","13,400,000","29,100,000","1,600,000","81,000,000",,1993-1994,
Phoenix Suns,"28,900,000","25,900,000","7,000,000",0,"66,400,000","21,700,000","22,100,000","43,800,000","22,600,000","156,000,000",,1993-1994,
