Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
23,Eric Agbaroji,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205088158&Q_SEASON=2012,DB,6/1/13,203,RFr.,"Midlothian, Texas ",Midlothian,TEXAS,Midlothian High School,,,,,Boise State University,2012-2013
27,Jay Ajayi,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205088161&Q_SEASON=2012,RB,6/1/00,222,RFr.,"Plano, Texas ",Plano,TEXAS,Frisco Liberty High School,,,,,Boise State University,2012-2013
54,Michael Ames,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=1592369&Q_SEASON=2012,OL,6/4/13,293,RSr.,"Boise, Idaho ",Boise,IDAHO,Centennial High School,,,,,Boise State University,2012-2013
15,Chaz Anderson,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205377104&Q_SEASON=2012,CB,5/10/13,175,Fr.,"Los Angeles, CA",Los Angeles ,CA,Loyola High School,,,,,Boise State University,2012-2013
58,Robert Ash,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205088042&Q_SEASON=2012,DL,6/3/13,283,RFr.,"Elk Grove, Calif. ",Elk Grove,CALIF,Cosumnes Oaks High School,,,,,Boise State University,2012-2013
99,Michael Atkinson,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=1592381&Q_SEASON=2012,DT,6/1/00,306,RSr.,"Windsor, Ontario, Canada ",Windsor,ON,Catholic Central High School,,,,,Boise State University,2012-2013
73,Travis Averill,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205377107&Q_SEASON=2012,OL,6/3/13,278,Fr.,"Anaheim, Calif. ",Anaheim,CALIF,Servite High School,,,,,Boise State University,2012-2013
70,Steven Baggett,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205377110&Q_SEASON=2012,OL,6/3/13,248,Fr.,"Arlington, Texas ",Arlington,TEXAS,Martin High School,,,,,Boise State University,2012-2013
49,Darien Barrett,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205377111&Q_SEASON=2012,DE,6/2/13,222,Fr.,"Inglewood, Calif. ",Inglewood,CALIF,Inglewood High School,,,,,Boise State University,2012-2013
38,Corey Bell,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205088164&Q_SEASON=2012,N,5/11/13,206,So.,"Boise, Idaho ",Boise,IDAHO,Capital High School,,,,,Boise State University,2012-2013
35,Charles Bertoli,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205619012&Q_SEASON=2012,RB,5/11/13,191,Fr.,"St. Helena, Calif. ",St. Helena,CALIF,St. Helena High School,,,,,Boise State University,2012-2013
17,Geraldo Boldewijn,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=3660363&Q_SEASON=2012,WR,6/4/13,214,RJr.,"Amsterdam, Netherlands ",Amsterdam,NETHERLANDS,Capital High School,,,,,Boise State University,2012-2013
19,Josh Borgman,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=3717424&Q_SEASON=2012,CB,5/7/13,174,RSr.,"Boise, Idaho ",Boise,IDAHO,Centennial High School,,,,,Boise State University,2012-2013
32,Jonathan Brown,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=3660194&Q_SEASON=2012,N,5/10/13,211,RJr.,"Alameda, Calif. ",Alameda,CALIF,Encinal High School,,,,,Boise State University,2012-2013
76,Jake Broyles,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=3660155&Q_SEASON=2012,OL,6/5/13,290,RJr.,"Henderson, Nev. ",Henderson,NEV,Foothill High School,,,,,Boise State University,2012-2013
60,Kellen Buhr,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205617839&Q_SEASON=2012,OL,6/1/00,264,Fr.,"Boise, Idaho ",Boise,IDAHO,Capital High School,,,,,Boise State University,2012-2013
18,Aaron Burks,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=3660359&Q_SEASON=2012,WR,6/3/13,200,RJr.,"Grand Prairie, Texas ",Grand Prairie,TEXAS,Mansfield Timberview High School,,,,,Boise State University,2012-2013
81,Dallas Burroughs,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205088166&Q_SEASON=2012,WR,5/8/13,173,So.,"Meridian, Idaho ",Meridian,IDAHO,Rocky Mountain High School,,,,,Boise State University,2012-2013
20,Mitch Burroughs,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=787611&Q_SEASON=2012,WR,5/9/13,193,RSr.,"Meridian, Idaho ",Meridian,IDAHO,Meridian High School,,,,,Boise State University,2012-2013
30,Donte Deayon,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205377119&Q_SEASON=2012,CB,5/9/13,143,Fr.,"Rialto, Calif. ",Rialto,CALIF,Summit High School,,,,,Boise State University,2012-2013
26,Devan Demas,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205377332&Q_SEASON=2012,RB,5/8/13,170,Fr.,"Houston, Texas ",Houston,TEXAS,Cypress Creek High School,,,,,Boise State University,2012-2013
71,Greg Dohmen,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=204978128&Q_SEASON=2012,OL,6/3/13,291,RSo.,"Red Bluff, Calif. ",Red Bluff,CALIF,Red Bluff High School,,,,,Boise State University,2012-2013
1,Bryan Douglas,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=204879772&Q_SEASON=2012,CB,5/9/13,166,RSo.,"Los Angeles, CA",Los Angeles ,CA,Narbonne High School,,,,,Boise State University,2012-2013
21,Jack Fields,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205377284&Q_SEASON=2012,RB,5/9/13,194,Fr.,"El Paso, Texas ",El Paso,TEXAS,Americas High School,,,,,Boise State University,2012-2013
16,Deon'tae Florence,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205617840&Q_SEASON=2012,CB,5/9/13,168,RSo.,"Largo, Fla. ",Largo,FLA,Armwood High School,College of the Desert ,,,,Boise State University,2012-2013
84,Michael Frisina,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=205161067&Q_SEASON=2012,PK,5/5/13,162,Sr.,"Brea, Calif. ",Brea,CALIF,Brea Olinda High School,Saddleback Junior College ,,,,Boise State University,2012-2013
4,Jerrell Gavins,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=204772608&Q_SEASON=2012,CB,5/9/13,169,RSr.,"Miami, Fla. ",Miami,FLA,South Miami High School,El Camino Junior College ,,,,Boise State University,2012-2013
77,Spencer Gerke,http://www.broncosports.com/ViewArticle.dbml?SPSID=48552&SPID=4061&DB_LANG=C&DB_OEM_ID=9900&ATCLID=3717334&Q_SEASON=2012,OL,6/3/13,296,RJr.,"Boise, Idaho ",Boise,IDAHO,Bishop Kelly High School,,,,,Boise State University,2012-2013
