Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
7,Joseph Carter,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205097786&Q_SEASON=2012,DE,6/5/13,265,SR,"Jackson, S.C. ",Jackson,SC,Silver Bluff High School,Chaffey College ,,,,University of Nebraska at Lincoln,2012-2013
51,Brandon Chapek,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3662236&Q_SEASON=2012,OL,6/5/13,310,JR,"Wahoo, Neb. ",Wahoo,NEB,Bishop Neumann High School,,,,,University of Nebraska at Lincoln,2012-2013
77,Seung Hoon Choi,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1579088&Q_SEASON=2012,OL,6/2/13,295,SR,"Lincoln, Neb. ",Lincoln,NEB,Christian High School,,,,,University of Nebraska at Lincoln,2012-2013
43,Cole Chvatal,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371683&Q_SEASON=2012,WR,5/11/13,175,FR,"Wahoo, Neb. ",Wahoo,NEB,Bishop Neumann High School,,,,,University of Nebraska at Lincoln,2012-2013
91,Colin Clare,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205503617&Q_SEASON=2012,PK,5/10/13,170,FR,"Lincoln, Neb. ",Lincoln,NEB,Southeast High School,,,,,University of Nebraska at Lincoln,2012-2013
34,Carson Collins,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371858&Q_SEASON=2012,FB,5/10/13,220,FR,"Omaha, Neb. ",Omaha,NEB,Burke High School,,,,,University of Nebraska at Lincoln,2012-2013
51,Will Compton,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515230&Q_SEASON=2012,LB,6/2/13,230,SR,"Bonne Terre, Mo. ",Bonne Terre,MO,North County High School,,,,,University of Nebraska at Lincoln,2012-2013
6,Corey Cooper,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204880404&Q_SEASON=2012,S,6/1/13,210,SO,"Maywood, Ill. ",Maywood,ILL,Proviso East High School,,,,,University of Nebraska at Lincoln,2012-2013
81,Ben Cotton,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515241&Q_SEASON=2012,TE,6/6/13,255,SR,"Ames, Iowa ",Ames,IOWA,Ames High School,,,,,University of Nebraska at Lincoln,2012-2013
68,Jake Cotton,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204880453&Q_SEASON=2012,OL,6/6/13,295,SO,"Lincoln, Neb. ",Lincoln,NEB,Southeast High School,,,,,University of Nebraska at Lincoln,2012-2013
