Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
23,Floyd Simmons,http://www.mgoblue.com/sports/m-footbl/mtt/floyd_simmons_375001.html,S,6/1/00,200,RS SR,"Detroit, MICH",Detroit,MICH,Crockett Technical,,,,,University of Michigan,2012-2013
24,Delonte Hollowell,http://www.mgoblue.com/sports/m-footbl/mtt/delonte_hollowell_765121.html,DB,5/9/13,176,SO,"Detroit, MICH",Detroit,MICH,Cass Technical,,,,,University of Michigan,2012-2013
25,Kenny Demens,http://www.mgoblue.com/sports/m-footbl/mtt/kenny_demens_381345.html,LB,6/1/13,242,RS SR,"Oak Park, MICH",Oak Park,MICH,Detroit Country Day,,,,,University of Michigan,2012-2013
26,Dennis Norfleet,http://www.mgoblue.com/sports/m-footbl/mtt/dennis_norfleet_810578.html,RB,5/7/13,161,FR,"Detroit, MICH",Detroit,MICH,Martin Luther King High School,,,,,University of Michigan,2012-2013
27,Mike Jones,http://www.mgoblue.com/sports/m-footbl/mtt/mike_jones_471537.html,LB,6/2/13,226,RS JR,"Orlando, FLA",Orlando,FLA,Edgewater,,,,,University of Michigan,2012-2013
27,Jonathan Keizer,http://www.mgoblue.com/sports/m-footbl/mtt/jonathan_keizer_785553.html,WR,6/5/13,211,RS FR,"Portage, MI",Portage,MI,Portage Northern,,,,,University of Michigan,2012-2013
28,Fitzgerald Toussaint,http://www.mgoblue.com/sports/m-footbl/mtt/fitzgerald_toussaint_472498.html,RB,5/10/13,202,RS JR,"Youngstown, OHIO",Youngstown,OHIO,Liberty,,,,,University of Michigan,2012-2013
29,Drake Johnson,http://www.mgoblue.com/sports/m-footbl/mtt/drake_johnson_810574.html,RB,6/1/00,209,FR,"Ann Arbor, MICH",Ann Arbor,MICH,Pioneer High School,,,,,University of Michigan,2012-2013
30,Thomas Gordon,http://www.mgoblue.com/sports/m-footbl/mtt/thomas_gordon_470907.html,S,5/11/13,207,RS JR,"Detroit, MICH",Detroit,MICH,Cass Technical,,,,,University of Michigan,2012-2013
31,Andrew Offerdahl,http://www.mgoblue.com/sports/m-footbl/mtt/andrew_offerdahl_810685.html,S,5/11/13,199,FR,"Fort Lauderdale, FLA",Fort Lauderdale,FLA,Cardinal Gibbons High School,,,,,University of Michigan,2012-2013
31,Paul Gyarmati,http://www.mgoblue.com/sports/m-footbl/mtt/paul_gyarmati_470995.html,FB,6/1/13,234,RS SR,"Bloomfield Hills, MICH",Bloomfield Hills,MICH,Brother Rice,,,,,University of Michigan,2012-2013
34,Jeremy Clark,http://www.mgoblue.com/sports/m-footbl/mtt/jeremy_clark_810568.html,DB,6/4/13,200,FR,"Madisonville, KY",Madisonville,KY,Madisonville North Hopkins High School,,,,,University of Michigan,2012-2013
34,Brendan Gibbons,http://www.mgoblue.com/sports/m-footbl/mtt/brendan_gibbons_470886.html,PK,6/1/13,230,RS JR,"West Palm Beach, FLA",West Palm Beach,FLA,Cardinal Newman,,,,,University of Michigan,2012-2013
35,Joe Bolden,http://www.mgoblue.com/sports/m-footbl/mtt/joe_bolden_797203.html,LB,6/3/13,223,FR,"Cincinnati, OHIO",Cincinnati,OHIO,Colerain,,,,,University of Michigan,2012-2013
36,Joe Kerridge,http://www.mgoblue.com/sports/m-footbl/mtt/joe_kerridge_765126.html,FB,6/1/00,244,RS FR,"Traverse City, MICH",Traverse City,MICH,St. Francis,,,,,University of Michigan,2012-2013
36,AJ Pearson,http://www.mgoblue.com/sports/m-footbl/mtt/aj_pearson_817162.html,DB,6/1/00,195,FR,"Johns Creek, GA",Johns Creek,GA,Northview High School,,,,,University of Michigan,2012-2013
38,Al Backey,http://www.mgoblue.com/sports/m-footbl/mtt/al_backey_468907.html,CB,5/10/13,183,RS JR,"Ypsilanti, MICH",Ypsilanti,MICH,Ypsilanti,,,,,University of Michigan,2012-2013
38,Thomas Rawls,http://www.mgoblue.com/sports/m-footbl/mtt/thomas_rawls_765135.html,RB,5/10/13,218,SO,"Flint, MICH",Flint,MICH,Flint Northern,,,,,University of Michigan,2012-2013
40,Nate Allspach,http://www.mgoblue.com/sports/m-footbl/mtt/nate_allspach_719071.html,TE,6/6/13,244,RS SO,"Grand Rapids, MICH",Grand Rapids,MICH,Grandville,,,,,University of Michigan,2012-2013
40,Antonio Poole,http://www.mgoblue.com/sports/m-footbl/mtt/antonio_poole_765131.html,LB,6/2/13,224,RS FR,"Cincinnati, OHIO",Cincinnati,OHIO,Winton Woods,,,,,University of Michigan,2012-2013
41,Kenny Wilkins,http://www.mgoblue.com/sports/m-footbl/mtt/kenny_wilkins_716257.html,DT,6/3/13,294,RS SO,"Washington, PA",Washington,PA,Trinity,,,,,University of Michigan,2012-2013
42,Dylan Esterline,http://www.mgoblue.com/sports/m-footbl/mtt/dylan_esterline_724062.html,TE,6/5/13,236,RS SO,"Blissfield, MICH",Blissfield,MICH,Blissfield,,,,,University of Michigan,2012-2013
43,Will Hagerup,http://www.mgoblue.com/sports/m-footbl/mtt/will_hagerup_716238.html,P,6/4/13,227,JR,"Milwaukee, WIS",Milwaukee,WIS,Whitefish Bay,,,,,University of Michigan,2012-2013
43,Chris Wormley,http://www.mgoblue.com/sports/m-footbl/mtt/chris_wormley_810587.html,DE,6/4/13,279,FR,"Toledo, OHIO",Toledo,OHIO,Whitmer High School,,,,,University of Michigan,2012-2013
45,Matt Wile,http://www.mgoblue.com/sports/m-footbl/mtt/matt_wile_765138.html,PK,6/2/13,214,SO,"San Diego, CALIF",San Diego,CALIF,Francis Parker,,,,,University of Michigan,2012-2013
