Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
17,Chaz Elder,http://www.gamecocksonline.com/sports/m-footbl/mtt/chaz_elder_793011.html,CB,6/2/13,187,FR,"College Park, Ga.",College Park,GA,Banneker,,,,,University of South Carolina,2012-2013
23,Bruce Ellington,http://www.gamecocksonline.com/sports/m-footbl/mtt/bruce_ellington_763595.html,WR,5/9/13,197,SO,"Moncks Corner, S.C.",Moncks Corner,SC,Berkeley,,,,,University of South Carolina,2012-2013
8,Darius English,http://www.gamecocksonline.com/sports/m-footbl/mtt/darius_english_793012.html,DE,6/6/13,215,FR,"Powder Springs, Ga.",Powder Springs,GA,McEachern,,,,,University of South Carolina,2012-2013
13,Patrick Fish,http://www.gamecocksonline.com/sports/m-footbl/mtt/patrick_fish_710219.html,P,6/1/00,193,RS SO,"Shelby, N.C.",Shelby,NC,Burns,,,,,University of South Carolina,2012-2013
19,Kyle Fleetwood,http://www.gamecocksonline.com/sports/m-footbl/mtt/kyle_fleetwood_793013.html,SAF,5/11/13,199,FR,"Stone Mountain, Ga.",Stone Mountain,GA,Stephenson,,,,,University of South Carolina,2012-2013
61,Travis Ford,http://www.gamecocksonline.com/sports/m-footbl/mtt/travis_ford_721813.html,OC,6/3/13,278,RS JR,"Fork, S.C.",Fork,SC,Lake View,Coastal Carolina,,,,University of South Carolina,2012-2013
57,Aldrick Fordham,http://www.gamecocksonline.com/sports/m-footbl/mtt/aldrick_fordham_438052.html,DE,6/4/13,269,SR,"Jamestown, S.C.",Jamestown,SC,Timberland,,,,,University of South Carolina,2012-2013
12,Jody Fuller,http://www.gamecocksonline.com/sports/m-footbl/mtt/jody_fuller_793015.html,WR,5/11/13,201,FR,"Monroe, N.C.",Monroe,NC,Sun Valley,,,,,University of South Carolina,2012-2013
78,Cody Gibson,http://www.gamecocksonline.com/sports/m-footbl/mtt/cody_gibson_710229.html,OT,6/7/13,278,RS SO,"Tallahassee, Fla.",Tallahassee,FLA,Lincoln,,,,,University of South Carolina,2012-2013
43,Qua Gilchrist,http://www.gamecocksonline.com/sports/m-footbl/mtt/qua_gilchrist_714472.html,FB,6/1/13,245,RS SR,"Abbeville, S.C.",Abbeville,SC,Abbeville,Butler County CC,,,,University of South Carolina,2012-2013
9,Sharrod Golightly,http://www.gamecocksonline.com/sports/m-footbl/mtt/sharrod_golightly_710232.html,SPR,5/10/13,179,RS SO,"Decatur, Ga.",Decatur,GA,Southwest Dekalb,,,,,University of South Carolina,2012-2013
93,Deon Green,http://www.gamecocksonline.com/sports/m-footbl/mtt/deon_green_742585.html,DE,6/4/13,290,RS FR,"Windermere, Fla.",Windermere,FLA,Olympia,,,,,University of South Carolina,2012-2013
29,Chaun Gresham,http://www.gamecocksonline.com/sports/m-footbl/mtt/chaun_gresham_438056.html,LB,6/2/13,266,RS JR,"Auburn, Ga.",Auburn,GA,Apalachee,,,,,University of South Carolina,2012-2013
