Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
48,Gelnn Hall,http://www.seminoles.com/sports/m-footbl/mtt/gelnn_hall_750931.html,LB,Jun-00,196,RS SO,"Miami, FL",Miami,FL,Carol City,,,,Florida State University,2012-2013
33,Kevin Haplea,http://www.seminoles.com/sports/m-footbl/mtt/kevin_haplea_812097.html,TE,4-Jun,252,JR,"Annandale, N.J.",Annandale,NJ,North Hunterdon,,,,Florida State University,2012-2013
46,Joe Harmon,http://www.seminoles.com/sports/m-footbl/mtt/joe_harmon_750932.html,LB,2-Jun,210,SO,"Pensacola, Fla.",Pensacola,FLA,Tate,,,,Florida State University,2012-2013
41,Owen Harris,http://www.seminoles.com/sports/m-footbl/mtt/owen_harris_798605.html,DB,Jun-00,170,JR,"Miramar, Fla.",Miramar,FLA,Miramar,,,,Florida State University,2012-2013
51,Bobby Hart,http://www.seminoles.com/sports/m-footbl/mtt/bobby_hart_763573.html,OL,4-Jun,316,SO,"Lauderhill, Fla.",Lauderhill,FLA,St. Thomas Aquinas,,,,Florida State University,2012-2013
82,Willie Haulstead,http://www.seminoles.com/sports/m-footbl/mtt/willie_haulstead_459403.html,WR,2-Jun,230,RS JR,"Titusville, Fla.",Titusville,FLA,Titusville,,,,Florida State University,2012-2013
39,Jared Hayes,http://www.seminoles.com/sports/m-footbl/mtt/jared_hayes_798606.html,DB,Jun-00,170,FR,St. John's,St. John's,,Creekside,,,,Florida State University,2012-2013
6,Dan Hicks,http://www.seminoles.com/sports/m-footbl/mtt/dan_hicks_459409.html,TE,4-Jun,259,RS JR,"Oxford, Miss.",Oxford,MISS,Oxford,,,,Florida State University,2012-2013
68,Adam Holup,http://www.seminoles.com/sports/m-footbl/mtt/adam_holup_798618.html,DT,11-May,280,SO,"Cape Coral, Fla.",Cape Coral,FLA,Ida S. Baker,,,,Florida State University,2012-2013
18,Dustin Hopkins,http://www.seminoles.com/sports/m-footbl/mtt/dustin_hopkins_459416.html,K,2-Jun,190,SR,"Houston, Texas",Houston,TEXAS,Clear Lake,,,,Florida State University,2012-2013
1,Tyler Hunter,http://www.seminoles.com/sports/m-footbl/mtt/tyler_hunter_763576.html,DB,11-May,190,SO,"Valdosta, Ga.",Valdosta,GA,Lowndes County,,,,Florida State University,2012-2013
54,Tre' Jackson,http://www.seminoles.com/sports/m-footbl/mtt/tre_jackson_763580.html,OL,4-Jun,328,SO,"Jesup, Ga.",Jesup,GA,Wayne County,,,,Florida State University,2012-2013
4,Brandon Jenkins,http://www.seminoles.com/sports/m-footbl/mtt/brandon_jenkins_406129.html,DE,3-Jun,260,SR,"Tallahassee, Fla.",Tallahassee,FLA,Florida High,,,,Florida State University,2012-2013
8,Timmy Jernigan,http://www.seminoles.com/sports/m-footbl/mtt/timmy_jernigan_763590.html,DT,2-Jun,298,SO,"Lake City, Fla.",Lake City,FLA,Columbia,,,,Florida State University,2012-2013
46,Jonathan Johnson,http://www.seminoles.com/sports/m-footbl/mtt/jonathan_johnson_464865.html,TE,7-Jun,268,SR,"Sanford, Fla.",Sanford,FLA,Seminole,,,,Florida State University,2012-2013
7,Christian Jones,http://www.seminoles.com/sports/m-footbl/mtt/christian_jones_707085.html,LB,4-Jun,232,JR,"Winter Park, Fla.",Winter Park,FLA,Lake Howell,,,,Florida State University,2012-2013
20,Lamarcus Joyner,http://www.seminoles.com/sports/m-footbl/mtt/lamarcus_joyner_707087.html,DB,8-May,195,JR,"Ft. Lauderdale, Fla.",Ft. Lauderdale,FLA,St. Thomas Aquinas,,,,Florida State University,2012-2013
29,Dillon Kidd,http://www.seminoles.com/sports/m-footbl/mtt/dillon_kidd_768062.html,P,1-Jun,217,RS FR,"Deerfield Beach, Fla.",Deerfield Beach,FLA,Milford Academy ,,,,Florida State University,2012-2013
83,Christo Kourtzidis,http://www.seminoles.com/sports/m-footbl/mtt/christo_kourtzidis_807018.html,TE,4-Jun,246,FR,"Orange, Calif.",Orange,CALIF,Lutheran,,,,Florida State University,2012-2013
88,Jeren Kowalewski,http://www.seminoles.com/sports/m-footbl/mtt/jeren_kowalewski_816293.html,WR,2-Jun,160,FR,"Bradenton, Fla.",Bradenton,FLA,Lakewood Ranch,,,,Florida State University,2012-2013
99,Nile Lawrence-Stample,http://www.seminoles.com/sports/m-footbl/mtt/nile_lawrence_stample_763624.html,DT,2-Jun,305,RS FR,"Fort Lauderdale, Fla.",Fort Lauderdale,FLA,Nova,,,,Florida State University,2012-2013
77,Larry Levy,http://www.seminoles.com/sports/m-footbl/mtt/larry_levy_820378.html,DL,2-Jun,275,SO,"Boynton Beach, Fla.",Boynton Beach,FLA,Park Vista,,,,Florida State University,2012-2013
77,Lawrence Levy,http://www.seminoles.com/sports/m-footbl/mtt/lawrence_levy_820206.html,DL,2-Jun,275,SO,"Boynton Beach, Fla.",Boynton Beach,FLA,Park Vista,,,,Florida State University,2012-2013
53,Sterling Lovelady,http://www.seminoles.com/sports/m-footbl/mtt/sterling_lovelady_749505.html,OL,3-Jun,291,SO,"Navarre, Fla.",Navarre,FLA,Navarre,,,,Florida State University,2012-2013
11,Sean Maguire,http://www.seminoles.com/sports/m-footbl/mtt/sean_maguire_807021.html,QB,2-Jun,204,FR,"Sparta, N.J.",Sparta,NJ,Seton Hall Prep,,,,Florida State University,2012-2013
3,EJ Manuel,http://www.seminoles.com/sports/m-footbl/mtt/ej_manuel_464878.html,QB,5-Jun,240,RS SR,"Virginia Beach, Va.",Virginia Beach,VA,Bayside,,,,Florida State University,2012-2013
70,Josue Matias,http://www.seminoles.com/sports/m-footbl/mtt/josue_matias_763629.html,OL,6-Jun,326,SO,"Union City, N.J.",Union City,NJ,Union City,,,,Florida State University,2012-2013
97,Demonte McAllister,http://www.seminoles.com/sports/m-footbl/mtt/demonte_mcallister_459257.html,DT,2-Jun,290,RS JR,"Tampa, Fla.",Tampa,FLA,Alonso,,,,Florida State University,2012-2013
92,Anthony McCloud,http://www.seminoles.com/sports/m-footbl/mtt/anthony_mccloud_707107.html,DT,2-Jun,322,RS SR,"Thomasville, Ga.",Thomasville,GA,Thomas County Central,,,,Florida State University,2012-2013
90,Moses McCray,http://www.seminoles.com/sports/m-footbl/mtt/moses_mccray_356441.html,DT,2-Jun,318,RS SR,"Tampa, Fla.",Tampa,FLA,Hillsborough,,,,Florida State University,2012-2013
55,Jacobbi McDaniel,http://www.seminoles.com/sports/m-footbl/mtt/jacobbi_mcdaniel_459254.html,DT,Jun-00,286,SR,"Greenville, Fla.",Greenville,FLA,Madison County,,,,Florida State University,2012-2013
56,Derrick Mitchell,http://www.seminoles.com/sports/m-footbl/mtt/derrick_mitchell_763632.html,DT,4-Jun,317,RS FR,"Jacksonville, Fla.",Jacksonville,FLA,First Coast,,,,Florida State University,2012-2013
10,Nick Moody,http://www.seminoles.com/sports/m-footbl/mtt/nick_moody_356423.html,LB,2-Jun,237,SR,"Wyncote, Pa.",Wyncote,PA,Roman Catholic,,,,Florida State University,2012-2013
16,Dorsey Moore,http://www.seminoles.com/sports/m-footbl/mtt/dorsey_moore_798999.html,QB,4-Jun,205,FR,"Rockledge, Fla.",Rockledge,FLA,Martins Ferry ,,,,Florida State University,2012-2013
51,Giorgio Newberry,http://www.seminoles.com/sports/m-footbl/mtt/giorgio_newberry_763634.html,DE,6-Jun,273,RS FR,"Fort Pierce, Fla.",Fort Pierce,FLA,Fort Pierce Central,,,,Florida State University,2012-2013
43,Frank Nicholas,http://www.seminoles.com/sports/m-footbl/mtt/frank_nicholas_762914.html,DS,10-May,188,JR,"Tampa, Fla.",Tampa,FLA,Plant,,,,Florida State University,2012-2013
29,Reggie Northrup,http://www.seminoles.com/sports/m-footbl/mtt/reggie_northrup_807022.html,LB,1-Jun,221,FR,"Jacksonville, Fla.",Jacksonville,FLA,First Coast,,,,Florida State University,2012-2013
35,Nick O'Leary,http://www.seminoles.com/sports/m-footbl/mtt/nick_oleary_763636.html,TE,3-Jun,238,SO,"Palm Beach Gardens, Fla.",Palm Beach Gardens,FLA,Dwyer,,,,Florida State University,2012-2013
59,Henry Orelus,http://www.seminoles.com/sports/m-footbl/mtt/henry_orelus_459236.html,OL,3-Jun,328,RS JR,"Belle Glade, Fla.",Belle Glade,FLA,Glade Central,,,,Florida State University,2012-2013
7,Mario Pender,http://www.seminoles.com/sports/m-footbl/mtt/mario_pender_797266.html,RB,Jun-00,190,FR,"Cape Coral, Fla.",Cape Coral,FLA,Island Coast,,,,Florida State University,2012-2013
56,Trey Pettis,http://www.seminoles.com/sports/m-footbl/mtt/trey_pettis_749508.html,OL,5-Jun,342,RS FR,"DeLand, Fla.",DeLand,FLA,DeLand,,,,Florida State University,2012-2013
48,Dixon Phillips,http://www.seminoles.com/sports/m-footbl/mtt/dixon_phillips_816295.html,TE,3-Jun,244,FR,"Tampa, Fla.",Tampa,FLA,Hillsborough,,,,Florida State University,2012-2013
43,Anthony Porterfield,http://www.seminoles.com/sports/m-footbl/mtt/anthony_porterfield_464872.html,TE,3-Jun,238,JR,"Pensacola, Fla.",Pensacola,FLA,Escambia,,,,Florida State University,2012-2013
33,Xavier Pryce,http://www.seminoles.com/sports/m-footbl/mtt/xavier_pryce_750938.html,DB,10-May,189,RS JR,"Miami, Fla.",Miami,FLA,Parkway Academy,,,,Florida State University,2012-2013
24,Lonnie Pryor,http://www.seminoles.com/sports/m-footbl/mtt/lonnie_pryor_459156.html,FB,Jun-00,229,SR,"Okeechobee, Fla.",Okeechobee,FLA,Okeechobee,,,,Florida State University,2012-2013
78,Mike Pulawski,http://www.seminoles.com/sports/m-footbl/mtt/mike_pulawski_812098.html,,1-Jun,270,FR,"Bradenton, Fla.",Bradenton,FLA,Bradenton,,,,Florida State University,2012-2013
22,Ridge Read,http://www.seminoles.com/sports/m-footbl/mtt/ridge_read_749530.html,QB,11-May,190,RS JR,"Panama City, FL",Panama City,FL,Liberty County,,,,Florida State University,2012-2013
86,Chris Revell,http://www.seminoles.com/sports/m-footbl/mtt/chris_revell_464873.html,DS,1-Jun,198,JR,"Tallahassee, Fla.",Tallahassee,FLA,Chiles,,,,Florida State University,2012-2013
85,James Rhoden,http://www.seminoles.com/sports/m-footbl/mtt/james_rhoden_812100.html,WR,Jun-00,165,FR,"Katy, Texas",Katy,TEXAS,Cinco Rancho,,,,Florida State University,2012-2013
27,Xavier Rhodes,http://www.seminoles.com/sports/m-footbl/mtt/xavier_rhodes_459154.html,DB,2-Jun,217,RS JR,"Miami, Fla.",Miami,FLA,Norland,,,,Florida State University,2012-2013
73,Jacob Schmidt,http://www.seminoles.com/sports/m-footbl/mtt/jacob_schmidt_820373.html,OL,Jun-00,240,FR,"Jacksonville, Fla.",Jacksonville,FLA,Creekside ,,,,Florida State University,2012-2013
94,Justin Shanks,http://www.seminoles.com/sports/m-footbl/mtt/justin_shanks_807023.html,DT,2-Jun,340,FR,"Prattville, Ala.",Prattville,ALA,Prattville,,,,Florida State University,2012-2013
81,Kenny Shaw,http://www.seminoles.com/sports/m-footbl/mtt/kenny_shaw_707113.html,WR,Jun-00,170,JR,"Orlando, Fla.",Orlando,FLA,Dr. Phillips,,,,Florida State University,2012-2013
45,Nathan Slater,http://www.seminoles.com/sports/m-footbl/mtt/nathan_slater_798611.html,LB,2-Jun,223,FR,"Terry, Miss.",Terry,MISS,Saint Andrew's Episcopal,,,,Florida State University,2012-2013
21,Debrale Smiley,http://www.seminoles.com/sports/m-footbl/mtt/debrale_smiley_707126.html,FB,11-May,228,RS SR,"Thomasville, Ga.",Thomasville,GA,Thomas County,,,,Florida State University,2012-2013
37,Keelin Smith,http://www.seminoles.com/sports/m-footbl/mtt/keelin_smith_763640.html,DB,3-Jun,187,RS FR,"Fort Pierce, Fla.",Fort Pierce,FLA,Treasure Coast,,,,Florida State University,2012-2013
84,Rodney Smith,http://www.seminoles.com/sports/m-footbl/mtt/rodney_smith_459126.html,WR,6-Jun,219,SR,"Miami, Fla.",Miami,FLA,Archbishop Carroll,,,,Florida State University,2012-2013
22,Telvin Smith,http://www.seminoles.com/sports/m-footbl/mtt/telvin_smith_707127.html,LB,3-Jun,215,JR,"Valdosta, Ga.",Valdosta,GA,Lowndes County,,,,Florida State University,2012-2013
24,Terrance Smith,http://www.seminoles.com/sports/m-footbl/mtt/terrance_smith_749511.html,LB,4-Jun,215,RS FR,"Decatur, Ga.",Decatur,GA,Southwest DeKalb,,,,Florida State University,2012-2013
96,Toshmon Stevens,http://www.seminoles.com/sports/m-footbl/mtt/toshmon_stevens_356443.html,DE,5-Jun,245,RS SR,"Pomona Park, Fla.",Pomona Park,FLA,Crescent City,,,,Florida State University,2012-2013
52,Bryan Stork,http://www.seminoles.com/sports/m-footbl/mtt/bryan_stork_459116.html,OL,4-Jun,312,RS JR,"Vero Beach, Fla.",Vero Beach,FLA,Vero Beach,,,,Florida State University,2012-2013
76,Trey Sumner,http://www.seminoles.com/sports/m-footbl/mtt/trey_sumner_750940.html,DE,2-Jun,215,SR,"Jacksonville, Fla.",Jacksonville,FLA,Bartram Trail,,,,Florida State University,2012-2013
28,Nigel Terrell,http://www.seminoles.com/sports/m-footbl/mtt/nigel_terrell_707129.html,LB,1-Jun,223,RS SO,"Helena, Ala.",Helena,ALA,Pelham,,,,Florida State University,2012-2013
4,Chris Thompson,http://www.seminoles.com/sports/m-footbl/mtt/chris_thompson_459110.html,RB,8-May,187,SR,"Greenville, Fla.",Greenville,FLA,Madison County,,,,Florida State University,2012-2013
32,Sean Tidmus,http://www.seminoles.com/sports/m-footbl/mtt/sean_tidmus_749512.html,LB,Jun-00,227,SO,"Winter Garden, Fla.",Winter Garden,FLA,Ocoee,,,,Florida State University,2012-2013
39,Donovan Todd,http://www.seminoles.com/sports/m-footbl/mtt/donovan_todd_798608.html,DB,11-May,195,JR,"Sanford, Fla.",Sanford,FLA,Seminole,,,,Florida State University,2012-2013
9,Clint Trickett,http://www.seminoles.com/sports/m-footbl/mtt/clint_trickett_707130.html,QB,3-Jun,180,RS SO,"Tallahassee, Fla.",Tallahassee,FLA,North Florida Christian,,,,Florida State University,2012-2013
44,Will Tye,http://www.seminoles.com/sports/m-footbl/mtt/will_tye_707131.html,TE,2-Jun,260,RS SO,"Middletown, Conn.",Middletown,CONN,Salisbury,,,,Florida State University,2012-2013
87,David Tyrrell,http://www.seminoles.com/sports/m-footbl/mtt/david_tyrrell_765822.html,WR,3-Jun,194,SO,"Cape Coral, Fla.",Cape Coral,FLA,Mariner,,,,Florida State University,2012-2013
63,Chase Underwood,http://www.seminoles.com/sports/m-footbl/mtt/chase_underwood_778199.html,DS,3-Jun,240,FR,"Gainesville, Fla.",Gainesville,FLA,Gainesville,,,,Florida State University,2012-2013
6,Nick Waisome,http://www.seminoles.com/sports/m-footbl/mtt/nick_waisome_749515.html,DB,10-May,170,SO,"Groveland, Fla.",Groveland,FLA,South Lake,,,,Florida State University,2012-2013
74,Jonathan Wallace,http://www.seminoles.com/sports/m-footbl/mtt/jonathan_wallace_707145.html,OL,7-Jun,290,RS JR,"Jacksonville, Fla.",Jacksonville,FLA,Lee,,,,Florida State University,2012-2013
36,Jermaine Washington,http://www.seminoles.com/sports/m-footbl/mtt/jermaine_washington_768063.html,RB,8-May,192,RS FR,"Jacksonville, Fla.",Jacksonville,FLA,Wolfson,,,,Florida State University,2012-2013
71,Menelik Watson,http://www.seminoles.com/sports/m-footbl/mtt/menelik_watson_808225.html,OL,6-Jun,320,JR,"Manchester, Great Britain",Manchester,GREAT BRITAIN,,,,,Florida State University,2012-2013
66,Keith Weeks,http://www.seminoles.com/sports/m-footbl/mtt/keith_weeks_812101.html,OL,4-Jun,280,FR,"Valrico, Fla.",Valrico,FLA,Lithia,,,,Florida State University,2012-2013
58,Austin Weller,http://www.seminoles.com/sports/m-footbl/mtt/austin_weller_812102.html,OL,2-Jun,240,FR,"Orlando, Fla.",Orlando,FLA,Central Florida,,,,Florida State University,2012-2013
95,Bjoern Werner,http://www.seminoles.com/sports/m-footbl/mtt/bjoern_werner_707165.html,DE,4-Jun,255,JR,"Berlin, Germany",Berlin,GERMANY,Salisbury ,,,,Florida State University,2012-2013
32,"James Wilder, Jr.",http://www.seminoles.com/sports/m-footbl/mtt/james_wilder_jr_763645.html,RB,2-Jun,226,SO,"Tampa, Fla.",Tampa,FLA,Plant,,,,Florida State University,2012-2013
44,Derek Williams,http://www.seminoles.com/sports/m-footbl/mtt/derek_williams_749516.html,P,1-Jun,192,SO,"Peachtree City, Ga.",Peachtree City,GA,Starrs Mill,,,,Florida State University,2012-2013
9,Karlos Williams,http://www.seminoles.com/sports/m-footbl/mtt/karlos_williams_763649.html,DB,1-Jun,230,SO,"Davenport, Fla.",Davenport,FLA,Ridge Community,,,,Florida State University,2012-2013
26,P.J. Williams,http://www.seminoles.com/sports/m-footbl/mtt/pj_williams_807026.html,DB,Jun-00,190,FR,"Ocala, Fla.",Ocala,FLA,Vanguard,,,,Florida State University,2012-2013
11,Vince Williams,http://www.seminoles.com/sports/m-footbl/mtt/vince_williams_356421.html,LB,1-Jun,250,RS SR,"Davenport, Fla.",Davenport,FLA,Ridge Community,,,,Florida State University,2012-2013
5,Jameis Winston,http://www.seminoles.com/sports/m-footbl/mtt/jameis_winston_807027.html,QB,4-Jun,206,FR,"Hueytown, Ala.",Hueytown,ALA,Hueytown,,,,Florida State University,2012-2013
44,Colton Woodall,http://www.seminoles.com/sports/m-footbl/mtt/colton_woodall_820374.html,DB,3-Jun,190,RS JR,"Ft. Lauderdale, Fla.",Ft. Lauderdale,FLA,North Broward Prep,,,,Florida State University,2012-2013
