Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
30,Larry Franklin,http://www.vucommodores.com/sports/m-footbl/mtt/larry_franklin_766151.html,LB,6/1/13,210,RS FR,"Vero Beach, FLA",Vero Beach,FLA,Vero Beach,,,,,Vanderbilt University,2012-2013
29,Will Fritz,http://www.vucommodores.com/sports/m-footbl/mtt/will_fritz_822107.html,RB,5/6/13,170,SO,"Cincinnati, OHIO",Cincinnati,OHIO,Cincinnati Country Day,,,,,Vanderbilt University,2012-2013
66,Blake Fromang,http://www.vucommodores.com/sports/m-footbl/mtt/blake_fromang_807655.html,OL,6/7/13,285,FR,"Orlando, FLA",Orlando,FLA,Lake Highland Prep,,,,,Vanderbilt University,2012-2013
36,Chase Garnham,http://www.vucommodores.com/sports/m-footbl/mtt/chase_garnham_711861.html,LB,6/3/13,234,JR,"Fairhope, ALA",Fairhope,ALA,Fairhope,,,,,Vanderbilt University,2012-2013
56,Barrett Gouger,http://www.vucommodores.com/sports/m-footbl/mtt/barrett_gouger_807654.html,OL,6/4/13,285,FR,"Soddy-Daisy, TENN",Soddy-Daisy,TENN,Baylor School,,,,,Vanderbilt University,2012-2013
47,Blake Gowder,http://www.vucommodores.com/sports/m-footbl/mtt/blake_gowder_711862.html,FB,6/2/13,228,RS SO,"Blairsville, GA",Blairsville,GA,Union County High School,,,,,Vanderbilt University,2012-2013
7,Josh Grady,http://www.vucommodores.com/sports/m-footbl/mtt/josh_grady_766152.html,WR,6/1/00,188,RS FR,"Tampa, FLA",Tampa,FLA,Armwood,,,,,Vanderbilt University,2012-2013
49,Josh Gregory,http://www.vucommodores.com/sports/m-footbl/mtt/josh_gregory_769400.html,DB,5/11/13,170,SO,"Goodlettsville, TENN",Goodlettsville,TENN,Davidson Academy,,,,,Vanderbilt University,2012-2013
84,Daniel Hagaman,http://www.vucommodores.com/sports/m-footbl/mtt/daniel_hagaman_749566.html,WR,6/2/13,190,RS SO,"Brentwood, TENN",Brentwood,TENN,Brentwood,,,,,Vanderbilt University,2012-2013
23,Andre Hal,http://www.vucommodores.com/sports/m-footbl/mtt/andre_hal_711863.html,DB,6/1/00,184,JR,"Port Allen, LA",Port Allen,LA,Port Allen,,,,,Vanderbilt University,2012-2013
11,Harding Harper,http://www.vucommodores.com/sports/m-footbl/mtt/harding_harper_807653.html,LB,6/2/13,230,FR,"Montgomery, ALA",Montgomery,ALA,Carver,,,,,Vanderbilt University,2012-2013
21,Paris Head,http://www.vucommodores.com/sports/m-footbl/mtt/paris_head_807652.html,DB,6/1/00,175,FR,"Lawrenceville, GA",Lawrenceville,GA,Buford,,,,,Vanderbilt University,2012-2013
35,Darreon Herring,http://www.vucommodores.com/sports/m-footbl/mtt/darreon_herring_797775.html,LB,6/2/13,220,FR,"Stone Mountain, GA",Stone Mountain,GA,Stephenson,,,,,Vanderbilt University,2012-2013
93,Joseph Hoffman,http://www.vucommodores.com/sports/m-footbl/mtt/joseph_hoffman_822108.html,FB,5/11/13,195,SO,"Scarsdale, NY",Scarsdale,NY,Edgemont,,,,,Vanderbilt University,2012-2013
74,Will Holden,http://www.vucommodores.com/sports/m-footbl/mtt/will_holden_807650.html,OL,6/6/13,290,FR,"Green Cove Springs, FLA",Green Cove Springs,FLA,Clay,,,,,Vanderbilt University,2012-2013
55,Taylor Hudson,http://www.vucommodores.com/sports/m-footbl/mtt/taylor_hudson_769412.html,P,6/3/13,210,RS FR,"Powell, OHIO",Powell,OHIO,Olentangy Liberty,,,,,Vanderbilt University,2012-2013
37,Casey Hughes,http://www.vucommodores.com/sports/m-footbl/mtt/casey_hughes_816996.html,LB,5/10/13,210,SO,"Redding, PA",Redding,PA,Governor Mifflin,,,,,Vanderbilt University,2012-2013
38,Alex Hysong,http://www.vucommodores.com/sports/m-footbl/mtt/alex_hysong_807667.html,DB,5/10/13,175,SO,"Bethesda, MD",Bethesda,MD,Whitman,,,,,Vanderbilt University,2012-2013
69,Josh Jelesky,http://www.vucommodores.com/sports/m-footbl/mtt/josh_jelesky_360031.html,OG,6/5/13,290,RS SR,"Naperville, ILL",Naperville,ILL,Naperville Central,,,,,Vanderbilt University,2012-2013
50,Andrew Jelks,http://www.vucommodores.com/sports/m-footbl/mtt/andrew_jelks_807649.html,OL,6/6/13,275,FR,"Paris, TENN",Paris,TENN,Henry County,,,,,Vanderbilt University,2012-2013
67,Wesley Johnson,http://www.vucommodores.com/sports/m-footbl/mtt/wesley_johnson_439625.html,OT,6/5/13,285,RS JR,"Nashville, TENN",Nashville,TENN,Montgomery Bell Academy,,,,,Vanderbilt University,2012-2013
94,Richard Kent,http://www.vucommodores.com/sports/m-footbl/mtt/richard_kent_365852.html,P,6/2/13,198,SR,"Marietta, GA",Marietta,GA,Walton,,,,,Vanderbilt University,2012-2013
82,Kris Kentera,http://www.vucommodores.com/sports/m-footbl/mtt/kris_kentera_766155.html,TE,6/4/13,230,RS FR,"Colorado Springs, COLO",Colorado Springs,COLO,Pine Creek,,,,,Vanderbilt University,2012-2013
25,Brian Kimbrow,http://www.vucommodores.com/sports/m-footbl/mtt/brian_kimbrow_807648.html,RB,5/8/13,180,FR,"Memphis, TENN",Memphis,TENN,Memphis East,,,,,Vanderbilt University,2012-2013
33,Derek King,http://www.vucommodores.com/sports/m-footbl/mtt/derek_king_766156.html,DB,5/11/13,196,RS FR,"Nashville, TENN",Nashville,TENN,Brentwood Academy,,,,,Vanderbilt University,2012-2013
19,Jacquese Kirk,http://www.vucommodores.com/sports/m-footbl/mtt/jacquese_kirk_766157.html,WR,6/1/00,175,RS FR,"Jasper, ALA",Jasper,ALA,Walker,,,,,Vanderbilt University,2012-2013
17,Jonathan Krause,http://www.vucommodores.com/sports/m-footbl/mtt/jonathan_krause_711866.html,WR,5/11/13,182,JR,"Snellville, GA",Snellville,GA,South Gwinnett,,,,,Vanderbilt University,2012-2013
1,Kenny Ladler,http://www.vucommodores.com/sports/m-footbl/mtt/kenny_ladler_711872.html,S,6/1/00,205,JR,"Stone Mountain, GA",Stone Mountain,GA,Stephenson,,,,,Vanderbilt University,2012-2013
38,Fitz Lassing,http://www.vucommodores.com/sports/m-footbl/mtt/fitz_lassing_711873.html,FB/TE,6/3/13,240,JR,"Nashville, TENN",Nashville,TENN,Montgomery Bell Academy,,,,,Vanderbilt University,2012-2013
84,Rob Lohr,http://www.vucommodores.com/sports/m-footbl/mtt/rob_lohr_360034.html,DT,6/4/13,290,RS SR,"Phoenixville, PA",Phoenixville,PA,Phoenixville,,,,,Vanderbilt University,2012-2013
31,Javon Marshall,http://www.vucommodores.com/sports/m-footbl/mtt/javon_marshall_439618.html,S,5/10/13,195,RS JR,"Huber Heights, OHIO",Huber Heights,OHIO,Wayne,,,,,Vanderbilt University,2012-2013
41,Chris Martin,http://www.vucommodores.com/sports/m-footbl/mtt/chris_martin_817003.html,RB,5/10/13,185,FR,"Princeton, NJ",Princeton,NJ,Hun School,,,,,Vanderbilt University,2012-2013
87,Jordan Matthews,http://www.vucommodores.com/sports/m-footbl/mtt/jordan_matthews_711876.html,WR,6/3/13,205,JR,"Madison, ALA",Madison,ALA,Madison Academy,,,,,Vanderbilt University,2012-2013
90,Walker May,http://www.vucommodores.com/sports/m-footbl/mtt/walker_may_439631.html,DE,6/5/13,250,RS JR,"Birmingham, ALA",Birmingham,ALA,Briarwood Christian,,,,,Vanderbilt University,2012-2013
78,Kevin McCoy,http://www.vucommodores.com/sports/m-footbl/mtt/kevin_mccoy_807647.html,OL,6/5/13,285,FR,"Tampa, FLA",Tampa,FLA,Armwood,,,,,Vanderbilt University,2012-2013
5,Torren McGaster,http://www.vucommodores.com/sports/m-footbl/mtt/torren_mcgaster_807645.html,DB,6/1/00,185,FR,"Daphne, ALA",Daphne,ALA,Daphne,,,,,Vanderbilt University,2012-2013
