Number,Player,PlayerBio_URL,Height,Weight,Position,Year,Eligibility,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
22,Keegan Andersen,http://www.utahstateaggies.com/sports/m-footbl/mtt/keegan_andersen_710774.html,6/2/13,237,TE,SO,1L,"Logan, Utah",Logan,UTAH,Juan Diego,,,,,Utah State University,2012-2013
23,Michael Okonkwo,http://www.utahstateaggies.com/sports/m-footbl/mtt/michael_okonkwo_828502.html,6/1/13,204,LB,FR,RS,"Chandler, Ariz.",Chandler,ARIZ,Chandler,,,,,Utah State University,2012-2013
24,Isaiah Jones,http://www.utahstateaggies.com/sports/m-footbl/mtt/isaiah_jones_627066.html,5/10/13,195,S,SR,SQ,"Macon, Ga.",Macon,GA,Mount De Sales Academy,,,,,Utah State University,2012-2013
25,Kerwynn Williams,http://www.utahstateaggies.com/sports/m-footbl/mtt/kerwynn_williams_517965.html,5/8/13,189,RB/KR,SR,3L,"Las Vegas, Nev.",Las Vegas,NEV,Valley,,,,,Utah State University,2012-2013
26,Clayton Christensen,http://www.utahstateaggies.com/sports/m-footbl/mtt/clayton_christensen_809278.html,5/10/13,196,S,JR,JC,"Sterling, Utah",Sterling,UTAH,Manti,Snow College,,,,Utah State University,2012-2013
27,Robert Marshall,http://www.utahstateaggies.com/sports/m-footbl/mtt/robert_marshall_713509.html,6/1/00,223,RB,JR,2L,"Dallas, Texas",Dallas,TEXAS,A. Maceo Smith,,,,,Utah State University,2012-2013
27,Dee Hamala,http://www.utahstateaggies.com/sports/m-footbl/mtt/dee_hamala_749807.html,5/10/13,178,CB,SO,SQ,"Murray, Utah",Murray,UTAH,Murray,,,,,Utah State University,2012-2013
28,Joey DeMartino,http://www.utahstateaggies.com/sports/m-footbl/mtt/joey_demartino_710780.html,5/11/13,210,RB,JR,RS,"San Diego, Calif.",San Diego,CALIF,Mt. Carmel,Grossmont College,,,,Utah State University,2012-2013
29,Sharrieff Shah,http://www.utahstateaggies.com/sports/m-footbl/mtt/sharrieff_shah_809295.html,6/1/13,220,RB,FR,HS,"Sandy, Utah",Sandy,UTAH,Juan Diego,,,,,Utah State University,2012-2013
29,Kelvin Lee,http://www.utahstateaggies.com/sports/m-footbl/mtt/kelvin_lee_811669.html,5/10/13,180,RB,FR,HS,"South Daytona, Fla.",South Daytona,FLA,Mainland,,,,,Utah State University,2012-2013
30,Marquan Ellison,http://www.utahstateaggies.com/sports/m-footbl/mtt/marquan_ellison_793236.html,5/11/13,170,CB,FR,HS,"Milwaukee, Wisc.",Milwaukee,WISC,Bradley Tech,,,,,Utah State University,2012-2013
31,Sione Makoni,http://www.utahstateaggies.com/sports/m-footbl/mtt/sione_makoni_811672.html,5/11/13,190,RB,FR,HS,"Salt Lake City, Utah",Salt Lake City,UTAH,East,,,,,Utah State University,2012-2013
32,Joe Hill,http://www.utahstateaggies.com/sports/m-footbl/mtt/joe_hill_710787.html,5/11/13,185,RB,SO,1L,"Fullerton, Calif.",Fullerton,CALIF,Fullerton,,,,,Utah State University,2012-2013
32,Jason Luke,http://www.utahstateaggies.com/sports/m-footbl/mtt/jason_luke_798035.html,5/11/13,219,LB,JR,TR,"Twentynine Palms, Calif.",Twentynine Palms,CALIF,Twentynine Palms,College of Desert Junior College,,,,Utah State University,2012-2013
33,Jefferson Court,http://www.utahstateaggies.com/sports/m-footbl/mtt/jefferson_court_767527.html,6/3/13,238,LB,SO,SQ,"Alta, Utah",Alta,UTAH,Alta,BYU,,,,Utah State University,2012-2013
34,Abou Toure,http://www.utahstateaggies.com/sports/m-footbl/mtt/abou_toure_795156.html,6/2/13,230,RB,JR,JC,"Framingham, Mass.",Framingham,MASS,Framingham,Dean Junior College,,,,Utah State University,2012-2013
34,Dustin Hoover,http://www.utahstateaggies.com/sports/m-footbl/mtt/dustin_hoover_811675.html,6/2/13,210,LB,FR,HS,"Walmea, Hawai'i",Walmea,HAWAI'I,Hawai'i Prep Academy,,,,,Utah State University,2012-2013
36,McKade Brady,http://www.utahstateaggies.com/sports/m-footbl/mtt/mckade_brady_719138.html,5/11/13,197,S,SR,2L,"Cove, Utah",Cove,UTAH,Sky View,BYU,,,,Utah State University,2012-2013
