Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
44,Chi Chi Ariguzo,http://www.nusports.com/sports/m-footbl/mtt/ariguzo_chichi00.html,LB,6/3/13,220,SO,"Gahanna, Ohio",Gahanna,OHIO,St. Francis DeSales,,,,,2012-2013,Northwestern University
91,Brian Arnfelt,http://www.nusports.com/sports/m-footbl/mtt/arnfelt_brian00.html,DL,6/5/13,300,SR,"Lake Elmo, Minn.",Lake Elmo,MINN,Stillwater,,,,,2012-2013,Northwestern University
65,Hayden Baker,http://www.nusports.com/sports/m-footbl/mtt/baker_hayden00.html,OL,6/2/13,280,SO,"Trout Valley, Ill.",Trout Valley,ILL,Cary-Grove,,,,,2012-2013,Northwestern University
7,Hunter Bates,http://www.nusports.com/sports/m-footbl/mtt/bates_hunter00.html,S,5/10/13,180,SR,"Ponte Vedra Beach, Fla.",Ponte Vedra Beach,FLA,Nease,,,,,2012-2013,Northwestern University
96,Anthony Battle,http://www.nusports.com/sports/m-footbl/mtt/battle_anthony00.html,DL,6/2/13,240,JR,"Dolton, Ill.",Dolton,ILL,Mount Carmel,,,,,2012-2013,Northwestern University
12,Cermak Bland,http://www.nusports.com/sports/m-footbl/mtt/bland_cermak00.html,WR,5/11/13,170,RS FR,"West Linn, Ore.",West Linn,ORE,Jesuit,,,,,2012-2013,Northwestern University
26,Terrance Brown,http://www.nusports.com/sports/m-footbl/mtt/brown_terrance00.html,S,6/1/13,195,FR,"Los Alamitos, Calif.",Los Alamitos,CALIF,Los Alamitos,,,,,2012-2013,Northwestern University
13,C.J. Bryant,http://www.nusports.com/sports/m-footbl/mtt/bryant_cj00.html,CB,5/11/13,175,SO,"Gahanna, Ohio",Gahanna,OHIO,Gahanna Lincoln,,,,,2012-2013,Northwestern University
29,Stephen Buckley,http://www.nusports.com/sports/m-footbl/mtt/buckley_stephen00.html,RB,6/1/00,170,FR,"Forney, Texas",Forney,TEXAS,North Forney,,,,,2012-2013,Northwestern University
37,Jeff Budzien,http://www.nusports.com/sports/m-footbl/mtt/budzien_jeff00.html,PK,5/11/13,165,JR,"Hartland, Wis.",Hartland,WIS,Arrowhead,,,,,2012-2013,Northwestern University
24,Ibraheim Campbell,http://www.nusports.com/sports/m-footbl/mtt/campbell_ibraheim00.html,DB,5/11/13,205,SO,"Philadelphia, Pa.",Philadelphia,PA,Chestnut Hill Academy,,,,,2012-2013,Northwestern University
39,Joe Cannon,http://www.nusports.com/sports/m-footbl/mtt/cannon_joe00.html,DB,6/1/00,175,SO,"Oconomowoc, Wis.",Oconomowoc,WIS,Marquette University High School,,,,,2012-2013,Northwestern University
15,P.J. Carollo,http://www.nusports.com/sports/m-footbl/mtt/carollo_pj00.html,QB,6/1/13,180,RS FR,"Lake Bluff, Ill.",Lake Bluff,ILL,Lake Forest,,,,,2012-2013,Northwestern University
27,Jared Carpenter,http://www.nusports.com/sports/m-footbl/mtt/carpenter_jared00.html,S,6/1/00,205,SR,"Bowling Green, Ky.",Bowling Green,KY,Bowling Green,,,,,2012-2013,Northwestern University
89,Austin Carr,http://www.nusports.com/sports/m-footbl/mtt/carr_austin00.html,WR,6/1/13,195,FR,"Benicia, Calif.",Benicia,CALIF,Benicia,,,,,2012-2013,Northwestern University
99,Chance Carter,http://www.nusports.com/sports/m-footbl/mtt/carter_chance00.html,DL,6/3/13,270,SO,"Evanston, Ill.",Evanston,ILL,Loyola Academy,,,,,2012-2013,Northwestern University
