Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
10,David Fales,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205438737&Q_SEASON=2012,QB,6/3/13,220,JR,"Salinas, Calif. ",Salinas,Calif,Palma High School,Monterey Peniinsula College ,,,,San Jose State University,2012-2013
57,Nate Falo,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205178499&Q_SEASON=2012,DT,6/1/13,286,FR,"Sacramento, Calif. ",Sacramento,Calif,Inderkum High School,,,,,San Jose State University,2012-2013
11,Josh Fasavalu,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205178501&Q_SEASON=2012,LB,5/11/13,225,FR,"Long Beach, Calif. ",Long Beach,Calif,Poly High School,,,,,San Jose State University,2012-2013
24,Rob Fiscalini III,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205157426&Q_SEASON=2012,S,5/11/13,210,JR,"San Jose, Calif. ",San Jose,Calif,Valley Christian High School,Foothill College ,,,,San Jose State University,2012-2013
38,Billy Freeman,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205556360&Q_SEASON=2012,TE,6/3/13,235,FR,"Mesa, Ariz. ",Mesa,Ariz,Red Mountain High School,,,,,San Jose State University,2012-2013
45,David Freeman,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973759&Q_SEASON=2012,RB,5/8/13,202,SR,"Inglewood, Calif. ",Inglewood,Calif,Inglewood High School,University of Washington,,,,San Jose State University,2012-2013
5,Dasheon Frierson,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205562018&Q_SEASON=2012,CB,5/10/13,180,JR,"Fresno, Calif. ",Fresno,Calif,Edison High School,Fresno City College ,,,,San Jose State University,2012-2013
38,Arthur Gilbreath,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205178714&Q_SEASON=2012,LS,5/10/13,205,JR,"Oxnard, Calif. ",Oxnard,Calif,Saint Bonaventure High School,Ventura College ,,,,San Jose State University,2012-2013
62,Jeff Grattan,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204976546&Q_SEASON=2012,OL,6/4/13,282,SR,"Campbell, Calif. ",Campbell,Calif,Westmont High School,Gavilan College ,,,,San Jose State University,2012-2013
16,Joe Gray,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205215913&Q_SEASON=2012,QB,6/2/13,179,FR,"Inglewood, Calif. ",Inglewood,Calif,Dorsey High School,,,,,San Jose State University,2012-2013
23,Noel Grigsby,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204765431&Q_SEASON=2012,WR,5/11/13,175,JR,"Los Angeles, Calif. ",Los Angeles,Calif,Crenshaw High School,,,,,San Jose State University,2012-2013
13,Jason Habash,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205562183&Q_SEASON=2012,QB,6/2/13,220,FR,"San Jose, Calif. ",San Jose,Calif,Leland High School,,,,,San Jose State University,2012-2013
40,Ryan Harper,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205562017&Q_SEASON=2012,S,6/2/13,200,SO,"Phoenix, Ariz. ",Phoenix,Ariz,Greenway High School,Phoenix College ,,,,San Jose State University,2012-2013
73,Kyle Hart,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205561966&Q_SEASON=2012,OL,6/3/13,265,FR,"Ridgecrest, Calif. ",Ridgecrest,Calif,Burroughs High School,,,,,San Jose State University,2012-2013
54,Reuben Hasani,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204765441&Q_SEASON=2012,C,6/3/13,284,JR,"Los Angeles, Calif. ",Los Angeles,Calif,Venice High School,,,,,San Jose State University,2012-2013
12,Forrest Hightower,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973691&Q_SEASON=2012,CB,5/10/13,177,SO,"Concord, Calif. ",Concord,Calif,Concord High School,,,,,San Jose State University,2012-2013
29,Chris Hill,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204765265&Q_SEASON=2012,CB,5/10/13,185,JR,"Carson, Calif. ",Carson,Calif,Carson High School,,,,,San Jose State University,2012-2013
86,Christian Hill,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205178506&Q_SEASON=2012,DE,6/4/13,240,FR,"Fresno, Calif. ",Fresno,Calif,"Sanger HS, Edision High School",,,,,San Jose State University,2012-2013
96,Marcus Howard,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973693&Q_SEASON=2012,DT,6/2/13,300,SO,"Inglewood, Calif. ",Inglewood,Calif,Inglewood High School,,,,,San Jose State University,2012-2013
14,Ralph Jackson,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205178507&Q_SEASON=2012,CB,5/10/13,175,SO,"Morgan Hill, Calif. ",Morgan Hill,Calif,Sobrato High School,,,,,San Jose State University,2012-2013
