Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Eligibility,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
1,Rob Bolden,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205563280&Q_SEASON=2012,QB,6/4/13,208,JR,TR,"Orchard Lake, Mich. ",Orchard Lake,MICH,Orchard Lake St. Mary's HS,Pennsylvania State University,,,,Louisiana State University,2012-2013
1,Eric Reid,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879620&Q_SEASON=2012,S,6/2/13,212,JR,3L,"Geismar, La. ",Geismar,LA,Dutchtown High School,,,,,Louisiana State University,2012-2013
3,Odell Beckham Jr.,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087798&Q_SEASON=2012,WR,6/1/00,187,SO,1L,"New Orleans, La. ",New Orleans,LA,Isidore Newman High School,,,,,Louisiana State University,2012-2013
4,Alfred Blue,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879583&Q_SEASON=2012,RB,6/2/13,220,JR,2L,"Boutte, La. ",Boutte,LA,Hahnville High School,,,,,Louisiana State University,2012-2013
5,Jarrett Fobbs,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204880248&Q_SEASON=2012,WR,5/11/13,188,SO,SQ,"Shreveport, La. ",Shreveport,LA,Huntington High School,,,,,Louisiana State University,2012-2013
6,Craig Loston,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660130&Q_SEASON=2012,S,6/2/13,205,JR,2L,"Houston, Texas ",Houston,TEXAS,Eisenhower High School,,,,,Louisiana State University,2012-2013
8,Zach Mettenberger,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205084538&Q_SEASON=2012,QB,6/5/13,230,JR,1L,"Watkinsville, Ga. ",Watkinsville,GA,Oconee County HS,Butler Community College,,,,Louisiana State University,2012-2013
9,Ego Ferguson,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204880257&Q_SEASON=2012,DT,6/3/13,308,SO,1L,"Mims, Fla. ",Mims,FLA,Hargrave Military Academy,,,,,Louisiana State University,2012-2013
10,Nick Rice,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973440&Q_SEASON=2012,LB,6/1/13,229,SR,SQ,"Coppell, Texas ",Coppell,TEXAS,Coppell High School,,,,,Louisiana State University,2012-2013
10,Russell Shepard,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660167&Q_SEASON=2012,WR,6/1/13,195,SR,4L,"Houston, Texas ",Houston,TEXAS,Cypress Ridge High School,,,,,Louisiana State University,2012-2013
11,Spencer Ware,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879598&Q_SEASON=2012,RB,5/11/13,225,JR,2L,"Cincinnati, Ohio ",Cincinnati,OHIO,Princeton High School,,,,,Louisiana State University,2012-2013
