Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Eligibility,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
6,"Dante Fowler, Jr.",http://www.gatorzone.com/football/bios.php?year=2012&player_id=334,DL,"6' 3""",277,FR,HS,"St. Petersburg, FL",St. Petersburg,FL,Lakewood Senior,,,,University of Florida,2012-2013
79,Matthew Fuchs,http://www.gatorzone.com/football/bios.php?year=2012&player_id=335,OL,"6' 2""",236,FR,HS,"Gainesville, FL",Gainesville,FL,Buchholz,,,,University of Florida,2012-2013
76,Max Garcia,http://www.gatorzone.com/football/bios.php?year=2012&player_id=336,OL,"6' 4""",307,JR,TR,"Norcross, GA",Norcross,GA,Norcross,,,,University of Florida,2012-2013
62,Cole Gilliam,http://www.gatorzone.com/football/bios.php?year=2012&player_id=215,OL,"6' 4""",326,SR,SQ,"Valrico, FL",Valrico,FL,Durant,,,,University of Florida,2012-2013
23,Mike Gillislee,http://www.gatorzone.com/football/bios.php?year=2012&player_id=216,RB,"5' 11""",209,SR,3L,"DeLand, FL",DeLand,FL,DeLand,,,,University of Florida,2012-2013
21,Jabari Gorman,http://www.gatorzone.com/football/bios.php?year=2012&player_id=307,DB,"5' 10""",188,SO,1L,"Miami, FL",Miami,FL,Monsignor Pace,,,,University of Florida,2012-2013
75,Chaz Green,http://www.gatorzone.com/football/bios.php?year=2012&player_id=255,OL,"6' 5""",310,RSO,1L,"Tampa, FL",Tampa,FL,Tampa Catholic,,,,University of Florida,2012-2013
54,Christopher Guido,http://www.gatorzone.com/football/bios.php?year=2012&player_id=217,LS,"6' 1""",216,SR,1L,"Altamonte Springs, FL",Altamonte Springs,FL,Lake Brantley,,,,University of Florida,2012-2013
9,Jacob Guy,http://www.gatorzone.com/football/bios.php?year=2012&player_id=337,QB,"6' 5""",213,FR,HS,"Dade City, FL",Dade City,FL,Pasco,,,,University of Florida,2012-2013
67,Jon Halapio,http://www.gatorzone.com/football/bios.php?year=2012&player_id=218,OL,"6' 3""",321,RJR,2L,"St. Petersburg, FL",St. Petersburg,FL,St. Petersburg Catholic,,,,University of Florida,2012-2013
85,"Frankie Hammond, Jr.",http://www.gatorzone.com/football/bios.php?year=2012&player_id=184,WR,"6' 0""",187,RSR,3L,"Hollywood, FL",Hollywood,FL,Hallandale,,,,University of Florida,2012-2013
16,Austin Hardin,http://www.gatorzone.com/football/bios.php?year=2012&player_id=338,K,"5' 10""",207,FR,HS,"Atlanta, GA",Atlanta,GA,Marist,,,,University of Florida,2012-2013
72,Jonotthan Harrison,http://www.gatorzone.com/football/bios.php?year=2012&player_id=202,OL,"6' 4""",299,RJR,2L,"Groveland, FL",Groveland,FL,South Lake,,,,University of Florida,2012-2013
37,Mark Herndon,http://www.gatorzone.com/football/bios.php?year=2012&player_id=339,RB,"5' 9""",196,FR,HS,"Ocala, FL",Ocala,FL,Forest,,,,University of Florida,2012-2013
20,Omarius Hines,http://www.gatorzone.com/football/bios.php?year=2012&player_id=186,WR,"6' 2""",217,RSR,3L,"Corsicana, TEXAS",Corsicana,TEXAS,Corsicana,,,,University of Florida,2012-2013
97,Evan Holmes,http://www.gatorzone.com/football/bios.php?year=2012&player_id=301,DL,"6' 2""",233,RFR,SQ,"St. Petersburg, FL",St. Petersburg,FL,Lakewood,,,,University of Florida,2012-2013
70,D.J. Humphries,http://www.gatorzone.com/football/bios.php?year=2012&player_id=324,OL,"6' 6""",275,FR,HS,"Union, NC",Union,NC,Mallard Creek,,,,University of Florida,2012-2013
99,Omar Hunter,http://www.gatorzone.com/football/bios.php?year=2012&player_id=187,DL,"6' 0""",313,RSR,3L,"Buford, GA",Buford,GA,Buford,,,,University of Florida,2012-2013
4,Damien Jacobs,http://www.gatorzone.com/football/bios.php?year=2012&player_id=326,DL,"6' 3""",284,JR,JC,"Gibson, LA",Gibson,LA,H.L. Boureois,,,,University of Florida,2012-2013
3,Jelani Jenkins,http://www.gatorzone.com/football/bios.php?year=2012&player_id=211,LB,"6' 0""",237,RJR,2L,"Olney, MD",Olney,MD,Our Lady Good Counsel,,,,University of Florida,2012-2013
32,Chris Johnson,http://www.gatorzone.com/football/bios.php?year=2012&player_id=314,RB,"5' 9""",202,SO,1L,"Ocala, FL",Ocala,FL,Trinity Catholic,,,,University of Florida,2012-2013
93,Kedric Johnson,http://www.gatorzone.com/football/bios.php?year=2012&player_id=212,DL,"6' 4""",237,RJR,2L,"Palmetto, FL",Palmetto,FL,Palmetto,,,,University of Florida,2012-2013
24,Matt Jones,http://www.gatorzone.com/football/bios.php?year=2012&player_id=340,RB,"6' 2""",226,FR,HS,"Seffner, FL",Seffner,FL,Armwood,,,,University of Florida,2012-2013
