,Governing_Body,Event,Sponsorship_Type,Period,Company
1,IOC,2012 Olympics,Worldwide Partner,2012,Acer
2,IOC,2012 Olympics,Worldwide Partner,2012,Atos
3,IOC,2012 Olympics,Worldwide Partner,2012,Coca-Cola
4,IOC,2012 Olympics,Worldwide Partner,2012,Dow
5,IOC,2012 Olympics,Worldwide Partner,2012,General Electric
6,IOC,2012 Olympics,Worldwide Partner,2012,McDonald‰Ûªs
7,IOC,2012 Olympics,Worldwide Partner,2012,Omega SA
8,IOC,2012 Olympics,Worldwide Partner,2012,Panasonic
9,IOC,2012 Olympics,Worldwide Partner,2012,Procter & Gamble
10,IOC,2012 Olympics,Worldwide Partner,2012,Samsung
11,IOC,2012 Olympics,Worldwide Partner,2012,Visa
