,Governing_Body,Event,Sport,Sponsorship_Type,Period,Company,Company_Brand
1,USSAIL,America's Cup,Yachting,Regatta,2012,LVMH,Louis Vuitton
2,USSAIL,America's Cup,Yachting,Team,2012,BMW,NA
3,USSAIL,America's Cup,Yachting,Team,2012,Oracle,NA
4,USSAIL,America's Cup,Yachting,Team,2012,Volkswagen,Audi
