,year,profootball_ref_team_year_url,team_id,year,team
70,1939,http://www.pro-football-reference.com/teams/crd/1939.htm,crd,1939,Chicago Cardinals
71,1939,http://www.pro-football-reference.com/teams/det/1939.htm,det,1939,Detroit Lions
72,1939,http://www.pro-football-reference.com/teams/gnb/1939.htm,gnb,1939,Green Bay Packers
73,1939,http://www.pro-football-reference.com/teams/nyg/1939.htm,nyg,1939,New York Giants
74,1939,http://www.pro-football-reference.com/teams/phi/1939.htm,phi,1939,Philadelphia Eagles
75,1939,http://www.pro-football-reference.com/teams/pit/1939.htm,pit,1939,Pittsburgh Pirates
76,1939,http://www.pro-football-reference.com/teams/ram/1939.htm,ram,1939,Cleveland Rams
77,1939,http://www.pro-football-reference.com/teams/was/1939.htm,was,1939,Washington Redskins
78,1940,http://www.pro-football-reference.com/teams/bkn/1940.htm,bkn,1940,Brooklyn Dodgers
79,1940,http://www.pro-football-reference.com/teams/chi/1940.htm,chi,1940,Chicago Bears
80,1940,http://www.pro-football-reference.com/teams/crd/1940.htm,crd,1940,Chicago Cardinals
81,1940,http://www.pro-football-reference.com/teams/det/1940.htm,det,1940,Detroit Lions
82,1940,http://www.pro-football-reference.com/teams/gnb/1940.htm,gnb,1940,Green Bay Packers
83,1940,http://www.pro-football-reference.com/teams/nyg/1940.htm,nyg,1940,New York Giants
84,1940,http://www.pro-football-reference.com/teams/phi/1940.htm,phi,1940,Philadelphia Eagles
85,1940,http://www.pro-football-reference.com/teams/pit/1940.htm,pit,1940,Pittsburgh Steelers
86,1940,http://www.pro-football-reference.com/teams/ram/1940.htm,ram,1940,Cleveland Rams
87,1940,http://www.pro-football-reference.com/teams/was/1940.htm,was,1940,Washington Redskins
88,1941,http://www.pro-football-reference.com/teams/bkn/1941.htm,bkn,1941,Brooklyn Dodgers
89,1941,http://www.pro-football-reference.com/teams/chi/1941.htm,chi,1941,Chicago Bears
90,1941,http://www.pro-football-reference.com/teams/crd/1941.htm,crd,1941,Chicago Cardinals
91,1941,http://www.pro-football-reference.com/teams/det/1941.htm,det,1941,Detroit Lions
92,1941,http://www.pro-football-reference.com/teams/gnb/1941.htm,gnb,1941,Green Bay Packers
93,1941,http://www.pro-football-reference.com/teams/nyg/1941.htm,nyg,1941,New York Giants
94,1941,http://www.pro-football-reference.com/teams/phi/1941.htm,phi,1941,Philadelphia Eagles
95,1941,http://www.pro-football-reference.com/teams/pit/1941.htm,pit,1941,Pittsburgh Steelers
96,1941,http://www.pro-football-reference.com/teams/ram/1941.htm,ram,1941,Cleveland Rams
97,1941,http://www.pro-football-reference.com/teams/was/1941.htm,was,1941,Washington Redskins
98,1942,http://www.pro-football-reference.com/teams/bkn/1942.htm,bkn,1942,Brooklyn Dodgers
99,1942,http://www.pro-football-reference.com/teams/chi/1942.htm,chi,1942,Chicago Bears
100,1942,http://www.pro-football-reference.com/teams/crd/1942.htm,crd,1942,Chicago Cardinals
101,1942,http://www.pro-football-reference.com/teams/det/1942.htm,det,1942,Detroit Lions
102,1942,http://www.pro-football-reference.com/teams/gnb/1942.htm,gnb,1942,Green Bay Packers
103,1942,http://www.pro-football-reference.com/teams/nyg/1942.htm,nyg,1942,New York Giants
104,1942,http://www.pro-football-reference.com/teams/phi/1942.htm,phi,1942,Philadelphia Eagles
105,1942,http://www.pro-football-reference.com/teams/pit/1942.htm,pit,1942,Pittsburgh Steelers
106,1942,http://www.pro-football-reference.com/teams/ram/1942.htm,ram,1942,Cleveland Rams
107,1942,http://www.pro-football-reference.com/teams/was/1942.htm,was,1942,Washington Redskins
108,1943,http://www.pro-football-reference.com/teams/bkn/1943.htm,bkn,1943,Brooklyn Dodgers
109,1943,http://www.pro-football-reference.com/teams/chi/1943.htm,chi,1943,Chicago Bears
