"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"2","Thomas","Thomas, Kurt","NBA","CHI","2011 playoffs",4.48,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"3","Dampier","Dampier, Erick","NBA","MIA","2011 playoffs",4.99,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"4","Marion","Marion, Shawn","NBA","DAL","2011 playoffs",3.5,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"5","Nowitzki","Nowitzki, Dirk","NBA","DAL","2011 playoffs",4.02,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"6","Terry","Terry, Jason","NBA","DAL","2011 playoffs",1.5,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"10","Jones","Jones, James","NBA","MIA","2011 playoffs",2.99,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"20","House","House, Eddie","NBA","MIA","2011 playoffs",1.5,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"21","Martin","Martin, Kenyon","NBA","DEN","2011 playoffs",4.01,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"23","Camby","Camby, Marcus","NBA","POR","2011 playoffs",4.51,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"24","Ginobili","Ginobili, Manu","NBA","SAS","2011 playoffs",2.5,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"25","Anthony","Anthony, Carmelo","NBA","NYK","2011 playoffs",3,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"26","Duncan","Duncan, Tim","NBA","SAS","2011 playoffs",4.5,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"30","Parker","Parker, Tony","NBA","SAS","2011 playoffs",1,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
"31","Miller","Miller, Andre","NBA","POR","2011 playoffs",1.02,"SeasonStart","2011-04-16","2011-07-01","Basketball Value","Playoffs"
