ID_Sport,ID_School,Season,Player,First_Name,Last_Name,Height,Weight,Year,Hometown/Prior_School,Player_URL
MTEN,ND,2007-2008,Sheeva Parbhu,Sheeva,Parbhu,5/11/13,150,SR,"Omaha, NE/Millard North",http://www.und.com/sports/m-tennis/mtt/parbhu_sheeva00.html
MTEN,ND,2007-2008,Andrew Roth,Andrew,Roth,5/9/13,160,SR,"Houston, TX/Tenney School",http://www.und.com/sports/m-tennis/mtt/roth_andrew00.html
MTEN,ND,2007-2008,Daniel Schafer,Daniel,Schafer,6/1/00,165,SO,"Edgewood, KY/Covington Catholic",http://www.und.com/sports/m-tennis/mtt/schafer_daniel00.html
MTEN,ND,2007-2008,Daniel Stahl,Daniel,Stahl,5/10/13,150,FR,"Bethesda, MD/Walt Whitman H.S.",http://www.und.com/sports/m-tennis/mtt/stahl_daniel00.html
MTEN,ND,2007-2008,Sean Tan,Sean,Tan,5/8/13,140,FR,"Lakewood, CA/Lakewood H.S.",http://www.und.com/sports/m-tennis/mtt/tan_sean00.html
MTEN,ND,2007-2008,Takashi Yoshii,Takashi,Yoshii,5/9/13,150,SO,"Tokyo, Japan/The American School in Japan",http://www.und.com/sports/m-tennis/mtt/yoshii_takashi00.html
MTEN,ND,2008-2009,David Anderson,David,Anderson,5/11/13,155,SO,"Sandwich, MA/Sandwich H.S.",http://www.und.com/sports/m-tennis/mtt/anderson_david00.html
MTEN,ND,2008-2009,Daven Brodess,Daven,Brodess,6/1/13,165,FR,"Austin, TX/Lake Travis",http://www.und.com/sports/m-tennis/mtt/brodess_daven00.html
MTEN,ND,2008-2009,Patrick Callaghan,Patrick,Callaghan,5/11/13,145,JR,"Iowa City, IA/Iowa City West",http://www.und.com/sports/m-tennis/mtt/callaghan_patrick00.html
MTEN,ND,2008-2009,Sean Corrigan,Sean,Corrigan,6/1/00,160,JR,"Lido Beach, NY/Long Beach",http://www.und.com/sports/m-tennis/mtt/corrigan_sean00.html
MTEN,ND,2008-2009,Tyler Davis,Tyler,Davis,5/11/13,160,SO,"Nashville, TN/Father Ryan H.S.",http://www.und.com/sports/m-tennis/mtt/davis_tyler00.html
MTEN,ND,2008-2009,Niall Fitzgerald,Niall,Fitzgerald,5/11/13,155,FR,"Wicklow, Ireland/Blackrock College",http://www.und.com/sports/m-tennis/mtt/fitzgerald_niall00.html
MTEN,ND,2008-2009,Stephen Havens,Stephen,Havens,5/11/13,170,SO,"Cincinnati, OH/Hill Christian School",http://www.und.com/sports/m-tennis/mtt/havens_stephen00.html
MTEN,ND,2008-2009,Brett Helgeson,Brett,Helgeson,6/4/13,180,SR,"Overland Park, KS/Blue Valley West",http://www.und.com/sports/m-tennis/mtt/helgeson_brett00.html
MTEN,ND,2008-2009,Matt Johnson,Matt,Johnson,5/11/13,155,SO,"Portage, MI/Portage Central H.S.",http://www.und.com/sports/m-tennis/mtt/johnson_matt00.html
MTEN,ND,2008-2009,Samuel Keeton,Samuel,Keeton,6/2/13,155,FR,"Kansas City, MO/The Pembroke Hill School",http://www.und.com/sports/m-tennis/mtt/keeton_samuel00.html
MTEN,ND,2008-2009,Bryan Kelly,Bryan,Kelly,6/1/13,185,SO,"North Oaks, MN/Mounds Park Academy",http://www.und.com/sports/m-tennis/mtt/kelly_bryan00.html
MTEN,ND,2008-2009,Graham King,Graham,King,6/2/13,180,JR,"Dublin, Ireland/Gonzaga College",http://www.und.com/sports/m-tennis/mtt/king_graham00.html
MTEN,ND,2008-2009,Santiago Montoya,Santiago,Montoya,6/1/13,165,SR,"Austin, TX/St. Stephen's Episcopal School",http://www.und.com/sports/m-tennis/mtt/montoya_santiago00.html
MTEN,ND,2008-2009,Daniel Schafer,Daniel,Schafer,,165,JR,"Edgewood, KY/Covington Catholic",http://www.und.com/sports/m-tennis/mtt/schafer_daniel00.html
MTEN,ND,2008-2009,Daniel Stahl,Daniel,Stahl,5/10/13,150,SO,"Bethesda, MD/Walt Whitman H.S.",http://www.und.com/sports/m-tennis/mtt/stahl_daniel00.html
MTEN,ND,2008-2009,Sean Tan,Sean,Tan,5/8/13,140,SO,"Lakewood, CA/Lakewood H.S.",http://www.und.com/sports/m-tennis/mtt/tan_sean00.html
MTEN,ND,2008-2009,Casey Watt,Casey,Watt,6/1/00,165,FR,"Gibsonia, PA/Pine-Richland",http://www.und.com/sports/m-tennis/mtt/watt_casey00.html
MTEN,ND,2008-2009,Takashi Yoshii,Takashi,Yoshii,5/9/13,150,JR,"Tokyo, Japan/The American School in Japan",http://www.und.com/sports/m-tennis/mtt/yoshii_takashi00.html
MTEN,ND,2009-2010,David Anderson,David,Anderson,5/11/13,155,JR,"Sandwich, MA/Sandwich H.S.",http://www.und.com/sports/m-tennis/mtt/anderson_david00.html
MTEN,ND,2009-2010,Daven Brodess,Daven,Brodess,6/1/13,165,SO,"Austin, TX/Lake Travis",http://www.und.com/sports/m-tennis/mtt/brodess_daven00.html
MTEN,ND,2009-2010,Patrick Callaghan,Patrick,Callaghan,5/11/13,145,SR,"Iowa City, IA/Iowa City West",http://www.und.com/sports/m-tennis/mtt/callaghan_patrick00.html
MTEN,ND,2009-2010,Tyler Davis,Tyler,Davis,5/11/13,160,JR,"Nashville, TN/Father Ryan H.S.",http://www.und.com/sports/m-tennis/mtt/davis_tyler00.html
MTEN,ND,2009-2010,Niall Fitzgerald,Niall,Fitzgerald,5/11/13,155,SO,"Wicklow, Ireland/Blackrock College",http://www.und.com/sports/m-tennis/mtt/fitzgerald_niall00.html
MTEN,ND,2009-2010,Stephen Havens,Stephen,Havens,5/11/13,170,JR,"Cincinnati, OH/Hill Christian School",http://www.und.com/sports/m-tennis/mtt/havens_stephen00.html
MTEN,ND,2009-2010,Matt Johnson,Matt,Johnson,5/11/13,155,JR,"Portage, MI/Portage Central H.S.",http://www.und.com/sports/m-tennis/mtt/johnson_matt00.html
MTEN,ND,2009-2010,Samuel Keeton,Samuel,Keeton,6/2/13,155,SO,"Kansas City, MO/The Pembroke Hill School",http://www.und.com/sports/m-tennis/mtt/keeton_samuel00.html
MTEN,ND,2009-2010,Bryan Kelly,Bryan,Kelly,6/1/13,185,JR,"North Oaks, MN/Mounds Park Academy",http://www.und.com/sports/m-tennis/mtt/kelly_bryan00.html
MTEN,ND,2009-2010,Michael Moore,Michael,Moore,6/2/13,180,FR,"Glenview, IL/Glenbrook South",http://www.und.com/sports/m-tennis/mtt/moore_michael00.html
