"","Season","variable","value"
"1","1964-1965","ABC","1,500,000"
"2","1965-1966","ABC","1,500,000"
"3","1966-1967","ABC","1,500,000"
"4","1967-1968","ABC","1,500,000"
"5","1968-1969","ABC","1,500,000"
"6","1969-1970","ABC","5,500,000"
"7","1970-1971","ABC","5,500,000"
"8","1971-1972","ABC","5,500,000"
"9","1972-1973","ABC","0"
"10","1973-1974","ABC","0"
"11","1974-1975","ABC","0"
"12","1975-1976","ABC","0"
"13","1976-1977","ABC","0"
"14","1977-1978","ABC","0"
"15","1978-1979","ABC","0"
"16","1979-1980","ABC","0"
"17","1980-1981","ABC","0"
"18","1981-1982","ABC","0"
"19","1982-1983","ABC","0"
"20","1983-1984","ABC","0"
"21","1984-1985","ABC","0"
"22","1985-1986","ABC","0"
"23","1986-1987","ABC","0"
"24","1987-1988","ABC","0"
"25","1988-1989","ABC","0"
"26","1989-1990","ABC","0"
"27","1990-1991","ABC","0"
"28","1991-1992","ABC","0"
"29","1992-1993","ABC","0"
"30","1993-1994","ABC","0"
"31","1994-1995","ABC","0"
"32","1995-1996","ABC","0"
"33","1996-1997","ABC","0"
"34","1997-1998","ABC","0"
"35","1998-1999","ABC","0"
"36","1999-2000","ABC","0"
"37","2000-2001","ABC","0"
"38","2001-2002","ABC","0"
"39","2002-2003","ABC","0"
"40","2003-2004","ABC","0"
"41","2004-2005","ABC","0"
"42","2006-2006","ABC","0"
"43","2007-2008","ABC","0"
"44","1964-1965","ABC.ESPN","0"
"45","1965-1966","ABC.ESPN","0"
"46","1966-1967","ABC.ESPN","0"
"47","1967-1968","ABC.ESPN","0"
"48","1968-1969","ABC.ESPN","0"
"49","1969-1970","ABC.ESPN","0"
"50","1970-1971","ABC.ESPN","0"
"51","1971-1972","ABC.ESPN","0"
"52","1972-1973","ABC.ESPN","0"
"53","1973-1974","ABC.ESPN","0"
"54","1974-1975","ABC.ESPN","0"
"55","1975-1976","ABC.ESPN","0"
"56","1976-1977","ABC.ESPN","0"
"57","1977-1978","ABC.ESPN","0"
"58","1978-1979","ABC.ESPN","0"
"59","1979-1980","ABC.ESPN","0"
"60","1980-1981","ABC.ESPN","0"
"61","1981-1982","ABC.ESPN","0"
"62","1982-1983","ABC.ESPN","0"
"63","1983-1984","ABC.ESPN","0"
"64","1984-1985","ABC.ESPN","0"
"65","1985-1986","ABC.ESPN","0"
"66","1986-1987","ABC.ESPN","0"
"67","1987-1988","ABC.ESPN","0"
"68","1988-1989","ABC.ESPN","0"
"69","1989-1990","ABC.ESPN","0"
"70","1990-1991","ABC.ESPN","0"
"71","1991-1992","ABC.ESPN","0"
"72","1992-1993","ABC.ESPN","0"
"73","1993-1994","ABC.ESPN","0"
"74","1994-1995","ABC.ESPN","0"
"75","1995-1996","ABC.ESPN","0"
"76","1996-1997","ABC.ESPN","0"
"77","1997-1998","ABC.ESPN","0"
"78","1998-1999","ABC.ESPN","0"
"79","1999-2000","ABC.ESPN","0"
"80","2000-2001","ABC.ESPN","0"
"81","2001-2002","ABC.ESPN","0"
"82","2002-2003","ABC.ESPN","2,400,000,000"
"83","2003-2004","ABC.ESPN","2,400,000,000"
"84","2004-2005","ABC.ESPN","2,400,000,000"
"85","2006-2006","ABC.ESPN","2,400,000,000"
"86","2007-2008","ABC.ESPN","2,400,000,000"
"87","1964-1965","CBS","0"
"88","1965-1966","CBS","0"
"89","1966-1967","CBS","0"
"90","1967-1968","CBS","0"
"91","1968-1969","CBS","0"
"92","1969-1970","CBS","0"
"93","1970-1971","CBS","0"
"94","1971-1972","CBS","0"
"95","1972-1973","CBS","8,800,000"
"96","1973-1974","CBS","8,800,000"
"97","1974-1975","CBS","8,800,000"
"98","1975-1976","CBS","8,800,000"
"99","1976-1977","CBS","10,500,000"
"100","1977-1978","CBS","10,500,000"
"101","1978-1979","CBS","18,500,000"
"102","1979-1980","CBS","18,500,000"
"103","1980-1981","CBS","18,500,000"
"104","1981-1982","CBS","18,500,000"
"105","1982-1983","CBS","22,000,000"
"106","1983-1984","CBS","22,000,000"
"107","1984-1985","CBS","22,000,000"
"108","1985-1986","CBS","22,000,000"
"109","1986-1987","CBS","43,000,000"
"110","1987-1988","CBS","43,000,000"
"111","1988-1989","CBS","47,500,000"
"112","1989-1990","CBS","0"
"113","1990-1991","CBS","0"
"114","1991-1992","CBS","0"
"115","1992-1993","CBS","0"
"116","1993-1994","CBS","0"
"117","1994-1995","CBS","0"
"118","1995-1996","CBS","0"
"119","1996-1997","CBS","0"
"120","1997-1998","CBS","0"
"121","1998-1999","CBS","0"
"122","1999-2000","CBS","0"
"123","2000-2001","CBS","0"
"124","2001-2002","CBS","0"
"125","2002-2003","CBS","0"
"126","2003-2004","CBS","0"
"127","2004-2005","CBS","0"
"128","2006-2006","CBS","0"
"129","2007-2008","CBS","0"
"130","1964-1965","USA","0"
"131","1965-1966","USA","0"
"132","1966-1967","USA","0"
"133","1967-1968","USA","0"
"134","1968-1969","USA","0"
"135","1969-1970","USA","0"
"136","1970-1971","USA","0"
"137","1971-1972","USA","0"
"138","1972-1973","USA","0"
"139","1973-1974","USA","0"
"140","1974-1975","USA","0"
"141","1975-1976","USA","0"
"142","1976-1977","USA","0"
"143","1977-1978","USA","0"
"144","1978-1979","USA","0"
"145","1979-1980","USA","0"
"146","1980-1981","USA","0"
"147","1981-1982","USA","0"
"148","1982-1983","USA","3,000,000"
"149","1983-1984","USA","3,000,000"
"150","1984-1985","USA","3,000,000"
"151","1985-1986","USA","3,000,000"
"152","1986-1987","USA","0"
"153","1987-1988","USA","0"
"154","1988-1989","USA","0"
"155","1989-1990","USA","0"
"156","1990-1991","USA","0"
"157","1991-1992","USA","0"
"158","1992-1993","USA","0"
"159","1993-1994","USA","0"
"160","1994-1995","USA","0"
"161","1995-1996","USA","0"
"162","1996-1997","USA","0"
"163","1997-1998","USA","0"
"164","1998-1999","USA","0"
"165","1999-2000","USA","0"
"166","2000-2001","USA","0"
"167","2001-2002","USA","0"
"168","2002-2003","USA","0"
"169","2003-2004","USA","0"
"170","2004-2005","USA","0"
"171","2006-2006","USA","0"
"172","2007-2008","USA","0"
"173","1964-1965","NBC","0"
"174","1965-1966","NBC","0"
"175","1966-1967","NBC","0"
"176","1967-1968","NBC","0"
"177","1968-1969","NBC","0"
"178","1969-1970","NBC","0"
"179","1970-1971","NBC","0"
"180","1971-1972","NBC","0"
"181","1972-1973","NBC","0"
"182","1973-1974","NBC","0"
"183","1974-1975","NBC","0"
"184","1975-1976","NBC","0"
"185","1976-1977","NBC","0"
"186","1977-1978","NBC","0"
"187","1978-1979","NBC","0"
"188","1979-1980","NBC","0"
"189","1980-1981","NBC","0"
"190","1981-1982","NBC","0"
"191","1982-1983","NBC","0"
"192","1983-1984","NBC","0"
"193","1984-1985","NBC","0"
"194","1985-1986","NBC","0"
"195","1986-1987","NBC","0"
"196","1987-1988","NBC","0"
"197","1988-1989","NBC","0"
"198","1989-1990","NBC","150,000,000"
"199","1990-1991","NBC","600,000,000"
"200","1991-1992","NBC","600,000,000"
"201","1992-1993","NBC","600,000,000"
"202","1993-1994","NBC","600,000,000"
"203","1994-1995","NBC","750,000,000"
"204","1995-1996","NBC","750,000,000"
"205","1996-1997","NBC","750,000,000"
"206","1997-1998","NBC","750,000,000"
"207","1998-1999","NBC","1,750,000,000"
"208","1999-2000","NBC","1,750,000,000"
"209","2000-2001","NBC","1,750,000,000"
"210","2001-2002","NBC","1,750,000,000"
"211","2002-2003","NBC","0"
"212","2003-2004","NBC","0"
"213","2004-2005","NBC","0"
"214","2006-2006","NBC","0"
"215","2007-2008","NBC","0"
"216","1964-1965","TBS","0"
"217","1965-1966","TBS","0"
"218","1966-1967","TBS","0"
"219","1967-1968","TBS","0"
"220","1968-1969","TBS","0"
"221","1969-1970","TBS","0"
"222","1970-1971","TBS","0"
"223","1971-1972","TBS","0"
"224","1972-1973","TBS","0"
"225","1973-1974","TBS","0"
"226","1974-1975","TBS","0"
"227","1975-1976","TBS","0"
"228","1976-1977","TBS","0"
"229","1977-1978","TBS","0"
"230","1978-1979","TBS","0"
"231","1979-1980","TBS","0"
"232","1980-1981","TBS","0"
"233","1981-1982","TBS","0"
"234","1982-1983","TBS","0"
"235","1983-1984","TBS","0"
"236","1984-1985","TBS","0"
"237","1985-1986","TBS","0"
"238","1986-1987","TBS","13,000,000"
"239","1987-1988","TBS","23,000,000"
"240","1988-1989","TBS","27,000,000"
"241","1989-1990","TBS","68,800,000"
"242","1990-1991","TBS","275,000,000"
"243","1991-1992","TBS","275,000,000"
"244","1992-1993","TBS","275,000,000"
"245","1993-1994","TBS","275,000,000"
"246","1994-1995","TBS","350,000,000"
"247","1995-1996","TBS","350,000,000"
"248","1996-1997","TBS","350,000,000"
"249","1997-1998","TBS","350,000,000"
"250","1998-1999","TBS","890,000,000"
"251","1999-2000","TBS","890,000,000"
"252","2000-2001","TBS","890,000,000"
"253","2001-2002","TBS","890,000,000"
"254","2002-2003","TBS","0"
"255","2003-2004","TBS","0"
"256","2004-2005","TBS","0"
"257","2006-2006","TBS","0"
"258","2007-2008","TBS","0"
"259","1964-1965","TNT","0"
"260","1965-1966","TNT","0"
"261","1966-1967","TNT","0"
"262","1967-1968","TNT","0"
"263","1968-1969","TNT","0"
"264","1969-1970","TNT","0"
"265","1970-1971","TNT","0"
"266","1971-1972","TNT","0"
"267","1972-1973","TNT","0"
"268","1973-1974","TNT","0"
"269","1974-1975","TNT","0"
"270","1975-1976","TNT","0"
"271","1976-1977","TNT","0"
"272","1977-1978","TNT","0"
"273","1978-1979","TNT","0"
"274","1979-1980","TNT","0"
"275","1980-1981","TNT","0"
"276","1981-1982","TNT","0"
"277","1982-1983","TNT","0"
"278","1983-1984","TNT","0"
"279","1984-1985","TNT","0"
"280","1985-1986","TNT","0"
"281","1986-1987","TNT","0"
"282","1987-1988","TNT","0"
"283","1988-1989","TNT","0"
"284","1989-1990","TNT","0"
"285","1990-1991","TNT","0"
"286","1991-1992","TNT","0"
"287","1992-1993","TNT","0"
"288","1993-1994","TNT","0"
"289","1994-1995","TNT","0"
"290","1995-1996","TNT","0"
"291","1996-1997","TNT","0"
"292","1997-1998","TNT","0"
"293","1998-1999","TNT","0"
"294","1999-2000","TNT","0"
"295","2000-2001","TNT","0"
"296","2001-2002","TNT","0"
"297","2002-2003","TNT","2,200,000,000"
"298","2003-2004","TNT","2,200,000,000"
"299","2004-2005","TNT","2,200,000,000"
"300","2006-2006","TNT","2,200,000,000"
"301","2007-2008","TNT","2,200,000,000"
