ID_School,ID_Sport,Season,Number,Name,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Prior_School,Player_URL,Major,Concentration
CLEM,MBBALL,2011-2012,22,Bernard Sullivan,Bernard,Sullivan,F,41432,225,FR,"Gastonia, NC",http://web.archive.org/web/20120315012836/http://www.clemsontigers.com/sports/m-baskbl/mtt/sullivan_bernard00.html,Psychology,
CLEM,MBBALL,2011-2012,11,Andre Young,Andre,Young,G,41403,170,SR,"Albany, GA",http://web.archive.org/web/20120315012836/http://www.clemsontigers.com/sports/m-baskbl/mtt/young_andre00.html,Health Science,
CLEM,MBBALL,2009-2010,3,Zavier Anderson,Zavier,Anderson,G,41403,160,JR,"Greenville, SC",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/anderson_zavier00.html,Management,
CLEM,MBBALL,2009-2010,10,Catalin Baciu,Catalin,Baciu,C,41457,245,SO,"Cluj-Napoca, Romania",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/baciu_catalin00.html,Sociology,
CLEM,MBBALL,2009-2010,4,Jonah Baize,Jonah,Baize,F,41431,205,JR,"Evansville, IN",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/baize_jonah00.html,Sociology,
CLEM,MBBALL,2009-2010,31,Devin Booker,Devin,Booker,F/C,41433,235,FR,"Whitmire, SC",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/booker_devin00.html,Pre-Business,
CLEM,MBBALL,2009-2010,35,Trevor Booker,Trevor,Booker,F,41432,240,SR,"Whitmire, SC",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/booker_trevor00.html,"Parks, Recreation & Tourism Management",
CLEM,MBBALL,2009-2010,45,Jerai Grant,Jerai,Grant,F/C,41433,220,JR,"Bowie, MD",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/grant_jerai00.html,Sociology,
CLEM,MBBALL,2009-2010,32,Donte Hill,Donte,Hill,G,41429,200,FR,"Virginia Beach, VA",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/hill_donte00.html,Political Science,
CLEM,MBBALL,2009-2010,24,Milton Jennings,Milton,Jennings,F,41434,225,FR,"Summerville, SC",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/jennings_milton00.html,"Parks, Recreation & Tourism Management",
CLEM,MBBALL,2009-2010,1,Noel Johnson,Noel,Johnson,G,41431,190,FR,"Fayetteville, GA",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/johnson_noel00.html,Graphic Communications,
CLEM,MBBALL,2009-2010,21,Bryan Narcisse,Bryan,Narcisse,F,41431,205,SO,"North Augusta, SC",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/narcisse_bryan00.html,Communication Studies,
CLEM,MBBALL,2009-2010,15,David Potter,David,Potter,F,41431,215,SR,"Severn, MD",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/potter_david00.html,Sociology,
CLEM,MBBALL,2009-2010,5,Tanner Smith,Tanner,Smith,G,41430,220,SO,"Alpharetta, GA",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/smith_tanner00.html,Marketing,
CLEM,MBBALL,2009-2010,2,Demontez Stitt,Demontez,Stitt,G,41427,175,JR,"Matthews, NC",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/stitt_demontez00.html,"Parks, Recreation & Tourism Management",
CLEM,MBBALL,2009-2010,11,Andre Young,Andre,Young,G,41403,170,SO,"Albany, GA",http://web.archive.org/web/20100418173812/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/young_andre00.html,Computer Information Systems,
CLEM,MBBALL,2008-2009,3,Zavier Anderson,Zavier,Anderson,G,41403,160,SO,"Greenville, SC",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/anderson_zavier00.html,Management,
CLEM,MBBALL,2008-2009,10,Catalin Baciu,Catalin,Baciu,C,41457,230,FR,"Cluj-Napoca, Romania",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/baciu_catalin00.html,General Engineering,
CLEM,MBBALL,2008-2009,4,Jonah Baize,Jonah,Baize,F,41431,205,SO,"Evansville, IN",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/baize_jonah00.html,Sociology,
CLEM,MBBALL,2008-2009,35,Trevor Booker,Trevor,Booker,F/C,41432,240,JR,"Whitmire, SC",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/booker_trevor00.html,"Parks, Recreation & Tourism Management ","Community Recreation, Sport & Camp Management"
CLEM,MBBALL,2008-2009,45,Jerai Grant,Jerai,Grant,F,41433,220,SO,"Bowie, MD",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/grant_jerai00.html,English,
CLEM,MBBALL,2008-2009,21,Bryan Narcisse,Bryan,Narcisse,F,41431,200,FR,"North Augusta, SC",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/narcisse_bryan00.html,Communication Studies,
CLEM,MBBALL,2008-2009,22,Terrence Oglesby,Terrence,Oglesby,G,41427,190,SO,"Cleveland, TN",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/oglesby_terrence00.html,Communication Studies,
CLEM,MBBALL,2008-2009,55,Karolis Petrukonis,Karolis,Petrukonis,C,41436,260,JR,"Trakai, Lithuania",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/petrukonis_karolis00.html,Language & International Trade,
CLEM,MBBALL,2008-2009,15,David Potter,David,Potter,F,41431,205,JR,"Severn, MD",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/potter_david00.html,Sociology,
CLEM,MBBALL,2008-2009,1,K.C. Rivers,K.C.,Rivers,G/F,41430,215,SR,"Charlotte, NC",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/rivers_kc00.html,Sociology,
CLEM,MBBALL,2008-2009,5,Tanner Smith,Tanner,Smith,G/F,41430,205,FR,"Alpharetta, GA",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/smith_tanner00.html,Pre-Business,
