ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Eligibility,Hometown/Last_School,Player_URL,,
LSU,MBBALL,2012-2013,0,Charles Carmouche,Charles,Carmouche,G,6/4/13,187,Sr.,TR,"New Orleans, La.æ (McMain HS/UNO/Memphis)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205670725,,
LSU,MBBALL,2012-2013,1,Anthony Hickey,Anthony,Hickey,G,5/11/13,178,So.,1L,"Hopkinsville, Ky.æ (Christian County HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205158648,,
LSU,MBBALL,2012-2013,2,Johnny O'Bryant III,Johnny,O'Bryant III,F,6/9/13,256,So.,1L,"Cleveland, Miss.æ (East Side HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205158650,,
LSU,MBBALL,2012-2013,3,Jalen Courtney,Jalen,Courtney,F,6/8/13,228,Jr.,3L,"Jackson, Miss.æ (Provine HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204919226,,
LSU,MBBALL,2012-2013,4,Corban Collins,Corban,Collins,G,6/3/13,192,Fr.,1L,"High Point, N.C.æ (Massanutten Military Academy)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205499198,,
LSU,MBBALL,2012-2013,5,Shavon Coleman,Shavon,Coleman,F,6/5/13,195,Jr.,JC,"Thibodaux, La.æ (Thibodaux HS/Howard College)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205499197,,
LSU,MBBALL,2012-2013,10,Andre Stringer,Andre,Stringer,G,5/10/13,182,Jr.,2L,"Jackson, Miss.æ (Forest Hill HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204919126,,
LSU,MBBALL,2012-2013,11,Shane Hammink,Shane,Hammink,F,6/7/13,208,Fr.,HS,"Millingen aan de Rijn, Netherlandsæ (Oakley College)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205499294,,
LSU,MBBALL,2012-2013,13,Eddie Ludwig,Eddie,Ludwig,F,6/9/13,209,Sr.,3L,"Metairie, La.æ (Metairie Park Country Day)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204762232,,
LSU,MBBALL,2012-2013,24,Malik Morgan,Malik,Morgan,G,6/4/13,188,Fr.,HS,"River Ridge, La.æ (John Curtis HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205499295,,
LSU,MBBALL,2012-2013,45,Mychal Williams,Mychal,Williams,G,6/3/13,207,Jr.,RS,"Bossier City, La.æ (Airline HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205723815,,
LSU,MBBALL,2012-2013,51,Joshua Badeaux,Joshua,Badeaux,G,6/1/13,195,So.,RS,"Galliano, La.æ (South Lafourche HS/BRCC)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205723814,,
LSU,MBBALL,2012-2013,55,Andrew Del Piero,Andrew,Del Piero,C,7/3/13,254,Sr.,SQ,"Austin, Texasæ (Westlake HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204995075,,
LSU,MBBALL,2011-2012,1,Anthony Hickey,Anthony,Hickey,G,5/11/13,182,Fr.,HS,"Hopkinsville, Ky.æ (Christian County HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205158648,,
LSU,MBBALL,2011-2012,2,Johnny O'Bryant III,Johnny,O'Bryant III,F,6/9/13,262,Fr.,HS,"Cleveland, Miss.æ (East Side HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205158650,,
LSU,MBBALL,2011-2012,4,Chris Bass,Chris,Bass,G,6/1/13,190,Sr.,4L,"Baton Rouge, La.æ (Lee Academy Prep)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1522546,,
LSU,MBBALL,2011-2012,5,Malcolm White,Malcolm,White,F,6/9/13,220,Sr.,2L,"Baton Rouge, La.æ (St. Helena Central HS/Ole Miss)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3731572,,
LSU,MBBALL,2011-2012,10,Andre Stringer,Andre,Stringer,G,5/9/13,178,So.,1L,"Jackson, Miss.æ (Forest Hill HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204919126,,
