ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Eligibility,Hometown/Last_School,Player_URL,,
LSU,MBBALL,2011-2012,12,Ronald Martin,Ronald,Martin,G,6/1/13,182,Fr.,HS,"White Castle, La.æ (White Castle HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205327198,,
LSU,MBBALL,2011-2012,13,Eddie Ludwig,Eddie,Ludwig,F,6/9/13,210,Jr.,2L,"Metairie, La.æ (Metairie Park Country Day)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204762232,,
LSU,MBBALL,2011-2012,14,Jalen Courtney,Jalen,Courtney,F,6/8/13,228,So.,1L,"Jackson, Miss.æ (Provine HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204919226,,
LSU,MBBALL,2011-2012,22,Ralston Turner,Ralston,Turner,G,6/6/13,205,So.,2L,"Muscle Shoals, Ala.æ (Muscle Shoals HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204919228,,
LSU,MBBALL,2011-2012,24,Storm Warren,Storm,Warren,F,6/7/13,230,Sr.,4L,"Monroe, La.æ (Richwood HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1480108,,
LSU,MBBALL,2011-2012,32,John Isaac,John,Isaac,G,6/3/13,208,Fr.,1L,"Leesville, La.æ (Pickering HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205158649,,
LSU,MBBALL,2011-2012,41,Justin Hamilton,Justin,Hamilton,C,7/1/00,260,Jr.,1L,"Alpine, Utahæ (Lone Peak HS/Iowa State)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204929431,,
LSU,MBBALL,2011-2012,55,Andrew Del Piero,Andrew,Del Piero,C,7/2/13,257,Jr.,RS,"Austin, Texasæ (Westlake HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204995075,,
LSU,MBBALL,2010-2011,3,Garrett Green,Garrett,Green,F,6/11/13,230,Jr.,3L,"Woodland Hills, Calif.æ (Taft HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945732,,
LSU,MBBALL,2010-2011,4,Chris Bass,Chris,Bass,G,6/1/13,185,Jr.,2L,"Baton Rouge, La.æ (Lee Academy Prep)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1522546,,
LSU,MBBALL,2010-2011,5,Malcolm White,Malcolm,White,F,6/9/13,225,Jr.,RS,"Baton Rouge, La.æ (St. Helena Central HS/Ole Miss)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3731572,,
LSU,MBBALL,2010-2011,10,Andre Stringer,Andre,Stringer,G,5/9/13,170,Fr.,HS,"Jackson, Miss.æ (Forest Hill HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204919126,,
LSU,MBBALL,2010-2011,13,Eddie Ludwig,Eddie,Ludwig,F,6/9/13,215,So.,1L,"Metairie, La.æ (Metairie Park Country Day)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204762232,,
LSU,MBBALL,2010-2011,14,Jalen Courtney,Jalen,Courtney,F,6/8/13,210,Fr.,HS,"Jackson, Miss.æ (Provine HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204919226,,
LSU,MBBALL,2010-2011,21,Matt Derenbecker,Matt,Derenbecker,F,6/7/13,185,Fr.,1L,"Metairie, La.æ (Metairie Park Country Day)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204919223,,
LSU,MBBALL,2010-2011,22,Ralston Turner,Ralston,Turner,G,6/6/13,193,Fr.,HS,"Muscle Shoals, Ala.æ (Muscle Shoals HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204919228,,
LSU,MBBALL,2010-2011,24,Storm Warren,Storm,Warren,F,6/7/13,230,Jr.,2L,"Monroe, La.æ (Richwood HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1480108,,
LSU,MBBALL,2010-2011,25,Daron Populist,Daron,Populist,G,5/10/13,170,So.,1L,"Slidell, La.æ (Salmen HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204798690,,
LSU,MBBALL,2010-2011,41,Justin Hamilton,Justin,Hamilton,C,6/11/13,260,Jr.,TR,"Alpine, Utahæ (Lone Peak HS/Iowa State)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204929431,,
LSU,MBBALL,2010-2011,45,Aaron Dotson,Aaron,Dotson,G,6/4/13,205,So.,1L,"Seattle, Wash.æ (Rainier Beach HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204762248,,
LSU,MBBALL,2010-2011,55,Andrew Del Piero,Andrew,Del Piero,C,7/2/13,286,So.,RS,"Austin, Texasæ (Westlake HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204995075,,
LSU,MBBALL,2009-2010,1,Tasmin Mitchell,Tasmin,Mitchell,F,6/7/13,245,Sr.,4L,"Denham Springs, La.æ (Denham Springs HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185993,,
LSU,MBBALL,2009-2010,3,Garrett Green,Garrett,Green,F,6/11/13,230,So.,1L,"Woodland Hills, Calif.æ (Taft HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945732,,
LSU,MBBALL,2009-2010,4,Chris Bass,Chris,Bass,G,6/1/13,185,So.,1L,"Baton Rouge, La.æ (Lee Academy Prep)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1522546,,
LSU,MBBALL,2009-2010,5,Malcolm White,Malcolm,White,F,6/9/13,225,Jr.,TR,"Baton Rouge, La.æ (St. Helena Central HS/Ole Miss)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3731572,,
LSU,MBBALL,2009-2010,10,Daron Populist,Daron,Populist,G,5/10/13,170,Fr.,HS,"Slidell, La.æ (Salmen HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204798690,,
LSU,MBBALL,2009-2010,11,Bo Spencer,Bo,Spencer,G,6/2/13,186,Jr.,3L,"Baton Rouge, La.æ (Glen Oaks HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945724,,
LSU,MBBALL,2009-2010,12,Aaron Dotson,Aaron,Dotson,G,6/4/13,205,Fr.,HS,"Seattle, Wash.æ (Rainier Beach HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204762248,,
LSU,MBBALL,2009-2010,13,Eddie Ludwig,Eddie,Ludwig,F,6/9/13,215,Fr.,HS,"Metairie, La.æ (Metairie Park Country Day)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204762232,,
LSU,MBBALL,2009-2010,14,Chris Beattie,Chris,Beattie,G,6/4/13,189,Jr.,1L,"Slidell, La.æ (Pope John Paul II HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204798766,,
LSU,MBBALL,2009-2010,15,Dennis Harris,Dennis,Harris,F,6/11/13,190,Fr.,1L,"Jonesboro, Ga.æ (Mundy's Mill HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1480109,,
LSU,MBBALL,2009-2010,20,Zach Kinsley,Zach,Kinsley,G/F,6/5/13,212,So.,2L,"Baton Rouge, La.æ (St. Michael HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1594319,,
LSU,MBBALL,2009-2010,22,Taylor Jacobsen,Taylor,Jacobsen,F,6/6/13,205,So.,1L,"Charlotte, N.C.æ (Charlotte Catholic HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204798767,,
LSU,MBBALL,2009-2010,24,Storm Warren,Storm,Warren,F,6/7/13,230,So.,1L,"Monroe, La.æ (Richwood HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1480108,,
LSU,MBBALL,2009-2010,30,Alex Farrer,Alex,Farrer,G,6/5/13,200,Sr.,4L,"Phoenix, Ariz.æ (St. Mary's HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185987,,
LSU,MBBALL,2008-2009,1,Delwan Graham,Delwan,Graham,F,6/5/13,215,Fr.,1L,"Atlanta, Ga.æ (Dunwoody HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1480107,,
LSU,MBBALL,2008-2009,3,Garrett Green,Garrett,Green,F,6/10/13,235,So.,1L,"Woodland Hills, Calif.æ (Taft HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945732,,
LSU,MBBALL,2008-2009,4,Chris Bass,Chris,Bass,G,6/1/00,180,Fr.,HS,"Baton Rouge, La.æ (Lee Academy Prep)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1522546,,
LSU,MBBALL,2008-2009,5,Marcus Thornton,Marcus,Thornton,G,6/4/13,205,Sr.,2L,"Baton Rouge, La.æ (Tara HS/Kilgore College)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945726,,0
LSU,MBBALL,2008-2009,11,Bo Spencer,Bo,Spencer,G,6/1/13,185,So.,1L,"Baton Rouge, La.æ (Glen Oaks HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945724,,
LSU,MBBALL,2008-2009,13,Terry Martin,Terry,Martin,G,6/6/13,210,Sr.,3L,"Monroe, La.æ (Richwood HS/Texas Tech)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=288778,,
LSU,MBBALL,2008-2009,14,Garrett Temple,Garrett,Temple,G,6/6/13,190,Sr.,4L,"Baton Rouge, La.æ (University HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=174836,,
LSU,MBBALL,2008-2009,15,Dennis Harris,Dennis,Harris,F,6/10/13,195,Fr.,HS,"Jonesboro, Ga.æ (Mundy's Mill HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1480109,,
LSU,MBBALL,2008-2009,20,Zach Kinsley,Zach,Kinsley,G/F,6/5/13,200,Fr.,HS,"Baton Rouge, La.æ (St. Michael HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1594319,,
LSU,MBBALL,2008-2009,21,Chris Johnson,Chris,Johnson,C,6/11/13,210,Sr.,4L,"Montross, Va.æ (Laurinburg (N.C) Prep)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185991,,
LSU,MBBALL,2008-2009,24,Storm Warren,Storm,Warren,F,6/7/13,220,Fr.,HS,"Monroe, La.æ (Richwood HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1480108,,
LSU,MBBALL,2008-2009,30,Alex Farrer,Alex,Farrer,G,6/5/13,205,Jr.,2L,"Phoenix, Ariz.æ (St. Mary's HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185987,,
LSU,MBBALL,2008-2009,32,Quintin Thornton,Quintin,Thornton,F,6/9/13,240,Sr.,2L,"Orlando, Fla.æ (Edgewater HS/Odessa College)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945729,,
LSU,MBBALL,2007-2008,1,Tasmin Mitchell,Tasmin,Mitchell,F,6/7/13,228,Jr.,2L,"Denham Springs, La.æ (Denham Springs HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185993,,
LSU,MBBALL,2007-2008,2,Dameon Mason,Dameon,Mason,G/F,6/6/13,190,Sr.,1L,"Kansas City, Mo.æ (West Aurora HS/Marquette)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185992,,
LSU,MBBALL,2007-2008,3,Anthony Randolph,Anthony,Randolph,F,6/10/13,205,Fr.,1L,"Dallas, Texasæ (Woodrow Wilson HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945722,,
LSU,MBBALL,2007-2008,5,Marcus Thornton,Marcus,Thornton,G,6/4/13,198,Jr.,JC,"Baton Rouge, La.æ (Tara HS/Kilgore College)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945726,,
LSU,MBBALL,2007-2008,10,Greg Terrebonne,Greg,Terrebonne,G,6/1/00,205,So.,2L,"Galliano, La.æ (South Lafourche HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=661005,,
LSU,MBBALL,2007-2008,11,Bo Spencer,Bo,Spencer,G,6/1/13,180,Fr.,HS,"Baton Rouge, La.æ (Glen Oaks HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945724,,
LSU,MBBALL,2007-2008,13,Terry Martin,Terry,Martin,G,6/6/13,207,Jr.,1L,"Monroe, La.æ (Richwood HS/Texas Tech)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=288778,,
LSU,MBBALL,2007-2008,14,Garrett Temple,Garrett,Temple,G,6/6/13,195,Jr.,2L,"Baton Rouge, La.æ (University HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=174836,,
LSU,MBBALL,2007-2008,20,Garrett Green,Garrett,Green,F,6/10/13,218,Fr.,HS,"Woodland Hills, Calif.æ (Taft HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945732,,
LSU,MBBALL,2007-2008,21,Chris Johnson,Chris,Johnson,C,6/11/13,205,Jr.,2L,"Montross, Va.æ (Laurinburg (N.C) Prep)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185991,,
LSU,MBBALL,2007-2008,30,Alex Farrer,Alex,Farrer,G,6/5/13,200,So.,1L,"Phoenix, Ariz.æ (St. Mary's HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185987,,
LSU,MBBALL,2007-2008,32,Quintin Thornton,Quintin,Thornton,F,6/8/13,230,Jr.,JC,"Orlando, Fla.æ (Edgewater HS/Odessa College)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=945729,,
LSU,MBBALL,2006-2007,0,Glen Davis,Glen,Davis,F,6/9/13,289,Jr.,3L,"Baton Rouge, La.æ (University HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=174845,,
LSU,MBBALL,2006-2007,1,Tasmin Mitchell,Tasmin,Mitchell,F,6/7/13,230,So.,1L,"Denham Springs, La.æ (Denham Springs HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185993,,
LSU,MBBALL,2006-2007,2,Dameon Mason,Dameon,Mason,G/F,6/5/13,190,Jr.,TR,"Kansas City, Mo.æ (West Aurora HS/Marquette)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185992,,
LSU,MBBALL,2006-2007,3,Tack Minor,Tack,Minor,G,5/11/13,200,Jr.,2L,"Houston, Texasæ (Booker T. Washington HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=174837,,
LSU,MBBALL,2006-2007,4,Ben Voogd,Ben,Voogd,G,6/1/13,175,So.,2L,"Florence, Ore.æ (Siuslaw HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185996,,
LSU,MBBALL,2006-2007,10,Greg Terrebonne,Greg,Terrebonne,G,6/1/00,200,Fr.,HS,"Galliano, La.æ (South Lafourche HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=661005,,
LSU,MBBALL,2006-2007,13,Terry Martin,Terry,Martin,G,6/6/13,203,So.,TR,"Monroe, La.æ (Richwood HS/Texas Tech)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=288778,,
LSU,MBBALL,2006-2007,14,Garrett Temple,Garrett,Temple,G,6/5/13,176,So.,1L,"Baton Rouge, La.æ (University HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=174836,,
LSU,MBBALL,2006-2007,15,Magnum Rolle,Magnum,Rolle,F,6/10/13,215,So.,2L,"Freeport, Bahamasæ (Laurinburg (N.C) Prep)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185995,,
LSU,MBBALL,2006-2007,21,Chris Johnson,Chris,Johnson,C,6/11/13,190,So.,1L,"Montross, Va.æ (Laurinburg (N.C) Prep)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185991,,
LSU,MBBALL,2006-2007,30,Alex Farrer,Alex,Farrer,G,6/5/13,205,Fr.,RS,"Phoenix, Ariz.æ (St. Mary's HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185987,,
LSU,MBBALL,2006-2007,35,Darnell Lazare,Darnell,Lazare,F,6/8/13,240,Sr.,4L,"Baton Rouge, La.æ (Woodlawn HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=174839,,
LSU,MBBALL,2005-2006,0,Glen Davis,Glen,Davis,F,6/9/13,310,So.,1L,"Baton Rouge, La.æ (University HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=174845,,
LSU,MBBALL,2005-2006,1,Tasmin Mitchell,Tasmin,Mitchell,F,6/7/13,230,Fr.,HS,"Denham Springs, La.æ (Denham Springs HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=185993,,
LSU,MBBALL,2005-2006,3,Tack Minor,Tack,Minor,G,5/11/13,200,Jr.,2L,"Houston, Texasæ (Booker T. Washington HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27829&SPID=2166&DB_LANG=C&DB_OEM_ID=5200&ATCLID=174837,,
