ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Height,Weight,Position,Year,Hometown/Last_School,Player_URL,
UGA,MBBALL,2011-2012,23,Sherrard Brantley,Sherrard,Brantley,6/2/13,185,G,JR,"Dublin, Ga./Dublin",http://www.georgiadogs.com/sports/m-baskbl/mtt/brantley_sherrard00.html,
UGA,MBBALL,2011-2012,12,Matt Bucklin,Matt,Bucklin,6/1/00,170,G,SR,"Marietta, Ga./Pope",http://www.georgiadogs.com/sports/m-baskbl/mtt/bucklin_matt00.html,
UGA,MBBALL,2011-2012,1,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,6/5/13,200,G,FR,"Greenville, Ga./Greenville",http://www.georgiadogs.com/sports/m-baskbl/mtt/caldwellpope_kentavious00.html,
UGA,MBBALL,2011-2012,41,John Cannon,John,Cannon,6/10/13,245,C,FR,"Burnsville, N.C./Mountain Heritage",http://www.georgiadogs.com/sports/m-baskbl/mtt/cannon_john00.html,
UGA,MBBALL,2011-2012,5,Tim Dixon,Tim,Dixon,6/9/13,225,F/C,FR,"Columbus, Ga./Oldsmar Christian",http://www.georgiadogs.com/sports/m-baskbl/mtt/dixon_tim00.html,
UGA,MBBALL,2011-2012,42,Nemanja Djurisic,Nemanja,Djurisic,6/8/13,230,F,FR,"Podgorica, Montenegro/South Kent",http://www.georgiadogs.com/sports/m-baskbl/mtt/djurisic_nemanja00.html,
UGA,MBBALL,2011-2012,32,John Florveus,John,Florveus,6/11/13,230,F/C,JR,"Miami, Fla./Dunbar",http://www.georgiadogs.com/sports/m-baskbl/mtt/florveus_john00.html,
UGA,MBBALL,2011-2012,10,Elliott Long,Elliott,Long,6/4/13,195,G/F,RS FR,"Norcross, Ga./Greater Atlanta Christian",http://www.georgiadogs.com/sports/m-baskbl/mtt/long_elliott00.html,
UGA,MBBALL,2011-2012,20,Connor Nolte,Connor,Nolte,6/7/13,215,G/F,RS SR,"Alpharetta, Ga./Furman",http://www.georgiadogs.com/sports/m-baskbl/mtt/nolte_connor00.html,
UGA,MBBALL,2011-2012,22,Gerald Robinson,Gerald,Robinson,6/1/13,180,G,RS SR,"Nashville, Tenn./MLK",http://www.georgiadogs.com/sports/m-baskbl/mtt/robinson_gerald00.html,
UGA,MBBALL,2011-2012,2,Marcus Thornton,Marcus,Thornton,6/7/13,235,F,SO,"Atlanta, Ga./Westlake",http://www.georgiadogs.com/sports/m-baskbl/mtt/thornton_marcus00.html,
UGA,MBBALL,2011-2012,3,Dustin Ware,Dustin,Ware,5/11/13,172,G,SR,"Powder Springs, Ga./N. Cobb Christian",http://www.georgiadogs.com/sports/m-baskbl/mtt/ware_dustin00.html,
UGA,MBBALL,2011-2012,15,Donte' Williams,Donte',Williams,6/9/13,220,F,SO,"Ellenwood, Ga./Miller Grove",http://www.georgiadogs.com/sports/m-baskbl/mtt/williams_donte00.html,
UGA,MBBALL,2011-2012,11,Vincent Williams,Vincent,Williams,6/1/00,160,G,JR,"Homestead, Fla./South Dade",http://www.georgiadogs.com/sports/m-baskbl/mtt/williams_vincent00.html,
UGA,MBBALL,2012-2013,23,Sherrard Brantley,Sherrard,Brantley,6/2/13,187,G,SR,"Dublin, Ga./Dublin",http://www.georgiadogs.com/sports/m-baskbl/mtt/sherrard_brantley_733655.html,
UGA,MBBALL,2012-2013,1,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,6/5/13,205,G,SO,"Greenville, Ga./Greenville",http://www.georgiadogs.com/sports/m-baskbl/mtt/kentavious_caldwell_pope_761041.html,
UGA,MBBALL,2012-2013,41,John Cannon,John,Cannon,6/10/13,240,C,SO,"Burnsville, N.C./Mountain Heritage",http://www.georgiadogs.com/sports/m-baskbl/mtt/john_cannon_761043.html,
UGA,MBBALL,2012-2013,5,Tim Dixon,Tim,Dixon,6/9/13,225,F/C,SO,"Columbus, Ga./Oldsmar Christian",http://www.georgiadogs.com/sports/m-baskbl/mtt/tim_dixon_761042.html,
UGA,MBBALL,2012-2013,42,Nemanja Djurisic,Nemanja,Djurisic,6/8/13,230,F,SO,"Podgorica, Montenegro/South Kent",http://www.georgiadogs.com/sports/m-baskbl/mtt/nemanja_djurisic_761045.html,
UGA,MBBALL,2012-2013,10,Taylor Echols,Taylor,Echols,6/1/13,160,G,SO,"McDonough, Ga./Eagles Landing Christian",http://www.georgiadogs.com/sports/m-baskbl/mtt/taylor_echols_826832.html,
UGA,MBBALL,2012-2013,32,John Florveus,John,Florveus,6/11/13,240,F/C,SR,"Miami, Fla./Dunbar",http://www.georgiadogs.com/sports/m-baskbl/mtt/john_florveus_761046.html,
UGA,MBBALL,2012-2013,12,Kenny Gaines,Kenny,Gaines,6/3/13,195,G,FR,"Atlanta, Ga./Whitefield Academy",http://www.georgiadogs.com/sports/m-baskbl/mtt/kenny_gaines_804572.html,
UGA,MBBALL,2012-2013,24,Houston Kessler,Houston,Kessler,6/8/13,215,F,FR,"Newnan, Ga./Landmark Christian",http://www.georgiadogs.com/sports/m-baskbl/mtt/houston_kessler_804574.html,
UGA,MBBALL,2012-2013,4,Charles Mann,Charles,Mann,6/4/13,205,G,FR,"Alpharetta, Ga./Milton",http://www.georgiadogs.com/sports/m-baskbl/mtt/charles_mann_804576.html,
UGA,MBBALL,2012-2013,31,Brandon Morris,Brandon,Morris,6/7/13,205,F,FR,"Lithonia, Ga./Miller Grove",http://www.georgiadogs.com/sports/m-baskbl/mtt/morris_brandon00.html,
UGA,MBBALL,2012-2013,2,Marcus Thornton,Marcus,Thornton,6/8/13,235,F,RS JR,"Atlanta, Ga./Westlake",http://www.georgiadogs.com/sports/m-baskbl/mtt/thornton_marcus00.html,
UGA,MBBALL,2012-2013,15,Donte' Williams,Donte',Williams,6/9/13,225,F,JR,"Ellenwood, Ga./Miller Grove",http://www.georgiadogs.com/sports/m-baskbl/mtt/williams_donte'00.html,
UGA,MBBALL,2012-2013,11,Vincent Williams,Vincent,Williams,,165,G,SR,"Homestead, Fla./South Dad",http://www.georgiadogs.com/sports/m-baskbl/mtt/williams_vincent00.html,
UGA,MBBALL,2010-2011,4,Chris Barnes,Chris,Barnes,6/8/13,240,Forward,SR,"College Park, Ga./Riverdale",http://www.georgiadogs.com/sports/m-baskbl/mtt/barnes_chris00.html,
