ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Last_School,Last_School,Player_Bio
OSU,MBBALL,2011-2012,4,Aaron Craft,Aaron,Craft,Guard,6/2/13,190,SO,"Findlay, Ohio (Liberty Benton)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/craft_aaron00.html
OSU,MBBALL,2011-2012,55,Trey McDonald,Trey,McDonald,Center,6/8/13,225,FR,"Battle Creek, Mich. (Battle Creek Central)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/mcdonald_trey00.html
OSU,MBBALL,2011-2012,30,Evan Ravenel,Evan,Ravenel,Forward,6/8/13,260,JR,"Tampa, Fla. (Brandon)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/ravenel_evan00.html
OSU,MBBALL,2011-2012,14,Alex Rogers,Alex,Rogers,Guard,6/2/13,195,JR,"Cincinnati, Ohio (Christian Brothers Univ.)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/rogers_alex00.html
OSU,MBBALL,2011-2012,10,LaQuinton Ross,LaQuinton,Ross,Forward,6/8/13,225,FR,"Jackson, Miss. (Life Center Academy (N.J.))",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/ross_laquinton00.html
OSU,MBBALL,2011-2012,3,Shannon Scott,Shannon,Scott,Guard,6/1/13,180,FR,"Alpharetta, Ga. (Milton)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/scott_shannon00.html
OSU,MBBALL,2011-2012,2,Jordan Sibert,Jordan,Sibert,Guard,6/4/13,185,SO,"Cinncinati, Ohio (Princeton)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/sibert_jordan00.html
OSU,MBBALL,2011-2012,32,"Lenzelle Smith, Jr.",Lenzelle,Smith Jr.,Guard,6/4/13,205,SO,"Zion, Ill (Zion-Benton)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/smithjr_lenzelle00.html
OSU,MBBALL,2011-2012,0,Jared Sullinger,Jared,Sullinger,Forward,6/9/13,280,SO,"Columbus, Ohio (Northland)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/sullinger_jared00.html
OSU,MBBALL,2011-2012,1,Deshaun Thomas,Deshaun,Thomas,Forward,6/7/13,225,SO,"Ft. Wayne, Ind (Bishop Luers)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/thomas_deshaun00.html
OSU,MBBALL,2011-2012,12,Sam Thompson,Sam,Thompson,Forward,6/7/13,190,FR,"Chicago, Ill. (Whitney Young)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/thompson_sam00.html
OSU,MBBALL,2011-2012,15,J.D. Weatherspoon,J.D.,Weatherspoon,Forward,6/6/13,215,SO,"Columbus, Ohio (Northland)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/weatherspoon_jd00.html
OSU,MBBALL,2011-2012,23,Amir Williams,Amir,Williams,Center,6/11/13,220,FR,"Birmingham, Mich. (Detroit Country Day)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/williams_amir00.html
OSU,MBBALL,2009-2010,2,Jeremie Simmons,Jeremie,Simmons,G,6/2/13,170,Sr.,"Chicago, Ill. (Mott C.C.) (Von Steuben)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/simmons_jeremie00.html
OSU,MBBALL,2009-2010,3,Walter Offutt,Walter,Offutt,G,6/3/13,190,So.,"Indianapolis, Ind. (Warren Central)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/offutt_walter00.html
OSU,MBBALL,2009-2010,4,P.J. Hill,P.J.,Hill,G,6/1/13,165,Sr.,"Minneapolis, Minn. (Midland JC) (Minneapolis North)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/hill_pj00.html
OSU,MBBALL,2009-2010,13,Danny Peters,Danny,Peters,G,6/2/13,180,Sr.,"New Albany, Ohio (New Albany)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/peters_danny00.html
OSU,MBBALL,2009-2010,15,Kyle Madsen,Kyle,Madsen,C,6/9/13,240,Sr.,"Dublin, Ohio (Dublin Coffman)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/madsen_kyle00.html
OSU,MBBALL,2009-2010,21,Evan Turner,Evan,Turner,G/F,6/7/13,205,Jr.,"Chicago, Ill. (St. Joseph's)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/turner_evan00.html
OSU,MBBALL,2009-2010,23,David Lighty,David,Lighty,G/F,6/5/13,220,Jr.,"Cleveland, Ohio (Villa Angela-St. Joseph)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/lighty_david00.html
OSU,MBBALL,2009-2010,24,Nikola Kecman,Nikola,Kecman,F,6/8/13,220,So.,"Belgrade, Serbia (Eastern Arizona College)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/kecman_nikola00.html
OSU,MBBALL,2009-2010,33,Jon Diebler,Jon,Diebler,G,6/6/13,205,Jr.,"Upper Sandusky, Ohio (Upper Sandusky)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/diebler_jon00.html
OSU,MBBALL,2009-2010,34,Mark Titus,Mark,Titus,G,6/4/13,210,Sr.,"Brownsburg, Ind. (Brownsburg)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/titus_mark00.html
OSU,MBBALL,2009-2010,44,William Buford,William,Buford,G,6/5/13,190,So.,"Toledo, Ohio (Libbey)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/buford_william00.html
OSU,MBBALL,2009-2010,45,Zisis Sarikopoulos,Zisis,Sarikopoulos,C,7/1/00,265,So.,"Athens, Greece (Olympiakos)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/sarikopoulos_zisis00.html
OSU,MBBALL,2009-2010,52,Dallas Lauderdale,Dallas,Lauderdale,F,6/8/13,255,Jr.,"Solon, Ohio (Solon)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/lauderdale_dallas00.html
OSU,MBBALL,2008-2009,2,Jeremie Simmons,Jeremie,Simmons,G,6/2/13,170,Jr.,"Chicago, Ill. (Mott C.C.) (Von Steubon)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/simmons_jeremie00.html
OSU,MBBALL,2008-2009,3,Walter Offutt,Walter,Offutt,G,6/3/13,190,Fr.,"Indianapolis, Ind. (Warren Central)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/offutt_walter00.html
OSU,MBBALL,2008-2009,4,P.J. Hill,P.J.,Hill,G,6/1/13,165,Jr.,"Minneapolis, Minn. (Midland JC) (Minneapolis North)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/hill_pj00.html
OSU,MBBALL,2008-2009,10,Anthony Crater,Anthony,Crater,G,6/1/13,170,Fr.,"Flint, Mich. (Wolfeboro Brewster Acad.)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/crater_anthony00.html
OSU,MBBALL,2008-2009,13,Danny Peters,Danny,Peters,G,6/2/13,180,Jr.,"New Albany, Ohio (New Albany)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/peters_danny00.html
OSU,MBBALL,2008-2009,15,Kyle Madsen,Kyle,Madsen,C,6/9/13,240,Jr.,"Dublin, Ohio (Dublin Coffman)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/madsen_kyle00.html
OSU,MBBALL,2008-2009,21,Evan Turner,Evan,Turner,G/F,6/7/13,205,So.,"Chicago, Ill. (St. Joseph's)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/turner_evan00.html
OSU,MBBALL,2008-2009,23,David Lighty,David,Lighty,G/F,6/5/13,220,Jr.,"Cleveland, Ohio (Villa Angela-St. Joseph)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/lighty_david00.html
OSU,MBBALL,2008-2009,24,Nikola Kecman,Nikola,Kecman,F,6/8/13,220,So.,"Belgrade, Serbia (Eastern Arizona College)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/kecman_nikola00.html
OSU,MBBALL,2008-2009,32,B.J. Mullens,B.J.,Mullens,C,7/1/00,275,Fr.,"Columbus, Ohio (Canal Winchester)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/mullens_bj00.html
OSU,MBBALL,2008-2009,33,Jon Diebler,Jon,Diebler,G,6/6/13,205,So.,"Upper Sandusky, Ohio (Upper Sandusky)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/diebler_jon00.html
