ID_Sport,ID_School,Season,Number,Name,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Prior_School,Player_URL
MHOOPS,UNC,2005-2006,1,Marcus Ginyard,Marcus,Ginyard,G/F,6/5/13,200,Fr.,"Alexandria, VA (Bishop O'Connell)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674100&Q
MHOOPS,UNC,2005-2006,3,Reyshawn Terry,Reyshawn,Terry,F,6/8/13,228,Jr.,"Winston-Salem, NC (R.J. Reynolds)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674025&Q
MHOOPS,UNC,2005-2006,4,Bobby Frasor,Bobby,Frasor,G,6/3/13,195,Fr.,"Blue Island, IL (Brother Rice)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674094&Q
MHOOPS,UNC,2005-2006,11,Quentin Thomas,Quentin,Thomas,G,6/3/13,190,So.,"Oakland, CA (Oakland Technical)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674106&Q
MHOOPS,UNC,2005-2006,14,Danny Green,Danny,Green,F/G,6/5/13,202,Fr.,"North Babylon, NY (St. Mary's)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674001&Q
MHOOPS,UNC,2005-2006,15,Dewey Burke,Dewey,Burke,G,6/1/00,195,Jr.,"Philadelphia, PA",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674097&Q
MHOOPS,UNC,2005-2006,22,Wes Miller,Wes,Miller,G,5/11/13,185,Jr.,"Charlotte, NC (New Hampton Prep (NH))",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674059&Q
MHOOPS,UNC,2005-2006,24,Surry Wood,Surry,Wood,F,6/5/13,205,Jr.,"Raleigh, NC (Cary Academy)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674117&Q
MHOOPS,UNC,2005-2006,30,Will Robinson,Will,Robinson,F,6/6/13,220,Sr.,"Chapel Hill, NC",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674047&Q
MHOOPS,UNC,2005-2006,31,Thomas Wilkins,Thomas,Wilkins,G,5/8/13,175,Sr.,"Cary, NC",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674042&Q
MHOOPS,UNC,2005-2006,34,David Noel,David,Noel,F,6/6/13,232,Sr.,"Durham, NC (Southern Durham)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674080&Q
MHOOPS,UNC,2005-2006,40,Mike Copeland,Mike,Copeland,F,6/7/13,233,Fr.,"Winston-Salem, NC (RJ Reynolds)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674092&Q
MHOOPS,UNC,2005-2006,41,Byron Sanders,Byron,Sanders,F,6/9/13,238,Sr.,"Gulfport, MS (Harrison Central)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674055&Q
MHOOPS,UNC,2005-2006,50,Tyler Hansbrough,Tyler,Hansbrough,F,6/9/13,235,Fr.,"Poplar Bluff, MO (Poplar Bluff)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674122&Q
MHOOPS,UNC,2006-2007,1,Marcus Ginyard,Marcus,Ginyard,G/F,6/5/13,218,So.,"Alexandria, VA (Bishop OËConnell)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674100&Q
MHOOPS,UNC,2006-2007,2,Wayne Ellington,Wayne,Ellington,G,6/4/13,195,Fr.,"Wynnewood, PA (The Episcopal Academy)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674031&Q
MHOOPS,UNC,2006-2007,3,Reyshawn Terry,Reyshawn,Terry,F,6/8/13,232,Sr.,"Winston-Salem, NC (R.J. Reynolds)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674025&Q
MHOOPS,UNC,2006-2007,4,Bobby Frasor,Bobby,Frasor,G,6/3/13,208,So.,"Blue Island, IL (Brother Rice)",http://www.goheels.com/ViewArticle.dbml?SPSID=667867&SPID=12965&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205674094&Q
